t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00
 2.0000000e-01,  1.2005359e+00,  1.2746853e+00,  1.4100441e+00,  1.0427751e+00,  1.2146932e+00,  1.3756357e+00,  1.2069483e+00,  9.5271756e-01,  1.4801416e+00,  1.2010492e+00,  1.1127228e+00,  1.4856723e+00,  1.3540931e+00,  1.6464501e+00,  1.3114836e+00,  1.2953208e+00,  1.1104946e+00,  1.4813989e+00,  1.7113619e+00,  1.1019711e+00,  2.0590225e+00,  1.5242766e+00,  2.6016474e+00,  1.8953434e+00,  1.2839309e+00,  1.3831221e+00,  1.6271784e+00,  1.3174500e+00,  1.4252478e+00,  1.1406639e+00,  1.2714133e+00,  1.3424222e+00,  1.1374668e+00,  1.4299956e+00,  1.9951444e+00,  1.3561063e+00,  1.0690021e+00,  1.6241057e+00,  1.4199645e+00,  1.2258765e+00,  1.6256417e+00,  1.5170397e+00,  1.3206017e+00,  1.0530031e+00,  1.8008826e+00,  1.7153883e+00,  1.4512531e+00,  1.4094758e+00,  1.1198544e+00,  1.9228045e+00,  1.2786958e+00,  1.2245966e+00,  1.9677001e+00,  2.3710252e+00,  1.5734744e+00,  1.4913250e+00,  1.4248956e+00,  1.3060465e+00,  1.2636150e+00,  1.2411353e+00,  9.8847970e-01,  1.3192329e+00,  1.3833412e+00,  1.1619420e+00,  1.4132420e+00,  1.2527937e+00,  1.9276471e+00,  1.3194314e+00,  1.2795980e+00,  1.4118824e+00,  1.3785490e+00,  1.3292205e+00,  1.3850104e+00,  1.3785307e+00,  1.0519779e+00,  1.5070713e+00,  1.0786123e+00,  1.8070763e+00,  1.8387731e+00,  1.4750263e+00,  1.3628725e+00,  1.2312330e+00,  1.6044445e+00,  1.6246904e+00,  1.4976895e+00,  1.3465542e+00,  1.2530625e+00,  1.3292205e+00,  1.1954466e+00,  1.2645836e+00,  2.1598921e+00,  1.9667949e+00,  1.4348251e+00,  1.8055020e+00,  1.2839529e+00,  1.0557983e+00
 3.0000000e-01,  2.3306069e+00,  1.5649295e+00,  1.3090733e+00,  1.0589208e+00,  7.0399690e-01,  2.2547363e+00,  1.0826816e+00,  1.7289259e+00,  1.5188877e+00,  1.6863949e+00,  1.5836438e+00,  5.3075037e-01,  3.2376468e+00,  1.6061581e+00,  1.0183113e+00,  6.3954188e-01,  1.3085331e+00,  5.2133919e-01,  2.4958543e+00,  2.2862739e+00,  1.6015294e+00,  1.3718400e+00,  4.6929605e+00,  1.8226790e+00,  1.2724442e+00,  1.3930877e+00,  1.6220638e+00,  1.3078225e+00,  1.4282417e+00,  1.1352442e+00,  1.2889206e+00,  1.3317583e+00,  1.1018419e+00,  1.4572547e+00,  2.0115843e+00,  1.3734295e+00,  1.0718233e+00,  1.6180844e+00,  1.4310132e+00,  1.2159422e+00,  1.6093707e+00,  1.5054925e+00,  1.3208229e+00,  1.0546058e+00,  1.8406340e+00,  1.7084264e+00,  1.4516172e+00,  1.4339856e+00,  1.5199873e+00,  2.8189862e+00,  5.8260045e-01,  1.6043916e+00,  3.8853262e+00,  2.4675074e+00,  1.4409060e+00,  2.3821509e+00,  4.6384565e-01,  3.6136795e+00,  4.3608414e-01,  2.8690395e+00,  2.6573989e+00,  2.2321203e+00,  1.8224307e+00,  1.7607261e+00,  1.5319552e+00,  1.5767837e+00,  1.9848820e+00,  1.3036561e+00,  1.2921589e+00,  1.5680423e+00,  1.5797678e+00,  1.3621343e+00,  2.0704706e+00,  2.1528880e+00,  1.6508108e+00,  1.9050611e+00,  2.1260398e+00,  1.4786176e+00,  2.4308111e+00,  2.0930794e+00,  1.6294892e+00,  1.5496472e+00,  1.8385210e+00,  1.6052654e+00,  1.6267311e+00,  1.3877118e+00,  1.1738540e+00,  1.3621343e+00,  1.3013954e+00,  1.3344094e+00,  2.1786791e+00,  1.9827932e+00,  1.7459170e+00,  1.8711734e+00,  1.4567005e+00,  1.4823070e+00
 4.0000000e-01,  2.5379518e+00,  1.6693200e+00,  1.7624486e+00,  1.4123465e+00,  1.2058039e+00,  3.3175121e+00,  2.0836278e+00,  1.7789807e+00,  1.8105513e+00,  2.2182868e+00,  1.7591999e+00,  1.0860821e+00,  3.8495541e+00,  1.2150655e+00,  9.1606991e-01,  5.8287279e-01,  2.0334924e+00,  7.4743578e-01,  1.8390586e+00,  2.3488555e+00,  1.9750780e+00,  1.6033844e+00,  4.6219475e+00,  2.6683057e+00,  1.2587690e+00,  1.3885167e+00,  1.6055626e+00,  1.3031326e+00,  1.4317446e+00,  1.1381519e+00,  1.2868701e+00,  1.3215357e+00,  1.0831067e+00,  1.4627911e+00,  2.0291344e+00,  1.3871264e+00,  1.0708275e+00,  1.6160216e+00,  1.4254980e+00,  1.2145288e+00,  1.6074517e+00,  1.5039623e+00,  1.3191353e+00,  1.0542393e+00,  1.8427019e+00,  1.7059075e+00,  1.4493879e+00,  1.4325654e+00,  1.5530658e+00,  2.9211517e+00,  9.6230311e-01,  2.1440072e+00,  4.4406623e+00,  2.8085813e+00,  1.5698567e+00,  2.2697848e+00,  5.4870232e-01,  3.8505287e+00,  1.1583353e+00,  3.0059122e+00,  2.9591259e+00,  2.3772230e+00,  1.9232197e+00,  2.1677735e+00,  1.5944932e+00,  2.1005503e+00,  3.0777922e+00,  1.3625238e+00,  1.3504559e+00,  1.3844305e+00,  1.3012681e+00,  1.4352388e+00,  1.6967840e+00,  1.5340296e+00,  1.9642273e+00,  2.1150846e+00,  2.4488008e+00,  1.9996506e+00,  2.4549670e+00,  2.6372423e+00,  1.9856168e+00,  2.0643996e+00,  2.1830425e+00,  1.1618552e+00,  1.4658677e+00,  1.2920258e+00,  1.2155626e+00,  1.4352388e+00,  1.1866900e+00,  1.2142270e+00,  2.4522306e+00,  2.0883212e+00,  2.1733081e+00,  2.1414455e+00,  1.4725827e+00,  1.9132026e+00
 5.0000000e-01,  2.6648716e+00,  1.6958880e+00,  1.7411129e+00,  1.4415451e+00,  1.3266943e+00,  4.1689270e+00,  2.5222934e+00,  1.6237737e+00,  2.6813400e+00,  2.6808675e+00,  1.6308033e+00,  1.1967538e+00,  3.8259139e+00,  1.2853727e+00,  1.1452993e+00,  7.9626000e-01,  2.7498748e+00,  7.8649324e-01,  1.7762230e+00,  2.5664505e+00,  2.4285771e+00,  1.6657526e+00,  4.3149095e+00,  2.8018163e+00,  1.2492144e+00,  1.3838604e+00,  1.5908142e+00,  1.2993707e+00,  1.4348380e+00,  1.1409069e+00,  1.2855129e+00,  1.3143088e+00,  1.0757018e+00,  1.4674321e+00,  2.0468240e+00,  1.4000375e+00,  1.0705250e+00,  1.6155788e+00,  1.4227489e+00,  1.2142005e+00,  1.6071721e+00,  1.5038656e+00,  1.3186668e+00,  1.0539520e+00,  1.8434983e+00,  1.7050858e+00,  1.4486765e+00,  1.4307184e+00,  1.5876644e+00,  2.8159553e+00,  1.3240572e+00,  2.4896410e+00,  4.9082444e+00,  3.0235646e+00,  1.9165271e+00,  2.5966185e+00,  1.1765167e+00,  3.7517782e+00,  2.3010718e+00,  3.0884500e+00,  3.6184514e+00,  2.4184016e+00,  2.0013510e+00,  2.4383066e+00,  1.5471403e+00,  2.6844732e+00,  3.7852637e+00,  8.2471254e-01,  1.0687840e+00,  1.3021219e+00,  1.1033515e+00,  1.4911989e+00,  1.1078273e+00,  1.4329262e+00,  2.0982845e+00,  2.0111182e+00,  2.9440824e+00,  2.2457327e+00,  2.3392448e+00,  2.8716347e+00,  2.0628901e+00,  2.6382732e+00,  2.4886611e+00,  7.7046454e-01,  1.4188620e+00,  1.2109046e+00,  1.2708257e+00,  1.4911989e+00,  9.8589878e-01,  1.0721030e+00,  2.7890402e+00,  2.3324667e+00,  2.7310271e+00,  2.3859760e+00,  1.4184924e+00,  2.3399411e+00
 6.0000000e-01,  2.9082231e+00,  1.7278358e+00,  1.8568197e+00,  1.3236994e+00,  1.4012936e+00,  4.5686866e+00,  2.7240418e+00,  1.6016899e+00,  3.4894484e+00,  2.7836793e+00,  1.4350468e+00,  1.2750107e+00,  3.9398329e+00,  1.6600198e+00,  1.2838643e+00,  1.0783630e+00,  3.5953152e+00,  5.1611759e-01,  1.7289446e+00,  2.7555104e+00,  2.4859616e+00,  1.7466767e+00,  3.8900248e+00,  2.9270132e+00,  1.2418925e+00,  1.3792344e+00,  1.5782767e+00,  1.2962809e+00,  1.4382794e+00,  1.1459749e+00,  1.2849528e+00,  1.3068767e+00,  1.0697548e+00,  1.4732510e+00,  2.0639470e+00,  1.4129927e+00,  1.0707044e+00,  1.6157482e+00,  1.4213976e+00,  1.2143231e+00,  1.6076365e+00,  1.5042666e+00,  1.3188789e+00,  1.0539823e+00,  1.8438103e+00,  1.7053718e+00,  1.4487985e+00,  1.4293742e+00,  1.6361673e+00,  2.5808783e+00,  1.6392715e+00,  2.8886570e+00,  5.0864293e+00,  2.8833545e+00,  2.1453133e+00,  3.0021957e+00,  1.3493836e+00,  3.7412475e+00,  3.2182031e+00,  2.8675151e+00,  4.1953680e+00,  2.5647688e+00,  2.2326115e+00,  2.7451845e+00,  1.5765086e+00,  3.1403208e+00,  4.1022694e+00,  5.7187833e-01,  8.8316993e-01,  1.5531833e+00,  1.2754771e+00,  1.4367334e+00,  9.0561789e-01,  1.6316575e+00,  2.0849420e+00,  1.9006101e+00,  3.1782365e+00,  2.5119804e+00,  2.5691447e+00,  2.9606047e+00,  2.0224964e+00,  3.0862756e+00,  2.7436430e+00,  7.4165501e-01,  1.3800339e+00,  1.1157160e+00,  1.2867735e+00,  1.4367334e+00,  9.3029951e-01,  9.7162358e-01,  2.9164993e+00,  2.5790577e+00,  3.1658093e+00,  2.6215013e+00,  1.4271613e+00,  2.6842007e+00
 7.0000000e-01,  3.1395652e+00,  1.7150860e+00,  1.9700228e+00,  1.2159819e+00,  1.2709663e+00,  4.3000504e+00,  3.2049386e+00,  1.5020319e+00,  3.8422651e+00,  3.0102373e+00,  1.5333180e+00,  1.2356681e+00,  4.1297530e+00,  1.9486655e+00,  1.4219976e+00,  1.5727428e+00,  4.5006572e+00,  5.8502190e-01,  1.8751105e+00,  2.9120939e+00,  2.3488460e+00,  2.0799125e+00,  3.8502900e+00,  2.7554470e+00,  1.2352955e+00,  1.3743220e+00,  1.5630540e+00,  1.2933796e+00,  1.4417461e+00,  1.1541980e+00,  1.2845575e+00,  1.2982902e+00,  1.0650803e+00,  1.4819375e+00,  2.0841430e+00,  1.4273179e+00,  1.0710582e+00,  1.6161489e+00,  1.4213322e+00,  1.2146406e+00,  1.6085011e+00,  1.5050447e+00,  1.3193194e+00,  1.0542399e+00,  1.8447920e+00,  1.7058988e+00,  1.4491569e+00,  1.4287588e+00,  1.5754977e+00,  2.5327771e+00,  1.7870021e+00,  3.4543695e+00,  5.4065594e+00,  2.7812941e+00,  2.4920132e+00,  3.4914128e+00,  1.9890307e+00,  3.9099836e+00,  3.9275773e+00,  2.9149243e+00,  4.7173389e+00,  2.7649266e+00,  2.2826770e+00,  2.8668197e+00,  1.7527682e+00,  3.4513155e+00,  4.1007811e+00,  6.5504688e-01,  9.5100362e-01,  1.8532951e+00,  1.4147394e+00,  1.4660398e+00,  9.6576765e-01,  1.5939064e+00,  1.9713823e+00,  1.9898974e+00,  3.3205783e+00,  2.8275710e+00,  2.8362434e+00,  3.0833294e+00,  1.9668112e+00,  3.3919180e+00,  2.9402179e+00,  9.1190421e-01,  1.2270867e+00,  1.0708123e+00,  1.3623405e+00,  1.4660398e+00,  9.6166386e-01,  8.9908614e-01,  2.6973985e+00,  2.8393319e+00,  3.4407621e+00,  2.7700847e+00,  1.5054574e+00,  2.9372070e+00
 8.0000000e-01,  3.4740485e+00,  1.3868554e+00,  2.5611023e+00,  1.2625310e+00,  1.3189366e+00,  3.7726822e+00,  2.8031158e+00,  1.4957870e+00,  4.1374533e+00,  3.1456099e+00,  1.6986621e+00,  1.5982887e+00,  4.3819199e+00,  2.1541182e+00,  1.5265995e+00,  1.6963042e+00,  5.0740707e+00,  1.2810189e+00,  1.9613408e+00,  3.1668982e+00,  2.3638962e+00,  2.1579596e+00,  3.5632906e+00,  2.9301742e+00,  1.2297513e+00,  1.3699953e+00,  1.5458079e+00,  1.2901839e+00,  1.4444559e+00,  1.1641689e+00,  1.2845161e+00,  1.2880028e+00,  1.0609633e+00,  1.4949522e+00,  2.1099111e+00,  1.4478110e+00,  1.0714444e+00,  1.6166293e+00,  1.4217169e+00,  1.2151090e+00,  1.6095771e+00,  1.5053818e+00,  1.3198239e+00,  1.0545832e+00,  1.8456607e+00,  1.7065058e+00,  1.4495111e+00,  1.4284080e+00,  1.6054713e+00,  2.5579612e+00,  1.9117095e+00,  3.8203352e+00,  6.0251659e+00,  2.8816383e+00,  2.8295437e+00,  4.1206959e+00,  2.4491680e+00,  4.1800473e+00,  4.5909989e+00,  3.0533809e+00,  5.4377190e+00,  3.0660861e+00,  2.3920109e+00,  3.0455129e+00,  1.9920712e+00,  3.6008618e+00,  4.0313333e+00,  4.6758993e-01,  1.6676547e+00,  2.0796894e+00,  1.5883970e+00,  1.7415773e+00,  1.0656463e+00,  1.5399747e+00,  1.8310026e+00,  2.1505762e+00,  3.4953720e+00,  3.1069203e+00,  3.1928875e+00,  3.2966355e+00,  1.9687590e+00,  3.5388906e+00,  3.1293033e+00,  9.8518780e-01,  1.2639514e+00,  1.1592365e+00,  1.5033890e+00,  1.7415773e+00,  1.0366283e+00,  8.8566427e-01,  2.5392000e+00,  3.1233140e+00,  3.6157207e+00,  2.9374433e+00,  1.6143543e+00,  2.9551623e+00
 9.0000000e-01,  4.1870779e+00,  1.2947572e+00,  3.4713730e+00,  1.5384075e+00,  1.6131347e+00,  3.9088760e+00,  2.1266727e+00,  1.6887881e+00,  3.7301803e+00,  3.4147426e+00,  1.9398695e+00,  1.9664107e+00,  4.6656625e+00,  2.4317916e+00,  1.4611679e+00,  2.3993655e+00,  5.5753687e+00,  1.9174103e+00,  2.0557361e+00,  3.4206679e+00,  2.7763036e+00,  2.2313993e+00,  3.5740802e+00,  4.0094772e+00,  1.2260632e+00,  1.3665991e+00,  1.5243180e+00,  1.2863153e+00,  1.4470436e+00,  1.1774581e+00,  1.2845389e+00,  1.2753291e+00,  1.0572700e+00,  1.5202092e+00,  2.1418931e+00,  1.4763596e+00,  1.0718281e+00,  1.6170301e+00,  1.4225885e+00,  1.2156357e+00,  1.6106023e+00,  1.5054118e+00,  1.3203322e+00,  1.0548913e+00,  1.8458168e+00,  1.7070702e+00,  1.4498853e+00,  1.4281491e+00,  1.8185704e+00,  2.7127561e+00,  1.9185127e+00,  4.3928566e+00,  6.3129188e+00,  3.1291655e+00,  3.3254330e+00,  4.7253623e+00,  2.1710500e+00,  4.4576820e+00,  4.7287582e+00,  3.5151310e+00,  6.2586937e+00,  3.2563007e+00,  2.4513839e+00,  3.1114730e+00,  2.1301501e+00,  3.7198094e+00,  4.3132623e+00,  2.3853917e-01,  2.0376310e+00,  2.2732760e+00,  1.8190038e+00,  2.0898417e+00,  1.3274988e+00,  1.5517429e+00,  1.6969366e+00,  2.8004428e+00,  3.6652663e+00,  3.4266009e+00,  3.5442661e+00,  3.3999565e+00,  1.9316926e+00,  3.6557912e+00,  3.3898186e+00,  9.7207341e-01,  1.2576173e+00,  1.4167478e+00,  1.6552721e+00,  2.0898417e+00,  1.1761900e+00,  9.5906093e-01,  2.4819458e+00,  3.4006950e+00,  3.7310896e+00,  3.1241215e+00,  1.7319495e+00,  2.9448126e+00
 1.0000000e+00,  4.9675424e+00,  2.6447507e+00,  6.0372928e+00,  2.9235010e+00,  1.9636025e+00,  4.2700568e+00,  2.2678311e+00,  4.5364017e+00,  3.1673549e+00,  3.6632230e+00,  2.4639379e+00,  2.6741088e+00,  4.9375951e+00,  2.9449015e+00,  1.3009683e+00,  2.5895638e+00,  6.5731762e+00,  2.1414444e+00,  1.9912019e+00,  3.8497029e+00,  3.1213535e+00,  2.3343728e+00,  3.5681326e+00,  3.8281174e+00,  1.2273615e+00,  1.3667256e+00,  1.4977077e+00,  1.2816099e+00,  1.4484518e+00,  1.1923754e+00,  1.2850251e+00,  1.2581251e+00,  1.0533484e+00,  1.5578096e+00,  2.1809364e+00,  1.5170638e+00,  1.0722401e+00,  1.6174493e+00,  1.4231403e+00,  1.2161747e+00,  1.6116651e+00,  1.5052631e+00,  1.3208595e+00,  1.0552995e+00,  1.8460971e+00,  1.7076657e+00,  1.4502793e+00,  1.4282501e+00,  1.9466954e+00,  2.9252571e+00,  1.9233626e+00,  4.9257255e+00,  6.5787285e+00,  3.4133093e+00,  3.6338336e+00,  5.1129271e+00,  2.4953164e+00,  5.0301155e+00,  4.8496929e+00,  4.1876588e+00,  7.1945513e+00,  3.3690039e+00,  2.3927223e+00,  3.2690239e+00,  2.3074572e+00,  3.8566320e+00,  4.6370411e+00,  7.7327439e-01,  2.3374570e+00,  2.9927952e+00,  2.0572730e+00,  2.4312574e+00,  1.3218543e+00,  1.6461836e+00,  2.0000049e+00,  3.7937640e+00,  3.6752869e+00,  3.7328515e+00,  3.7846062e+00,  3.5988745e+00,  1.9628994e+00,  3.7902589e+00,  3.5993939e+00,  8.9789000e-01,  1.1393799e+00,  1.5745653e+00,  1.7806476e+00,  2.4312574e+00,  1.3527549e+00,  1.0640912e+00,  2.5434858e+00,  3.6282908e+00,  3.7337075e+00,  3.1525247e+00,  1.7655114e+00,  3.2343473e+00
