t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  6.1481847e-02,  5.4426432e-02,  5.1629227e-02,  6.1780634e-02,  5.9520258e-02,  5.4718204e-02,  6.3572449e-02,  1.0861026e-01,  4.5360519e-02,  3.5888245e-02,  5.4723648e-02,  8.4303964e-02,  4.2073051e-08,  4.2135456e-08,  4.7119144e-07,  4.2073013e-08,  4.2400258e-08,  3.9038895e-07,  4.2072991e-08,  4.2164341e-08,  1.6265888e-07,  4.2073000e-08,  4.2166779e-08,  5.5777219e-07,  4.2073079e-08,  4.2126099e-08,  3.8514867e-07,  4.2073001e-08,  4.2297477e-08,  9.5895674e-07,  4.2072996e-08,  4.2171685e-08,  2.2913838e-07,  4.2073131e-08,  4.2161334e-08,  1.9633325e-07,  4.2073066e-08,  4.2165080e-08,  7.6999568e-07,  4.2072997e-08,  4.2161912e-08,  4.3092418e-07,  4.2073002e-08,  4.2206774e-08,  6.8638441e-07,  4.2072998e-08,  4.2120614e-08,  2.1352200e-07,  4.2072979e-08,  4.2073112e-08,  4.2152718e-08,  7.3064071e-08,  4.2072975e-08,  4.2073776e-08,  4.2366049e-08,  7.4485250e-08,  4.2072978e-08,  4.2073338e-08,  4.2152867e-08,  8.5871572e-08,  4.2072982e-08,  4.2073486e-08,  4.2151610e-08,  7.4189867e-08,  4.2072981e-08,  4.2073660e-08,  4.2115245e-08,  7.0520897e-08,  4.2072975e-08,  4.2073141e-08,  4.2161540e-08,  7.6206291e-08,  4.2072978e-08,  4.2073144e-08,  4.2110656e-08,  8.1174553e-08,  4.2072975e-08,  4.2073443e-08,  4.2136105e-08,  5.5532011e-08,  4.2072977e-08,  4.2073416e-08,  4.2184219e-08,  6.2174804e-08,  4.2072975e-08,  4.2073413e-08,  4.2158464e-08,  7.6206291e-08,  4.2072981e-08,  4.2073530e-08,  4.2121979e-08,  5.9986918e-08,  4.2072980e-08,  4.2073406e-08,  4.2213932e-08,  9.3300493e-08
 2.0000000e-01,  5.4999507e-02,  1.0087118e-03,  8.4317288e-02,  2.7183294e-02,  5.9017669e-05,  4.8905626e-02,  5.8484553e-02,  2.8525959e-03,  1.9367647e-02,  4.1467508e-02,  2.2419473e-02,  3.4818821e-02,  7.2567367e-07,  6.9666865e-07,  1.2689485e-06,  2.5707011e-07,  2.8909784e-07,  1.4043428e-06,  3.1020321e-06,  2.9415040e-07,  1.1405493e-05,  1.8532345e-07,  6.7122107e-07,  6.0548320e-06,  3.0494469e-07,  1.6402444e-07,  7.9200042e-07,  8.5143226e-07,  3.7882796e-07,  3.9936440e-06,  4.7897340e-07,  4.7597716e-07,  1.0022661e-06,  1.2097681e-06,  3.1911804e-07,  5.5529350e-07,  2.6760944e-07,  9.5942505e-07,  2.2312481e-06,  2.6322101e-07,  6.0317317e-07,  1.0379339e-06,  1.6791498e-07,  6.9265900e-07,  1.9618193e-06,  1.7130862e-07,  2.1384328e-07,  7.6232587e-07,  4.7830947e-07,  3.2923907e-07,  1.0625420e-06,  8.1624556e-07,  1.7911342e-06,  2.3640053e-06,  4.3227163e-07,  8.3943593e-07,  8.7000142e-07,  1.4601332e-06,  1.1738775e-06,  2.0121267e-06,  4.7393135e-06,  4.0249478e-07,  3.3115403e-07,  5.7037578e-07,  3.7997799e-07,  1.8644332e-06,  8.5692456e-06,  8.8916872e-07,  1.4199073e-06,  4.0789743e-06,  3.4786321e-07,  4.2104641e-07,  4.0464980e-07,  1.6796787e-06,  8.1558129e-07,  1.5057848e-06,  1.6595846e-06,  4.4333146e-07,  3.0491076e-07,  5.0162261e-07,  7.5563541e-07,  2.4339713e-06,  3.9538358e-06,  9.0911957e-07,  5.8326235e-07,  2.0776662e-06,  3.5856674e-07,  4.2104641e-07,  6.0649606e-07,  1.3893599e-06,  6.0142813e-07,  2.0780767e-06,  1.7232367e-06,  9.2967372e-07,  1.8868323e-07,  4.6353534e-07
 3.0000000e-01,  1.2330340e+00,  4.0517601e-01,  5.5756355e-01,  1.6275534e+00,  2.8272233e+00,  8.5047524e-01,  2.0103160e+00,  7.2348137e-01,  3.0613216e-01,  1.1421254e+00,  5.5069902e-01,  1.6034415e-01,  6.1147312e+01,  1.0513161e+02,  2.8491594e+01,  9.4797755e+02,  1.3711949e+02,  3.2476612e+01,  1.3471980e+02,  9.0031880e+01,  1.6481194e+00,  3.4276524e+02,  1.9125659e+02,  3.8546953e+00,  1.4832970e-04,  8.6145889e-05,  1.5915453e-05,  3.3280555e-04,  3.2967426e-05,  2.4865562e-05,  1.0850456e-04,  5.1105201e-05,  2.2248018e-05,  2.4861891e-04,  7.0684226e-05,  4.2132119e-05,  4.8170246e-07,  7.8289805e-07,  4.6489847e-06,  3.3272972e-07,  6.8663471e-07,  2.6659206e-06,  2.4570635e-07,  7.6183404e-07,  4.9767745e-06,  2.1892150e-07,  3.6291184e-07,  1.0067614e-06,  4.5010573e+01,  8.6641037e+01,  8.2031785e+01,  3.2341736e+01,  2.6920139e+02,  1.8723547e+02,  6.7574840e+01,  2.8323544e+01,  1.7295006e+02,  1.2085866e+02,  1.0162618e+02,  4.5362683e+01,  1.0187058e+02,  1.0823376e+02,  1.1897727e+02,  3.1762719e+01,  4.0003057e+01,  3.4472150e+01,  7.5246906e+01,  5.3024679e+01,  2.8913922e+02,  1.3325150e+02,  3.8203231e+01,  1.0147757e+01,  1.0851416e+02,  9.2142958e+01,  4.3184613e+01,  1.7464399e+01,  8.4409745e+01,  5.5396329e+01,  6.8639529e+01,  2.1083283e+01,  2.3554386e+01,  2.3476810e+01,  1.4676953e+01,  2.9652973e+01,  5.8614473e+01,  3.9227860e+01,  2.2904433e+01,  1.0147757e+01,  2.0092489e+01,  7.2849722e+00,  1.6486769e+01,  4.3639922e+00,  3.0171114e+01,  1.6359884e+01,  1.8224414e+01,  5.0810652e+00
 4.0000000e-01,  9.8975397e-01,  6.5627950e-01,  8.3841670e-01,  8.4930484e-01,  2.8692096e+00,  8.2588621e-01,  1.5460124e+00,  7.9422143e-01,  2.4982802e-01,  5.2153956e-01,  9.6031834e-01,  5.7817943e-01,  5.6642027e+01,  7.4143761e+01,  2.4800871e+01,  6.7737524e+02,  1.1131484e+02,  1.3392434e+01,  1.2472078e+02,  7.8234365e+01,  1.8665565e+00,  2.3340434e+02,  1.4344167e+02,  4.0900833e+00,  5.6896979e-04,  3.4083059e-04,  6.6103771e-05,  8.5854076e-04,  1.4912668e-04,  9.4393245e-05,  3.6171753e-04,  2.3919569e-04,  9.9361144e-05,  8.2826877e-04,  3.5047138e-04,  2.3809146e-04,  7.7120760e-07,  7.5339937e-07,  1.2276260e-05,  3.9330639e-07,  7.0143459e-07,  7.1753336e-06,  3.0237133e-07,  7.6086620e-07,  1.1751404e-05,  3.0613394e-07,  5.0069548e-07,  1.6963855e-06,  4.7119534e+01,  6.9596146e+01,  6.4929109e+01,  3.8076425e+01,  2.1235025e+02,  1.5468043e+02,  1.2101157e+02,  2.3024678e+01,  1.3252757e+02,  1.0391076e+02,  8.5845552e+01,  3.5504507e+01,  1.0684212e+02,  7.9065150e+01,  1.2249312e+02,  3.3464761e+01,  4.4244675e+01,  3.4227605e+01,  6.1970644e+01,  4.0660066e+01,  1.5209799e+02,  7.3497679e+01,  3.9441578e+01,  8.1058867e+00,  9.5807987e+01,  6.9753344e+01,  3.7349967e+01,  1.2377285e+01,  6.5586234e+01,  3.3687867e+01,  6.6698339e+01,  1.9857854e+01,  2.4887531e+01,  2.5412568e+01,  1.4197729e+01,  2.0507605e+01,  2.6256276e+01,  1.7731290e+01,  2.2511473e+01,  8.1058867e+00,  1.9381861e+01,  6.4140190e+00,  1.7277312e+01,  5.3511117e+00,  2.7502088e+01,  1.3939060e+01,  1.7596916e+01,  6.8849227e+00
 5.0000000e-01,  1.7183902e+00,  1.0285861e+00,  1.2477472e+00,  1.4656239e+00,  3.3698076e+00,  1.4153521e+00,  2.0385396e+00,  1.2750344e+00,  4.4854105e-01,  9.0367994e-01,  1.6775924e+00,  1.2730778e+00,  5.8183686e+01,  7.3570961e+01,  3.1115942e+01,  5.9857985e+02,  1.1923958e+02,  6.9919396e+00,  1.2710233e+02,  7.7529180e+01,  3.6149223e+00,  1.9751992e+02,  1.2990165e+02,  7.5159873e+00,  1.5649249e-03,  9.5042001e-04,  1.7288765e-04,  1.7166918e-03,  4.3696940e-04,  2.4827155e-04,  8.6301053e-04,  6.7017635e-04,  3.0954713e-04,  2.1144526e-03,  1.0741917e-03,  8.3781579e-04,  1.0782692e-06,  7.6196583e-07,  2.9873851e-05,  4.7501618e-07,  7.3346327e-07,  1.6235785e-05,  3.4521428e-07,  7.4384593e-07,  2.3802876e-05,  4.2688146e-07,  6.2987981e-07,  3.2968551e-06,  4.9154129e+01,  6.2473092e+01,  6.1060833e+01,  7.5662315e+01,  1.8660018e+02,  1.4465946e+02,  2.0945243e+02,  2.1682696e+01,  1.1484795e+02,  9.9073040e+01,  8.9248858e+01,  4.0163487e+01,  1.2314656e+02,  7.6988746e+01,  1.4688464e+02,  4.0495787e+01,  5.4192553e+01,  4.8745977e+01,  6.2609487e+01,  3.2776762e+01,  8.8647146e+01,  5.2661105e+01,  5.1956579e+01,  7.3683884e+00,  9.6001950e+01,  6.2875256e+01,  4.5826413e+01,  1.3126415e+01,  5.6993036e+01,  3.4766818e+01,  8.6641767e+01,  2.4720843e+01,  2.8958560e+01,  3.8325599e+01,  1.7006364e+01,  1.6416463e+01,  2.0018357e+01,  1.4816092e+01,  2.8658906e+01,  7.3683884e+00,  2.1230856e+01,  7.6197374e+00,  2.2614825e+01,  8.3004178e+00,  3.1092381e+01,  1.8500747e+01,  2.3093539e+01,  9.9971402e+00
 6.0000000e-01,  4.0553795e+00,  1.7233286e+00,  2.0177928e+00,  2.3258586e+00,  3.9053522e+00,  1.5914600e+00,  3.5069839e+00,  1.5669848e+00,  7.0346049e-01,  2.0538268e+00,  2.6635742e+00,  2.1957192e+00,  6.6996252e+01,  9.2243921e+01,  4.0210481e+01,  5.8208262e+02,  1.4264852e+02,  7.4410600e+00,  1.4183709e+02,  8.6014761e+01,  6.7399422e+00,  2.0031164e+02,  1.4390752e+02,  1.3105392e+01,  3.7679265e-03,  2.2536556e-03,  3.4511447e-04,  3.2932461e-03,  1.0003359e-03,  5.1913808e-04,  1.7460351e-03,  1.4584618e-03,  7.6835730e-04,  4.9174945e-03,  2.6101523e-03,  2.3243202e-03,  1.3386704e-06,  7.7824906e-07,  6.0799547e-05,  5.7749634e-07,  7.8155948e-07,  3.0442068e-05,  3.7870022e-07,  7.3538445e-07,  4.1250665e-05,  5.7033521e-07,  7.4925383e-07,  6.4790857e-06,  5.3596547e+01,  6.8275142e+01,  6.5029032e+01,  9.5064831e+01,  1.7824219e+02,  1.5661849e+02,  2.9511458e+02,  2.2570103e+01,  9.8603751e+01,  1.0242466e+02,  9.8577833e+01,  4.6658908e+01,  1.4606662e+02,  8.8459297e+01,  1.7916769e+02,  5.1461779e+01,  6.5401919e+01,  6.6454514e+01,  6.9178510e+01,  3.7726571e+01,  6.4288835e+01,  4.6880321e+01,  6.8513834e+01,  7.1369272e+00,  1.0005843e+02,  5.8101987e+01,  6.5380141e+01,  1.6371061e+01,  5.6808429e+01,  4.3464941e+01,  1.1182925e+02,  3.0810807e+01,  3.3747548e+01,  5.3188630e+01,  2.1326691e+01,  1.7722947e+01,  2.1287274e+01,  1.6886774e+01,  3.6693490e+01,  7.1369272e+00,  2.4126932e+01,  1.0352223e+01,  2.9337206e+01,  1.2359194e+01,  3.7439594e+01,  2.4863472e+01,  3.1034831e+01,  1.3269401e+01
 7.0000000e-01,  1.1539328e+01,  2.5797801e+00,  4.7064292e+00,  4.0956506e+00,  4.3291738e+00,  2.4754405e+00,  9.4841122e+00,  3.0763071e+00,  8.1237624e-01,  3.7482253e+00,  4.5981310e+00,  3.1243459e+00,  8.1555736e+01,  1.1931271e+02,  5.5030717e+01,  6.4334569e+02,  1.8172255e+02,  2.0320761e+01,  1.6630104e+02,  1.0045390e+02,  1.2672937e+01,  2.1990977e+02,  1.6930917e+02,  1.6648801e+01,  8.6846762e-03,  5.0323452e-03,  5.8695179e-04,  6.2957197e-03,  1.9889020e-03,  9.5832431e-04,  3.3399650e-03,  2.7710929e-03,  1.6704138e-03,  1.1154588e-02,  5.7344562e-03,  5.8057618e-03,  1.5103654e-06,  7.9471468e-07,  1.0497688e-04,  6.9337752e-07,  8.3534817e-07,  4.9244671e-05,  4.0649822e-07,  7.4970029e-07,  6.3178618e-05,  7.2116712e-07,  8.5616660e-07,  1.1972739e-05,  5.9939276e+01,  8.0778072e+01,  7.3339942e+01,  1.1765770e+02,  1.9669564e+02,  1.8599313e+02,  3.7860551e+02,  2.7197336e+01,  1.0118564e+02,  1.1651734e+02,  1.0576732e+02,  6.1127815e+01,  1.7015655e+02,  1.0421368e+02,  2.0491125e+02,  6.3219868e+01,  7.5680095e+01,  8.2860746e+01,  8.2128905e+01,  5.5600696e+01,  6.5000226e+01,  4.8390895e+01,  8.9399612e+01,  7.7156302e+00,  1.1535585e+02,  5.7683116e+01,  9.7011324e+01,  2.2009685e+01,  6.0267355e+01,  5.2774339e+01,  1.3616834e+02,  4.3445156e+01,  3.7943849e+01,  6.6102424e+01,  2.8085109e+01,  2.7991913e+01,  2.3985350e+01,  2.1672336e+01,  4.7813863e+01,  7.7156302e+00,  2.8367050e+01,  1.4670092e+01,  3.7738703e+01,  1.7382752e+01,  4.3873087e+01,  3.1276344e+01,  4.0767033e+01,  1.7647466e+01
 8.0000000e-01,  5.8684948e+01,  4.6271287e+00,  1.7094686e+01,  3.8870555e+00,  5.2688029e+00,  6.7294818e+00,  2.6122191e+01,  6.0572858e+00,  2.4269902e+00,  1.2715345e+01,  9.1849557e+00,  4.1631734e+00,  1.0266507e+02,  1.5305107e+02,  7.5643820e+01,  7.0818549e+02,  2.5179910e+02,  4.1012117e+01,  1.9874632e+02,  1.2069697e+02,  3.2236967e+01,  2.5281169e+02,  2.1358978e+02,  2.0896083e+01,  1.9603157e-02,  1.0986852e-02,  9.2812631e-04,  1.1801833e-02,  3.6922195e-03,  1.6871880e-03,  6.3342185e-03,  4.9199486e-03,  3.4231787e-03,  2.4740948e-02,  1.2018986e-02,  1.3772744e-02,  1.5816637e-06,  8.1227282e-07,  1.5919890e-04,  8.1181961e-07,  8.9096125e-07,  7.1562318e-05,  4.3146834e-07,  7.9241414e-07,  8.8136739e-05,  8.6284482e-07,  9.4774164e-07,  2.0303004e-05,  6.7183852e+01,  1.0081847e+02,  8.4810741e+01,  1.5653043e+02,  2.2705717e+02,  2.3466773e+02,  4.6274462e+02,  3.6926559e+01,  1.0156361e+02,  1.4772564e+02,  1.1820623e+02,  7.4393024e+01,  1.9867499e+02,  1.3748465e+02,  2.3348272e+02,  7.6148843e+01,  8.5039025e+01,  1.0184753e+02,  1.0194427e+02,  6.7411294e+01,  7.2510650e+01,  6.0527606e+01,  1.1723755e+02,  9.2162518e+00,  1.3391439e+02,  6.3680332e+01,  1.2388879e+02,  2.8638087e+01,  6.8971875e+01,  6.9149612e+01,  1.6559388e+02,  5.5714506e+01,  4.1078159e+01,  8.0907954e+01,  3.7845959e+01,  4.9279185e+01,  2.5513502e+01,  3.0846843e+01,  6.3403737e+01,  9.2162518e+00,  3.3088789e+01,  2.0641068e+01,  4.4943439e+01,  2.2343190e+01,  5.1212653e+01,  4.0576681e+01,  5.3975226e+01,  2.1678391e+01
 9.0000000e-01,  1.7578367e+02,  2.4225734e+01,  1.4647712e+02,  1.7161963e+01,  3.5574347e+01,  5.4739906e+01,  8.7876685e+01,  5.3636978e+01,  3.8279639e+01,  9.5521986e+01,  4.6451023e+01,  8.6056027e+00,  1.3127027e+02,  1.9238742e+02,  1.0389237e+02,  8.4112682e+02,  3.9283924e+02,  9.3405156e+01,  2.4255856e+02,  1.4374471e+02,  4.8901261e+01,  2.8705194e+02,  2.8118763e+02,  2.6684733e+01,  4.2874413e-02,  2.3293894e-02,  1.4737384e-03,  2.1153327e-02,  6.6006807e-03,  2.9243135e-03,  1.1941713e-02,  8.3485072e-03,  6.9073353e-03,  5.2401948e-02,  2.4121646e-02,  3.1322590e-02,  1.5649681e-06,  8.3514645e-07,  2.1873848e-04,  9.2113271e-07,  9.5162335e-07,  9.6335699e-05,  4.5555909e-07,  8.6409460e-07,  1.1485730e-04,  9.8121870e-07,  1.0227272e-06,  3.1586307e-05,  8.0681180e+01,  1.2483403e+02,  9.8214543e+01,  2.3286204e+02,  2.4119912e+02,  3.1511662e+02,  5.8323857e+02,  5.3329514e+01,  1.1250422e+02,  1.9191509e+02,  1.4795703e+02,  7.8886474e+01,  2.3218447e+02,  1.8747494e+02,  2.6216354e+02,  8.0590564e+01,  9.7283080e+01,  1.2348892e+02,  1.2692169e+02,  9.5716199e+01,  7.8391235e+01,  8.9551074e+01,  1.5065971e+02,  1.1259658e+01,  1.6012338e+02,  7.2160554e+01,  1.4453872e+02,  3.5363333e+01,  7.7772475e+01,  9.1723966e+01,  1.9997697e+02,  6.7359830e+01,  4.6281109e+01,  9.8027204e+01,  5.0078882e+01,  7.8616882e+01,  2.6409593e+01,  4.3608522e+01,  8.2118725e+01,  1.1259658e+01,  4.0639361e+01,  2.7491213e+01,  5.3526633e+01,  2.7051035e+01,  5.9421179e+01,  5.1319120e+01,  7.1838189e+01,  2.6031635e+01
 1.0000000e+00,  6.4917945e+02,  4.3508603e+02,  4.0043771e+02,  2.1226445e+02,  2.7141192e+02,  3.5821103e+02,  2.2503439e+02,  1.3249926e+02,  8.1766430e+02,  7.4936375e+02,  5.4297975e+02,  5.9189920e+01,  1.6534071e+02,  2.3368727e+02,  1.5128236e+02,  1.0528496e+03,  8.1701373e+02,  2.8269057e+02,  3.1278729e+02,  1.8151881e+02,  8.8690412e+01,  3.4641344e+02,  3.8947584e+02,  3.8925392e+01,  8.9661518e-02,  4.7208722e-02,  2.3887432e-03,  3.5699969e-02,  1.1392461e-02,  4.9942102e-03,  2.2146223e-02,  1.3476654e-02,  1.3787067e-02,  1.0461031e-01,  4.6055255e-02,  6.7676114e-02,  1.4853635e-06,  8.6827989e-07,  2.7872000e-04,  1.0113911e-06,  1.0248206e-06,  1.2238568e-04,  4.7981246e-07,  9.6347823e-07,  1.4201526e-04,  1.0671831e-06,  1.0830455e-06,  4.5484390e-05,  1.0007423e+02,  1.5465515e+02,  1.1216954e+02,  2.8512581e+02,  2.7992787e+02,  3.8535767e+02,  7.0588952e+02,  7.8008735e+01,  1.4698578e+02,  2.5009729e+02,  1.8787125e+02,  8.1428143e+01,  2.7414799e+02,  2.7188514e+02,  3.0797403e+02,  7.8208225e+01,  1.1141379e+02,  1.4937578e+02,  1.5442371e+02,  6.6759743e+01,  8.7819069e+01,  1.1543497e+02,  1.7747200e+02,  1.4160669e+01,  1.9260550e+02,  8.4910971e+01,  1.5808155e+02,  4.3342447e+01,  9.3411215e+01,  1.2576756e+02,  2.4214470e+02,  7.7721298e+01,  5.0809534e+01,  1.1898057e+02,  5.9287790e+01,  7.6234673e+01,  2.5904726e+01,  5.9915968e+01,  9.8821663e+01,  1.4160669e+01,  5.0785024e+01,  3.4907217e+01,  6.2548767e+01,  3.3378207e+01,  6.8715319e+01,  6.4551308e+01,  8.9829836e+01,  3.1436387e+01
