t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.6322282e+00,  1.3914756e+00,  1.7841283e+00,  1.2645913e+00,  1.4978810e+00,  2.3045945e+00,  1.6754746e+00,  1.4399405e+00,  1.9400050e+00,  1.6411795e+00,  1.3186682e+00,  1.8732239e+00,  1.8130666e+00,  2.0370323e+00,  1.5753342e+00,  1.4649339e+00,  1.1973922e+00,  1.7456431e+00,  1.7988992e+00,  1.5376296e+00,  2.1731260e+00,  1.5311212e+00,  1.9415671e+00,  2.4469420e+00,  1.7694257e+00,  1.3210348e+00,  1.9620889e+00,  1.3956611e+00,  1.7809051e+00,  1.5343559e+00,  1.6840625e+00,  1.5518420e+00,  1.7374224e+00,  1.5717652e+00,  1.7627728e+00,  1.5618190e+00,  1.4540966e+00,  1.7632777e+00,  1.9763033e+00,  1.7306488e+00,  2.2063961e+00,  1.7732496e+00,  1.5473523e+00,  1.4385716e+00,  2.8008763e+00,  1.6753314e+00,  1.1785981e+00,  1.9430422e+00,  1.3701391e+00,  1.6177624e+00,  1.6731667e+00,  2.1916785e+00,  2.3666538e+00,  3.0179745e+00,  1.4279187e+00,  1.8042289e+00,  1.7074191e+00,  1.6558533e+00,  1.7799122e+00,  1.6792448e+00,  1.8881037e+00,  1.5758936e+00,  1.6156859e+00,  1.3046545e+00,  1.4066198e+00,  1.3850360e+00,  2.6444657e+00,  1.6419750e+00,  2.2108933e+00,  1.9043855e+00,  1.2544751e+00,  2.0037851e+00,  1.6359927e+00,  1.3274923e+00,  1.3883413e+00,  2.2004831e+00,  1.4230585e+00,  1.6962588e+00,  1.7165674e+00,  1.3561573e+00,  1.4517030e+00,  1.4062893e+00,  1.6182099e+00,  1.8323372e+00,  1.6005306e+00,  1.6035118e+00,  1.3628797e+00,  2.0037851e+00,  1.3337776e+00,  1.5650121e+00,  1.9566143e+00,  2.2803608e+00,  1.7276602e+00,  1.6487485e+00,  1.7924878e+00,  2.0529931e+00
 2.0000000e-01,  1.9835508e-04,  1.3493094e-04,  1.5308472e-04,  1.5421492e-04,  1.7040115e-04,  2.1694182e-04,  1.9160605e-04,  2.7665849e-04,  1.6391204e-04,  1.4847573e-04,  1.4790822e-04,  2.1431523e-04,  1.8130611e+00,  2.0338463e+00,  1.5577199e-01,  1.4649310e+00,  1.1851043e+00,  2.3014403e-01,  1.7988973e+00,  1.5326515e+00,  5.6192248e-01,  1.5311193e+00,  1.9370906e+00,  1.9438334e-01,  1.7694186e+00,  1.3187769e+00,  2.1303207e-01,  1.3956587e+00,  1.7710653e+00,  9.0002044e-02,  1.6840605e+00,  1.5463590e+00,  3.3038368e-01,  1.5717576e+00,  1.7582024e+00,  3.1977835e-01,  1.4540919e+00,  1.7580971e+00,  1.1873568e-01,  1.7306462e+00,  2.2017741e+00,  2.0865658e-01,  1.5473501e+00,  1.4331704e+00,  2.0295367e-01,  1.6753287e+00,  1.1770504e+00,  4.2774209e-01,  1.3701380e+00,  1.6177553e+00,  1.6692393e+00,  1.2486927e+00,  2.3666523e+00,  3.0178964e+00,  1.4167248e+00,  1.0244786e+00,  1.7074178e+00,  1.6558376e+00,  1.7752901e+00,  8.4692858e-01,  1.8881022e+00,  1.5758642e+00,  1.6123017e+00,  7.1193807e-01,  1.4066187e+00,  1.3850073e+00,  2.6415346e+00,  9.9015602e-01,  2.2108919e+00,  1.9043760e+00,  1.2516720e+00,  1.1012156e+00,  1.6359915e+00,  1.3274844e+00,  1.3863984e+00,  1.1757821e+00,  1.4230576e+00,  1.6962341e+00,  1.7137139e+00,  1.0308856e+00,  1.4517020e+00,  1.4062715e+00,  1.6136662e+00,  1.2286394e+00,  1.6005296e+00,  1.6034885e+00,  1.3588665e+00,  1.1012156e+00,  1.3337766e+00,  1.5649899e+00,  1.9540727e+00,  1.5915925e+00,  1.7276589e+00,  1.6487233e+00,  1.7847957e+00,  9.0793433e-01
 3.0000000e-01,  3.3754938e-03,  1.8031865e-03,  1.1905668e-04,  1.3856949e-03,  4.2300372e-02,  5.3467275e-04,  4.9413093e-04,  4.5193548e-03,  3.4969126e-04,  4.2960312e-04,  3.5836492e-04,  3.1154558e-04,  1.0443406e+00,  1.0995880e+00,  1.9748190e-01,  1.0368201e+00,  8.6733180e-01,  8.7567719e-02,  9.1473971e-01,  1.1150722e+00,  2.5568161e-02,  1.2063132e+00,  1.4768192e+00,  2.3943598e-02,  1.2034483e+00,  1.1471556e+00,  1.5891777e-01,  8.9772492e-01,  1.3277799e+00,  5.1007858e-02,  1.2322463e+00,  1.1208262e+00,  2.5258254e-01,  1.1683090e+00,  1.2930522e+00,  2.2843410e-01,  1.0479926e+00,  1.2301933e+00,  9.6850815e-02,  1.4439463e+00,  1.5024978e+00,  1.5206485e-01,  1.2815263e+00,  1.0477882e+00,  1.5593029e-01,  1.4584551e+00,  8.6144358e-01,  3.4443489e-01,  1.0250610e+00,  1.3022106e+00,  8.6723014e-01,  6.6782513e-01,  1.5619854e+00,  1.5324258e+00,  8.4577586e-01,  2.8722494e-01,  1.0527263e+00,  7.7429781e-01,  1.0762654e+00,  2.0723749e-01,  8.9083692e-01,  1.1497257e+00,  1.1100505e+00,  3.0617462e-01,  1.0515351e+00,  6.3155148e-01,  1.1678481e+00,  6.9937742e-01,  1.3762435e+00,  1.0100540e+00,  8.5350843e-01,  5.5567907e-01,  1.0840789e+00,  7.2012087e-01,  8.6194088e-01,  4.4287537e-01,  7.4395045e-01,  1.1502525e+00,  1.0861170e+00,  5.9903082e-01,  9.3204441e-01,  7.2341087e-01,  7.4789014e-01,  8.3051863e-01,  9.5872807e-01,  8.9670550e-01,  1.0417115e+00,  5.5567907e-01,  9.0642592e-01,  7.8490052e-01,  1.2338251e+00,  8.2297916e-01,  9.4718811e-01,  9.5294441e-01,  1.1909483e+00,  6.0179668e-01
 4.0000000e-01,  2.9015951e-03,  1.2563816e-03,  1.9258947e-03,  8.8544686e-04,  1.0701408e-02,  1.3497060e-03,  1.2110970e-03,  2.3211059e-03,  7.2987007e-04,  1.2825035e-03,  1.3732333e-03,  6.5232323e-04,  4.1398120e-01,  4.3643649e-01,  8.3936102e-02,  1.8435504e-01,  2.7353950e-01,  4.4050295e-02,  3.9384522e-01,  3.1970607e-01,  7.5286280e-03,  3.9014886e-01,  3.4247750e-01,  9.5825605e-03,  4.0425052e-03,  3.3450667e-03,  9.0671182e-03,  2.1211787e-03,  2.0856466e-02,  4.5804640e-03,  6.0090927e-03,  1.5673680e-02,  1.5695372e-02,  4.8719012e-03,  7.8631318e-03,  5.6541231e-03,  7.8696122e-01,  1.2030235e+00,  5.4567658e-02,  1.3600186e+00,  1.4404608e+00,  7.5337625e-02,  1.1963987e+00,  9.7343091e-01,  9.8310345e-02,  1.2806370e+00,  7.7301932e-01,  2.6832366e-01,  3.7476569e-01,  3.9481336e-01,  2.5585173e-01,  2.3302800e-01,  4.2151564e-01,  4.0108586e-01,  2.6278169e-01,  1.0223892e-01,  2.4285036e-01,  2.6687267e-01,  3.4338501e-01,  8.5968230e-02,  3.1546990e-01,  2.8699779e-01,  4.3297715e-01,  9.9394358e-02,  3.5795570e-01,  2.0579041e-01,  4.0086224e-01,  1.9440242e-01,  3.0301782e-01,  2.2620542e-01,  2.5168032e-01,  1.2515898e-01,  3.0246493e-01,  2.3273052e-01,  2.5797429e-01,  1.3955629e-01,  2.1465600e-01,  3.0094410e-01,  3.4440609e-01,  1.7111995e-01,  2.4049107e-01,  1.5073403e-01,  9.3309666e-02,  1.4664753e-01,  1.0149970e-01,  7.6335107e-02,  2.0717552e-01,  1.2515898e-01,  1.3029107e-01,  5.6151540e-02,  1.9485375e-01,  6.5292158e-02,  1.4367164e-01,  1.1873594e-01,  1.8521101e-01,  9.4991767e-02
 5.0000000e-01,  4.2402627e-03,  1.8681137e-03,  3.2489901e-03,  1.4481514e-03,  1.0568369e-02,  2.0278740e-03,  1.3959397e-03,  2.8225457e-03,  1.4155146e-03,  2.6588453e-03,  2.0088634e-03,  1.0303900e-03,  4.2152434e-01,  4.7478675e-01,  9.7692969e-02,  1.7456705e-01,  2.9404811e-01,  4.9893600e-02,  4.4486222e-01,  3.3358353e-01,  1.0395538e-02,  4.0384546e-01,  3.6326962e-01,  1.1842476e-02,  1.4193250e-03,  9.9724328e-04,  2.3767750e-03,  7.7008432e-04,  5.3351742e-03,  1.2486668e-03,  1.7298408e-03,  3.9320379e-03,  4.0467447e-03,  1.4473991e-03,  1.9697899e-03,  1.4687856e-03,  6.4730316e-01,  1.1650708e+00,  2.3116079e-02,  1.2444394e+00,  1.3525013e+00,  3.1942614e-02,  1.1395276e+00,  9.2563536e-01,  5.4255374e-02,  1.1012085e+00,  7.2057344e-01,  1.8498855e-01,  4.0323787e-01,  4.0810386e-01,  2.6334798e-01,  2.2602456e-01,  4.3703031e-01,  4.2419713e-01,  3.0232624e-01,  1.0337690e-01,  2.4099208e-01,  2.8774862e-01,  3.1505766e-01,  9.0045355e-02,  3.7853767e-01,  3.0833965e-01,  4.7201909e-01,  1.1993392e-01,  3.7047759e-01,  2.5396326e-01,  4.2543946e-01,  1.7979214e-01,  2.5934483e-01,  2.0804700e-01,  2.2975804e-01,  1.3101132e-01,  3.1779693e-01,  2.4192153e-01,  2.3978726e-01,  1.5431428e-01,  2.3215376e-01,  3.2825503e-01,  3.7696295e-01,  1.7751178e-01,  2.8073311e-01,  2.2113297e-01,  1.5342702e-01,  1.5117417e-01,  1.3439897e-01,  1.0396930e-01,  2.0821468e-01,  1.3101132e-01,  1.6667018e-01,  9.5427856e-02,  2.5453057e-01,  1.2190009e-01,  2.1257477e-01,  1.9826102e-01,  2.3769817e-01,  1.3285956e-01
 6.0000000e-01,  4.0343315e-03,  2.5843957e-03,  3.5365484e-03,  1.2740676e-03,  9.8686186e-03,  1.6557952e-03,  1.0691886e-03,  2.3135514e-03,  1.4900393e-03,  2.1791929e-03,  2.4347453e-03,  1.4144419e-03,  4.2701878e-01,  5.2527133e-01,  1.2180317e-01,  1.8865917e-01,  3.2144585e-01,  6.0636565e-02,  5.0710670e-01,  3.3203344e-01,  1.5160324e-02,  4.4276080e-01,  3.9524407e-01,  2.2039133e-02,  7.8033816e-04,  5.0186315e-04,  1.0052225e-03,  4.7835503e-04,  2.0521323e-03,  5.2256632e-04,  8.1761583e-04,  1.5672946e-03,  1.4769550e-03,  7.4158658e-04,  9.3146134e-04,  6.4327034e-04,  5.7991947e-01,  1.1183841e+00,  1.0002319e-02,  1.1323890e+00,  1.2624393e+00,  1.4479143e-02,  1.0979668e+00,  8.8893467e-01,  2.9376662e-02,  9.6515485e-01,  6.8139383e-01,  1.2109687e-01,  4.2914146e-01,  4.2933164e-01,  2.7044516e-01,  2.1509697e-01,  4.7003376e-01,  4.9416786e-01,  3.6693883e-01,  1.0897288e-01,  2.5205367e-01,  3.1606748e-01,  2.9505477e-01,  1.0606923e-01,  4.4612048e-01,  3.3830201e-01,  5.0697553e-01,  1.4215130e-01,  3.9423219e-01,  2.7571394e-01,  4.3575312e-01,  1.7394774e-01,  2.6009446e-01,  2.1343920e-01,  2.1627272e-01,  1.2304971e-01,  3.4814261e-01,  2.5196555e-01,  2.2591906e-01,  1.6353114e-01,  2.5344337e-01,  3.3977248e-01,  4.1824831e-01,  1.8442914e-01,  2.9907251e-01,  2.5713192e-01,  1.8573839e-01,  1.5348237e-01,  1.7382431e-01,  1.3129596e-01,  1.9239339e-01,  1.2304971e-01,  1.9181281e-01,  1.2698667e-01,  2.6768765e-01,  1.6405812e-01,  2.6591339e-01,  2.4791063e-01,  2.6060251e-01,  1.5647632e-01
 7.0000000e-01,  2.4376991e-03,  3.2603871e-03,  2.5391340e-03,  8.4930094e-04,  9.1660417e-03,  9.6037811e-04,  4.3058192e-04,  1.4956941e-03,  9.1117254e-04,  1.3423911e-03,  2.4962598e-03,  1.9110508e-03,  4.3940004e-01,  5.8257443e-01,  1.4954851e-01,  2.1888513e-01,  3.3848931e-01,  6.5104469e-02,  5.8609218e-01,  3.3123149e-01,  2.2817020e-02,  4.9561012e-01,  4.4850260e-01,  3.3621449e-02,  7.0450053e-04,  4.1153784e-04,  5.7153692e-04,  4.7294625e-04,  1.1062737e-03,  3.1809568e-04,  6.0393933e-04,  8.9547152e-04,  7.4999191e-04,  7.0250843e-04,  7.3617803e-04,  4.7177278e-04,  5.4912721e-01,  1.0698709e+00,  5.0066919e-03,  1.0381051e+00,  1.1845922e+00,  7.5461664e-03,  1.0656855e+00,  8.5244508e-01,  1.6865229e-02,  8.7357255e-01,  6.4768837e-01,  7.7786437e-02,  4.5756149e-01,  4.5625575e-01,  2.8765303e-01,  2.2784722e-01,  5.1212800e-01,  5.9455344e-01,  4.4254066e-01,  1.2213441e-01,  2.6731142e-01,  3.4967431e-01,  2.8490283e-01,  1.3388298e-01,  5.1091154e-01,  3.7494498e-01,  5.5422439e-01,  1.7042522e-01,  4.2213897e-01,  2.9627056e-01,  4.6361061e-01,  1.8154495e-01,  2.8894153e-01,  2.2571226e-01,  2.3344224e-01,  1.1286568e-01,  3.9113840e-01,  2.5984995e-01,  2.3211829e-01,  1.8115885e-01,  2.7948949e-01,  3.5335295e-01,  4.7568549e-01,  1.9892103e-01,  3.0882824e-01,  2.8387995e-01,  1.9857716e-01,  1.6402170e-01,  2.0144103e-01,  1.5079509e-01,  1.9454084e-01,  1.1286568e-01,  2.1201896e-01,  1.5027756e-01,  2.7332310e-01,  2.0250084e-01,  3.0651080e-01,  2.7920399e-01,  2.8789826e-01,  1.7679903e-01
 8.0000000e-01,  7.3656361e-04,  2.8681900e-03,  8.8291228e-04,  2.2801965e-04,  7.3341929e-03,  2.4808018e-04,  8.8579469e-05,  4.6844006e-04,  3.1005502e-04,  5.2828488e-04,  1.7702918e-03,  2.2547329e-03,  4.5912105e-01,  6.4703510e-01,  1.8059957e-01,  2.6910077e-01,  3.5604367e-01,  6.7445335e-02,  6.7140200e-01,  3.4278848e-01,  3.0967391e-02,  5.6041157e-01,  5.2363170e-01,  3.7004241e-02,  1.0389137e-03,  5.4117321e-04,  4.0260760e-04,  6.8106525e-04,  8.6056022e-04,  2.8001820e-04,  6.8827608e-04,  7.4623323e-04,  5.5883571e-04,  1.1223825e-03,  9.2198082e-04,  5.9373859e-04,  5.3660889e-01,  1.0212674e+00,  2.9208105e-03,  9.6450739e-01,  1.1204321e+00,  4.5217040e-03,  1.0388587e+00,  8.0965694e-01,  1.0522820e-02,  8.1415746e-01,  6.1672139e-01,  4.9559224e-02,  4.8757678e-01,  4.8456697e-01,  3.2075668e-01,  2.3326804e-01,  5.6140115e-01,  7.1062719e-01,  5.2629777e-01,  1.4551696e-01,  2.9607680e-01,  3.8478290e-01,  2.9061454e-01,  1.6581634e-01,  5.8034629e-01,  4.2933275e-01,  6.2123877e-01,  1.9951951e-01,  4.5010312e-01,  3.2571520e-01,  5.0888856e-01,  1.8999721e-01,  3.3507027e-01,  2.3678464e-01,  2.7000242e-01,  1.0622564e-01,  4.4703812e-01,  2.6865196e-01,  2.6235550e-01,  2.0350186e-01,  3.1149558e-01,  3.8974436e-01,  5.5357582e-01,  2.1093552e-01,  3.2112065e-01,  3.1358251e-01,  2.0157215e-01,  1.7696195e-01,  2.2730541e-01,  1.6236578e-01,  2.1327517e-01,  1.0622564e-01,  2.3080216e-01,  1.7127019e-01,  2.9667819e-01,  2.4051071e-01,  3.4708086e-01,  3.1096829e-01,  3.3123625e-01,  1.8947397e-01
 9.0000000e-01,  8.1418369e-05,  1.0535118e-03,  1.5015782e-04,  4.2553720e-05,  4.5328864e-03,  5.6217199e-05,  4.6277058e-05,  5.2118223e-05,  4.6634208e-05,  7.3807435e-05,  5.2487735e-04,  2.2158066e-03,  4.9661448e-01,  7.1273176e-01,  2.1250727e-01,  3.2880784e-01,  3.6696556e-01,  7.4182912e-02,  7.6082608e-01,  3.7459331e-01,  3.3013253e-02,  6.3597210e-01,  6.2480465e-01,  4.6163243e-02,  2.0188868e-03,  9.6394441e-04,  3.3212262e-04,  1.1854990e-03,  9.6876206e-04,  3.3768361e-04,  1.0661796e-03,  8.8139496e-04,  6.2717111e-04,  2.2591962e-03,  1.5490741e-03,  1.0664798e-03,  5.3420258e-01,  9.7143193e-01,  1.9332252e-03,  9.0941082e-01,  1.0646008e+00,  3.0408484e-03,  1.0148958e+00,  7.5927336e-01,  7.1137034e-03,  7.7568165e-01,  5.8726990e-01,  3.1979941e-02,  5.1535976e-01,  5.1816370e-01,  3.6338646e-01,  2.3440892e-01,  6.1009910e-01,  8.4605417e-01,  6.1410491e-01,  1.7885323e-01,  3.2723248e-01,  4.2555737e-01,  3.0898354e-01,  1.8795991e-01,  6.4919978e-01,  4.8132402e-01,  6.9983131e-01,  2.3316174e-01,  4.7521534e-01,  3.6588096e-01,  5.7294338e-01,  1.9807204e-01,  3.7925484e-01,  2.4333025e-01,  3.2053506e-01,  1.0322838e-01,  5.1821158e-01,  2.8188589e-01,  3.0458355e-01,  2.1936663e-01,  3.4290809e-01,  4.2681895e-01,  6.4506557e-01,  2.3455165e-01,  3.3388321e-01,  3.5116647e-01,  2.0743962e-01,  1.9176430e-01,  2.5118492e-01,  1.7191637e-01,  2.4443405e-01,  1.0322838e-01,  2.5002134e-01,  1.9411764e-01,  3.4882472e-01,  2.7382741e-01,  3.8485091e-01,  3.3954293e-01,  3.8700559e-01,  2.0196768e-01
 1.0000000e+00,  4.8042079e-05,  1.2895760e-04,  4.9167819e-05,  2.7420447e-05,  7.0141956e-04,  5.3339989e-05,  3.4280144e-05,  3.0442634e-05,  3.9203213e-05,  3.8688605e-05,  3.2693672e-05,  8.8698250e-04,  5.4746368e-01,  7.7993920e-01,  2.4616176e-01,  4.0909948e-01,  3.6213285e-01,  7.4436525e-02,  8.6234548e-01,  4.2059634e-01,  3.4275875e-02,  7.1740137e-01,  7.5295219e-01,  5.5468027e-02,  4.2396241e-03,  1.9224481e-03,  3.0262508e-04,  2.1563652e-03,  1.4157448e-03,  4.9569271e-04,  1.8968547e-03,  1.3012558e-03,  9.6140637e-04,  4.7028270e-03,  2.8904581e-03,  2.1633948e-03,  5.3886542e-01,  9.1852879e-01,  1.4093511e-03,  8.6917073e-01,  1.0102774e+00,  2.2350282e-03,  9.9229092e-01,  7.0368151e-01,  5.1370836e-03,  7.5063185e-01,  5.5825024e-01,  2.1209598e-02,  5.5291589e-01,  5.6118914e-01,  4.1585638e-01,  2.3464263e-01,  6.6956338e-01,  1.0227385e+00,  7.1289117e-01,  2.2261233e-01,  3.6578255e-01,  4.7186366e-01,  3.4430444e-01,  1.8981367e-01,  7.2378854e-01,  5.2566474e-01,  7.9133652e-01,  2.5031855e-01,  5.0669278e-01,  4.1517574e-01,  6.5445884e-01,  1.7120537e-01,  4.2354042e-01,  2.6941624e-01,  3.6730435e-01,  1.0246911e-01,  6.0197505e-01,  2.9197198e-01,  3.5687297e-01,  2.2550724e-01,  3.8017665e-01,  4.6058655e-01,  7.4558322e-01,  2.6008415e-01,  3.5124514e-01,  3.9774319e-01,  2.2073622e-01,  1.8633653e-01,  2.7586786e-01,  1.9014523e-01,  2.7510519e-01,  1.0246911e-01,  2.7094033e-01,  2.2184900e-01,  4.2418277e-01,  2.9595911e-01,  4.2696982e-01,  3.6818514e-01,  4.5303889e-01,  2.1399936e-01
