t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  5.5482382e+03,  5.5442494e+03,  5.5432533e+03,  5.5578271e+03,  5.5548580e+03,  5.5424688e+03,  5.5498772e+03,  5.5781483e+03,  5.5361331e+03,  5.5339343e+03,  5.5476198e+03,  5.5621609e+03,  4.0867022e+03,  4.1002307e+03,  4.1007686e+03,  4.1169626e+03,  4.1133997e+03,  4.0874898e+03,  4.0945687e+03,  4.0906366e+03,  4.1048107e+03,  4.0916877e+03,  4.0751040e+03,  4.0960156e+03,  2.3435581e+03,  2.3296494e+03,  2.3387659e+03,  2.3752101e+03,  2.3075105e+03,  2.3515078e+03,  2.3514683e+03,  2.3223153e+03,  2.3506285e+03,  2.3634238e+03,  2.3230171e+03,  2.3511799e+03,  2.6928357e+02,  3.1288197e+02,  2.9828548e+02,  2.9205531e+02,  2.9787350e+02,  2.9992522e+02,  3.0637647e+02,  2.8646289e+02,  3.0653200e+02,  3.0574465e+02,  3.0767945e+02,  2.9356975e+02,  2.9891319e+03,  2.9717247e+03,  2.9788294e+03,  2.9921585e+03,  2.9746563e+03,  2.9796646e+03,  2.9671270e+03,  2.9609834e+03,  2.9851948e+03,  2.9916221e+03,  2.9942690e+03,  2.9962570e+03,  2.9561416e+03,  2.9662319e+03,  2.9816414e+03,  2.9658857e+03,  2.9262524e+03,  2.8955369e+03,  2.9298192e+03,  2.9096173e+03,  2.9318097e+03,  2.9068390e+03,  2.9227306e+03,  2.8939762e+03,  2.9392937e+03,  2.9384310e+03,  2.9040529e+03,  2.9156497e+03,  2.9071902e+03,  2.9221548e+03,  2.9274309e+03,  2.9179009e+03,  2.8714890e+03,  2.8686283e+03,  2.8486442e+03,  2.8830884e+03,  2.8666168e+03,  2.8666087e+03,  2.8867174e+03,  2.8939762e+03,  2.8704236e+03,  2.8500972e+03,  2.8554889e+03,  2.8545351e+03,  2.8579149e+03,  2.8566186e+03,  2.8601037e+03,  2.8601514e+03
 2.0000000e-01,  1.3735262e+04,  1.3622687e+04,  1.3708124e+04,  1.3770326e+04,  1.3822669e+04,  1.3740451e+04,  1.3750305e+04,  1.3885166e+04,  1.3715084e+04,  1.3635556e+04,  1.3672885e+04,  1.3691987e+04,  6.1647010e+03,  6.1923968e+03,  6.2277844e+03,  6.2090618e+03,  6.2172570e+03,  6.1499595e+03,  6.2029159e+03,  6.0344322e+03,  6.1417225e+03,  6.2300263e+03,  5.9037671e+03,  6.1393477e+03,  1.1782335e+01,  1.1200847e+01,  1.0634365e+01,  1.3247937e+01,  1.2986744e+01,  1.3131600e+01,  1.1465457e+01,  9.3270793e+00,  8.1124857e+00,  1.3890354e+01,  1.4096047e+01,  1.5155634e+01,  1.7740038e+00,  1.8323848e+00,  1.7934472e+00,  1.9397762e+00,  2.1477856e+00,  2.0901616e+00,  1.8934953e+00,  1.7988104e+00,  1.8099703e+00,  1.8912261e+00,  1.8974625e+00,  1.6307102e+00,  3.6464609e+02,  2.7441330e+02,  2.8257176e+02,  4.5932667e+02,  4.4054194e+02,  4.2895035e+02,  1.4640094e+02,  2.0430641e+02,  5.3910074e+02,  4.5390055e+02,  3.4144484e+02,  3.4078313e+02,  1.7937421e+02,  2.1557100e+02,  2.4138769e+02,  1.9184839e+02,  9.3371701e+01,  5.9836684e+01,  8.3945547e+01,  5.0007872e+01,  7.3989094e+01,  5.0957374e+01,  9.0871269e+01,  4.2604920e+01,  1.0546649e+02,  9.6927208e+01,  4.2049564e+01,  3.7494218e+01,  8.3316725e+01,  8.1019778e+01,  9.9578570e+01,  9.6441595e+01,  5.0327641e+01,  4.5476496e+01,  3.4580608e+01,  3.8371724e+01,  4.1760895e+01,  3.5573061e+01,  4.5338979e+01,  4.2604920e+01,  3.8384254e+01,  2.4456855e+01,  1.7643584e+01,  9.8935696e+00,  4.5774808e+01,  4.1779647e+01,  4.7520548e+01,  5.2175520e+01
 3.0000000e-01,  1.5026902e+04,  1.4881638e+04,  1.4955978e+04,  1.5019371e+04,  1.5006059e+04,  1.4897708e+04,  1.4973604e+04,  1.5180946e+04,  1.4914228e+04,  1.4913202e+04,  1.4915165e+04,  1.4873266e+04,  6.7123966e+03,  6.7356545e+03,  6.7362288e+03,  6.7488849e+03,  6.7825780e+03,  6.7167311e+03,  6.7364419e+03,  6.6023102e+03,  6.7234240e+03,  6.8338123e+03,  6.4851689e+03,  6.7011150e+03, -3.1304712e+00, -3.4642318e+00, -3.8817674e+00, -2.4904915e+00, -1.7927474e+00, -1.6116674e+00, -3.4067196e+00, -3.9766428e+00, -4.3209971e+00, -1.6749837e+00, -7.7211066e-01,  3.1722369e-01, -1.2120740e-01, -2.2823597e-01, -1.6887074e-01, -1.5874575e-01, -7.8386736e-02, -1.4543816e-01, -1.9818043e-01, -2.2066632e-01, -1.1079030e-01, -1.8886925e-01, -2.0445904e-01, -2.7262683e-01,  4.0011127e+02,  2.9025425e+02,  3.0084394e+02,  4.8146443e+02,  4.5888210e+02,  3.8507646e+02,  1.2416657e+02,  1.8222278e+02,  5.6529973e+02,  4.6971006e+02,  3.8103023e+02,  3.4981298e+02,  1.7728135e+02,  2.4255199e+02,  2.2643618e+02,  2.0555292e+02,  6.6738910e+01,  1.9637943e+01,  5.2396955e+01, -1.6945290e+01, -1.1654216e+01, -1.9852062e+01,  5.8454421e+01,  3.9059550e+00,  4.1967506e+01,  2.8785896e+01,  1.5177943e+01,  2.6012950e+01,  4.2037869e+01,  6.4782133e+01,  7.8651555e+01,  7.7088623e+01,  5.3217677e+00,  3.4153604e+00, -4.5832997e+00, -2.3115395e+01, -2.0683747e+01, -1.9102631e+01,  2.0378159e+00,  3.9059550e+00, -2.4068399e+01, -2.5012668e+01, -1.1548585e+01, -7.0745701e+00,  3.6401300e+00,  1.2501429e+01,  7.4983949e+00,  1.9542803e+01
 4.0000000e-01,  1.5402311e+04,  1.5240606e+04,  1.5309537e+04,  1.5369275e+04,  1.5341232e+04,  1.5229600e+04,  1.5306962e+04,  1.5572464e+04,  1.5280742e+04,  1.5270304e+04,  1.5269110e+04,  1.5232104e+04,  6.8685381e+03,  6.8751155e+03,  6.8407506e+03,  6.8878638e+03,  6.9221444e+03,  6.8845778e+03,  6.8801260e+03,  6.7567753e+03,  6.8683460e+03,  6.9360046e+03,  6.6430513e+03,  6.8599051e+03, -1.6179101e+00, -2.0077879e+00, -2.4511790e+00, -1.0742524e+00, -6.7029725e-01, -6.1728863e-01, -1.5953214e+00, -1.7355592e+00, -1.7010609e+00, -6.3555904e-01, -9.7409803e-02,  6.4054512e-01, -3.5101241e-02, -5.3781022e-02, -2.5604157e-02, -6.2216543e-02, -1.8686542e-02, -4.6207133e-02, -6.5375588e-02, -8.8090206e-02,  4.9067915e-02, -6.2587401e-02, -5.1478368e-02, -5.0543676e-02,  4.0580080e+02,  2.9238887e+02,  3.1088147e+02,  4.7144341e+02,  4.2584417e+02,  3.3679198e+02,  1.2351418e+02,  1.7018456e+02,  5.5516765e+02,  4.7607476e+02,  4.0739209e+02,  3.6258504e+02,  1.8121170e+02,  2.6662235e+02,  2.2468134e+02,  2.1428775e+02,  6.0953741e+01,  8.2809355e+00,  4.7320642e+01, -5.2432363e+01, -3.5166832e+01, -2.8162063e+01,  4.7459878e+01, -1.1781895e+01,  2.1358521e+01, -3.0771593e-01,  6.5290819e+00,  2.9870165e+01,  2.2649027e+01,  6.2619597e+01,  7.5307511e+01,  6.4933985e+01, -7.8703650e+00, -5.5900803e+00, -1.2671899e+01, -4.8097192e+01, -3.0655414e+01, -1.5416428e+01, -1.0629876e+01, -1.1781895e+01, -3.0507534e+01, -2.1331037e+01, -1.3353676e+01,  4.4357601e-01, -8.7373939e+00,  6.8229910e+00, -6.9167292e+00,  3.7348336e+00
 5.0000000e-01,  1.5888327e+04,  1.5729900e+04,  1.5791274e+04,  1.5846781e+04,  1.5810686e+04,  1.5685841e+04,  1.5769612e+04,  1.6046537e+04,  1.5750928e+04,  1.5751395e+04,  1.5730715e+04,  1.5692359e+04,  7.0769674e+03,  7.0678862e+03,  7.0483473e+03,  7.0733558e+03,  7.1149670e+03,  7.1059792e+03,  7.0760332e+03,  6.9516142e+03,  7.0755497e+03,  7.0987276e+03,  6.8294303e+03,  7.0763099e+03, -5.5691350e-01, -9.9979556e-01, -1.4598782e+00,  2.0618295e-01,  5.9079228e-01,  7.9981563e-01, -2.5024423e-01, -9.1820419e-02,  1.4164563e-01,  2.4578484e-01,  5.0184840e-01,  9.7201247e-01,  8.3443874e-02,  1.0167607e-01,  1.3297993e-01,  8.5913748e-02,  1.2542941e-01,  1.3045531e-01,  9.0268900e-02,  8.0267218e-02,  1.9040382e-01,  8.8115848e-02,  1.1168800e-01,  1.5252614e-01,  4.1510378e+02,  2.9291181e+02,  3.2704083e+02,  4.8280251e+02,  4.1951812e+02,  3.2923620e+02,  1.1609983e+02,  1.6460721e+02,  5.8378037e+02,  4.9119688e+02,  4.1710172e+02,  3.7379528e+02,  1.9044260e+02,  2.8005481e+02,  2.4060006e+02,  2.1456882e+02,  6.0439452e+01,  9.8175066e-01,  4.6659001e+01, -7.1833273e+01, -3.1698567e+01, -2.8541348e+01,  4.6422520e+01, -2.2483803e+01,  1.6386556e+01, -3.5383018e+00, -6.3022620e+00,  3.2395221e+01,  1.5336236e+01,  6.3109512e+01,  7.9220870e+01,  5.7790119e+01, -1.4280618e+01, -1.0547377e+01, -1.7718679e+01, -5.9515322e+01, -3.0851783e+01, -1.1022647e+01, -1.5357860e+01, -2.2483803e+01, -2.4196490e+01, -1.3456285e+01, -1.9371894e+01,  3.9042917e+00, -1.4585598e+01,  3.0557383e+00, -1.5995956e+01, -7.0832554e+00
 6.0000000e-01,  1.6515216e+04,  1.6356936e+04,  1.6416000e+04,  1.6476415e+04,  1.6441630e+04,  1.6303819e+04,  1.6382171e+04,  1.6663041e+04,  1.6371159e+04,  1.6379095e+04,  1.6350378e+04,  1.6312805e+04,  7.3407929e+03,  7.3026701e+03,  7.2805203e+03,  7.3127687e+03,  7.3777516e+03,  7.3950979e+03,  7.3221511e+03,  7.1996861e+03,  7.3317483e+03,  7.3352523e+03,  7.0602591e+03,  7.3230072e+03, -1.5102281e-01, -6.7106160e-01, -1.2760437e+00,  7.0292920e-01,  1.0221881e+00,  1.3150851e+00,  2.5646286e-01,  4.9840121e-01,  8.3996990e-01,  6.4851033e-01,  8.4373437e-01,  1.3459425e+00,  1.4618868e-01,  1.7853572e-01,  2.2316822e-01,  1.6289995e-01,  2.0679333e-01,  2.4930647e-01,  1.6642885e-01,  1.6934437e-01,  2.4984899e-01,  1.6578140e-01,  1.9596057e-01,  2.5557454e-01,  4.2612058e+02,  3.0801749e+02,  3.5770966e+02,  5.0776728e+02,  4.3231178e+02,  3.3060435e+02,  1.1665126e+02,  1.6270379e+02,  6.0133850e+02,  5.1671290e+02,  4.2862876e+02,  3.8790884e+02,  1.9330579e+02,  2.9102572e+02,  2.6511919e+02,  2.2377520e+02,  5.9061295e+01, -3.7944732e-01,  4.8567864e+01, -8.9637580e+01, -5.0325613e+01, -3.5035820e+01,  4.9636432e+01, -2.5898316e+01,  8.6027795e+00,  3.4084225e-01, -1.2971608e+01,  3.5330173e+01,  7.5974540e+00,  6.2623599e+01,  8.6987227e+01,  6.0437795e+01, -2.1472714e+01, -1.3116553e+01, -2.5037958e+01, -7.1627767e+01, -3.6312065e+01, -1.2507720e+01, -1.6946711e+01, -2.5898316e+01, -2.3582900e+01, -1.2516621e+01, -2.4604020e+01,  4.8565971e+00, -2.2884848e+01, -1.1317020e+00, -2.2690105e+01, -1.4793834e+01
 7.0000000e-01,  1.7293123e+04,  1.7139722e+04,  1.7203272e+04,  1.7277993e+04,  1.7259297e+04,  1.7106643e+04,  1.7156523e+04,  1.7424540e+04,  1.7141243e+04,  1.7177533e+04,  1.7139508e+04,  1.7122101e+04,  7.6584468e+03,  7.5966723e+03,  7.5791818e+03,  7.6169672e+03,  7.7093064e+03,  7.7563235e+03,  7.6268159e+03,  7.5090894e+03,  7.6619290e+03,  7.6459373e+03,  7.3404335e+03,  7.6152179e+03, -9.0182586e-05, -5.1919196e-01, -1.0794352e+00,  7.6709735e-01,  1.0358032e+00,  1.3204617e+00,  3.4334897e-01,  5.1183503e-01,  8.4130765e-01,  8.3541561e-01,  1.0761311e+00,  1.6919020e+00,  1.8077381e-01,  2.1712020e-01,  2.3671890e-01,  2.0469507e-01,  2.5109438e-01,  2.8762059e-01,  2.0683310e-01,  2.2130951e-01,  2.8546107e-01,  2.0657224e-01,  2.3556990e-01,  2.9777726e-01,  4.4451269e+02,  3.3363989e+02,  3.8687462e+02,  5.4831034e+02,  4.4056276e+02,  3.3690348e+02,  1.2669281e+02,  1.7204663e+02,  6.3186592e+02,  5.4572495e+02,  4.4301891e+02,  4.0049566e+02,  2.0093227e+02,  3.0947206e+02,  2.8799962e+02,  2.4425115e+02,  5.7456761e+01,  2.4719415e-01,  4.9236456e+01, -8.5379558e+01, -6.6067748e+01, -3.8832194e+01,  6.0825433e+01, -2.5679332e+01,  4.8846928e+00,  2.7742062e+00, -1.8998624e+01,  3.5982686e+01,  6.6462705e+00,  6.9148590e+01,  9.7521965e+01,  6.7375557e+01, -2.9872955e+01, -1.4442583e+01, -3.1863062e+01, -7.0138853e+01, -3.7859506e+01, -1.7215010e+01, -1.5927833e+01, -2.5679332e+01, -2.4690556e+01, -1.4573329e+01, -2.9263912e+01,  2.0543991e+00, -2.8536654e+01, -2.7372544e+00, -2.9750087e+01, -2.1550149e+01
 8.0000000e-01,  1.8381638e+04,  1.8213478e+04,  1.8290957e+04,  1.8400102e+04,  1.8392351e+04,  1.8232702e+04,  1.8224946e+04,  1.8437679e+04,  1.8178171e+04,  1.8315072e+04,  1.8241090e+04,  1.8230359e+04,  8.0478997e+03,  7.9456649e+03,  7.9420412e+03,  7.9989765e+03,  8.1240330e+03,  8.2138198e+03,  8.0016701e+03,  7.8840120e+03,  8.0623726e+03,  8.0418580e+03,  7.6925119e+03,  7.9889753e+03,  5.9158139e-02, -4.8689909e-01, -1.0527040e+00,  8.0000987e-01,  1.1062680e+00,  1.4624361e+00,  3.3987220e-01,  3.8880743e-01,  6.9351278e-01,  1.0097011e+00,  1.2929308e+00,  2.0013083e+00,  2.0832385e-01,  2.4661019e-01,  2.8397659e-01,  2.3576929e-01,  2.8140066e-01,  3.2412777e-01,  2.3560026e-01,  2.5800391e-01,  3.0858725e-01,  2.3908280e-01,  2.7710801e-01,  3.5218736e-01,  4.6502662e+02,  3.5718742e+02,  4.1244732e+02,  5.8920740e+02,  4.5991540e+02,  3.4339539e+02,  1.4099641e+02,  1.8146643e+02,  6.7938930e+02,  5.8449271e+02,  4.5906510e+02,  4.2047464e+02,  2.1049877e+02,  3.2741048e+02,  3.1350534e+02,  2.5804195e+02,  5.5542956e+01,  3.3743515e+00,  5.3520313e+01, -7.7964151e+01, -7.9626415e+01, -4.0823932e+01,  6.9731075e+01, -2.8361144e+01,  6.6465334e+00,  1.9910386e+00, -2.1421950e+01,  3.5411934e+01,  5.4050037e+00,  7.2917469e+01,  1.0902200e+02,  7.2114959e+01, -3.6268673e+01, -1.4090557e+01, -3.6712783e+01, -6.7605712e+01, -3.8831161e+01, -2.4191766e+01, -1.9201094e+01, -2.8361144e+01, -2.7772353e+01, -1.5923579e+01, -3.0222841e+01, -9.0323116e-01, -3.3574204e+01, -6.6749157e+00, -3.6487397e+01, -2.8684575e+01
 9.0000000e-01,  2.0013652e+04,  1.9879038e+04,  2.0046132e+04,  2.0253292e+04,  2.0312345e+04,  2.0148102e+04,  1.9865204e+04,  1.9824640e+04,  1.9711890e+04,  2.0158673e+04,  2.0128438e+04,  2.0143827e+04,  8.5592760e+03,  8.4183767e+03,  8.4263325e+03,  8.4998857e+03,  8.6850776e+03,  8.8124552e+03,  8.5116957e+03,  8.3828342e+03,  8.5380429e+03,  8.5671844e+03,  8.1657858e+03,  8.4763124e+03,  2.4906105e-01, -3.0830122e-01, -7.4105006e-01,  7.7391122e-01,  9.8309188e-01,  1.2784385e+00,  3.3839584e-01,  1.7673331e-01,  4.4383747e-01,  1.2438274e+00,  1.5798773e+00,  2.3531647e+00,  2.3840689e-01,  2.8858251e-01,  3.3619987e-01,  2.6149614e-01,  3.0885118e-01,  3.5431258e-01,  2.6379943e-01,  2.9235975e-01,  3.6838261e-01,  2.6456667e-01,  3.0173265e-01,  3.7148960e-01,  4.8274675e+02,  3.8765322e+02,  4.5111538e+02,  6.3287550e+02,  4.7308244e+02,  3.5514584e+02,  1.4493737e+02,  1.9105639e+02,  7.2256077e+02,  6.2522207e+02,  4.7926811e+02,  4.3627045e+02,  2.0671457e+02,  3.4053875e+02,  3.3841360e+02,  2.8126403e+02,  5.5554358e+01,  9.1701887e+00,  6.8668692e+01, -8.4929386e+01, -7.9413401e+01, -3.5756905e+01,  8.3318190e+01, -3.1757712e+01,  1.7921596e+01,  4.6692889e+00, -1.6178673e+01,  3.1258732e+01,  3.7004699e+00,  7.2213464e+01,  1.2144334e+02,  8.2715134e+01, -4.0912907e+01, -1.1382002e+01, -3.8953963e+01, -7.5973271e+01, -3.6670469e+01, -3.0379923e+01, -2.1392939e+01, -3.1757712e+01, -2.7220575e+01, -1.6358472e+01, -2.7247964e+01, -7.4726645e+00, -4.1502685e+01, -1.3262026e+01, -4.3057071e+01, -3.2021074e+01
 1.0000000e+00,  2.2687079e+04,  2.2823514e+04,  2.3135549e+04,  2.3342867e+04,  2.3722709e+04,  2.3727835e+04,  2.1988101e+04,  2.0950131e+04,  2.1852281e+04,  2.3631117e+04,  2.3886365e+04,  2.3918226e+04,  9.2873522e+03,  9.1059297e+03,  9.1167878e+03,  9.2530812e+03,  9.5852519e+03,  9.6765149e+03,  9.2497657e+03,  9.1017268e+03,  9.1907189e+03,  9.3374998e+03,  8.8661467e+03,  9.2169597e+03,  1.5018192e-01, -5.4885856e-01, -1.0074047e+00,  7.8199720e-01,  1.1407454e+00,  1.5649020e+00,  9.6281916e-02, -4.3797750e-01, -3.0711152e-01,  1.6146853e+00,  2.1676550e+00,  3.1907082e+00,  2.5096590e-01,  2.9596574e-01,  3.0392454e-01,  2.7821724e-01,  3.2779744e-01,  3.7040726e-01,  2.7717562e-01,  3.0934459e-01,  3.9409405e-01,  2.8188560e-01,  3.2423713e-01,  3.8693650e-01,  5.1048436e+02,  4.0747477e+02,  4.8681573e+02,  6.7575839e+02,  4.8968865e+02,  3.6919676e+02,  1.5601162e+02,  2.0257449e+02,  7.9281636e+02,  7.0155205e+02,  5.0586763e+02,  4.4401531e+02,  1.9773522e+02,  3.5072242e+02,  3.6789771e+02,  3.0514917e+02,  5.2000490e+01,  1.0759692e+01,  8.0432159e+01, -1.0097439e+02, -7.1339919e+01, -3.2153418e+01,  9.6324287e+01, -3.4159615e+01,  2.3564741e+01,  1.5807486e+01, -8.5038272e+00,  2.3801170e+01,  1.2391011e+00,  6.8786109e+01,  1.3956975e+02,  9.1764455e+01, -4.7081549e+01, -1.2222789e+01, -4.6084790e+01, -9.1540231e+01, -3.4230885e+01, -3.4938441e+01, -2.2893066e+01, -3.4159615e+01, -2.9479111e+01, -1.7290898e+01, -2.5359999e+01, -1.7336714e+01, -4.5586631e+01, -1.8986836e+01, -4.6013196e+01, -3.3819767e+01
