t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  7.0742447e-03,  5.8221274e-03,  5.2541883e-03,  7.0643095e-03,  6.6524428e-03,  5.8545360e-03,  6.9951469e-03,  1.2030978e-02,  4.9080538e-03,  4.5631237e-03,  6.3200755e-03,  8.2780998e-03,  5.9999579e-04,  5.9999578e-04,  5.9996129e-04,  5.9999579e-04,  5.9999575e-04,  5.9997108e-04,  5.9999579e-04,  5.9999578e-04,  5.9998644e-04,  5.9999579e-04,  5.9999578e-04,  5.9995836e-04,  5.9999579e-04,  5.9999578e-04,  5.9996725e-04,  5.9999579e-04,  5.9999576e-04,  5.9993563e-04,  5.9999579e-04,  5.9999578e-04,  5.9998220e-04,  5.9999579e-04,  5.9999578e-04,  5.9998337e-04,  5.9999579e-04,  5.9999578e-04,  5.9994039e-04,  5.9999579e-04,  5.9999578e-04,  5.9996599e-04,  5.9999579e-04,  5.9999577e-04,  5.9995056e-04,  5.9999579e-04,  5.9999579e-04,  5.9998185e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999288e-04,  5.9999579e-04,  5.9999579e-04,  5.9999576e-04,  5.9999284e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999203e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999296e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999307e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999271e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999257e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999456e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999382e-04,  5.9999579e-04,  5.9999579e-04,  5.9999578e-04,  5.9999271e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999416e-04,  5.9999579e-04,  5.9999579e-04,  5.9999577e-04,  5.9999125e-04
 2.0000000e-01,  9.6464870e-03,  4.4397186e-03,  5.4490203e-03,  7.0498432e-03,  5.2527905e-03,  6.8932824e-03,  1.0408730e-02,  1.0997190e-02,  4.4237253e-03,  8.3756186e-03,  6.7391877e-03,  4.8809562e-03,  1.8935236e-03,  1.7473423e-03,  1.2451523e-03,  1.2505221e-03,  1.3575448e-03,  7.5353162e-04,  3.6699242e-03,  1.3789374e-03,  7.9772117e-04,  1.1308750e-03,  2.0939708e-03,  6.7914401e-04,  1.2982488e-03,  1.1245596e-03,  7.8044936e-04,  2.1250842e-03,  1.5656088e-03,  7.3433978e-04,  1.7596577e-03,  1.7212570e-03,  1.1052485e-03,  2.7629124e-03,  1.4235180e-03,  8.8764312e-04,  1.2827006e-03,  2.3574373e-03,  9.0298698e-04,  1.3686654e-03,  1.8467308e-03,  7.4298584e-04,  1.0887071e-03,  2.0894386e-03,  8.1836134e-04,  1.1485485e-03,  1.1494630e-03,  1.0603036e-03,  1.7501277e-03,  1.4976874e-03,  2.1686281e-03,  1.5118767e-03,  3.2127127e-03,  3.1100121e-03,  1.4439222e-03,  9.8667034e-04,  2.1920864e-03,  2.3938319e-03,  2.5278826e-03,  1.2638828e-03,  4.2295479e-03,  1.6008588e-03,  1.4129729e-03,  1.0809207e-03,  1.5649657e-03,  2.5821761e-03,  5.6349332e-03,  1.8464651e-03,  2.7732284e-03,  4.1898090e-03,  1.4088795e-03,  9.9447361e-04,  1.5222019e-03,  2.8286597e-03,  2.0594098e-03,  1.5402705e-03,  2.7319670e-03,  1.6382239e-03,  1.2596768e-03,  1.3862447e-03,  2.0537583e-03,  3.2825285e-03,  3.8969799e-03,  1.9253169e-03,  1.7135043e-03,  3.1791439e-03,  1.5356906e-03,  9.9447361e-04,  1.9077647e-03,  2.2653251e-03,  1.7893095e-03,  2.5581033e-03,  2.7807828e-03,  2.1380839e-03,  1.0458027e-03,  1.1357630e-03
 3.0000000e-01,  1.0632687e-01,  5.9141556e-02,  6.4724997e-02,  8.6674346e-02,  5.3318972e-01,  6.4888001e-02,  1.1441146e-01,  9.6964920e-02,  2.9202723e-02,  8.9006344e-02,  6.6304075e-02,  2.0727886e-02,  1.1171298e+01,  1.4179430e+01,  4.0985411e+00,  2.7228550e+01,  1.7002667e+01,  2.7414288e+00,  1.6124807e+01,  1.3447849e+01,  1.6168657e-01,  2.8631072e+01,  1.7254964e+01,  3.6178886e-01,  1.6987223e-03,  1.3386338e-03,  8.2743967e-04,  1.9045584e-03,  1.7430173e-03,  7.6733071e-04,  1.8315991e-03,  1.9572878e-03,  1.3502882e-03,  2.5929548e-03,  1.5466651e-03,  1.1842062e-03,  1.4732111e-03,  2.1286178e-03,  9.3299537e-04,  1.5048853e-03,  1.9626706e-03,  7.6832129e-04,  1.2720286e-03,  2.1019649e-03,  9.6827648e-04,  1.2112575e-03,  1.4273553e-03,  1.0366295e-03,  1.0363459e+01,  1.3557505e+01,  1.0777012e+01,  5.5848461e+00,  2.0868825e+01,  1.4676136e+01,  9.5221973e+00,  3.4140875e+00,  1.4740742e+01,  1.3099706e+01,  1.3533248e+01,  4.3118933e+00,  1.1851469e+01,  1.2673500e+01,  1.6637637e+01,  4.4923517e+00,  9.3255170e+00,  6.4546875e+00,  9.6184921e+00,  7.6102216e+00,  1.9078956e+01,  1.1622662e+01,  8.2344349e+00,  2.1857492e+00,  1.3578663e+01,  1.2006813e+01,  8.4411320e+00,  2.8610052e+00,  1.0239066e+01,  9.3314762e+00,  1.0554407e+01,  4.8457003e+00,  5.8535627e+00,  4.4804029e+00,  2.6342991e+00,  4.4754051e+00,  5.5919067e+00,  3.7793165e+00,  5.8170549e+00,  2.1857492e+00,  4.2299932e+00,  1.4173998e+00,  3.7165344e+00,  1.0046426e+00,  4.6434087e+00,  3.1292080e+00,  4.0480440e+00,  1.4714181e+00
 4.0000000e-01,  1.1907822e-01,  8.7007138e-02,  1.0383589e-01,  8.0159546e-02,  5.2050604e-01,  7.8479923e-02,  1.0686827e-01,  1.1007076e-01,  3.7995901e-02,  7.9592768e-02,  1.1184118e-01,  5.2901858e-02,  1.0755992e+01,  1.2109549e+01,  3.9883309e+00,  2.2401598e+01,  1.5863310e+01,  1.8262425e+00,  1.6718945e+01,  1.2698615e+01,  2.1046519e-01,  2.3900439e+01,  1.5196885e+01,  3.9201779e-01,  1.9865274e-03,  1.4580251e-03,  8.5295284e-04,  1.8437577e-03,  1.8483701e-03,  7.8498464e-04,  1.7973095e-03,  2.1045405e-03,  1.4576254e-03,  2.5594632e-03,  1.7283254e-03,  1.4339322e-03,  1.6882782e-03,  2.0675420e-03,  9.5653000e-04,  1.5673202e-03,  1.9306976e-03,  7.7324970e-04,  1.3790564e-03,  2.0440636e-03,  1.0613826e-03,  1.3210877e-03,  1.6201671e-03,  1.0366764e-03,  1.0738249e+01,  1.2110047e+01,  9.6462626e+00,  5.9817391e+00,  1.8523150e+01,  1.3580925e+01,  1.4619223e+01,  3.0274637e+00,  1.2221577e+01,  1.2520239e+01,  1.1565332e+01,  3.8533008e+00,  1.3557985e+01,  1.1240025e+01,  1.7520415e+01,  5.2224094e+00,  9.8972884e+00,  7.2885320e+00,  9.0884276e+00,  6.2748230e+00,  1.2396075e+01,  8.2135888e+00,  7.9417079e+00,  2.0212929e+00,  1.2872960e+01,  1.0516123e+01,  7.4215886e+00,  2.4618656e+00,  9.3145576e+00,  7.5884151e+00,  1.0793476e+01,  4.7321101e+00,  6.5582289e+00,  5.7873114e+00,  3.3815197e+00,  3.7638251e+00,  4.3476813e+00,  3.0238269e+00,  5.5269585e+00,  2.0212929e+00,  4.7130887e+00,  1.7548830e+00,  4.3999408e+00,  1.5471471e+00,  5.4038638e+00,  3.7925193e+00,  4.5158686e+00,  2.0530659e+00
 5.0000000e-01,  1.5168418e-01,  1.2372011e-01,  1.3311711e-01,  1.0951215e-01,  5.3737057e-01,  9.2632378e-02,  1.0746887e-01,  1.2610432e-01,  5.2780358e-02,  1.0186317e-01,  1.7020203e-01,  9.6078167e-02,  1.0880210e+01,  1.2473746e+01,  4.8802454e+00,  2.2773557e+01,  1.7056186e+01,  1.4384127e+00,  1.8072341e+01,  1.2388289e+01,  3.7436170e-01,  2.2963215e+01,  1.4958020e+01,  7.6673933e-01,  2.4048776e-03,  1.7011990e-03,  8.8173252e-04,  2.0875579e-03,  1.9617440e-03,  8.1427636e-04,  1.8783350e-03,  2.2455841e-03,  1.5513704e-03,  2.8741147e-03,  2.1027002e-03,  1.7546229e-03,  1.8957521e-03,  2.0432794e-03,  9.8589159e-04,  1.6388666e-03,  1.9064834e-03,  7.7443752e-04,  1.4475270e-03,  1.9793424e-03,  1.1167106e-03,  1.4562184e-03,  1.7666421e-03,  1.0485162e-03,  1.1175003e+01,  1.1657947e+01,  9.4228881e+00,  8.1789168e+00,  1.7810272e+01,  1.4071357e+01,  2.2565727e+01,  2.9388908e+00,  1.1226712e+01,  1.2819991e+01,  1.1144496e+01,  4.3404127e+00,  1.5955893e+01,  1.1650213e+01,  1.9561449e+01,  6.3457769e+00,  1.1295408e+01,  9.1389457e+00,  9.2646551e+00,  5.5712312e+00,  9.0951083e+00,  7.0517515e+00,  8.6268220e+00,  1.8537512e+00,  1.3483198e+01,  1.0194627e+01,  7.8518082e+00,  2.5500134e+00,  9.0407359e+00,  7.7729439e+00,  1.2907595e+01,  5.3492819e+00,  7.2730270e+00,  7.7364566e+00,  4.0945331e+00,  3.4486985e+00,  4.3655785e+00,  3.1396434e+00,  5.7836567e+00,  1.8537512e+00,  5.3035639e+00,  2.2387155e+00,  5.1686569e+00,  2.2530942e+00,  6.4094990e+00,  4.9038713e+00,  5.3994433e+00,  2.6844250e+00
 6.0000000e-01,  1.6733669e-01,  1.7694206e-01,  1.4159960e-01,  1.2095761e-01,  5.5484235e-01,  7.3293785e-02,  8.9057516e-02,  1.1412671e-01,  5.0868038e-02,  1.2008635e-01,  2.2503581e-01,  1.5264839e-01,  1.1761340e+01,  1.4539505e+01,  6.0640471e+00,  2.5005770e+01,  1.9003425e+01,  1.4635947e+00,  2.0571647e+01,  1.2801653e+01,  6.5346356e-01,  2.4229168e+01,  1.6775478e+01,  1.2848400e+00,  3.4793823e-03,  2.3448887e-03,  9.1867366e-04,  2.9541080e-03,  2.1881027e-03,  8.9578705e-04,  2.2412162e-03,  2.5416369e-03,  1.7147938e-03,  4.1976369e-03,  2.9507214e-03,  2.4564400e-03,  2.0624055e-03,  2.0235495e-03,  1.0125555e-03,  1.7228965e-03,  1.9031510e-03,  7.7811165e-04,  1.4941741e-03,  1.9275371e-03,  1.1426174e-03,  1.5993220e-03,  1.8780804e-03,  1.0623401e-03,  1.1936996e+01,  1.2537016e+01,  9.8521509e+00,  9.4011650e+00,  1.8113930e+01,  1.6216465e+01,  3.0482775e+01,  3.1343798e+00,  1.0567446e+01,  1.3797743e+01,  1.1310504e+01,  5.2096865e+00,  1.8655788e+01,  1.3143001e+01,  2.2520576e+01,  7.9258707e+00,  1.2803244e+01,  1.1141596e+01,  1.0078885e+01,  6.1557215e+00,  8.0948059e+00,  6.7911326e+00,  1.0229595e+01,  1.7274640e+00,  1.4636056e+01,  9.9768991e+00,  9.4352866e+00,  2.9863314e+00,  9.4757070e+00,  8.7642803e+00,  1.5548448e+01,  6.1729367e+00,  7.8746038e+00,  9.6326177e+00,  4.7352152e+00,  3.7930002e+00,  4.8556108e+00,  3.6155605e+00,  6.5274485e+00,  1.7274640e+00,  5.9609660e+00,  2.8795623e+00,  5.9340337e+00,  3.0696612e+00,  7.5343221e+00,  6.0212604e+00,  6.5564390e+00,  3.2801442e+00
 7.0000000e-01,  1.2833255e-01,  2.0325883e-01,  1.1518688e-01,  8.5978960e-02,  5.1489134e-01,  3.9130296e-02,  5.4076187e-02,  8.7571085e-02,  2.9086293e-02,  9.8947031e-02,  2.5752847e-01,  2.0342597e-01,  1.3158167e+01,  1.7326988e+01,  7.7221233e+00,  3.0375630e+01,  2.1826009e+01,  2.2627601e+00,  2.3890233e+01,  1.3848879e+01,  1.0404723e+00,  2.6723290e+01,  1.9767066e+01,  1.4679096e+00,  6.3625845e-03,  4.0328434e-03,  9.8544041e-04,  5.0316680e-03,  2.7565647e-03,  1.1134895e-03,  3.2409290e-03,  3.2802993e-03,  2.1283803e-03,  7.9612712e-03,  4.9744483e-03,  4.3282863e-03,  2.1703985e-03,  2.0012250e-03,  1.0335305e-03,  1.8120660e-03,  1.9105021e-03,  7.8595858e-04,  1.5288775e-03,  1.8978098e-03,  1.1469393e-03,  1.7351200e-03,  1.9588563e-03,  1.0739642e-03,  1.2933805e+01,  1.4051726e+01,  1.0892440e+01,  1.0435925e+01,  1.9845317e+01,  1.9235068e+01,  3.8069746e+01,  3.7730654e+00,  1.1296445e+01,  1.5533473e+01,  1.1753942e+01,  6.6293601e+00,  2.1493000e+01,  1.5309289e+01,  2.5768947e+01,  9.5449466e+00,  1.4143118e+01,  1.3106828e+01,  1.1574337e+01,  7.6612045e+00,  8.8971768e+00,  7.0692312e+00,  1.2615086e+01,  1.7351622e+00,  1.6853301e+01,  1.0072468e+01,  1.2237866e+01,  3.7008500e+00,  1.0302914e+01,  1.0074286e+01,  1.8467943e+01,  7.4620052e+00,  8.3741511e+00,  1.1326853e+01,  5.4166474e+00,  5.0336964e+00,  5.4564717e+00,  4.2644687e+00,  7.8757936e+00,  1.7351622e+00,  6.7403200e+00,  3.7003673e+00,  7.0202718e+00,  3.9867278e+00,  8.6582069e+00,  7.1087000e+00,  8.0634800e+00,  3.9087700e+00
 8.0000000e-01,  1.7086895e-02,  1.4453484e-01,  7.1034968e-02,  1.9445465e-02,  4.2633598e-01,  4.6561532e-03,  4.4314870e-02,  1.8175769e-02,  1.7050800e-03,  4.7800617e-02,  2.0579783e-01,  2.4264480e-01,  1.5218605e+01,  2.0643481e+01,  9.7043588e+00,  3.6196439e+01,  2.5828916e+01,  3.2212798e+00,  2.7829545e+01,  1.5786920e+01,  1.5280492e+00,  3.0255866e+01,  2.4353774e+01,  1.7946942e+00,  1.3319987e-02,  8.0347264e-03,  1.1105767e-03,  9.2376026e-03,  4.0615592e-03,  1.6011969e-03,  5.4969908e-03,  4.8850234e-03,  3.1539667e-03,  1.6870415e-02,  9.4595846e-03,  8.9667221e-03,  2.2186382e-03,  1.9766995e-03,  1.0485174e-03,  1.8975348e-03,  1.9205129e-03,  7.9732512e-04,  1.5574534e-03,  1.8907396e-03,  1.1373628e-03,  1.8518209e-03,  2.0111476e-03,  1.0816103e-03,  1.3970286e+01,  1.6270078e+01,  1.2368547e+01,  1.1831852e+01,  2.2105760e+01,  2.3139272e+01,  4.5296571e+01,  4.9580091e+00,  1.1808347e+01,  1.8475687e+01,  1.2760937e+01,  7.7197398e+00,  2.4580202e+01,  1.8613302e+01,  2.9538336e+01,  1.1418068e+01,  1.5324506e+01,  1.5436956e+01,  1.3751810e+01,  8.5841176e+00,  1.0148876e+01,  8.0472523e+00,  1.5793508e+01,  1.8712725e+00,  1.9591135e+01,  1.0737905e+01,  1.4884663e+01,  4.4699004e+00,  1.1557009e+01,  1.1997922e+01,  2.2046679e+01,  8.8149854e+00,  8.7523814e+00,  1.3295559e+01,  6.3011650e+00,  7.0231318e+00,  5.8435881e+00,  5.2909704e+00,  9.8083320e+00,  1.8712725e+00,  7.5490968e+00,  4.7178925e+00,  8.3508624e+00,  4.8288030e+00,  9.8298942e+00,  8.4231733e+00,  1.0040578e+01,  4.4451829e+00
 9.0000000e-01,  1.4124063e-01,  7.3663755e-02,  6.7093544e-02,  1.3667146e-02,  3.3975999e-01,  2.8592603e-02,  9.9536921e-03,  8.5968333e-03,  2.5203091e-03,  4.0659246e-02,  5.5716808e-02,  2.3800562e-01,  1.7938210e+01,  2.4322284e+01,  1.2006701e+01,  4.4809952e+01,  3.1697355e+01,  4.6233811e+00,  3.2733190e+01,  1.8282369e+01,  1.9179058e+00,  3.3978447e+01,  3.0785396e+01,  2.1634283e+00,  2.8583094e-02,  1.6668417e-02,  1.3224812e-03,  1.6810417e-02,  6.6730283e-03,  2.5456601e-03,  1.0034265e-02,  7.8860513e-03,  5.4670831e-03,  3.5564707e-02,  1.8447597e-02,  1.9353587e-02,  2.2175864e-03,  1.9525575e-03,  1.0581225e-03,  1.9715291e-03,  1.9302593e-03,  8.1122905e-04,  1.5830907e-03,  1.9021106e-03,  1.1197400e-03,  1.9420481e-03,  2.0369655e-03,  1.0841939e-03,  1.5800626e+01,  1.8884632e+01,  1.4127908e+01,  1.4204109e+01,  2.3822391e+01,  2.9014385e+01,  5.4637041e+01,  6.7715270e+00,  1.3052964e+01,  2.2194681e+01,  1.5028277e+01,  7.8181069e+00,  2.8029229e+01,  2.2631386e+01,  3.3539379e+01,  1.2127554e+01,  1.6851454e+01,  1.8124247e+01,  1.6458580e+01,  8.8135710e+00,  1.1262314e+01,  1.0374497e+01,  1.9147533e+01,  2.0621066e+00,  2.3079539e+01,  1.1484330e+01,  1.7470347e+01,  5.1447839e+00,  1.2926197e+01,  1.4267487e+01,  2.6171545e+01,  1.0094909e+01,  9.3996032e+00,  1.5601389e+01,  7.4012773e+00,  9.0032592e+00,  6.1135543e+00,  6.6910830e+00,  1.1883993e+01,  2.0621066e+00,  8.6661920e+00,  5.8742747e+00,  1.0131374e+01,  5.5157140e+00,  1.1141130e+01,  9.8189463e+00,  1.2552303e+01,  4.9662395e+00
 1.0000000e+00,  4.4150342e-03,  6.4347119e-02,  1.3555188e-02,  7.6470467e-03,  2.8866796e-01,  1.1848781e-01,  8.5218627e-03,  7.8775838e-03,  1.3634180e-01,  6.0876786e-02,  8.6892790e-02,  1.4558562e-01,  2.1100425e+01,  2.7970799e+01,  1.5594528e+01,  5.6342348e+01,  4.1037274e+01,  8.1798753e+00,  3.9649851e+01,  2.1534177e+01,  2.3158275e+00,  3.9514621e+01,  3.9900109e+01,  2.7677122e+00,  5.9478185e-02,  3.3807905e-02,  1.6577050e-03,  2.9153410e-02,  1.1343880e-02,  4.2104708e-03,  1.8507516e-02,  1.2837390e-02,  1.0256132e-02,  7.1314109e-02,  3.4924622e-02,  4.0594792e-02,  2.1826596e-03,  1.9313035e-03,  1.0628115e-03,  2.0286540e-03,  1.9402048e-03,  8.2655866e-04,  1.6073089e-03,  1.9258871e-03,  1.0982224e-03,  2.0031023e-03,  2.0391587e-03,  1.0806192e-03,  1.8294134e+01,  2.2047908e+01,  1.6036570e+01,  1.5957134e+01,  2.6639694e+01,  3.4300587e+01,  6.3301264e+01,  9.1169256e+00,  1.5637681e+01,  2.6782397e+01,  1.7903559e+01,  7.5659885e+00,  3.2071913e+01,  2.7623933e+01,  3.8856849e+01,  1.1687733e+01,  1.8700272e+01,  2.1187631e+01,  1.9446081e+01,  6.8908685e+00,  1.2635132e+01,  1.2789062e+01,  2.1656468e+01,  2.3098345e+00,  2.7040232e+01,  1.2679995e+01,  1.9622636e+01,  5.6367972e+00,  1.4823751e+01,  1.6871597e+01,  3.0854235e+01,  1.1205397e+01,  1.0058184e+01,  1.8288129e+01,  8.5525873e+00,  9.1214394e+00,  6.1469695e+00,  8.4859012e+00,  1.3730815e+01,  2.3098345e+00,  1.0118345e+01,  7.1247309e+00,  1.1951960e+01,  6.1827989e+00,  1.2520076e+01,  1.1264153e+01,  1.5137010e+01,  5.6665637e+00
