t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01
 2.0000000e-01,  8.6343484e-05,  6.6064760e-05,  5.6719444e-05,  8.5684722e-05,  7.8870357e-05,  6.6446091e-05,  8.1647154e-05,  1.4136676e-04,  5.6332230e-05,  6.1544406e-05,  7.7425819e-05,  8.6224291e-05,  9.0762973e-01,  9.0628547e-01,  8.1033646e-02,  9.0763056e-01,  9.0062534e-01,  9.7809140e-02,  9.0763103e-01,  9.0566460e-01,  2.3475855e-01,  9.0763084e-01,  9.0561224e-01,  6.8454449e-02,  9.0762914e-01,  9.0648676e-01,  9.9138651e-02,  9.0763083e-01,  9.0281387e-01,  3.9813156e-02,  9.0763094e-01,  9.0550687e-01,  1.6664612e-01,  9.0762802e-01,  9.0572920e-01,  1.9449162e-01,  9.0762942e-01,  9.0564873e-01,  4.9584304e-02,  9.0763090e-01,  9.0571677e-01,  8.8607139e-02,  9.0763079e-01,  9.0475406e-01,  5.5626257e-02,  9.0763089e-01,  9.0660481e-01,  1.7883393e-01,  9.0763130e-01,  9.0762842e-01,  9.0591433e-01,  5.2264240e-01,  9.0763139e-01,  9.0761411e-01,  9.0135258e-01,  5.1267032e-01,  9.0763132e-01,  9.0762355e-01,  9.0591112e-01,  4.4469052e-01,  9.0763124e-01,  9.0762036e-01,  9.0593813e-01,  5.1471169e-01,  9.0763125e-01,  9.0761660e-01,  9.0672040e-01,  5.4149065e-01,  9.0763139e-01,  9.0762781e-01,  9.0572477e-01,  5.0109196e-01,  9.0763131e-01,  9.0762773e-01,  9.0681920e-01,  4.7042257e-01,  9.0763139e-01,  9.0762128e-01,  9.0627151e-01,  6.8765016e-01,  9.0763133e-01,  9.0762188e-01,  9.0523782e-01,  6.1417968e-01,  9.0763138e-01,  9.0762194e-01,  9.0579085e-01,  5.0109196e-01,  9.0763125e-01,  9.0761941e-01,  9.0657544e-01,  6.3658121e-01,  9.0763128e-01,  9.0762209e-01,  9.0460065e-01,  4.0928160e-01
 3.0000000e-01,  1.7947166e-04,  2.0728129e-03,  3.7353951e-05,  1.9394257e-04,  4.9592320e-02,  1.0306463e-04,  1.9650365e-04,  4.4971724e-03,  1.0718049e-04,  1.7944947e-04,  2.1488496e-04,  7.2579184e-05,  5.2410271e-01,  4.6488551e-01,  1.2960366e-01,  6.4527891e-01,  6.7620723e-01,  4.2889022e-02,  4.6055786e-01,  6.8570291e-01,  5.9184023e-03,  7.3200682e-01,  6.9293419e-01,  8.0804950e-03,  5.8628814e-01,  8.1784814e-01,  8.1579374e-02,  5.6262431e-01,  6.8634233e-01,  1.4323234e-02,  6.8574288e-01,  6.6027013e-01,  1.2928649e-01,  6.6934253e-01,  6.7358265e-01,  1.5051178e-01,  6.5217703e-01,  6.1444859e-01,  3.8764253e-02,  7.5490162e-01,  5.9976550e-01,  5.6416702e-02,  7.4877098e-01,  6.6858414e-01,  3.6211584e-02,  8.1683767e-01,  6.5540637e-01,  1.5643580e-01,  6.7927684e-01,  7.2268214e-01,  4.6950515e-01,  2.9704911e-01,  6.1126841e-01,  4.3400230e-01,  5.1161962e-01,  1.2301920e-01,  5.8588406e-01,  4.1630454e-01,  5.7744065e-01,  8.4212121e-02,  4.0039511e-01,  6.7540168e-01,  6.3951975e-01,  2.1729159e-01,  6.8370305e-01,  3.7935097e-01,  3.9305314e-01,  4.0673762e-01,  5.7454974e-01,  4.5651367e-01,  6.0527888e-01,  2.4915687e-01,  6.0740940e-01,  5.0530258e-01,  5.5161316e-01,  1.6712730e-01,  4.7705430e-01,  6.4214677e-01,  5.5202889e-01,  4.0636752e-01,  5.9211038e-01,  4.6958895e-01,  4.0743096e-01,  4.3251357e-01,  5.3397725e-01,  5.1601332e-01,  6.9767593e-01,  2.4915687e-01,  6.3655796e-01,  3.9179835e-01,  5.6468147e-01,  3.3403417e-01,  4.7599841e-01,  5.2159719e-01,  6.1486888e-01,  2.9519494e-01
 4.0000000e-01,  9.7258450e-04,  9.1571026e-04,  7.9701413e-04,  4.8962345e-04,  1.0666446e-02,  5.2515008e-04,  6.9070256e-04,  1.3785364e-03,  2.9549767e-04,  7.3577406e-04,  8.4680313e-04,  2.8423217e-04,  2.1649417e-01,  2.0286192e-01,  6.2540042e-02,  8.2959723e-02,  2.2364090e-01,  2.4547064e-02,  2.0472644e-01,  2.1307163e-01,  1.6825792e-03,  2.5368497e-01,  1.6513077e-01,  3.6019415e-03,  2.0636354e-03,  2.2065071e-03,  4.5632052e-03,  1.1561504e-03,  9.7754026e-03,  2.5117893e-03,  3.2796626e-03,  7.9517111e-03,  8.6931653e-03,  2.8686136e-03,  3.5899334e-03,  3.5306742e-03,  4.7793342e-01,  6.1391254e-01,  1.9861734e-02,  7.2199054e-01,  5.9509379e-01,  2.3488476e-02,  6.9854390e-01,  6.1518662e-01,  1.9983296e-02,  7.1088753e-01,  5.9549671e-01,  1.1322358e-01,  2.5311113e-01,  2.2503612e-01,  1.5018649e-01,  1.0229994e-01,  1.7160701e-01,  1.2202579e-01,  1.4233301e-01,  4.3653393e-02,  1.3327059e-01,  1.5061271e-01,  1.9116782e-01,  4.3476402e-02,  1.4625540e-01,  1.5741522e-01,  2.4679458e-01,  6.7397866e-02,  2.3060513e-01,  1.2820306e-01,  1.3041924e-01,  1.1585982e-01,  1.3354220e-01,  1.0753638e-01,  1.8827117e-01,  4.9939812e-02,  1.8023697e-01,  1.6596239e-01,  1.7502040e-01,  4.9716435e-02,  1.3174812e-01,  1.6673855e-01,  1.7215104e-01,  1.1813842e-01,  1.5430680e-01,  9.0700851e-02,  5.0154576e-02,  7.1649438e-02,  5.6588905e-02,  3.8623197e-02,  1.5671231e-01,  4.9939812e-02,  9.4463037e-02,  2.9253184e-02,  8.8870387e-02,  2.4533275e-02,  7.5805165e-02,  6.3489944e-02,  9.5379091e-02,  4.5199510e-02
 5.0000000e-01,  1.5196855e-03,  1.2235937e-03,  1.3641161e-03,  8.0253358e-04,  1.0016260e-02,  7.9106694e-04,  7.8361168e-04,  1.6181494e-03,  6.1298332e-04,  1.2884758e-03,  1.3816707e-03,  5.1344690e-04,  2.1665986e-01,  2.0979622e-01,  6.8034900e-02,  7.8585968e-02,  2.3980093e-01,  2.6416405e-02,  2.3773616e-01,  2.1864094e-01,  2.5173042e-03,  2.5960864e-01,  1.7078516e-01,  3.9856184e-03,  7.3572619e-04,  6.6161868e-04,  1.1674549e-03,  4.2001335e-04,  2.4301821e-03,  6.9246483e-04,  9.4731085e-04,  1.9641631e-03,  2.2682534e-03,  8.3896302e-04,  9.0409645e-04,  9.1607225e-04,  3.9204240e-01,  6.0186594e-01,  7.9058290e-03,  6.6252268e-01,  5.6371250e-01,  8.8392158e-03,  6.6717500e-01,  5.8250123e-01,  1.0168819e-02,  6.0473920e-01,  5.5611202e-01,  6.7201376e-02,  2.5958659e-01,  2.2352329e-01,  1.5201801e-01,  9.9681621e-02,  1.7139306e-01,  1.2648517e-01,  1.8734323e-01,  4.2226068e-02,  1.1955413e-01,  1.6002251e-01,  1.6527787e-01,  4.4360728e-02,  1.8250052e-01,  1.6949845e-01,  2.6582352e-01,  8.6451078e-02,  2.3484848e-01,  1.6463415e-01,  1.4138646e-01,  1.0271910e-01,  1.0716704e-01,  9.7366285e-02,  1.6962500e-01,  5.3465582e-02,  1.8347270e-01,  1.6817544e-01,  1.5642993e-01,  5.1942114e-02,  1.4032275e-01,  1.8131969e-01,  1.8527804e-01,  1.1961721e-01,  1.8331907e-01,  1.3980460e-01,  8.5432138e-02,  7.3275745e-02,  7.6365746e-02,  5.4700315e-02,  1.4394109e-01,  5.3465582e-02,  1.2157158e-01,  5.0931024e-02,  1.1885947e-01,  4.7449921e-02,  1.1263139e-01,  1.0945571e-01,  1.2293127e-01,  6.4941607e-02
 6.0000000e-01,  1.4202837e-03,  1.5785425e-03,  1.5064595e-03,  8.6799727e-04,  9.0898973e-03,  6.4309842e-04,  6.0098348e-04,  1.3229831e-03,  6.5880787e-04,  1.2179685e-03,  1.8317211e-03,  7.6914955e-04,  2.1581897e-01,  2.2433842e-01,  8.1192644e-02,  9.1908560e-02,  2.5879729e-01,  3.1389592e-02,  2.7257850e-01,  2.0997800e-01,  4.1124457e-03,  2.8318536e-01,  1.8270475e-01,  8.2970892e-03,  3.9202048e-04,  3.2300631e-04,  4.7700842e-04,  2.6927810e-04,  9.3422171e-04,  2.8329115e-04,  4.3365697e-04,  7.9815247e-04,  8.2474662e-04,  4.1440648e-04,  4.3660552e-04,  3.8979418e-04,  3.5355110e-01,  5.8121433e-01,  3.4513057e-03,  5.9978434e-01,  5.2565885e-01,  3.9184633e-03,  6.4384440e-01,  5.5869548e-01,  5.5573547e-03,  5.2694106e-01,  5.2560053e-01,  3.5372582e-02,  2.6949558e-01,  2.3076370e-01,  1.5424875e-01,  9.3783895e-02,  1.8032061e-01,  1.4519157e-01,  2.5788708e-01,  4.2254203e-02,  1.1641213e-01,  1.7596905e-01,  1.4761636e-01,  4.9756172e-02,  2.1929880e-01,  1.8700655e-01,  2.7633887e-01,  1.0548145e-01,  2.4973564e-01,  1.8174804e-01,  1.4542353e-01,  1.0045062e-01,  9.8984527e-02,  1.0016600e-01,  1.5194186e-01,  4.9470547e-02,  2.0087325e-01,  1.7533930e-01,  1.4270521e-01,  5.2547870e-02,  1.5212553e-01,  1.8434121e-01,  2.0397629e-01,  1.2278463e-01,  1.9376251e-01,  1.6565767e-01,  1.0457157e-01,  7.6850589e-02,  1.0098840e-01,  7.0573768e-02,  1.2381171e-01,  4.9470547e-02,  1.4053497e-01,  6.9770869e-02,  1.2530791e-01,  6.4874653e-02,  1.4015561e-01,  1.3788124e-01,  1.3391332e-01,  7.6461550e-02
 7.0000000e-01,  7.3243177e-04,  1.9271271e-03,  1.0540563e-03,  6.6726657e-04,  8.3617141e-03,  3.5805925e-04,  2.3989638e-04,  8.8171072e-04,  3.9018142e-04,  7.4480022e-04,  2.0167626e-03,  1.1257033e-03,  2.1901782e-01,  2.4309599e-01,  9.7006800e-02,  1.1394942e-01,  2.6854236e-01,  3.0536775e-02,  3.1649338e-01,  2.0210423e-01,  6.7205201e-03,  3.1087595e-01,  2.0743527e-01,  1.3361783e-02,  3.4081460e-04,  2.5880534e-04,  2.5940340e-04,  2.8108966e-04,  5.0769846e-04,  1.6396192e-04,  3.0516227e-04,  4.6983816e-04,  4.0595409e-04,  3.8008626e-04,  3.5383996e-04,  2.7538018e-04,  3.3704722e-01,  5.5811718e-01,  1.7887663e-03,  5.4523715e-01,  4.9158744e-01,  2.1097258e-03,  6.2535000e-01,  5.3592912e-01,  3.3572757e-03,  4.7572718e-01,  4.9936223e-01,  1.8476928e-02,  2.8201333e-01,  2.4419796e-01,  1.5833289e-01,  9.8618817e-02,  1.9526803e-01,  1.7810892e-01,  3.3399091e-01,  4.6172780e-02,  1.2013318e-01,  1.9716412e-01,  1.3765785e-01,  6.1702807e-02,  2.5275081e-01,  2.0713901e-01,  3.0027254e-01,  1.2948680e-01,  2.6586787e-01,  1.9814659e-01,  1.5576509e-01,  1.0654349e-01,  1.0811691e-01,  1.0435426e-01,  1.6201488e-01,  4.4353007e-02,  2.2709666e-01,  1.8172576e-01,  1.4443773e-01,  5.7785051e-02,  1.6765897e-01,  1.8746049e-01,  2.2931634e-01,  1.3118884e-01,  1.9490883e-01,  1.8504875e-01,  1.1152501e-01,  8.6108515e-02,  1.1748543e-01,  8.2114697e-02,  1.2317263e-01,  4.4353007e-02,  1.5622391e-01,  8.4964139e-02,  1.2732028e-01,  8.0873653e-02,  1.6083240e-01,  1.5467829e-01,  1.4692746e-01,  8.6010378e-02
 8.0000000e-01,  1.5139428e-04,  1.6987618e-03,  2.9904105e-04,  1.9145989e-04,  6.4959469e-03,  6.5613030e-05,  3.2706325e-05,  2.6442839e-04,  1.1046784e-04,  2.7707424e-04,  1.5299790e-03,  1.4049796e-03,  2.2519182e-01,  2.6691671e-01,  1.1494355e-01,  1.5213267e-01,  2.7807130e-01,  2.6727195e-02,  3.6405089e-01,  2.0252505e-01,  9.0615002e-03,  3.4447019e-01,  2.4480500e-01,  1.3728781e-02,  4.9445846e-04,  3.4282194e-04,  1.7549899e-04,  4.2657450e-04,  4.0526520e-04,  1.3723853e-04,  3.3359031e-04,  4.1190037e-04,  2.8766743e-04,  6.0273668e-04,  4.5773479e-04,  3.4228594e-04,  3.3083637e-01,  5.3456054e-01,  1.0793673e-03,  5.0233635e-01,  4.6349369e-01,  1.3306272e-03,  6.0996239e-01,  5.0960540e-01,  2.2086506e-03,  4.4283246e-01,  4.7540437e-01,  1.0218859e-02,  2.9604482e-01,  2.5928785e-01,  1.7160347e-01,  9.8187883e-02,  2.1239177e-01,  2.1101186e-01,  4.0605919e-01,  5.5523727e-02,  1.3377687e-01,  2.1966602e-01,  1.3855810e-01,  7.6264190e-02,  2.8797959e-01,  2.3856222e-01,  3.4375091e-01,  1.5286559e-01,  2.8036576e-01,  2.1991897e-01,  1.7302647e-01,  1.1197735e-01,  1.2918316e-01,  1.0954613e-01,  1.8882569e-01,  4.1392825e-02,  2.6118403e-01,  1.8656897e-01,  1.6375903e-01,  6.6009350e-02,  1.8683334e-01,  2.0399620e-01,  2.6569125e-01,  1.3595214e-01,  1.9604534e-01,  2.0588155e-01,  1.1081571e-01,  9.6019130e-02,  1.3167219e-01,  8.9010336e-02,  1.3761036e-01,  4.1392825e-02,  1.6988819e-01,  9.9008655e-02,  1.3852788e-01,  9.6990893e-02,  1.8124834e-01,  1.7138812e-01,  1.6918125e-01,  9.1836260e-02
 9.0000000e-01,  5.2773499e-07,  4.7890552e-04,  3.1311189e-05,  1.0318873e-05,  3.6593869e-03,  3.4173481e-07,  7.9745406e-06,  5.7852731e-06,  1.2706848e-07,  1.9061417e-05,  4.8912611e-04,  1.5001469e-03,  2.3930033e-01,  2.9535601e-01,  1.3206160e-01,  1.9624608e-01,  2.8104412e-01,  2.6838672e-02,  4.1336092e-01,  2.1903564e-01,  7.6831062e-03,  3.8409473e-01,  2.9455635e-01,  1.6350550e-02,  9.6005897e-04,  6.2328291e-04,  1.4096338e-04,  7.6698242e-04,  4.7393019e-04,  1.6119156e-04,  5.0602653e-04,  5.1450435e-04,  3.0824849e-04,  1.2202576e-03,  7.8975545e-04,  6.1924606e-04,  3.3012252e-01,  5.1026493e-01,  7.3253354e-04,  4.7047469e-01,  4.3912884e-01,  9.4232955e-04,  5.9634490e-01,  4.7855026e-01,  1.5568880e-03,  4.2158152e-01,  4.5270391e-01,  6.1122014e-03,  3.0814987e-01,  2.7851944e-01,  1.9133871e-01,  9.4868710e-02,  2.2829268e-01,  2.4202617e-01,  4.7033315e-01,  7.0614214e-02,  1.4563185e-01,  2.4511034e-01,  1.4613056e-01,  8.4974658e-02,  3.2258488e-01,  2.6730617e-01,  3.9639999e-01,  1.8160937e-01,  2.9293483e-01,  2.4819279e-01,  1.9677650e-01,  1.1595113e-01,  1.5067818e-01,  1.1349012e-01,  2.2568712e-01,  4.0302879e-02,  3.0402427e-01,  1.9206582e-01,  1.8969782e-01,  7.4006184e-02,  2.0541642e-01,  2.2082013e-01,  3.1135682e-01,  1.4794191e-01,  1.9781436e-01,  2.3175991e-01,  1.1128548e-01,  1.0617309e-01,  1.4197289e-01,  9.6266738e-02,  1.6095029e-01,  4.0302879e-02,  1.8269448e-01,  1.1438794e-01,  1.6459349e-01,  1.1070063e-01,  2.0014131e-01,  1.8547752e-01,  1.9812502e-01,  9.6687103e-02
 1.0000000e+00,  1.2038076e-05,  2.3760035e-05,  3.2599279e-06,  1.1545295e-06,  3.4421028e-04,  1.5842352e-06,  1.1959446e-07,  1.4616017e-07,  1.7601760e-08,  1.8358264e-06,  7.0891390e-06,  6.9824759e-04,  2.6002082e-01,  3.2617327e-01,  1.4719060e-01,  2.5322337e-01,  2.7129856e-01,  2.4275314e-02,  4.6857204e-01,  2.4665469e-01,  7.9790430e-03,  4.2664127e-01,  3.5752762e-01,  1.8605376e-02,  2.0213271e-03,  1.2652109e-03,  1.2588526e-04,  1.4170808e-03,  7.1560527e-04,  2.3506783e-04,  8.9437747e-04,  7.9018119e-04,  4.5900469e-04,  2.5603973e-03,  1.4965422e-03,  1.2684741e-03,  3.3332810e-01,  4.8424073e-01,  5.4295400e-04,  4.4761075e-01,  4.1531971e-01,  7.2462957e-04,  5.8355685e-01,  4.4414680e-01,  1.1579562e-03,  4.0772792e-01,  4.3035204e-01,  3.9475838e-03,  3.2824086e-01,  3.0304029e-01,  2.1557392e-01,  9.1906367e-02,  2.4958086e-01,  2.8338167e-01,  5.4293073e-01,  9.1205687e-02,  1.6064447e-01,  2.7227326e-01,  1.6191947e-01,  8.2189623e-02,  3.5892643e-01,  2.8979801e-01,  4.5514951e-01,  1.9358805e-01,  3.0963764e-01,  2.8216833e-01,  2.2639415e-01,  8.6086428e-02,  1.7163429e-01,  1.2749102e-01,  2.5813378e-01,  4.0060221e-02,  3.5287090e-01,  1.9387767e-01,  2.2399339e-01,  7.9395775e-02,  2.2789348e-01,  2.3541192e-01,  3.6332481e-01,  1.6047971e-01,  2.0250306e-01,  2.6338816e-01,  1.1603127e-01,  1.0937045e-01,  1.5012124e-01,  1.0890248e-01,  1.8243112e-01,  4.0060221e-02,  1.9603159e-01,  1.3314686e-01,  2.0341504e-01,  1.1929875e-01,  2.2158153e-01,  1.9928145e-01,  2.3265254e-01,  1.0050095e-01
