t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  4.9289679e+00,  4.9112034e+00,  4.9574558e+00,  4.8650260e+00,  4.9576550e+00,  4.9266932e+00,  4.9312867e+00,  4.9166712e+00,  4.9132014e+00,  4.8822936e+00,  4.9642193e+00,  4.9332108e+00,  4.9794495e+00,  4.9549957e+00,  4.9915199e+00,  4.9823936e+00,  4.9891911e+00,  4.9804293e+00,  4.9257098e+00,  4.9894726e+00,  4.9728671e+00,  4.9746497e+00,  5.0082168e+00,  4.9747855e+00,  4.9835358e+00,  4.9710422e+00,  5.0150453e+00,  4.9847304e+00,  4.9837421e+00,  5.0228545e+00,  4.9276898e+00,  4.9690086e+00,  4.9915690e+00,  4.9125803e+00,  4.9796064e+00,  4.9291889e+00,  4.9537305e+00,  4.9631958e+00,  4.9952671e+00,  4.9818543e+00,  4.9906399e+00,  4.9374941e+00,  4.9792286e+00,  4.9961899e+00,  4.9944821e+00,  4.9716474e+00,  4.9533673e+00,  4.9849682e+00,  4.9786349e+00,  4.9335299e+00,  4.9759454e+00,  4.9648860e+00,  4.9563612e+00,  5.0111987e+00,  4.9616851e+00,  4.9968633e+00,  4.9416943e+00,  4.9270138e+00,  4.9059550e+00,  4.9725371e+00,  4.9464407e+00,  4.9639606e+00,  4.9159763e+00,  5.0121281e+00,  4.9779148e+00,  4.9208939e+00,  5.0460763e+00,  4.9717999e+00,  4.9286745e+00,  4.9696458e+00,  4.9633102e+00,  4.9720272e+00,  4.9637305e+00,  4.9390935e+00,  4.9578615e+00,  4.9864537e+00,  4.9631393e+00,  4.9491300e+00,  4.9760104e+00,  4.9539337e+00,  4.8630372e+00,  4.9219912e+00,  4.9747218e+00,  4.9703213e+00,  4.9937610e+00,  5.0061573e+00,  4.9792503e+00,  4.9720272e+00,  4.9566761e+00,  4.9265922e+00,  4.9510281e+00,  4.9338991e+00,  4.8913336e+00,  4.9642275e+00,  4.9570530e+00,  4.9957576e+00
 2.0000000e-01,  2.0672102e-02,  1.4559893e-02,  1.6107980e-02,  1.1276137e-02,  9.3186235e-03,  1.4009877e-02,  1.0424280e-02,  2.6290689e-02,  7.7684150e-03,  2.2078486e-02,  1.6247530e-02,  3.7606158e-02,  3.1790594e-02,  2.5946649e-02,  2.9170862e-02,  1.2996166e-02,  1.2887389e-02,  5.1215595e-02,  3.9397548e-02,  2.8613067e-02,  2.5281095e-02,  5.5782467e-02,  3.6839440e-02,  3.1472777e-02,  4.9967609e+00,  4.9754114e+00,  4.9719953e+00,  5.0184778e+00,  5.0118070e+00,  5.0217381e+00,  4.9869163e+00,  4.9419673e+00,  4.9331843e+00,  5.0176491e+00,  5.0336933e+00,  5.0158670e+00,  4.9827387e+00,  4.9899710e+00,  4.9838823e+00,  4.9825062e+00,  4.9823325e+00,  4.9831446e+00,  4.9851347e+00,  4.9904282e+00,  4.9762571e+00,  4.9855386e+00,  4.9810019e+00,  4.9894067e+00,  2.0932023e-02,  2.4402960e-02,  1.6237460e-02,  1.4624604e-02,  4.0212767e-02,  3.7490994e-02,  3.2678586e-02,  2.2451488e-02,  4.8078186e-02,  2.9323188e-02,  1.2775376e-02,  2.3396696e-02,  1.6698073e-02,  1.5449030e-02,  1.0402579e-02,  2.6134425e-02,  1.1874130e-02,  6.3256061e+00,  1.7777951e-02,  5.7942283e+00,  1.5869870e-02,  5.3238301e+00,  1.0828644e-02,  5.3138142e+00,  1.1291370e-02,  7.8037845e-03,  7.2657703e+00,  5.8288532e+00,  1.1653968e+01,  1.2124290e-02,  1.1560665e-02,  7.0023128e+00,  6.1083532e+00,  6.1306720e+00,  5.7345279e+00,  5.2019294e+00,  5.6634437e+00,  5.1395411e+00,  7.7769136e+00,  5.3138142e+00,  5.7505972e+00,  5.1640545e+00,  4.9452523e+00,  4.9581681e+00,  6.0028037e+00,  5.0310187e+00,  5.7199852e+00,  6.2529855e+00
 3.0000000e-01,  1.6622435e-02,  1.0734890e-02,  2.2286305e-02,  9.0650868e-03,  1.3129859e-02,  1.2941715e-02,  7.0775300e-03,  2.5488724e-02,  6.3746775e-03,  1.5468271e-02,  1.1675998e-02,  1.8594823e-02,  2.0412455e-02,  3.5955901e-02,  1.8628621e-02,  1.1427524e-02,  1.5031454e-02,  8.2136590e-02,  2.6638826e-02,  3.1707437e-02,  7.3464776e-03,  1.7784036e-02,  5.1110113e-02,  1.4973863e-02,  4.9822326e+00,  4.9574577e+00,  4.9406466e+00,  5.0091086e+00,  5.0156956e+00,  5.0332535e+00,  4.9689969e+00,  4.9102210e+00,  4.8835008e+00,  5.0429143e+00,  5.0631574e+00,  5.0869955e+00,  4.9778973e+00,  4.9791783e+00,  4.9727132e+00,  4.9773790e+00,  4.9779740e+00,  4.9783940e+00,  4.9784870e+00,  4.9797000e+00,  4.9734417e+00,  4.9782093e+00,  4.9760776e+00,  4.9826676e+00,  1.5465791e-02,  6.4032416e-02,  2.4804555e-02,  1.2340183e-02,  1.2222997e-02,  1.9735921e-02,  1.1772032e-02,  2.4120704e-02,  1.4114788e-02,  6.7714636e-03,  2.1209316e-02,  1.5122737e-02,  1.4064196e-02,  6.2285222e-02,  4.4240844e-03,  2.3116570e-02,  1.4988945e-02,  9.2705951e+00,  1.5470682e-02,  4.8455525e+00,  6.5516868e-03,  5.4857567e+00,  2.5569434e-02,  5.6563577e+00,  6.2214803e-03, -1.6925240e-03,  7.2761368e+00,  5.0927759e+00,  1.2829710e+01,  1.4346777e-02,  3.9181505e-03,  7.6519876e+00,  7.3080619e+00,  7.8324819e+00,  6.8151618e+00,  3.9976487e+00,  5.6748484e+00,  4.8085822e+00,  6.8346875e+00,  5.6563577e+00,  6.0309152e+00,  4.8068830e+00,  5.4765471e+00,  5.2210186e+00,  8.0544119e+00,  5.6499110e+00,  6.4994008e+00,  8.1664615e+00
 4.0000000e-01,  1.7662090e-02,  1.1009536e-02,  1.7024516e-02,  9.6536990e-03,  1.0249642e-02,  2.8323050e-02,  4.0921368e-03,  1.1358120e-01,  4.9161462e-03,  1.3857789e-02,  4.0379236e-02,  1.2966727e-02,  3.0580254e-02,  2.7516859e-02,  1.6626758e-02,  1.2035779e-02,  4.6709926e-03,  3.8496025e-02,  3.2040846e-02,  3.8675608e-02,  9.2573628e-03,  1.9932276e-02,  5.6741694e-02,  3.0226399e-02,  4.9752001e+00,  4.9404488e+00,  4.9082843e+00,  5.0013169e+00,  5.0188157e+00,  5.0454523e+00,  4.9548633e+00,  4.8915717e+00,  4.8631863e+00,  5.0645304e+00,  5.0953960e+00,  5.1439003e+00,  4.9764619e+00,  4.9765883e+00,  4.9754087e+00,  4.9758870e+00,  4.9753724e+00,  4.9762983e+00,  4.9761945e+00,  4.9769508e+00,  4.9733877e+00,  4.9754105e+00,  4.9744382e+00,  4.9783898e+00,  1.2838031e-02,  8.0558501e-02,  1.2749226e-02,  6.4446567e-03,  1.2836836e-02,  2.2704688e-02,  1.1075938e-02,  2.6392725e-02,  1.3011379e-02,  7.8692894e-03,  2.4977493e-02,  2.4233468e-02,  9.9744523e-03,  3.3018272e-02,  1.8205287e-03,  2.5805294e-02,  4.2218677e-02,  1.1802992e+01,  1.3915441e-02,  4.4903021e+00,  1.9320580e-02,  4.8449313e+00,  3.2096856e-02,  6.1977732e+00,  1.0484745e-02, -4.4485853e-03,  7.2273898e+00,  4.3009741e+00,  1.2977303e+01,  1.1731741e-02,  5.6617048e-03,  7.8737995e+00,  7.4598759e+00,  1.0222180e+01,  7.8455827e+00,  2.3821620e+00,  5.9948666e+00,  4.2813966e+00,  5.9284699e+00,  6.1977732e+00,  5.9962418e+00,  4.2468480e+00,  6.2003084e+00,  5.8385320e+00,  1.0330856e+01,  6.1752760e+00,  7.1084845e+00,  9.7908223e+00
 5.0000000e-01,  2.1669612e-02,  1.0855195e-02,  1.5673285e-02,  1.2863141e-02,  6.2364059e-03,  1.1618873e-02,  2.7918088e-03,  1.0304906e-01,  2.6607764e-03,  1.7846924e-02,  2.7580962e-02,  1.9348169e-02,  4.7268295e-02,  1.7894034e-02,  1.7876739e-02,  5.1049102e-02,  3.1722796e-03,  5.7831176e-02,  2.7010386e-02,  2.3361886e-02,  1.0324195e-02,  1.7097174e-02,  4.5014591e-02,  5.0623993e-02,  4.9728630e+00,  4.9223067e+00,  4.8765698e+00,  4.9973648e+00,  5.0253586e+00,  5.0606164e+00,  4.9470930e+00,  4.8814845e+00,  4.8575510e+00,  5.0906305e+00,  5.1267109e+00,  5.1993446e+00,  4.9770052e+00,  4.9767852e+00,  4.9773870e+00,  4.9763204e+00,  4.9754360e+00,  4.9762668e+00,  4.9765899e+00,  4.9768571e+00,  4.9732210e+00,  4.9759520e+00,  4.9752174e+00,  4.9760538e+00,  1.3217052e-02,  8.4525368e-02,  1.1059202e-02,  5.6120189e-03,  1.3500068e-02,  3.6092686e-02,  1.1764730e-02,  2.3822220e-02,  1.1706050e-02,  1.0137004e-02,  8.9880183e-03,  2.5773213e-02,  8.0891570e-03,  2.0490836e-02,  1.3202546e-03,  2.4180664e-02,  3.5513191e-02,  1.3233904e+01,  5.8022531e-03,  6.4105116e+00,  2.2971846e-03,  2.9941489e+00,  1.7824510e-02,  6.3838911e+00,  3.1687764e-02, -8.3342185e-03,  6.9407756e+00,  3.3370414e+00,  1.3237928e+01,  1.1197584e-02,  8.5453796e-03,  8.1447865e+00,  6.5002565e+00,  1.2183986e+01,  8.7631562e+00,  8.4130440e-01,  6.1264916e+00,  3.6821339e+00,  5.7737979e+00,  6.3838911e+00,  5.7865449e+00,  3.9297221e+00,  6.5521949e+00,  6.4194399e+00,  1.1740313e+01,  6.8068869e+00,  7.8103111e+00,  1.1413339e+01
 6.0000000e-01,  1.9821189e-02,  1.1305803e-02,  1.5262580e-02,  2.2880276e-02,  4.5205088e-03,  9.5716057e-03,  1.8718019e-03,  5.6489796e-02,  1.8546042e-03,  1.9654035e-02,  1.6630544e-02,  3.9053876e-02,  4.9595347e-02,  1.3834053e-02,  1.9912789e-02,  1.1684959e-02,  1.7578337e-03,  9.3850307e-02,  2.3233786e-02,  2.0127415e-02,  1.1868293e-02,  1.7303158e-02,  2.7327291e-02,  3.7576162e-02,  4.9767246e+00,  4.9021345e+00,  4.8404151e+00,  4.9939380e+00,  5.0324832e+00,  5.0815995e+00,  4.9385358e+00,  4.8717158e+00,  4.8663707e+00,  5.1254936e+00,  5.1642941e+00,  5.2669306e+00,  4.9784673e+00,  4.9779259e+00,  4.9807433e+00,  4.9777920e+00,  4.9763094e+00,  4.9797409e+00,  4.9780554e+00,  4.9778368e+00,  4.9755033e+00,  4.9775412e+00,  4.9765389e+00,  4.9750669e+00,  1.3100602e-02,  3.0897288e-02,  1.0479777e-02,  4.4434206e-03,  1.5995567e-02,  3.5094437e-02,  1.7163944e-02,  1.7165639e-02,  1.3723864e-02,  1.0879206e-02,  5.7113944e-03,  3.7871741e-02,  5.9524119e-03,  1.3389831e-02,  9.6206865e-04,  2.5338693e-02,  2.2146330e-02,  1.3537102e+01,  5.5261668e-03,  9.4042149e+00,  1.3126991e-03,  1.3009147e+00,  2.2662890e-02,  6.1982367e+00,  1.5453311e-02, -6.9264004e-03,  5.0693935e+00,  2.9057067e+00,  1.2690276e+01,  9.7351797e-03,  9.1550644e-03,  8.6338152e+00,  5.8415341e+00,  1.3288241e+01,  9.6257322e+00, -2.3220517e-01,  5.5625045e+00,  3.3491439e+00,  6.0339496e+00,  6.1982367e+00,  5.7425017e+00,  3.6826175e+00,  5.7897982e+00,  6.9152775e+00,  1.2537495e+01,  7.3477121e+00,  8.7113366e+00,  1.3287599e+01
 7.0000000e-01,  1.6830204e-02,  1.3633652e-02,  1.5184830e-02,  4.0160647e-02,  3.9295793e-03,  1.0083853e-02,  1.1336362e-03,  4.0149333e-02,  1.3490942e-03,  2.4282724e-02,  1.3288672e-02,  8.0263735e-02,  4.7225592e-02,  1.3043163e-02,  1.9522325e-02,  5.8442410e-03,  7.5326681e-04,  8.6516482e-02,  2.1971247e-02,  2.0608828e-02,  1.5106099e-02,  2.0083020e-02,  2.7132877e-02,  7.5308391e-02,  4.9918784e+00,  4.8834531e+00,  4.8037961e+00,  4.9861931e+00,  5.0365939e+00,  5.1025710e+00,  4.9289705e+00,  4.8599077e+00,  4.8777831e+00,  5.1747159e+00,  5.2140282e+00,  5.3606515e+00,  4.9803178e+00,  4.9793325e+00,  4.9815791e+00,  4.9796520e+00,  4.9779365e+00,  4.9809936e+00,  4.9798157e+00,  4.9789447e+00,  4.9770581e+00,  4.9793660e+00,  4.9777879e+00,  4.9737375e+00,  1.2525239e-02,  4.3664158e-02,  1.0424958e-02,  3.5025739e-03,  1.6363316e-02,  3.2433338e-02,  2.4885127e-02,  1.3590611e-02,  1.2996224e-02,  1.0439376e-02,  4.5885718e-03,  3.4341002e-02,  5.2997824e-03,  1.2819188e-02,  9.6846767e-04,  2.6096853e-02,  1.6367604e-02,  1.3174190e+01,  9.0722991e-03,  1.0631406e+01,  2.1616170e-03,  1.1634916e+00,  2.8206573e-02,  6.5224937e+00,  1.6517210e-02, -6.5680859e-03,  4.2784327e+00,  2.5805603e+00,  1.1948930e+01,  8.2670061e-03,  9.0182540e-03,  9.2266569e+00,  5.6018241e+00,  1.3703196e+01,  1.0155111e+01,  1.6393990e-01,  4.3941248e+00,  3.2533765e+00,  6.7812627e+00,  6.5224937e+00,  5.8488386e+00,  3.6910791e+00,  5.3715325e+00,  7.5035471e+00,  1.2934335e+01,  7.9484910e+00,  9.7061543e+00,  1.3673124e+01
 8.0000000e-01,  1.4611360e-02,  2.2688347e-02,  1.3691280e-02,  6.5177474e-01,  3.9635884e-03,  1.1666932e-02,  7.8912334e-04,  2.0698920e-02,  8.0473161e-04,  2.7463733e-02,  1.1600972e-02,  1.7193341e-01,  4.9416404e-02,  1.2401795e-02,  1.9316391e-02,  5.7578736e-03,  1.7176207e-04,  7.1558232e-02,  2.2281575e-02,  2.4506344e-02,  1.9613063e-02,  2.3260406e-02,  2.6963943e-02,  3.1392845e-02,  5.0228369e+00,  4.8667320e+00,  4.7633873e+00,  4.9735783e+00,  5.0387357e+00,  5.1310421e+00,  4.9138402e+00,  4.8442443e+00,  4.8946012e+00,  5.2438919e+00,  5.2770120e+00,  5.4933960e+00,  4.9821135e+00,  4.9805468e+00,  4.9850171e+00,  4.9816433e+00,  4.9794504e+00,  4.9805181e+00,  4.9815490e+00,  4.9799910e+00,  4.9765486e+00,  4.9812349e+00,  4.9790625e+00,  4.9735173e+00,  1.1019153e-02,  4.3670635e-02,  1.1195460e-02,  3.0267612e-03,  1.8149604e-02,  2.6540243e-02,  3.2653646e-02,  1.1921309e-02,  1.4833109e-02,  9.8291174e-03,  3.3592507e-03,  2.4060207e-02,  4.9255015e-03,  1.1899256e-02,  8.5541865e-04,  2.6410255e-02,  1.1787370e-02,  1.3157542e+01,  1.0625247e-02,  1.2649279e+01,  2.4921049e-04,  1.6291409e+00,  3.5254361e-02,  6.7756317e+00,  1.2290185e-02, -6.5923656e-03,  4.0054583e+00,  2.5890562e+00,  1.1558345e+01,  7.3719574e-03,  8.8208536e-03,  9.8072785e+00,  5.5582495e+00,  1.3972455e+01,  1.1071484e+01,  1.2059046e-01,  3.0881113e+00,  3.2943799e+00,  7.4074308e+00,  6.7756317e+00,  6.1073240e+00,  3.9253337e+00,  5.0776348e+00,  8.1696397e+00,  1.3004642e+01,  8.6657423e+00,  1.0611765e+01,  1.4221704e+01
 9.0000000e-01,  1.2410149e-02,  1.2552303e-02,  1.4547393e-02,  2.6086998e-02,  4.3936547e-03,  1.2101069e-02, -3.8588574e-04,  1.9995940e-03, -6.4632942e-04,  3.8371033e-02,  1.0513559e-02,  1.4351053e-01,  4.6700668e-02,  1.1823695e-02,  2.2301109e-02,  3.8088622e-03, -1.1438052e-04,  1.0566142e-01,  2.3838288e-02,  3.3078156e-02,  1.7697359e-02,  2.9277363e-02,  2.7667334e-02,  1.8401274e-02,  5.0859387e+00,  4.8607479e+00,  4.7247241e+00,  4.9501381e+00,  5.0361833e+00,  5.1598185e+00,  4.8945560e+00,  4.8159791e+00,  4.9186478e+00,  5.3434316e+00,  5.3564671e+00,  5.6818801e+00,  4.9839823e+00,  4.9818513e+00,  4.9880532e+00,  4.9836288e+00,  4.9811802e+00,  4.9799556e+00,  4.9833568e+00,  4.9813110e+00,  4.9764977e+00,  4.9831859e+00,  4.9804228e+00,  4.9738888e+00,  9.7183847e-03,  4.3110769e-02,  1.1664485e-02,  2.6363876e-03,  1.9222880e-02,  2.2936737e-02,  3.4295082e-02,  1.1256244e-02,  1.4947514e-02,  9.4081302e-03,  2.6330987e-03,  1.5402913e-02,  4.0176486e-03,  1.4022654e-02,  5.9294282e-04,  2.7324066e-02,  1.0364858e-02,  1.3234199e+01,  1.1686359e-02,  1.3813701e+01, -3.0812441e-03,  2.2594277e+00,  5.8028117e-02,  6.8816342e+00,  1.0654206e-02, -6.4688171e-03,  3.9932857e+00,  2.7387400e+00,  1.0385140e+01,  6.8561256e-03,  9.0421149e-03,  1.0267901e+01,  5.5552302e+00,  1.4091997e+01,  1.1750167e+01,  1.3282135e+00,  1.8963430e+00,  3.6955189e+00,  8.2765847e+00,  6.8816342e+00,  6.7406619e+00,  4.3486143e+00,  4.9958316e+00,  8.8260632e+00,  1.2731098e+01,  9.0305824e+00,  1.1196913e+01,  1.5365129e+01
 1.0000000e+00,  7.9237011e-03,  1.7252755e-03,  8.5006903e-03,  4.9925482e-03,  3.2780339e-03,  1.6818310e-02, -6.2345238e-03, -1.6448200e-02, -5.1414850e-03,  4.1797847e-02,  1.5862050e-02,  1.4540723e-01,  4.5910751e-02,  1.0280958e-02,  3.0896825e-02,  3.0731382e-03, -4.8736535e-04,  1.5493604e-01,  2.7012835e-02,  3.6065184e-02,  1.8624613e-02,  3.1727345e-02,  3.1180817e-02,  1.7279177e-02,  5.1863447e+00,  4.8584428e+00,  4.6739176e+00,  4.9085975e+00,  5.0328416e+00,  5.1954227e+00,  4.8616922e+00,  4.7668153e+00,  4.9483097e+00,  5.4827761e+00,  5.4554913e+00,  5.9579064e+00,  4.9859113e+00,  4.9831325e+00,  4.9924144e+00,  4.9855597e+00,  4.9827795e+00,  4.9796779e+00,  4.9851029e+00,  4.9825142e+00,  4.9739078e+00,  4.9850325e+00,  4.9816502e+00,  4.9737412e+00,  9.0649667e-03,  7.0823309e-02,  1.1954048e-02,  2.4584519e-03,  1.9828028e-02,  2.3552943e-02,  6.1835213e-02,  1.1181997e-02,  1.5215128e-02,  1.0575234e-02,  2.7289176e-03,  1.1225695e-02,  3.0088407e-03,  1.7820960e-02,  4.3822956e-04,  2.8718013e-02,  9.2692986e-03,  1.3577952e+01,  9.1228304e-03,  1.0157489e+01, -5.5667122e-03,  2.6984337e+00,  4.7433988e-02,  6.7103037e+00,  1.5288903e-02, -7.2607904e-03,  4.4133269e+00,  2.6868710e+00,  9.5629603e+00,  6.6744379e-03,  1.0134871e-02,  1.0770881e+01,  5.6063351e+00,  1.4483839e+01,  1.2609468e+01,  2.5379765e+00,  9.0790472e-01,  4.3022892e+00,  1.1168798e+01,  6.7103037e+00,  7.5772735e+00,  4.9525386e+00,  5.3472384e+00,  9.5249929e+00,  1.2261961e+01,  8.8777886e+00,  1.1722341e+01,  1.6087283e+01
