t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.8093080e-02, -1.4985996e-02,  7.7286447e-02, -1.4503616e-02, -2.4753769e-02,  3.0878314e-02, -6.3251670e-04, -3.0954806e-02, -2.7210037e-02,  3.1403126e-02, -1.2735242e-03, -3.7076320e-02,  1.7848989e-03, -1.4442655e-02, -2.3659495e-02, -2.0592132e-02,  1.7425045e-02, -4.0552118e-02, -6.7200618e-02, -1.0291285e-02,  2.5431709e-02, -8.7005230e-03,  3.4985818e-02, -1.3452276e-02, -5.4474260e-03,  9.3983785e-03,  1.3531841e-02,  5.3485209e-03,  2.7950170e-02,  5.1435438e-02, -1.3966756e-03,  3.9784549e-02, -5.2997707e-02,  3.8963815e-02,  2.3410623e-02,  1.4643859e-02, -4.8692765e-05, -1.5927531e-02, -3.7957172e-04,  6.5304625e-03, -9.0322885e-03,  2.7609342e-02,  8.7083723e-03, -2.1021458e-02, -6.6407787e-03,  6.4371202e-03, -6.6293708e-03, -3.7338463e-02, -1.1253486e-03,  7.7144866e-03, -8.3140536e-04,  2.6581910e-02,  7.9703868e-02,  3.0446396e-02, -2.3685383e-03, -1.9738820e-02, -1.8719579e-02,  3.6446857e-03,  7.7898662e-03,  1.6349969e-02,  2.1850705e-02, -2.4438345e-02, -2.8241438e-02, -5.9049667e-03,  3.7697728e-02, -6.5690272e-02,  7.9795211e-02,  1.7122388e-02,  2.8439295e-03,  2.1684326e-02, -5.4255895e-03,  3.0403062e-02,  1.2428239e-02,  5.6022135e-03, -2.0097688e-02,  2.4303655e-03, -1.6965196e-02, -6.4450631e-03, -1.2464947e-02, -2.1886214e-02,  4.8312204e-03, -4.9961793e-02, -9.2236717e-02,  3.2136872e-02, -3.6943707e-03, -2.7224741e-02,  5.6114889e-03,  3.0403062e-02,  1.4643180e-02, -1.1337464e-02,  3.8936161e-02,  3.4822195e-02,  4.0184006e-02,  3.9155622e-04,  3.0609812e-03, -1.0413091e-02
 2.0000000e-01,  3.5353366e+00, -2.8345295e+00,  2.6076167e+00, -4.1365422e+00,  2.0841318e+00,  2.9822124e+00, -4.0719066e+00, -3.2656307e+00,  3.1414417e+00, -1.3235102e+00,  4.8619920e+00, -1.9621290e+00,  1.3780707e+00, -2.9507831e+00, -7.4431817e+00,  1.3094198e+00, -1.9963335e-04,  2.2143245e+00, -6.3357949e+00,  2.3007343e+00, -8.4239190e+00, -1.6446422e+01,  3.8851843e+00,  5.4509028e+00,  5.2892352e-02,  4.3581361e-02,  4.6731987e-02,  4.6108569e-02,  2.9617296e-02,  3.2057020e-02,  5.9332211e-02,  4.3881166e-02,  8.4563203e-03,  5.0594672e-02,  3.1066306e-02,  1.1814172e-02,  6.0420974e-04, -8.8118112e-03,  1.6487118e-03,  5.8763957e-03, -2.6995462e-03,  3.0131667e-05,  2.2495010e-04, -3.4127013e-03, -1.8564478e-04, -4.4582037e-03,  1.1902308e-03, -1.4378489e-02,  5.2809439e+00, -1.1926665e+00, -1.8078326e+00,  2.5073199e+00, -1.5549990e+01,  1.3325020e+00, -1.2816528e+00,  2.3484024e+00, -1.4913582e+01,  1.1604152e+01, -1.1973845e-01, -4.5187470e+00,  3.0614175e-01,  8.4490122e-01, -2.6650630e+00, -6.0319531e+00, -1.7452399e+00, -2.9784548e-02,  2.3015526e+00, -5.3896415e-02,  2.4397506e+00, -4.7088553e-01,  9.1021972e-01, -5.8325956e-01,  2.4451939e+00, -2.3360844e+00,  2.6304713e+00, -1.2561946e+00, -3.3111114e-02, -3.0367884e+00,  6.1403819e+00, -1.9113471e-01,  5.0451462e-01,  4.7296217e-01, -8.9425072e-02, -2.9338349e-02,  5.7110542e-02, -5.1266567e-02,  6.1752394e-02, -5.8325956e-01,  7.3862636e-01,  2.9027996e-01,  5.7584135e-01, -1.0220578e-01, -2.3210844e-02, -8.0529568e-03,  3.1841730e-01, -5.4064047e-01
 3.0000000e-01,  3.1849664e+00, -3.7847255e+00,  1.3094899e+00, -3.5939399e+00,  3.1602789e+00, -1.0263557e+00, -5.5187015e+00,  5.8315198e-01,  5.3982551e+00, -1.6110358e+00,  1.2912203e+00, -3.9835898e+00,  3.2745786e+00, -1.7748517e+00, -8.6395124e+00,  1.8470879e+00,  1.4283118e+00,  6.7180189e+00, -3.2722972e+00,  2.4930274e+00, -8.8883641e+00, -1.4865800e+01,  3.9807551e+00,  3.1253694e+00,  1.0270464e-01,  8.9877518e-02,  7.6264244e-02,  8.6648686e-02,  4.4964690e-02,  3.2158085e-02,  9.2245516e-02,  7.0599228e-02,  2.7803998e-02,  8.5645404e-02,  5.4414845e-02,  3.5301004e-02, -6.3327765e-05, -6.2489691e-03, -1.8775704e-03,  3.5053160e-03, -8.6912770e-04, -3.2575960e-03, -3.4888472e-04, -3.3198355e-03, -5.5036697e-03,  2.8262359e-04, -6.1912617e-04,  2.1356678e-03,  6.0616428e+00, -1.3019261e+00,  3.6233699e-01,  2.5073982e+00, -1.2825142e+01, -1.9459942e+00, -2.7877199e-01,  2.3861553e+00, -1.7209392e+01,  9.4845326e+00,  1.4442309e+00, -4.1638178e+00, -2.8585923e+00,  1.8842951e+00, -4.8031181e+00, -5.7024428e+00, -1.0828555e+00, -1.7849888e-01,  2.6719547e+00, -1.0216013e-01,  1.4367844e+00, -4.8099219e-01,  1.1467022e+00,  3.1717195e-01,  1.6976063e+00, -3.0497552e-01,  2.2487457e+00, -1.3636964e+00, -1.7840591e+00, -3.0451072e+00,  6.2854774e+00, -1.0004142e+00,  8.9154892e-01,  9.1810195e-01, -1.8318143e-01, -2.6312063e-01,  6.3231557e-01, -6.3513947e-01,  5.6818937e-01,  3.1717195e-01,  1.5537899e+00,  1.3766721e-01,  4.4798699e-02,  5.0154712e-01,  2.0959311e-03,  5.7236332e-02,  4.1900723e-01, -5.4598481e-01
 4.0000000e-01,  1.9642092e+00, -3.9308987e+00,  3.7847073e-02, -2.6898149e+00,  4.7571283e+00, -2.5965853e+00, -6.2564838e+00,  8.4059685e-01,  8.3767337e+00, -1.2416462e+00, -1.9576907e+00, -1.9280791e+00,  4.0226414e+00, -1.0847680e+00, -7.7210711e+00, -6.1848137e-01,  3.9607343e+00,  4.8127716e+00, -3.6041398e+00,  5.1900344e+00, -8.6651789e+00, -1.6740874e+01,  5.3991130e+00, -1.7172950e+00,  1.3041330e-01,  1.1557084e-01,  9.9653433e-02,  1.2253382e-01,  6.1230386e-02,  3.2093175e-02,  1.1578779e-01,  7.7105281e-02,  3.1103009e-02,  1.2176253e-01,  8.3933425e-02,  5.9073861e-02, -2.7594165e-04, -4.2290244e-03, -6.9014714e-03,  2.5641873e-03, -4.5053235e-04, -3.1946548e-03, -6.5176814e-04, -3.4571235e-03, -6.2216640e-03,  1.6037736e-03, -2.1887716e-04,  3.6630791e-03,  5.6335934e+00, -1.5785985e+00, -6.3959284e-02,  5.4884443e-01, -8.5562471e+00, -2.4413327e+00,  4.7106876e-01,  1.5657059e+00, -2.1554445e+01,  6.0233797e+00,  4.3547870e+00, -4.6093059e+00, -5.3049445e+00,  2.6396542e+00, -6.3273956e+00, -5.7898645e+00,  1.7616473e-01, -9.3567189e-01,  3.0427622e+00, -8.8997528e-01,  2.7881945e-01,  2.2608673e+00,  8.5724374e-01,  7.6001678e-01, -4.4913811e-01,  1.8151411e+00,  2.8098858e+00, -8.5049038e-01, -4.7985988e+00, -2.7654861e+00,  4.8263627e+00, -1.1051755e+00,  1.6737338e+00,  8.2479460e-01, -4.1887249e-01, -7.3319955e-01,  8.1384397e-01, -6.1487385e-01,  1.0763083e+00,  7.6001678e-01,  1.5530152e+00,  1.6461818e-01, -6.2156420e-01,  9.6240294e-01, -1.0046807e+00, -1.9747089e-02,  6.2308776e-01, -6.8891810e-01
 5.0000000e-01,  1.6060937e+00, -3.6922315e+00,  9.8696985e-01, -1.3695147e+00,  5.3032290e+00, -3.7661849e+00, -7.1737881e+00,  6.3509262e-01,  1.0000906e+01, -6.7455514e-01, -3.2115368e+00, -1.3466101e-01,  4.1406012e+00, -1.2808588e-01, -4.7537221e+00, -2.6313670e+00,  7.0789997e+00,  3.1772582e+00, -4.1048963e+00,  6.3891954e+00, -7.8444274e+00, -1.6077708e+01,  9.9003372e+00, -2.9370582e+00,  1.5131086e-01,  1.3066087e-01,  1.1436338e-01,  1.4999903e-01,  6.7351174e-02,  2.2751417e-02,  1.3480648e-01,  7.6835628e-02,  2.7284071e-02,  1.4839116e-01,  1.0780365e-01,  7.9679941e-02, -1.7640834e-04, -2.7413206e-03, -1.2465464e-02,  1.6766834e-03, -5.0241028e-04, -2.2742655e-03, -8.7582524e-04, -3.3563452e-03, -6.4193664e-03,  1.6118119e-03,  4.8033342e-04,  3.0059856e-03,  5.9986788e+00, -4.4640792e+00, -1.5694389e+00, -4.0161125e-01, -6.0229149e+00, -1.6939574e+00,  1.6657964e+00,  2.1829832e+00, -1.9264283e+01,  5.9321143e+00,  6.0075452e+00, -3.1575108e+00, -6.6117313e+00,  3.4530619e+00, -6.1681701e+00, -6.0786311e+00,  6.6961048e-01, -1.7881714e+00,  3.1793828e+00, -1.7099149e+00,  2.3401136e+00,  5.2924460e+00,  1.0077168e+00,  9.6868219e-01, -2.1501786e-01,  4.0498115e+00,  3.0637366e+00, -4.6607461e-01, -5.8828467e+00, -2.5523292e+00,  4.1558765e+00, -1.0686258e+00,  1.9654159e+00,  1.2232872e-01, -4.7296419e-01, -9.0153309e-01,  5.2331271e-01,  2.3001017e-01,  1.0974371e+00,  9.6868219e-01,  1.1237957e+00,  2.4932082e-01, -7.7804427e-01,  1.1113165e+00, -2.0887129e+00, -1.4748516e-01,  5.4708985e-01, -7.9638400e-01
 6.0000000e-01,  1.8982381e+00, -2.8762883e+00,  2.0937448e+00, -8.9426077e-01,  6.0286103e+00, -2.8983708e+00, -9.1478200e+00,  5.0048075e-01,  1.0392741e+01,  1.7808636e-01, -3.6076431e+00,  1.3813107e+00,  4.6084291e+00,  8.6846535e-01, -3.1935702e+00, -5.0682454e+00,  8.7551730e+00,  4.1186079e+00, -3.8044776e+00,  6.7659951e+00, -6.7107209e+00, -1.4141684e+01,  1.0849770e+01, -2.0454426e+00,  1.7386449e-01,  1.4421810e-01,  1.3109524e-01,  1.7963035e-01,  7.0576992e-02,  5.2331186e-03,  1.5589862e-01,  7.1055357e-02,  1.9098910e-02,  1.7387028e-01,  1.3317631e-01,  1.0897981e-01, -1.9962271e-04, -1.9916322e-03, -1.9272228e-02,  7.8685436e-04, -3.8904628e-04, -1.0443722e-03, -1.0316526e-03, -3.6518743e-03, -6.0911503e-03,  1.6457404e-03,  1.2847329e-03,  2.8114810e-03,  6.6801668e+00, -3.2213800e+00, -2.4506699e+00, -4.1703224e-01, -8.6534884e+00, -5.7670132e-01,  1.8659230e+00,  2.8521712e+00, -2.2644174e+01,  6.6027199e+00,  5.5696017e+00, -3.3065405e+00, -6.8095215e+00,  3.9552733e+00, -5.8981557e+00, -6.3057160e+00, -2.5670465e-01, -2.7571722e+00,  1.8661529e+00, -2.3610044e-01,  2.6604922e+00,  6.8490137e+00,  1.0318520e+00,  1.3213323e+00,  7.6843090e-01,  4.9586312e+00,  3.1490020e+00, -6.8667967e-01, -6.6211359e+00, -2.5132850e+00,  3.8434305e+00, -1.5485055e+00,  1.4934973e+00, -1.0710694e+00, -3.7067047e-01, -8.9564532e-01, -4.5263239e-01,  1.1837957e+00,  1.2426038e+00,  1.3213323e+00,  3.8727214e-01,  1.1867339e-01, -8.1492963e-01,  1.2771910e+00, -2.8275774e+00, -8.5587831e-02,  4.2151873e-01, -9.5025584e-01
 7.0000000e-01,  3.2087923e+00, -5.0624620e-01,  3.1417854e+00, -2.9687843e-02,  6.0147488e+00, -9.6735287e-01, -8.3935631e+00,  7.7816078e-01,  1.0883397e+01,  1.0341558e+00, -4.1933652e+00,  1.6670064e+00,  4.8889668e+00,  1.1670457e+00, -3.8438435e+00, -5.2972370e+00,  8.9014673e+00,  6.2786739e+00, -3.5751623e+00,  6.2468086e+00, -6.0334892e+00, -1.3179749e+01,  1.1775035e+01, -1.0267790e+00,  2.0344853e-01,  1.5767936e-01,  1.4961648e-01,  2.1804359e-01,  7.3082246e-02, -2.2266472e-02,  1.8542975e-01,  6.1972487e-02,  6.0830115e-03,  2.0359399e-01,  1.6515207e-01,  1.4281567e-01, -2.9652922e-04, -1.4960601e-03, -1.9856216e-02,  5.5416678e-04, -2.3065427e-04, -5.4128739e-04, -1.1852285e-03, -4.1976671e-03, -6.4446067e-03,  1.6325329e-03,  1.8638789e-03,  2.9846847e-03,  8.1091345e+00, -2.6564788e+00, -3.0924575e+00, -5.1638510e-01, -8.9116942e+00, -1.2989875e+00,  1.7790784e+00,  3.0468975e+00, -2.1893685e+01,  7.1304409e+00,  5.8321146e+00, -4.1910112e+00, -6.8177456e+00,  4.7192738e+00, -5.7803099e+00, -6.1693184e+00, -1.1550261e+00, -3.1295898e+00,  4.6282038e-01,  1.1232317e+00,  1.3834458e+00,  7.7191582e+00,  8.2139913e-01,  1.7131135e+00,  1.9478704e+00,  5.4476706e+00,  2.0403348e+00, -9.8004289e-01, -7.3270643e+00, -1.9912037e+00,  3.7300945e+00, -1.9088518e+00,  1.0683814e+00, -1.9236852e+00, -5.9703089e-02, -4.5992595e-01, -1.7878448e+00,  2.2653965e+00,  1.2060968e+00,  1.7131135e+00, -2.1822271e-01, -1.9634682e-01, -7.4465928e-01,  1.3470262e+00, -3.7222971e+00,  5.5971154e-02,  2.5242791e-01, -7.7257700e-01
 8.0000000e-01,  5.7417302e+00,  2.5140888e+00,  5.0006398e+00,  1.5134888e+00,  6.9792846e+00, -2.4474928e-01, -5.4514352e+00,  1.9162175e+00,  1.0106405e+01,  1.5424790e+00, -5.8470181e+00,  2.0710268e+00,  5.7227104e+00,  1.2346336e+00, -4.5109813e+00, -7.7262875e+00,  9.3274221e+00,  5.5199532e+00, -3.6366151e+00,  4.6897526e+00, -5.9813202e+00, -1.1202072e+01,  1.2507207e+01,  5.8551439e+00,  2.4352009e-01,  1.7151763e-01,  1.7323057e-01,  2.7088480e-01,  7.7962353e-02, -5.9259082e-02,  2.2862260e-01,  4.8566332e-02, -1.2181117e-02,  2.3767535e-01,  2.0658130e-01,  1.8395974e-01, -3.8231320e-04, -1.0470748e-03, -1.7555567e-02,  4.2753440e-04,  2.9167763e-05, -1.9886195e-03, -1.3307414e-03, -4.7930618e-03, -7.3635625e-03,  1.8031863e-03,  2.7248865e-03,  3.2385783e-03,  9.6534192e+00, -2.3005256e+00, -2.7722084e+00, -9.4151430e-01, -8.9102164e+00, -2.3556852e+00,  1.2935099e+00,  1.8920474e+00, -2.2303007e+01,  7.8726759e+00,  4.8847274e+00, -7.6883726e+00, -7.1268946e+00,  4.9142598e+00, -7.0957841e+00, -6.3780992e+00, -1.4220500e+00, -3.3005811e+00,  1.0563811e+00,  3.0757241e+00, -3.5884165e-01,  8.4587939e+00,  2.1779660e-01,  2.0880161e+00,  2.7994045e+00,  5.5071863e+00,  1.0078914e+00, -3.0303327e+00, -8.2679543e+00, -1.7318621e+00,  4.0456995e+00, -2.0901657e+00,  2.8102432e-01, -2.3534521e+00,  7.3145812e-02, -1.0134564e+00, -2.7443233e+00,  3.0029224e+00,  9.8772291e-01,  2.0880161e+00, -5.4397162e-01, -7.9855475e-01, -1.3337756e+00,  1.0357888e+00, -4.9936522e+00,  4.4852675e-01,  6.2012726e-02, -2.6477054e-01
 9.0000000e-01,  1.4653857e+01,  1.0757619e+01,  1.2777780e+01,  7.0289136e+00,  1.0362235e+01, -5.4743973e-01,  5.1368584e+00,  4.1991574e+00,  6.9072972e+00,  4.0770923e+00, -6.5286507e+00,  8.1745141e-01,  6.3881137e+00,  1.3527440e+00, -4.7184733e+00, -9.4112048e+00,  1.0312706e+01,  2.3803634e+00, -4.0150809e+00,  4.9556551e+00, -9.0132376e+00, -1.1812931e+01,  1.2510308e+01,  6.6030382e+00,  2.9889490e-01,  1.8973979e-01,  2.0799211e-01,  3.4099614e-01,  8.3313694e-02, -1.0773105e-01,  2.9017362e-01,  3.0585687e-02, -3.5718346e-02,  2.7475871e-01,  2.5724106e-01,  2.2839681e-01, -4.6052450e-04, -8.1620259e-04, -1.8722649e-02,  4.4834149e-04,  2.2228308e-04, -3.7933292e-03, -1.5784466e-03, -5.4945777e-03, -8.5453701e-03,  1.9374055e-03,  3.4152326e-03,  3.1018039e-03,  1.1037359e+01, -1.6332120e+00, -2.5076801e+00, -2.7868801e+00, -8.7689810e+00, -2.4194092e+00,  5.0899961e-01,  3.6842359e-01, -2.3737756e+01,  6.9229620e+00,  3.8173785e+00, -1.2599947e+01, -8.8047205e+00,  4.8356316e+00, -6.6771670e+00, -6.1148438e+00, -1.9947475e+00, -3.0589629e+00,  9.2134337e-01,  4.6159135e+00, -1.3718791e+00,  1.0222559e+01, -9.8993720e-01,  2.2839955e+00,  1.8131774e+00,  6.4179130e+00, -1.7113316e-01, -5.4330009e+00, -8.8786730e+00, -1.5044897e+00,  4.0534981e+00, -2.6470286e+00, -1.7239200e-01, -2.4473508e+00, -4.0269818e-01, -6.7919479e-01, -3.2812997e+00,  3.3028055e+00,  4.4200142e-01,  2.2839955e+00, -5.8370141e-01, -1.4262388e+00, -2.3914366e+00,  6.1340593e-01, -5.5015473e+00,  7.8909940e-01, -5.2664707e-01,  2.7870699e-01
 1.0000000e+00,  3.7060476e+01,  4.1846443e+01,  4.1339958e+01,  3.1058061e+01,  2.5938890e+01,  8.1852276e+00,  3.6282445e+01,  7.8168517e+00, -2.1921469e+01,  1.6428900e+01, -6.9054186e+00, -3.5585293e+00,  9.4794328e+00,  1.2687843e+00, -5.1410685e+00, -1.0000721e+01,  1.2877780e+01,  1.0061687e+01, -3.3437887e+00,  5.2461794e+00, -5.9620697e+00, -1.1586671e+01,  1.4263904e+01,  8.4764061e+00,  3.8148048e-01,  2.1705395e-01,  2.4314644e-01,  4.3361982e-01,  9.5958261e-02, -1.6798792e-01,  3.8183579e-01,  9.1571939e-03, -6.1473647e-02,  3.1868049e-01,  3.2396235e-01,  2.7791246e-01, -4.5749689e-04, -5.2301394e-04, -2.0148099e-02,  5.9815377e-04,  5.9402559e-04, -6.0236775e-03, -1.7613536e-03, -6.3278096e-03, -9.6002228e-03,  2.1552871e-03,  4.1818426e-03,  3.2110671e-03,  1.1700547e+01, -3.8251866e+00, -1.9982403e+00, -5.0955388e+00, -9.7575238e+00, -3.6190260e+00, -6.0111713e-01, -8.6379746e-01, -2.1875682e+01,  7.9360340e+00,  3.5203850e+00, -1.6042101e+01, -1.0705481e+01,  5.0508380e+00, -6.2429145e+00, -5.1250455e+00, -2.4381191e+00, -2.8664424e+00,  1.8017579e+00,  4.1717885e+00, -1.7001297e+00,  1.1767150e+01, -2.9351412e+00,  2.3949338e+00,  1.4711125e+00,  6.6283380e+00, -1.9312853e+00, -8.1714471e+00, -1.0001197e+01, -1.3957621e+00,  3.9372932e+00, -2.5121492e+00, -5.2099708e-01, -2.3442162e+00, -1.1065521e+00,  1.0462220e-01, -3.3018424e+00,  3.3585257e+00, -6.2711225e-01,  2.3949338e+00, -4.4422526e-01, -2.1528374e+00, -3.8139360e+00, -1.1017045e-01, -6.2945934e+00,  1.3075113e+00, -9.8795761e-01,  7.7143590e-01
