t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.0687324e+05,  1.0686925e+05,  1.0686825e+05,  1.0688283e+05,  1.0687986e+05,  1.0686747e+05,  1.0687488e+05,  1.0690315e+05,  1.0686113e+05,  1.0685893e+05,  1.0687262e+05,  1.0688716e+05,  1.0541170e+05,  1.0542523e+05,  1.0542577e+05,  1.0544196e+05,  1.0543840e+05,  1.0541249e+05,  1.0541957e+05,  1.0541564e+05,  1.0542981e+05,  1.0541669e+05,  1.0540010e+05,  1.0542102e+05,  1.0366856e+05,  1.0365465e+05,  1.0366377e+05,  1.0370021e+05,  1.0363251e+05,  1.0367651e+05,  1.0367647e+05,  1.0364732e+05,  1.0367563e+05,  1.0368842e+05,  1.0364802e+05,  1.0367618e+05,  1.0159428e+05,  1.0163788e+05,  1.0162329e+05,  1.0161706e+05,  1.0162287e+05,  1.0162493e+05,  1.0163138e+05,  1.0161146e+05,  1.0163153e+05,  1.0163074e+05,  1.0163268e+05,  1.0161857e+05,  1.0431413e+05,  1.0429672e+05,  1.0430383e+05,  1.0431716e+05,  1.0429966e+05,  1.0430466e+05,  1.0429213e+05,  1.0428598e+05,  1.0431019e+05,  1.0431662e+05,  1.0431927e+05,  1.0432126e+05,  1.0428114e+05,  1.0429123e+05,  1.0430664e+05,  1.0429089e+05,  1.0425125e+05,  1.0422054e+05,  1.0425482e+05,  1.0423462e+05,  1.0425681e+05,  1.0423184e+05,  1.0424773e+05,  1.0421898e+05,  1.0426429e+05,  1.0426343e+05,  1.0422905e+05,  1.0424065e+05,  1.0423219e+05,  1.0424715e+05,  1.0425243e+05,  1.0424290e+05,  1.0419649e+05,  1.0419363e+05,  1.0417364e+05,  1.0420809e+05,  1.0419162e+05,  1.0419161e+05,  1.0421172e+05,  1.0421898e+05,  1.0419542e+05,  1.0417510e+05,  1.0418049e+05,  1.0417954e+05,  1.0418291e+05,  1.0418162e+05,  1.0418510e+05,  1.0418515e+05
 2.0000000e-01,  1.1506026e+05,  1.1494769e+05,  1.1503312e+05,  1.1509533e+05,  1.1514767e+05,  1.1506545e+05,  1.1507531e+05,  1.1521017e+05,  1.1504008e+05,  1.1496056e+05,  1.1499788e+05,  1.1501699e+05,  1.0748970e+05,  1.0751740e+05,  1.0755278e+05,  1.0753406e+05,  1.0754226e+05,  1.0747496e+05,  1.0752792e+05,  1.0735943e+05,  1.0746672e+05,  1.0755503e+05,  1.0722877e+05,  1.0746435e+05,  1.0133678e+05,  1.0133620e+05,  1.0133563e+05,  1.0133825e+05,  1.0133799e+05,  1.0133813e+05,  1.0133647e+05,  1.0133433e+05,  1.0133311e+05,  1.0133889e+05,  1.0133910e+05,  1.0134016e+05,  1.0132677e+05,  1.0132683e+05,  1.0132679e+05,  1.0132694e+05,  1.0132715e+05,  1.0132709e+05,  1.0132689e+05,  1.0132680e+05,  1.0132681e+05,  1.0132689e+05,  1.0132690e+05,  1.0132663e+05,  1.0168965e+05,  1.0159941e+05,  1.0160757e+05,  1.0178433e+05,  1.0176554e+05,  1.0175395e+05,  1.0147140e+05,  1.0152931e+05,  1.0186410e+05,  1.0177890e+05,  1.0166644e+05,  1.0166578e+05,  1.0150437e+05,  1.0154057e+05,  1.0156639e+05,  1.0151685e+05,  1.0141837e+05,  1.0138484e+05,  1.0140895e+05,  1.0137501e+05,  1.0139899e+05,  1.0137596e+05,  1.0141587e+05,  1.0136760e+05,  1.0143047e+05,  1.0142193e+05,  1.0136705e+05,  1.0136249e+05,  1.0140832e+05,  1.0140602e+05,  1.0142458e+05,  1.0142144e+05,  1.0137533e+05,  1.0137048e+05,  1.0135958e+05,  1.0136337e+05,  1.0136676e+05,  1.0136057e+05,  1.0137034e+05,  1.0136760e+05,  1.0136338e+05,  1.0134946e+05,  1.0134264e+05,  1.0133489e+05,  1.0137077e+05,  1.0136678e+05,  1.0137252e+05,  1.0137718e+05
 3.0000000e-01,  1.1635190e+05,  1.1620664e+05,  1.1628098e+05,  1.1634437e+05,  1.1633106e+05,  1.1622271e+05,  1.1629860e+05,  1.1650595e+05,  1.1623923e+05,  1.1623820e+05,  1.1624017e+05,  1.1619827e+05,  1.0803740e+05,  1.0806065e+05,  1.0806123e+05,  1.0807388e+05,  1.0810758e+05,  1.0804173e+05,  1.0806144e+05,  1.0792731e+05,  1.0804842e+05,  1.0815881e+05,  1.0781017e+05,  1.0802611e+05,  1.0132187e+05,  1.0132154e+05,  1.0132112e+05,  1.0132251e+05,  1.0132321e+05,  1.0132339e+05,  1.0132159e+05,  1.0132102e+05,  1.0132068e+05,  1.0132333e+05,  1.0132423e+05,  1.0132532e+05,  1.0132488e+05,  1.0132477e+05,  1.0132483e+05,  1.0132484e+05,  1.0132492e+05,  1.0132485e+05,  1.0132480e+05,  1.0132478e+05,  1.0132489e+05,  1.0132481e+05,  1.0132480e+05,  1.0132473e+05,  1.0172511e+05,  1.0161525e+05,  1.0162584e+05,  1.0180646e+05,  1.0178388e+05,  1.0171008e+05,  1.0144917e+05,  1.0150722e+05,  1.0189030e+05,  1.0179471e+05,  1.0170603e+05,  1.0167481e+05,  1.0150228e+05,  1.0156755e+05,  1.0155144e+05,  1.0153055e+05,  1.0139174e+05,  1.0134464e+05,  1.0137740e+05,  1.0130805e+05,  1.0131335e+05,  1.0130515e+05,  1.0138345e+05,  1.0132891e+05,  1.0136697e+05,  1.0135379e+05,  1.0134018e+05,  1.0135101e+05,  1.0136704e+05,  1.0138978e+05,  1.0140365e+05,  1.0140209e+05,  1.0133032e+05,  1.0132842e+05,  1.0132042e+05,  1.0130188e+05,  1.0130432e+05,  1.0130590e+05,  1.0132704e+05,  1.0132891e+05,  1.0130093e+05,  1.0129999e+05,  1.0131345e+05,  1.0131793e+05,  1.0132864e+05,  1.0133750e+05,  1.0133250e+05,  1.0134454e+05
 4.0000000e-01,  1.1672731e+05,  1.1656561e+05,  1.1663454e+05,  1.1669428e+05,  1.1666623e+05,  1.1655460e+05,  1.1663196e+05,  1.1689746e+05,  1.1660574e+05,  1.1659530e+05,  1.1659411e+05,  1.1655710e+05,  1.0819354e+05,  1.0820012e+05,  1.0816575e+05,  1.0821286e+05,  1.0824714e+05,  1.0820958e+05,  1.0820513e+05,  1.0808178e+05,  1.0819335e+05,  1.0826100e+05,  1.0796805e+05,  1.0818491e+05,  1.0132338e+05,  1.0132299e+05,  1.0132255e+05,  1.0132393e+05,  1.0132433e+05,  1.0132438e+05,  1.0132340e+05,  1.0132326e+05,  1.0132330e+05,  1.0132436e+05,  1.0132490e+05,  1.0132564e+05,  1.0132496e+05,  1.0132495e+05,  1.0132497e+05,  1.0132494e+05,  1.0132498e+05,  1.0132495e+05,  1.0132493e+05,  1.0132491e+05,  1.0132505e+05,  1.0132494e+05,  1.0132495e+05,  1.0132495e+05,  1.0173080e+05,  1.0161739e+05,  1.0163588e+05,  1.0179644e+05,  1.0175084e+05,  1.0166179e+05,  1.0144851e+05,  1.0149518e+05,  1.0188017e+05,  1.0180107e+05,  1.0173239e+05,  1.0168759e+05,  1.0150621e+05,  1.0159162e+05,  1.0154968e+05,  1.0153929e+05,  1.0138595e+05,  1.0133328e+05,  1.0137232e+05,  1.0127257e+05,  1.0128983e+05,  1.0129684e+05,  1.0137246e+05,  1.0131322e+05,  1.0134636e+05,  1.0132469e+05,  1.0133153e+05,  1.0135487e+05,  1.0134765e+05,  1.0138762e+05,  1.0140031e+05,  1.0138993e+05,  1.0131713e+05,  1.0131941e+05,  1.0131233e+05,  1.0127690e+05,  1.0129434e+05,  1.0130958e+05,  1.0131437e+05,  1.0131322e+05,  1.0129449e+05,  1.0130367e+05,  1.0131165e+05,  1.0132544e+05,  1.0131626e+05,  1.0133182e+05,  1.0131808e+05,  1.0132873e+05
 5.0000000e-01,  1.1721333e+05,  1.1705490e+05,  1.1711627e+05,  1.1717178e+05,  1.1713569e+05,  1.1701084e+05,  1.1709461e+05,  1.1737154e+05,  1.1707593e+05,  1.1707639e+05,  1.1705571e+05,  1.1701736e+05,  1.0840197e+05,  1.0839289e+05,  1.0837335e+05,  1.0839836e+05,  1.0843997e+05,  1.0843098e+05,  1.0840103e+05,  1.0827661e+05,  1.0840055e+05,  1.0842373e+05,  1.0815443e+05,  1.0840131e+05,  1.0132444e+05,  1.0132400e+05,  1.0132354e+05,  1.0132521e+05,  1.0132559e+05,  1.0132580e+05,  1.0132475e+05,  1.0132491e+05,  1.0132514e+05,  1.0132525e+05,  1.0132550e+05,  1.0132597e+05,  1.0132508e+05,  1.0132510e+05,  1.0132513e+05,  1.0132509e+05,  1.0132513e+05,  1.0132513e+05,  1.0132509e+05,  1.0132508e+05,  1.0132519e+05,  1.0132509e+05,  1.0132511e+05,  1.0132515e+05,  1.0174010e+05,  1.0161791e+05,  1.0165204e+05,  1.0180780e+05,  1.0174452e+05,  1.0165424e+05,  1.0144110e+05,  1.0148961e+05,  1.0190878e+05,  1.0181620e+05,  1.0174210e+05,  1.0169880e+05,  1.0151544e+05,  1.0160505e+05,  1.0156560e+05,  1.0153957e+05,  1.0138544e+05,  1.0132598e+05,  1.0137166e+05,  1.0125317e+05,  1.0129330e+05,  1.0129646e+05,  1.0137142e+05,  1.0130252e+05,  1.0134139e+05,  1.0132146e+05,  1.0131870e+05,  1.0135740e+05,  1.0134034e+05,  1.0138811e+05,  1.0140422e+05,  1.0138279e+05,  1.0131072e+05,  1.0131445e+05,  1.0130728e+05,  1.0126548e+05,  1.0129415e+05,  1.0131398e+05,  1.0130964e+05,  1.0130252e+05,  1.0130080e+05,  1.0131154e+05,  1.0130563e+05,  1.0132890e+05,  1.0131041e+05,  1.0132806e+05,  1.0130900e+05,  1.0131792e+05
 6.0000000e-01,  1.1784022e+05,  1.1768194e+05,  1.1774100e+05,  1.1780141e+05,  1.1776663e+05,  1.1762882e+05,  1.1770717e+05,  1.1798804e+05,  1.1769616e+05,  1.1770409e+05,  1.1767538e+05,  1.1763780e+05,  1.0866579e+05,  1.0862767e+05,  1.0860552e+05,  1.0863777e+05,  1.0870275e+05,  1.0872010e+05,  1.0864715e+05,  1.0852469e+05,  1.0865675e+05,  1.0866025e+05,  1.0838526e+05,  1.0864801e+05,  1.0132485e+05,  1.0132433e+05,  1.0132372e+05,  1.0132570e+05,  1.0132602e+05,  1.0132632e+05,  1.0132526e+05,  1.0132550e+05,  1.0132584e+05,  1.0132565e+05,  1.0132584e+05,  1.0132635e+05,  1.0132515e+05,  1.0132518e+05,  1.0132522e+05,  1.0132516e+05,  1.0132521e+05,  1.0132525e+05,  1.0132517e+05,  1.0132517e+05,  1.0132525e+05,  1.0132517e+05,  1.0132520e+05,  1.0132526e+05,  1.0175112e+05,  1.0163302e+05,  1.0168271e+05,  1.0183277e+05,  1.0175731e+05,  1.0165560e+05,  1.0144165e+05,  1.0148770e+05,  1.0192634e+05,  1.0184171e+05,  1.0175363e+05,  1.0171291e+05,  1.0151831e+05,  1.0161603e+05,  1.0159012e+05,  1.0154878e+05,  1.0138406e+05,  1.0132462e+05,  1.0137357e+05,  1.0123536e+05,  1.0127467e+05,  1.0128996e+05,  1.0137464e+05,  1.0129910e+05,  1.0133360e+05,  1.0132534e+05,  1.0131203e+05,  1.0136033e+05,  1.0133260e+05,  1.0138762e+05,  1.0141199e+05,  1.0138544e+05,  1.0130353e+05,  1.0131188e+05,  1.0129996e+05,  1.0125337e+05,  1.0128869e+05,  1.0131249e+05,  1.0130805e+05,  1.0129910e+05,  1.0130142e+05,  1.0131248e+05,  1.0130040e+05,  1.0132986e+05,  1.0130212e+05,  1.0132387e+05,  1.0130231e+05,  1.0131021e+05
 7.0000000e-01,  1.1861812e+05,  1.1846472e+05,  1.1852827e+05,  1.1860299e+05,  1.1858430e+05,  1.1843164e+05,  1.1848152e+05,  1.1874954e+05,  1.1846624e+05,  1.1850253e+05,  1.1846451e+05,  1.1844710e+05,  1.0898345e+05,  1.0892167e+05,  1.0890418e+05,  1.0894197e+05,  1.0903431e+05,  1.0908132e+05,  1.0895182e+05,  1.0883409e+05,  1.0898693e+05,  1.0897094e+05,  1.0866543e+05,  1.0894022e+05,  1.0132500e+05,  1.0132448e+05,  1.0132392e+05,  1.0132577e+05,  1.0132604e+05,  1.0132632e+05,  1.0132534e+05,  1.0132551e+05,  1.0132584e+05,  1.0132584e+05,  1.0132608e+05,  1.0132669e+05,  1.0132518e+05,  1.0132522e+05,  1.0132524e+05,  1.0132520e+05,  1.0132525e+05,  1.0132529e+05,  1.0132521e+05,  1.0132522e+05,  1.0132529e+05,  1.0132521e+05,  1.0132524e+05,  1.0132530e+05,  1.0176951e+05,  1.0165864e+05,  1.0171187e+05,  1.0187331e+05,  1.0176556e+05,  1.0166190e+05,  1.0145169e+05,  1.0149705e+05,  1.0195687e+05,  1.0187072e+05,  1.0176802e+05,  1.0172550e+05,  1.0152593e+05,  1.0163447e+05,  1.0161300e+05,  1.0156925e+05,  1.0138246e+05,  1.0132525e+05,  1.0137424e+05,  1.0123962e+05,  1.0125893e+05,  1.0128617e+05,  1.0138583e+05,  1.0129932e+05,  1.0132988e+05,  1.0132777e+05,  1.0130600e+05,  1.0136098e+05,  1.0133165e+05,  1.0139415e+05,  1.0142252e+05,  1.0139238e+05,  1.0129513e+05,  1.0131056e+05,  1.0129314e+05,  1.0125486e+05,  1.0128714e+05,  1.0130778e+05,  1.0130907e+05,  1.0129932e+05,  1.0130031e+05,  1.0131043e+05,  1.0129574e+05,  1.0132705e+05,  1.0129646e+05,  1.0132226e+05,  1.0129525e+05,  1.0130345e+05
 8.0000000e-01,  1.1970664e+05,  1.1953848e+05,  1.1961596e+05,  1.1972510e+05,  1.1971735e+05,  1.1955770e+05,  1.1954995e+05,  1.1976268e+05,  1.1950317e+05,  1.1964007e+05,  1.1956609e+05,  1.1955536e+05,  1.0937290e+05,  1.0927066e+05,  1.0926704e+05,  1.0932398e+05,  1.0944903e+05,  1.0953882e+05,  1.0932667e+05,  1.0920901e+05,  1.0938737e+05,  1.0936686e+05,  1.0901751e+05,  1.0931398e+05,  1.0132506e+05,  1.0132451e+05,  1.0132395e+05,  1.0132580e+05,  1.0132611e+05,  1.0132646e+05,  1.0132534e+05,  1.0132539e+05,  1.0132569e+05,  1.0132601e+05,  1.0132629e+05,  1.0132700e+05,  1.0132521e+05,  1.0132525e+05,  1.0132528e+05,  1.0132524e+05,  1.0132528e+05,  1.0132532e+05,  1.0132524e+05,  1.0132526e+05,  1.0132531e+05,  1.0132524e+05,  1.0132528e+05,  1.0132535e+05,  1.0179003e+05,  1.0168219e+05,  1.0173745e+05,  1.0191421e+05,  1.0178492e+05,  1.0166840e+05,  1.0146600e+05,  1.0150647e+05,  1.0200439e+05,  1.0190949e+05,  1.0178407e+05,  1.0174547e+05,  1.0153550e+05,  1.0165241e+05,  1.0163851e+05,  1.0158304e+05,  1.0138054e+05,  1.0132837e+05,  1.0137852e+05,  1.0124704e+05,  1.0124537e+05,  1.0128418e+05,  1.0139473e+05,  1.0129664e+05,  1.0133165e+05,  1.0132699e+05,  1.0130358e+05,  1.0136041e+05,  1.0133041e+05,  1.0139792e+05,  1.0143402e+05,  1.0139711e+05,  1.0128873e+05,  1.0131091e+05,  1.0128829e+05,  1.0125739e+05,  1.0128617e+05,  1.0130081e+05,  1.0130580e+05,  1.0129664e+05,  1.0129723e+05,  1.0130908e+05,  1.0129478e+05,  1.0132410e+05,  1.0129143e+05,  1.0131833e+05,  1.0128851e+05,  1.0129632e+05
 9.0000000e-01,  1.2133865e+05,  1.2120404e+05,  1.2137113e+05,  1.2157829e+05,  1.2163735e+05,  1.2147310e+05,  1.2119020e+05,  1.2114964e+05,  1.2103689e+05,  1.2148367e+05,  1.2145344e+05,  1.2146883e+05,  1.0988428e+05,  1.0974338e+05,  1.0975133e+05,  1.0982489e+05,  1.1001008e+05,  1.1013746e+05,  1.0983670e+05,  1.0970783e+05,  1.0986304e+05,  1.0989218e+05,  1.0949079e+05,  1.0980131e+05,  1.0132525e+05,  1.0132469e+05,  1.0132426e+05,  1.0132577e+05,  1.0132598e+05,  1.0132628e+05,  1.0132534e+05,  1.0132518e+05,  1.0132544e+05,  1.0132624e+05,  1.0132658e+05,  1.0132735e+05,  1.0132524e+05,  1.0132529e+05,  1.0132534e+05,  1.0132526e+05,  1.0132531e+05,  1.0132535e+05,  1.0132526e+05,  1.0132529e+05,  1.0132537e+05,  1.0132526e+05,  1.0132530e+05,  1.0132537e+05,  1.0180775e+05,  1.0171265e+05,  1.0177612e+05,  1.0195788e+05,  1.0179808e+05,  1.0168015e+05,  1.0146994e+05,  1.0151606e+05,  1.0204756e+05,  1.0195022e+05,  1.0180427e+05,  1.0176127e+05,  1.0153171e+05,  1.0166554e+05,  1.0166341e+05,  1.0160626e+05,  1.0138055e+05,  1.0133417e+05,  1.0139367e+05,  1.0124007e+05,  1.0124559e+05,  1.0128924e+05,  1.0140832e+05,  1.0129324e+05,  1.0134292e+05,  1.0132967e+05,  1.0130882e+05,  1.0135626e+05,  1.0132870e+05,  1.0139721e+05,  1.0144644e+05,  1.0140772e+05,  1.0128409e+05,  1.0131362e+05,  1.0128605e+05,  1.0124903e+05,  1.0128833e+05,  1.0129462e+05,  1.0130361e+05,  1.0129324e+05,  1.0129778e+05,  1.0130864e+05,  1.0129775e+05,  1.0131753e+05,  1.0128350e+05,  1.0131174e+05,  1.0128194e+05,  1.0129298e+05
 1.0000000e+00,  1.2401208e+05,  1.2414851e+05,  1.2446055e+05,  1.2466787e+05,  1.2504771e+05,  1.2505284e+05,  1.2331310e+05,  1.2227513e+05,  1.2317728e+05,  1.2495612e+05,  1.2521137e+05,  1.2524323e+05,  1.1061235e+05,  1.1043093e+05,  1.1044179e+05,  1.1057808e+05,  1.1091025e+05,  1.1100151e+05,  1.1057477e+05,  1.1042673e+05,  1.1051572e+05,  1.1066250e+05,  1.1019115e+05,  1.1054196e+05,  1.0132515e+05,  1.0132445e+05,  1.0132399e+05,  1.0132578e+05,  1.0132614e+05,  1.0132656e+05,  1.0132510e+05,  1.0132456e+05,  1.0132469e+05,  1.0132661e+05,  1.0132717e+05,  1.0132819e+05,  1.0132525e+05,  1.0132530e+05,  1.0132530e+05,  1.0132528e+05,  1.0132533e+05,  1.0132537e+05,  1.0132528e+05,  1.0132531e+05,  1.0132539e+05,  1.0132528e+05,  1.0132532e+05,  1.0132539e+05,  1.0183548e+05,  1.0173247e+05,  1.0181182e+05,  1.0200076e+05,  1.0181469e+05,  1.0169420e+05,  1.0148101e+05,  1.0152757e+05,  1.0211782e+05,  1.0202655e+05,  1.0183087e+05,  1.0176902e+05,  1.0152274e+05,  1.0167572e+05,  1.0169290e+05,  1.0163015e+05,  1.0137700e+05,  1.0133576e+05,  1.0140543e+05,  1.0122403e+05,  1.0125366e+05,  1.0129285e+05,  1.0142132e+05,  1.0129084e+05,  1.0134856e+05,  1.0134081e+05,  1.0131650e+05,  1.0134880e+05,  1.0132624e+05,  1.0139379e+05,  1.0146457e+05,  1.0141676e+05,  1.0127792e+05,  1.0131278e+05,  1.0127892e+05,  1.0123346e+05,  1.0129077e+05,  1.0129006e+05,  1.0130211e+05,  1.0129084e+05,  1.0129552e+05,  1.0130771e+05,  1.0129964e+05,  1.0130766e+05,  1.0127941e+05,  1.0130601e+05,  1.0127899e+05,  1.0129118e+05
