t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00,  0.0000000e+00
 2.0000000e-01,  4.9509680e-01,  4.9105100e-01,  4.5441722e-01,  4.2717065e-01,  3.8195075e-01,  5.6868384e-01,  5.4244203e-01,  5.7600922e-01,  5.5355469e-01,  3.4556156e-01,  4.1052494e-01,  5.9811473e-01,  1.4331488e-03,  1.3338014e-03,  7.9847297e-04,  1.5791434e-03,  1.2047407e-03,  1.2060113e-03,  1.5904375e-03,  1.2902351e-03,  1.3484034e-03,  1.6029535e-03,  1.9367367e-03,  1.6424575e-03,  1.1596646e-06,  8.0934498e-07,  8.4942550e-07,  1.4525508e-06,  6.9670168e-07,  7.2523486e-07,  1.0466588e-06,  1.1071232e-06,  7.0008733e-07,  1.2193211e-06,  1.1712288e-06,  8.3476837e-07,  1.8786078e-10,  2.2133750e-10,  1.1406655e-10,  2.6008533e-10,  1.4316791e-10,  1.5321986e-10,  2.3069393e-10,  1.3542742e-10,  1.8029721e-10,  3.6429820e-10,  1.7697485e-10,  1.6071652e-10,  1.4816346e-05,  1.9063792e-05,  1.3954548e-05,  1.2398474e-05,  2.0655484e-05,  3.4146513e-05,  1.0764995e-05,  9.6277112e-06,  1.8253825e-05,  1.3601330e-05,  1.1323123e-05,  9.6381840e-06,  1.0192152e-05,  1.5254966e-05,  1.1505694e-05,  8.5674699e-06,  1.3272058e-05,  8.1898074e-06,  1.0426332e-05,  7.4155410e-06,  1.3704136e-05,  1.2281411e-05,  7.5607866e-06,  8.1900117e-06,  1.3414840e-05,  1.1982405e-05,  1.0104260e-05,  8.1087366e-06,  1.0160822e-05,  1.5369538e-05,  1.2168294e-05,  7.1804435e-06,  1.0827238e-05,  7.7298073e-06,  7.7562872e-06,  6.4836415e-06,  1.0629382e-05,  9.5354808e-06,  1.2698821e-05,  8.1900117e-06,  8.6200126e-06,  6.8775096e-06,  9.0021369e-06,  9.2168150e-06,  1.0940423e-05,  1.2953957e-05,  9.0334622e-06,  8.6262539e-06
 3.0000000e-01,  5.4290774e-01,  5.4272105e-01,  5.1586990e-01,  4.5395577e-01,  4.2237891e-01,  6.4426389e-01,  6.0276461e-01,  6.4411580e-01,  6.4671043e-01,  3.7319730e-01,  4.5546408e-01,  6.8838290e-01,  1.6416495e-03,  1.5290907e-03,  9.1675712e-04,  1.8423564e-03,  1.3960691e-03,  1.3867442e-03,  1.8404870e-03,  1.5101422e-03,  1.6048371e-03,  1.8692727e-03,  2.2480992e-03,  1.8954620e-03,  1.3719262e-06,  9.8844743e-07,  9.8984858e-07,  1.7180676e-06,  8.4021509e-07,  8.9280002e-07,  1.2604054e-06,  1.3185284e-06,  8.3265615e-07,  1.4853595e-06,  1.4095972e-06,  9.8979929e-07,  2.2692484e-10,  2.7251505e-10,  1.3736271e-10,  3.1812489e-10,  1.6467123e-10,  1.8728327e-10,  2.8108578e-10,  1.6095020e-10,  2.3105798e-10,  4.5486323e-10,  2.2342719e-10,  1.9494210e-10,  1.7441939e-05,  2.2452097e-05,  1.6724024e-05,  1.4694244e-05,  2.5025955e-05,  4.1168859e-05,  1.2499268e-05,  1.1231715e-05,  2.1359070e-05,  1.5848109e-05,  1.2728252e-05,  1.1322599e-05,  1.2019572e-05,  1.8052962e-05,  1.3383705e-05,  1.0081942e-05,  1.5514308e-05,  9.9604607e-06,  1.2195833e-05,  8.7145655e-06,  1.6165489e-05,  1.4406146e-05,  8.8281914e-06,  1.0142438e-05,  1.5730322e-05,  1.4035037e-05,  1.1807073e-05,  9.9207273e-06,  1.1494532e-05,  1.8375530e-05,  1.4148621e-05,  8.4605474e-06,  1.2516720e-05,  9.1924119e-06,  9.0026062e-06,  7.5717594e-06,  1.2522618e-05,  1.1309418e-05,  1.4893237e-05,  1.0142438e-05,  1.0213254e-05,  8.2211293e-06,  1.0632468e-05,  1.1265070e-05,  1.2671156e-05,  1.5459103e-05,  1.0574148e-05,  1.0077908e-05
 4.0000000e-01,  5.9346688e-01,  5.9618896e-01,  5.7016517e-01,  4.9579486e-01,  4.6819572e-01,  7.3085876e-01,  6.5100236e-01,  7.0563276e-01,  7.3852720e-01,  4.0816346e-01,  5.1070573e-01,  7.7631284e-01,  1.9431309e-03,  1.7425605e-03,  9.9218320e-04,  2.1689821e-03,  1.5388907e-03,  1.3914278e-03,  2.1818144e-03,  1.7822956e-03,  1.7438270e-03,  2.2047572e-03,  2.6361586e-03,  2.4390823e-03,  2.1152146e-05,  2.2360132e-05,  6.4999446e-04,  3.6259048e-05,  6.5524364e-05,  6.1858877e-04,  4.4601661e-05,  1.0996360e-04,  2.8875960e-04,  4.2582225e-05,  6.1110433e-05,  1.4549790e-04,  1.2066611e-04,  2.4285043e-04,  6.3882980e-04,  1.6097241e-04,  3.6039131e-04,  4.1622878e-04,  1.2514665e-04,  1.0014950e-04,  4.4022025e-04,  2.4551327e-04,  2.0045733e-04,  2.7822590e-04,  4.6589419e-05,  3.2588016e-05,  2.8987434e-05,  2.6313399e-04,  4.8637579e-05,  1.2749053e-04,  1.0822208e-04,  3.7544509e-04,  4.6582987e-05,  5.8497824e-05,  1.3773496e-04,  2.5922520e-04,  5.1866088e-05,  6.6359187e-05,  9.1865770e-05,  3.3051775e-05,  5.0764829e-05,  2.8306865e-05,  1.0038471e-04,  2.5073010e-04,  2.8069679e-05,  4.5355622e-05,  8.4803930e-05,  3.2841548e-04,  3.9483967e-05,  5.2698218e-05,  6.7993778e-05,  2.4022355e-04,  3.8208862e-05,  3.8708855e-05,  7.1682420e-05,  1.0521945e-04,  4.1226650e-05,  2.1177594e-05,  6.5609233e-05,  1.9233920e-04,  3.6141553e-05,  5.7001451e-05,  9.8615894e-05,  3.2841548e-04,  3.1591923e-05,  6.0108800e-05,  1.1344562e-04,  1.8282045e-04,  4.8262605e-05,  4.3643339e-05,  1.2570094e-04,  1.7631894e-04
 5.0000000e-01,  6.4291341e-01,  6.4850899e-01,  6.1917409e-01,  5.3990421e-01,  5.1768550e-01,  8.1291196e-01,  6.9977484e-01,  7.6310214e-01,  8.2744558e-01,  4.4416535e-01,  5.6490531e-01,  8.6659054e-01,  2.2604428e-03,  1.9689922e-03,  1.1078956e-03,  2.5250298e-03,  1.7210893e-03,  1.2832317e-03,  2.5340719e-03,  1.9921275e-03,  1.7742296e-03,  2.5797839e-03,  3.2030996e-03,  3.5323260e-03,  5.4372172e-05,  6.6314191e-05,  1.5563810e-03,  5.6100127e-05,  1.3744701e-04,  6.0056438e-04,  1.0562215e-04,  1.9750218e-04,  6.6192492e-04,  7.4722503e-05,  1.9391162e-04,  4.4803191e-04,  5.1453843e-04,  6.6309535e-04,  1.0270697e-03,  5.5152140e-04,  1.1459050e-03,  6.0803576e-04,  5.6087257e-04,  4.3305441e-04,  7.0464265e-04,  7.9990520e-04,  6.1172811e-04,  3.8790699e-04,  3.3828207e-05,  4.7697350e-05,  1.3637603e-04,  2.8654509e-04,  2.2922125e-05,  1.1395398e-04,  1.7454072e-04,  6.4529959e-04,  2.5560986e-05,  2.1191466e-05,  2.1718163e-04,  6.5284054e-04,  3.6025936e-05,  1.0820161e-04,  1.9140235e-04,  4.0537813e-04,  3.0619055e-05,  2.5494145e-05,  1.1355979e-04,  2.8040686e-04,  5.0497766e-05,  5.1818709e-05,  1.0505345e-04,  5.1395677e-04,  3.1247561e-05,  2.3355011e-05,  1.5861500e-04,  5.7390023e-04,  2.8829829e-05,  7.9925623e-05,  2.2544984e-04,  3.7727874e-04,  2.6640878e-05,  5.3967599e-06,  1.4550978e-04,  2.6766338e-04,  2.7118138e-05,  3.6102076e-05,  1.6685229e-04,  5.1395677e-04,  2.5620477e-05,  4.0215854e-05,  1.8998392e-04,  5.3123803e-04,  4.8307664e-05,  1.0177818e-04,  3.3998996e-04,  6.9464989e-04
 6.0000000e-01,  6.9198822e-01,  6.9800949e-01,  6.6463406e-01,  5.8183238e-01,  5.6530889e-01,  8.9084225e-01,  7.4515700e-01,  8.1383465e-01,  9.1075859e-01,  4.7782702e-01,  6.1846954e-01,  9.5634694e-01,  2.5229793e-03,  2.2458053e-03,  1.3222437e-03,  2.8600413e-03,  1.9064300e-03,  1.2992739e-03,  2.8443206e-03,  2.1054967e-03,  1.9309044e-03,  2.9160910e-03,  3.6392768e-03,  2.5772123e-03,  1.2329491e-04,  1.7993340e-04,  5.1232946e-04,  1.0964469e-04,  2.2868236e-04,  8.3443496e-04,  1.6031319e-04,  2.6831396e-04,  1.2945009e-03,  1.6817503e-04,  4.2113369e-04,  1.0481677e-03,  9.6687560e-04,  1.2583804e-03,  1.2730194e-03,  1.0466332e-03,  1.9084389e-03,  1.0820055e-03,  1.0861149e-03,  7.7048652e-04,  1.0457503e-03,  1.4157590e-03,  1.1333890e-03,  6.8965859e-04,  3.8159323e-05,  1.8236207e-05,  2.5517321e-04,  3.7016232e-04,  5.4010967e-05,  1.0932184e-04,  2.7688405e-04,  8.2614872e-04,  3.3550360e-05,  1.8659405e-05,  4.5760699e-04,  1.4229106e-03,  7.9648111e-05,  1.6087020e-04,  3.9297307e-04,  8.2144118e-04,  3.4455223e-05,  6.3264004e-05,  1.3530654e-04,  3.9339624e-04,  6.1490298e-05,  5.7224510e-05,  1.4775319e-04,  7.6730812e-04,  3.3811697e-05,  1.3732243e-05,  3.2519421e-04,  1.0688792e-03,  6.9216450e-05,  1.3254112e-04,  3.9824724e-04,  7.6668064e-04,  5.6324776e-05,  6.9618626e-05,  1.9147791e-04,  3.8242710e-04,  4.8632060e-05,  3.4547871e-05,  2.7129794e-04,  7.6730812e-04,  2.9475938e-05,  5.1602949e-05,  3.9061293e-04,  1.0616723e-03,  7.2452171e-05,  1.8356678e-04,  5.7227791e-04,  1.6052957e-03
 7.0000000e-01,  7.3959528e-01,  7.4878445e-01,  7.0484465e-01,  6.2602192e-01,  6.1622166e-01,  9.6714977e-01,  7.9068614e-01,  8.6131152e-01,  9.9237138e-01,  5.1229395e-01,  6.7041630e-01,  1.0420022e+00,  2.8946454e-03,  2.6832002e-03,  1.1827856e-03,  3.3521128e-03,  2.2531026e-03,  1.0495815e-03,  3.3024815e-03,  2.4135100e-03,  1.9681514e-03,  3.4172611e-03,  4.3988307e-03,  1.8302355e-03,  1.3678131e-04,  2.2158819e-04,  9.8161431e-04,  1.2374239e-04,  3.2380675e-04,  1.4019442e-03,  1.3532903e-04,  4.6750101e-04,  3.0302795e-03,  2.0585166e-04,  5.9691151e-04,  1.9406040e-03,  1.4602698e-03,  1.7940907e-03,  1.3190251e-03,  1.5444545e-03,  2.8062696e-03,  1.8327649e-03,  1.6805992e-03,  1.2096879e-03,  1.1213321e-03,  1.9624499e-03,  1.5472911e-03,  1.5378345e-03,  7.6101196e-05,  8.7349484e-05,  3.4802838e-04,  6.1897317e-04,  1.4204213e-04,  7.1325361e-05,  2.7350589e-04,  9.3974927e-04,  9.2373661e-05,  9.2765777e-05,  5.1287251e-04,  1.9100898e-03,  1.9869757e-04,  1.9174907e-04,  5.5567956e-04,  1.4264281e-03,  5.5615152e-05,  1.1380470e-04,  3.8110152e-04,  6.4880205e-04,  1.1736553e-04,  8.8222463e-05,  1.4279480e-04,  9.4805411e-04,  1.0888446e-04,  8.2949505e-05,  4.0535873e-04,  1.2990468e-03,  1.0665923e-04,  1.9999071e-04,  5.2847822e-04,  1.1271517e-03,  6.5176723e-05,  1.1817940e-04,  2.9784502e-04,  7.9531893e-04,  8.5487868e-05,  5.8548844e-05,  3.0082933e-04,  9.4805411e-04,  7.6318595e-05,  4.2713882e-05,  5.1848076e-04,  1.6575935e-03,  9.9429610e-05,  2.4973221e-04,  7.9321983e-04,  2.6017945e-03
 8.0000000e-01,  7.8712475e-01,  7.9228155e-01,  7.3849013e-01,  6.6852049e-01,  6.6631139e-01,  1.0684209e+00,  8.3774222e-01,  9.0270420e-01,  1.0663428e+00,  5.4986559e-01,  7.2112112e-01,  1.1204341e+00,  3.3927897e-03,  3.2552545e-03,  1.4069469e-03,  3.9697193e-03,  2.7370619e-03,  1.6657471e-03,  3.9096909e-03,  2.8876821e-03,  2.6322225e-03,  4.0502251e-03,  5.3215041e-03,  2.0616729e-03,  1.6125875e-04,  1.8093964e-04,  1.1815009e-03,  1.3804001e-04,  3.2363889e-04,  1.2846108e-03,  1.3500089e-04,  5.7067398e-04,  3.4656178e-03,  2.6575526e-04,  7.1963173e-04,  2.5906836e-03,  1.7367776e-03,  2.0968530e-03,  1.3225073e-03,  1.8281700e-03,  3.2702242e-03,  2.2597057e-03,  2.0305913e-03,  1.4122385e-03,  1.3592208e-03,  2.3451605e-03,  1.8184830e-03,  1.8900395e-03,  1.1168485e-04,  1.6410882e-04,  4.1085188e-04,  8.6166948e-04,  2.0900147e-04,  1.6854802e-04,  2.4270717e-04,  8.8946820e-04,  1.4114406e-04,  1.2549825e-04,  5.9214437e-04,  2.1868777e-03,  2.8106135e-04,  2.4013069e-04,  6.8948795e-04,  1.7698971e-03,  8.7038837e-05,  1.3935191e-04,  5.6602363e-04,  8.8376618e-04,  1.7069824e-04,  1.2007526e-04,  1.5844614e-04,  1.0439453e-03,  1.5761671e-04,  1.1513281e-04,  4.7196138e-04,  1.4309523e-03,  1.4716645e-04,  2.5257273e-04,  6.2374177e-04,  1.3254242e-03,  1.0574096e-04,  1.5436301e-04,  3.4940750e-04,  1.0412211e-03,  1.0843846e-04,  9.2912343e-05,  3.2058144e-04,  1.0439453e-03,  1.0094973e-04,  6.3547863e-05,  5.8602616e-04,  1.8677149e-03,  1.4391828e-04,  3.0689352e-04,  9.1642136e-04,  2.9127635e-03
 9.0000000e-01,  8.3914886e-01,  8.2993505e-01,  7.6497577e-01,  7.0849124e-01,  7.2024105e-01,  1.1644532e+00,  8.8052523e-01,  9.3892730e-01,  1.1368194e+00,  5.8926801e-01,  7.7076088e-01,  1.1919398e+00,  3.9561431e-03,  3.9311880e-03,  1.6392839e-03,  4.6647061e-03,  3.3015422e-03,  2.4664196e-03,  4.5982523e-03,  3.4521773e-03,  3.1842849e-03,  4.7703347e-03,  6.4038638e-03,  2.4609832e-03,  1.7422238e-04,  1.1818286e-04,  1.4100863e-03,  1.7384092e-04,  2.5383951e-04,  1.0760997e-03,  1.1225174e-04,  5.9848078e-04,  3.5933878e-03,  3.1307236e-04,  7.8685138e-04,  2.9541972e-03,  1.9203993e-03,  2.2838343e-03,  1.4364587e-03,  2.0008639e-03,  3.5459544e-03,  2.5776287e-03,  2.2709510e-03,  1.5615269e-03,  1.7142191e-03,  2.5386346e-03,  1.9568332e-03,  2.1548081e-03,  1.4673584e-04,  2.5237512e-04,  4.3575519e-04,  1.0520242e-03,  2.8111261e-04,  3.2447604e-04,  1.5102126e-04,  6.5943382e-04,  2.0241966e-04,  1.6581590e-04,  5.7303981e-04,  2.1606663e-03,  3.4174754e-04,  2.8703552e-04,  7.1645106e-04,  1.8941290e-03,  1.1616021e-04,  1.7379536e-04,  7.0899665e-04,  1.0546253e-03,  2.1438176e-04,  1.4975032e-04,  1.7049695e-04,  9.3084585e-04,  2.0877591e-04,  1.5482576e-04,  4.9881709e-04,  1.3625189e-03,  1.8053006e-04,  2.6765612e-04,  6.3291164e-04,  1.3502183e-03,  1.2761580e-04,  1.7122468e-04,  3.6534271e-04,  1.1732958e-03,  1.4137513e-04,  1.4042809e-04,  2.6491471e-04,  9.3084585e-04,  1.2015702e-04,  1.1163421e-04,  5.7681993e-04,  1.8367291e-03,  1.7151222e-04,  3.1035039e-04,  8.7640741e-04,  2.8167314e-03
 1.0000000e+00,  8.8250527e-01,  8.5781317e-01,  7.8606163e-01,  7.4713488e-01,  7.7409714e-01,  1.2506812e+00,  9.2187082e-01,  9.6529362e-01,  1.1941823e+00,  6.3070929e-01,  8.2310400e-01,  1.2461438e+00,  4.6097170e-03,  4.7007903e-03,  2.1372008e-03,  5.4464461e-03,  3.9479628e-03,  3.6238929e-03,  5.3950186e-03,  4.1177583e-03,  3.9168450e-03,  5.5831450e-03,  7.5921744e-03,  2.7967910e-03,  1.9519457e-04,  9.2349105e-05,  1.2617352e-03,  1.9804670e-04,  2.4920234e-04,  1.0075379e-03,  8.7647244e-05,  5.8586890e-04,  3.3364920e-03,  3.4346600e-04,  8.2114825e-04,  3.1149382e-03,  2.0298472e-03,  2.3970723e-03,  1.7582740e-03,  2.0976867e-03,  3.7018991e-03,  2.6659564e-03,  2.4188655e-03,  1.6727376e-03,  1.9745511e-03,  2.6847355e-03,  2.0443458e-03,  2.3083278e-03,  1.8295126e-04,  3.3639443e-04,  4.0753610e-04,  1.0224329e-03,  3.4873955e-04,  4.8842551e-04,  4.8137234e-05,  4.5944048e-04,  2.6699804e-04,  2.0727119e-04,  5.1964551e-04,  1.9829930e-03,  3.9201612e-04,  3.2878205e-04,  7.1875950e-04,  1.9247802e-03,  1.4256596e-04,  1.9946128e-04,  7.8038609e-04,  1.0146229e-03,  2.5842864e-04,  1.6966708e-04,  2.2883184e-04,  7.6274033e-04,  2.5618937e-04,  1.8835498e-04,  4.8467067e-04,  1.1721291e-03,  2.1567411e-04,  2.7433372e-04,  6.1974443e-04,  1.3202384e-03,  1.5306243e-04,  1.9602852e-04,  3.8299266e-04,  1.1163024e-03,  1.6933959e-04,  1.8101216e-04,  1.9022686e-04,  7.6274033e-04,  1.3791194e-04,  1.5714242e-04,  5.1877911e-04,  1.6866803e-03,  1.9965905e-04,  3.0546640e-04,  7.9580719e-04,  2.5614032e-03
