t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  9.6801522e-03,  3.6625842e-03,  1.1547368e-03,  9.4350820e-03,  5.0314352e-03,  1.3351260e-03,  9.8127888e-03,  1.7440667e-02,  9.5606452e-04,  3.4935266e-03,  4.8329696e-03,  2.2904548e-03,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08,  4.2072972e-08
 2.0000000e-01,  1.7495919e-03,  1.1436522e-03,  9.2572180e-04,  1.3963498e-03,  2.0542902e-03,  8.1078638e-04,  2.0611244e-04,  2.9260331e-03,  7.9033605e-04,  1.4217022e-03,  1.9859494e-03,  1.2437975e-03,  4.2129459e-08,  4.2118675e-08,  4.2105510e-08,  4.2167393e-08,  4.2121230e-08,  4.2103635e-08,  4.2136064e-08,  4.2126812e-08,  4.2110954e-08,  4.2117873e-08,  4.2108284e-08,  4.2105628e-08,  4.2072407e-08,  4.2072406e-08,  4.2072405e-08,  4.2072407e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072405e-08,  4.2072407e-08,  4.2072406e-08,  4.2072405e-08,  4.2072405e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072406e-08,  4.2072430e-08,  4.2072395e-08,  4.2072409e-08,  4.2072410e-08,  4.2072404e-08,  4.2072394e-08,  4.2072417e-08,  4.2072426e-08,  4.2072400e-08,  4.2072425e-08,  4.2072426e-08,  4.2072413e-08,  4.2072443e-08,  4.2072420e-08,  4.2072422e-08,  4.2072422e-08,  4.2072411e-08,  4.2072428e-08,  4.2072414e-08,  4.2072412e-08,  4.2072417e-08,  4.2072422e-08,  4.2072408e-08,  4.2072408e-08,  4.2072417e-08,  4.2072410e-08,  4.2072408e-08,  4.2072424e-08,  4.2072405e-08,  4.2072401e-08,  4.2072387e-08,  4.2072399e-08,  4.2072404e-08,  4.2072404e-08,  4.2072415e-08,  4.2072406e-08,  4.2072402e-08,  4.2072400e-08,  4.2072401e-08,  4.2072408e-08,  4.2072422e-08,  4.2072417e-08,  4.2072404e-08,  4.2072410e-08,  4.2072412e-08,  4.2072401e-08,  4.2072413e-08,  4.2072408e-08
 3.0000000e-01,  2.8840509e-03,  1.4064396e-03,  1.0051492e-03,  2.0203529e-03,  2.3564073e-03,  9.3421347e-04,  1.7484645e-03,  5.0873747e-03,  8.5799894e-04,  1.3819073e-03,  2.6008741e-03,  1.3644220e-03,  4.2183721e-08,  4.2175807e-08,  4.2143475e-08,  4.2238269e-08,  4.2182826e-08,  4.2139009e-08,  4.2204800e-08,  4.2178876e-08,  4.2151983e-08,  4.2184014e-08,  4.2157031e-08,  4.2142645e-08,  4.2071840e-08,  4.2071839e-08,  4.2071839e-08,  4.2071841e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071839e-08,  4.2071840e-08,  4.2071840e-08,  4.2071839e-08,  4.2071839e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071840e-08,  4.2071870e-08,  4.2071842e-08,  4.2071846e-08,  4.2071848e-08,  4.2071845e-08,  4.2071837e-08,  4.2071857e-08,  4.2071859e-08,  4.2071846e-08,  4.2071863e-08,  4.2071859e-08,  4.2071849e-08,  4.2071874e-08,  4.2071858e-08,  4.2071858e-08,  4.2071860e-08,  4.2071849e-08,  4.2071860e-08,  4.2071849e-08,  4.2071846e-08,  4.2071852e-08,  4.2071854e-08,  4.2071845e-08,  4.2071843e-08,  4.2071853e-08,  4.2071848e-08,  4.2071845e-08,  4.2071853e-08,  4.2071843e-08,  4.2071840e-08,  4.2071832e-08,  4.2071836e-08,  4.2071843e-08,  4.2071842e-08,  4.2071847e-08,  4.2071843e-08,  4.2071840e-08,  4.2071837e-08,  4.2071840e-08,  4.2071843e-08,  4.2071855e-08,  4.2071850e-08,  4.2071842e-08,  4.2071844e-08,  4.2071846e-08,  4.2071839e-08,  4.2071848e-08,  4.2071844e-08
 4.0000000e-01,  5.8632681e-03,  2.5770130e-03,  1.4368326e-03,  3.9180231e-03,  3.7599543e-03,  1.5089962e-03,  4.4897648e-03,  1.0078551e-02,  1.2328817e-03,  1.9980490e-03,  4.4223717e-03,  2.1460384e-03,  4.2258850e-08,  4.2275437e-08,  1.1782871e-06,  4.2335105e-08,  4.2395836e-08,  9.0496098e-07,  4.2290567e-08,  4.2280125e-08,  3.4403879e-07,  4.2269845e-08,  4.2233511e-08,  1.3973321e-06,  4.2071203e-08,  4.2095650e-08,  2.4357747e-06,  4.2071536e-08,  4.2130176e-08,  2.2248847e-06,  4.2071275e-08,  4.2138600e-08,  9.2088669e-07,  4.2071766e-08,  4.2083570e-08,  4.3210251e-07,  4.2122638e-08,  4.2117630e-08,  2.1565517e-06,  4.2088377e-08,  4.2111152e-08,  1.1560268e-06,  4.2077419e-08,  4.2128011e-08,  2.4021339e-06,  4.2077933e-08,  4.2089392e-08,  3.6037178e-07,  4.2071385e-08,  4.2071615e-08,  4.2092246e-08,  1.0045580e-07,  4.2071263e-08,  4.2071703e-08,  4.2192316e-08,  8.6069720e-08,  4.2071328e-08,  4.2071428e-08,  4.2094165e-08,  8.9273366e-08,  4.2071335e-08,  4.2071326e-08,  4.2081422e-08,  8.0893313e-08,  4.2071234e-08,  4.2071533e-08,  4.2084997e-08,  1.2331957e-07,  4.2071173e-08,  4.2071338e-08,  4.2085369e-08,  7.9415675e-08,  4.2071222e-08,  4.2071473e-08,  4.2088584e-08,  8.6552320e-08,  4.2071275e-08,  4.2071226e-08,  4.2080917e-08,  5.0369865e-08,  4.2071311e-08,  4.2071552e-08,  4.2120379e-08,  8.6574918e-08,  4.2071320e-08,  4.2071450e-08,  4.2096020e-08,  7.9415675e-08,  4.2071187e-08,  4.2071243e-08,  4.2083498e-08,  5.8475957e-08,  4.2071432e-08,  4.2071245e-08,  4.2116860e-08,  1.4669461e-07
 5.0000000e-01,  1.1029118e-02,  5.3601601e-03,  2.5839094e-03,  7.6197075e-03,  6.8285154e-03,  3.0562232e-03,  8.8341804e-03,  1.8160315e-02,  2.3142676e-03,  3.6634371e-03,  8.0636713e-03,  4.2760384e-03,  4.2359190e-08,  4.2442309e-08,  1.2449907e-06,  4.2466515e-08,  4.2739510e-08,  9.4173474e-07,  4.2401694e-08,  4.2460968e-08,  3.7233466e-07,  4.2379726e-08,  4.2349288e-08,  1.4892217e-06,  4.2071253e-08,  4.2157384e-08,  2.6536470e-06,  4.2071303e-08,  4.2255512e-08,  2.3272746e-06,  4.2071111e-08,  4.2292646e-08,  8.9286973e-07,  4.2071641e-08,  4.2122980e-08,  4.5630050e-07,  4.2246109e-08,  4.2225650e-08,  2.2712054e-06,  4.2143078e-08,  4.2209992e-08,  1.2347379e-06,  4.2097916e-08,  4.2268407e-08,  2.4284235e-06,  4.2101987e-08,  4.2157307e-08,  4.0321390e-07,  4.2070921e-08,  4.2071604e-08,  4.2157335e-08,  1.1274754e-07,  4.2070770e-08,  4.2071747e-08,  4.2431869e-08,  9.4493370e-08,  4.2070795e-08,  4.2071360e-08,  4.2174869e-08,  1.0178927e-07,  4.2070927e-08,  4.2071778e-08,  4.2123029e-08,  8.7952140e-08,  4.2070761e-08,  4.2072411e-08,  4.2124094e-08,  1.3635933e-07,  4.2070690e-08,  4.2071014e-08,  4.2131475e-08,  9.2001701e-08,  4.2070775e-08,  4.2071271e-08,  4.2140781e-08,  8.5726733e-08,  4.2070795e-08,  4.2071774e-08,  4.2119057e-08,  5.7010596e-08,  4.2070840e-08,  4.2071737e-08,  4.2247840e-08,  1.0108716e-07,  4.2070820e-08,  4.2071266e-08,  4.2167797e-08,  9.2001701e-08,  4.2070605e-08,  4.2071461e-08,  4.2122329e-08,  6.7959094e-08,  4.2070948e-08,  4.2071604e-08,  4.2234609e-08,  1.5938013e-07
 6.0000000e-01,  1.8336033e-02,  1.0378649e-02,  4.9452451e-03,  1.3485019e-02,  1.2094062e-02,  6.2885915e-03,  1.4859829e-02,  2.8743823e-02,  4.6965181e-03,  6.8236536e-03,  1.3965566e-02,  8.6787582e-03,  4.2490348e-08,  4.2703742e-08,  1.3284748e-06,  4.2636546e-08,  4.3245134e-08,  9.7619472e-07,  4.2542554e-08,  4.2744857e-08,  3.9887331e-07,  4.2518072e-08,  4.2527486e-08,  1.6264613e-06,  4.2071898e-08,  4.2275843e-08,  2.7409445e-06,  4.2071074e-08,  4.2469031e-08,  2.4149841e-06,  4.2071336e-08,  4.2559375e-08,  8.7461797e-07,  4.2072928e-08,  4.2214531e-08,  4.8518053e-07,  4.2468778e-08,  4.2442884e-08,  2.3204381e-06,  4.2254090e-08,  4.2407642e-08,  1.3280067e-06,  4.2146427e-08,  4.2535227e-08,  2.4733577e-06,  4.2159367e-08,  4.2310210e-08,  4.4601072e-07,  4.2070584e-08,  4.2072238e-08,  4.2286277e-08,  1.2436565e-07,  4.2070178e-08,  4.2073557e-08,  4.2795764e-08,  1.0146897e-07,  4.2070376e-08,  4.2073284e-08,  4.2346020e-08,  1.1321200e-07,  4.2070627e-08,  4.2074306e-08,  4.2212950e-08,  9.5667355e-08,  4.2070423e-08,  4.2075157e-08,  4.2203994e-08,  1.4908943e-07,  4.2070204e-08,  4.2071253e-08,  4.2228106e-08,  1.0205562e-07,  4.2070292e-08,  4.2072524e-08,  4.2252812e-08,  8.8056505e-08,  4.2070356e-08,  4.2074150e-08,  4.2201334e-08,  6.2453317e-08,  4.2070470e-08,  4.2073511e-08,  4.2466874e-08,  1.1218504e-07,  4.2070361e-08,  4.2072382e-08,  4.2309516e-08,  1.0205562e-07,  4.2070236e-08,  4.2073553e-08,  4.2211388e-08,  7.6168533e-08,  4.2070708e-08,  4.2073991e-08,  4.2446210e-08,  1.7274068e-07
 7.0000000e-01,  2.7144000e-02,  1.7732278e-02,  8.9601440e-03,  2.1285284e-02,  1.9629500e-02,  1.1915763e-02,  2.2124350e-02,  4.0499437e-02,  9.0109342e-03,  1.1720838e-02,  2.2034261e-02,  1.6049061e-02,  4.2662202e-08,  4.3074314e-08,  1.4338258e-06,  4.2855087e-08,  4.3891976e-08,  1.0063194e-06,  4.2725171e-08,  4.3162813e-08,  4.2557127e-07,  4.2694389e-08,  4.2794575e-08,  1.8291161e-06,  4.2073042e-08,  4.2453162e-08,  2.8762927e-06,  4.2070928e-08,  4.2771905e-08,  2.5010316e-06,  4.2072471e-08,  4.2957745e-08,  8.6260759e-07,  4.2075749e-08,  4.2368767e-08,  5.1953643e-07,  4.2805991e-08,  4.2793242e-08,  2.3097026e-06,  4.2431763e-08,  4.2719517e-08,  1.4443829e-06,  4.2236971e-08,  4.2979856e-08,  2.5409367e-06,  4.2262156e-08,  4.2582897e-08,  4.9234111e-07,  4.2070359e-08,  4.2073521e-08,  4.2489680e-08,  1.3572359e-07,  4.2069888e-08,  4.2078804e-08,  4.3277211e-08,  1.0799898e-07,  4.2070305e-08,  4.2076944e-08,  4.2618441e-08,  1.2437941e-07,  4.2071014e-08,  4.2080846e-08,  4.2372600e-08,  1.0357377e-07,  4.2070323e-08,  4.2079673e-08,  4.2334657e-08,  1.6147315e-07,  4.2069945e-08,  4.2072416e-08,  4.2390432e-08,  1.1115597e-07,  4.2070137e-08,  4.2075471e-08,  4.2424198e-08,  9.2057845e-08,  4.2070299e-08,  4.2080260e-08,  4.2351066e-08,  6.7263337e-08,  4.2070321e-08,  4.2076713e-08,  4.2777482e-08,  1.2067167e-07,  4.2070117e-08,  4.2075597e-08,  4.2536552e-08,  1.1115597e-07,  4.2070172e-08,  4.2078199e-08,  4.2357754e-08,  8.3866389e-08,  4.2070875e-08,  4.2080412e-08,  4.2769952e-08,  1.8662302e-07
 8.0000000e-01,  3.6258204e-02,  2.6730686e-02,  1.4770057e-02,  3.0090809e-02,  2.8830392e-02,  1.9981647e-02,  2.9633042e-02,  5.1559779e-02,  1.5635844e-02,  1.8192689e-02,  3.1487280e-02,  2.6231745e-02,  4.2888633e-08,  4.3571351e-08,  1.5670106e-06,  4.3141494e-08,  4.4665917e-08,  1.0333670e-06,  4.2966303e-08,  4.3710888e-08,  4.5323333e-07,  4.2926108e-08,  4.3157712e-08,  2.1260263e-06,  4.2074496e-08,  4.2683442e-08,  3.1734479e-06,  4.2071074e-08,  4.3151488e-08,  2.5910914e-06,  4.2074667e-08,  4.3458611e-08,  8.5486840e-07,  4.2080960e-08,  4.2588723e-08,  5.5950002e-07,  4.3251472e-08,  4.3256789e-08,  2.2657736e-06,  4.2667955e-08,  4.3136810e-08,  1.5947183e-06,  4.2373522e-08,  4.3578253e-08,  2.6325329e-06,  4.2413778e-08,  4.2955867e-08,  5.4294292e-07,  4.2070402e-08,  4.2075793e-08,  4.2768671e-08,  1.4707645e-07,  4.2069940e-08,  4.2087051e-08,  4.3857525e-08,  1.1416222e-07,  4.2070644e-08,  4.2082652e-08,  4.2984851e-08,  1.3545633e-07,  4.2072060e-08,  4.2091738e-08,  4.2591764e-08,  1.1129788e-07,  4.2070444e-08,  4.2086979e-08,  4.2520487e-08,  1.7354412e-07,  4.2069999e-08,  4.2074544e-08,  4.2617796e-08,  1.1975987e-07,  4.2070276e-08,  4.2080099e-08,  4.2662338e-08,  9.7027122e-08,  4.2070625e-08,  4.2090524e-08,  4.2559359e-08,  7.1653380e-08,  4.2070434e-08,  4.2082091e-08,  4.3171561e-08,  1.2642923e-07,  4.2070184e-08,  4.2081118e-08,  4.2838221e-08,  1.1975987e-07,  4.2070443e-08,  4.2085059e-08,  4.2563287e-08,  9.1323715e-08,  4.2071582e-08,  4.2091088e-08,  4.3186265e-08,  2.0095969e-07
 9.0000000e-01,  4.4105227e-02,  3.5980292e-02,  2.2068034e-02,  3.8548934e-02,  3.8369946e-02,  2.9632699e-02,  3.6342157e-02,  6.0092339e-02,  2.4233052e-02,  2.5597769e-02,  4.0970211e-02,  3.7910087e-02,  4.3181494e-08,  4.4190211e-08,  1.7329274e-06,  4.3505973e-08,  4.5568663e-08,  1.0601785e-06,  4.3278407e-08,  4.4385429e-08,  4.8263564e-07,  4.3226418e-08,  4.3624946e-08,  2.5314889e-06,  4.2076727e-08,  4.2961721e-08,  3.6978734e-06,  4.2071662e-08,  4.3600211e-08,  2.6977221e-06,  4.2077909e-08,  4.4038700e-08,  8.5018268e-07,  4.2087913e-08,  4.2866378e-08,  6.0540440e-07,  4.3788002e-08,  4.3832248e-08,  2.2069806e-06,  4.2958023e-08,  4.3649409e-08,  1.7884264e-06,  4.2554520e-08,  4.4307480e-08,  2.7528469e-06,  4.2609706e-08,  4.3423703e-08,  5.9941856e-07,  4.2070814e-08,  4.2078868e-08,  4.3118276e-08,  1.5850684e-07,  4.2070505e-08,  4.2099046e-08,  4.4508339e-08,  1.2005189e-07,  4.2071456e-08,  4.2090409e-08,  4.3426077e-08,  1.4640955e-07,  4.2073863e-08,  4.2106544e-08,  4.2869372e-08,  1.1866718e-07,  4.2071013e-08,  4.2097393e-08,  4.2758580e-08,  1.8518582e-07,  4.2070587e-08,  4.2077944e-08,  4.2902438e-08,  1.2798298e-07,  4.2070938e-08,  4.2086403e-08,  4.2950183e-08,  1.0260355e-07,  4.2071519e-08,  4.2103829e-08,  4.2824756e-08,  7.5644231e-08,  4.2070985e-08,  4.2089447e-08,  4.3633655e-08,  1.2792842e-07,  4.2070682e-08,  4.2089164e-08,  4.3205399e-08,  1.2798298e-07,  4.2071149e-08,  4.2094020e-08,  4.2818654e-08,  9.8515612e-08,  4.2073000e-08,  4.2105154e-08,  4.3679969e-08,  2.1572819e-07
 1.0000000e+00,  4.9730483e-02,  4.3865286e-02,  2.9989440e-02,  4.5231650e-02,  4.6568365e-02,  3.9404973e-02,  4.1281358e-02,  6.5047112e-02,  3.3681971e-02,  3.2925124e-02,  4.8871866e-02,  4.8939398e-02,  4.3559124e-08,  4.4941941e-08,  1.9366097e-06,  4.3973321e-08,  4.6600592e-08,  1.0896450e-06,  4.3681256e-08,  4.5185513e-08,  5.1446746e-07,  4.3613492e-08,  4.4192453e-08,  3.0550269e-06,  4.2080193e-08,  4.3284535e-08,  4.5308261e-06,  4.2072892e-08,  4.4108246e-08,  2.8350479e-06,  4.2082047e-08,  4.4674889e-08,  8.4658776e-07,  4.2096563e-08,  4.3196884e-08,  6.5713728e-07,  4.4405656e-08,  4.4493145e-08,  2.1709206e-06,  4.3294422e-08,  4.4241736e-08,  2.0323310e-06,  4.2778079e-08,  4.5137950e-08,  2.9060463e-06,  4.2848756e-08,  4.3977103e-08,  6.6228815e-07,  4.2071781e-08,  4.2083159e-08,  4.3528290e-08,  1.7000979e-07,  4.2071700e-08,  4.2114897e-08,  4.5208499e-08,  1.2565359e-07,  4.2072851e-08,  4.2099761e-08,  4.3924803e-08,  1.5729209e-07,  4.2076539e-08,  4.2124515e-08,  4.3196791e-08,  1.2551427e-07,  4.2072135e-08,  4.2111841e-08,  4.3044414e-08,  1.9588580e-07,  4.2071761e-08,  4.2082835e-08,  4.3234620e-08,  1.3579492e-07,  4.2072093e-08,  4.2094290e-08,  4.3282005e-08,  1.0865639e-07,  4.2073005e-08,  4.2120289e-08,  4.3140485e-08,  7.9141349e-08,  4.2072098e-08,  4.2099630e-08,  4.4147256e-08,  1.2015104e-07,  4.2071722e-08,  4.2099895e-08,  4.3624475e-08,  1.3579492e-07,  4.2072326e-08,  4.2104856e-08,  4.3118893e-08,  1.0544091e-07,  4.2075111e-08,  4.2122099e-08,  4.4233630e-08,  2.3088126e-07
