t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.6322282e+00,  1.3914756e+00,  1.7841283e+00,  1.2645913e+00,  1.4978810e+00,  2.3045945e+00,  1.6754746e+00,  1.4399405e+00,  1.9400050e+00,  1.6411795e+00,  1.3186682e+00,  1.8732239e+00,  1.8130666e+00,  2.0370323e+00,  1.5753342e+00,  1.4649339e+00,  1.1973922e+00,  1.7456431e+00,  1.7988992e+00,  1.5376296e+00,  2.1731260e+00,  1.5311212e+00,  1.9415671e+00,  2.4469420e+00,  1.7694257e+00,  1.3210348e+00,  1.9620889e+00,  1.3956611e+00,  1.7809051e+00,  1.5343559e+00,  1.6840625e+00,  1.5518420e+00,  1.7374224e+00,  1.5717652e+00,  1.7627728e+00,  1.5618190e+00,  1.4540966e+00,  1.7632777e+00,  1.9763033e+00,  1.7306488e+00,  2.2063961e+00,  1.7732496e+00,  1.5473523e+00,  1.4385716e+00,  2.8008763e+00,  1.6753314e+00,  1.1785981e+00,  1.9430422e+00,  1.3701391e+00,  1.6177624e+00,  1.6731667e+00,  2.1916785e+00,  2.3666538e+00,  3.0179745e+00,  1.4279187e+00,  1.8042289e+00,  1.7074191e+00,  1.6558533e+00,  1.7799122e+00,  1.6792448e+00,  1.8881037e+00,  1.5758936e+00,  1.6156859e+00,  1.3046545e+00,  1.4066198e+00,  1.3850360e+00,  2.6444657e+00,  1.6419750e+00,  2.2108933e+00,  1.9043855e+00,  1.2544751e+00,  2.0037851e+00,  1.6359927e+00,  1.3274923e+00,  1.3883413e+00,  2.2004831e+00,  1.4230585e+00,  1.6962588e+00,  1.7165674e+00,  1.3561573e+00,  1.4517030e+00,  1.4062893e+00,  1.6182099e+00,  1.8323372e+00,  1.6005306e+00,  1.6035118e+00,  1.3628797e+00,  2.0037851e+00,  1.3337776e+00,  1.5650121e+00,  1.9566143e+00,  2.2803608e+00,  1.7276602e+00,  1.6487485e+00,  1.7924878e+00,  2.0529931e+00
 2.0000000e-01,  9.8485388e-05,  8.4547916e-05,  1.4377973e-04,  7.6293432e-05,  8.8521326e-05,  1.8766818e-04,  9.6420679e-05,  1.0647579e-04,  1.7393523e-04,  9.7303514e-05,  8.0190170e-05,  1.2387112e-04,  1.8130656e+00,  2.0370311e+00,  1.5753333e+00,  1.4649330e+00,  1.1973915e+00,  1.7456421e+00,  1.7988982e+00,  1.5376287e+00,  2.1731248e+00,  1.5311204e+00,  1.9415660e+00,  2.4469406e+00,  1.7694247e+00,  1.3210341e+00,  1.9620878e+00,  1.3956603e+00,  1.7809041e+00,  1.5343550e+00,  1.6840616e+00,  1.5518412e+00,  1.7374214e+00,  1.5717643e+00,  1.7627718e+00,  1.5618181e+00,  1.4540958e+00,  1.7632767e+00,  1.9763022e+00,  1.7306478e+00,  2.2063949e+00,  1.7732486e+00,  1.5473515e+00,  1.4385707e+00,  2.8008748e+00,  1.6753304e+00,  1.1785975e+00,  1.9430412e+00,  1.3701383e+00,  1.6177615e+00,  1.6731658e+00,  2.1916773e+00,  2.3666525e+00,  3.0179728e+00,  1.4279179e+00,  1.8042279e+00,  1.7074181e+00,  1.6558524e+00,  1.7799112e+00,  1.6792439e+00,  1.8881027e+00,  1.5758927e+00,  1.6156850e+00,  1.3046538e+00,  1.4066190e+00,  1.3850352e+00,  2.6444642e+00,  1.6419741e+00,  2.2108921e+00,  1.9043844e+00,  1.2544744e+00,  2.0037840e+00,  1.6359918e+00,  1.3274915e+00,  1.3883405e+00,  2.2004819e+00,  1.4230577e+00,  1.6962579e+00,  1.7165664e+00,  1.3561565e+00,  1.4517022e+00,  1.4062885e+00,  1.6182090e+00,  1.8323362e+00,  1.6005297e+00,  1.6035109e+00,  1.3628789e+00,  2.0037840e+00,  1.3337769e+00,  1.5650112e+00,  1.9566132e+00,  2.2803595e+00,  1.7276592e+00,  1.6487476e+00,  1.7924868e+00,  2.0529920e+00
 3.0000000e-01,  5.3883451e-04,  1.9227339e-04,  1.5801496e-04,  9.2464803e-04,  2.1260121e-04,  2.3824736e-04,  1.3289998e-03,  6.4682429e-04,  1.8330526e-04,  1.9321566e-04,  1.8148548e-04,  1.7771740e-04,  1.8139753e+00,  2.0380552e+00,  1.5759013e+00,  1.4659182e+00,  1.1980495e+00,  1.7461731e+00,  1.8001068e+00,  1.5383666e+00,  2.1739247e+00,  1.5319543e+00,  1.9423594e+00,  2.4477249e+00,  1.7694237e+00,  1.3210333e+00,  1.9620867e+00,  1.3956595e+00,  1.7809031e+00,  1.5343542e+00,  1.6840606e+00,  1.5518403e+00,  1.7374205e+00,  1.5717635e+00,  1.7627709e+00,  1.5618173e+00,  1.4540949e+00,  1.7632757e+00,  1.9763011e+00,  1.7306468e+00,  2.2063936e+00,  1.7732476e+00,  1.5473506e+00,  1.4385699e+00,  2.8008732e+00,  1.6753295e+00,  1.1785968e+00,  1.9430401e+00,  1.3701378e+00,  1.6177607e+00,  1.6731648e+00,  2.1916762e+00,  2.3666512e+00,  3.0179711e+00,  1.4279172e+00,  1.8042270e+00,  1.7074173e+00,  1.6558517e+00,  1.7799104e+00,  1.6792430e+00,  1.8881019e+00,  1.5758920e+00,  1.6156843e+00,  1.3046532e+00,  1.4066183e+00,  1.3850345e+00,  2.6444627e+00,  1.6419732e+00,  2.2108909e+00,  1.9043835e+00,  1.2544738e+00,  2.0037829e+00,  1.6359909e+00,  1.3274908e+00,  1.3883398e+00,  2.2004808e+00,  1.4230570e+00,  1.6962569e+00,  1.7165654e+00,  1.3561557e+00,  1.4517014e+00,  1.4062877e+00,  1.6182081e+00,  1.8323352e+00,  1.6005288e+00,  1.6035100e+00,  1.3628782e+00,  2.0037829e+00,  1.3337762e+00,  1.5650104e+00,  1.9566122e+00,  2.2803583e+00,  1.7276583e+00,  1.6487467e+00,  1.7924858e+00,  2.0529908e+00
 4.0000000e-01,  1.0453173e-03,  5.0593178e-04,  2.0773811e-04,  1.1021073e-03,  4.9330800e-04,  3.4163571e-04,  2.1207262e-03,  1.8127300e-03,  2.5659997e-04,  6.5072841e-04,  3.9968205e-04,  3.4908997e-04,  1.8149553e+00,  2.0391156e+00,  1.5764615e+00,  1.4669801e+00,  1.1987312e+00,  1.7467593e+00,  1.8011662e+00,  1.5390817e+00,  2.1747772e+00,  1.5328624e+00,  1.9432135e+00,  2.4485632e+00,  1.7694228e+00,  1.3210326e+00,  1.9620856e+00,  1.3956587e+00,  1.7809021e+00,  1.5343533e+00,  1.6840597e+00,  1.5518394e+00,  1.7374195e+00,  1.5717626e+00,  1.7627699e+00,  1.5618164e+00,  1.4540941e+00,  1.7632747e+00,  1.9763000e+00,  1.7306458e+00,  2.2063924e+00,  1.7732466e+00,  1.5473497e+00,  1.4385691e+00,  2.8008716e+00,  1.6753286e+00,  1.1785961e+00,  1.9430390e+00,  1.3701370e+00,  1.6177599e+00,  1.6731640e+00,  2.1916750e+00,  2.3666501e+00,  3.0179696e+00,  1.4279165e+00,  1.8042260e+00,  1.7074165e+00,  1.6558508e+00,  1.7799094e+00,  1.6792421e+00,  1.8881008e+00,  1.5758912e+00,  1.6156834e+00,  1.3046524e+00,  1.4066176e+00,  1.3850338e+00,  2.6444614e+00,  1.6419723e+00,  2.2108897e+00,  1.9043824e+00,  1.2544731e+00,  2.0037819e+00,  1.6359901e+00,  1.3274901e+00,  1.3883391e+00,  2.2004795e+00,  1.4230562e+00,  1.6962561e+00,  1.7165646e+00,  1.3561550e+00,  1.4517006e+00,  1.4062870e+00,  1.6182072e+00,  1.8323342e+00,  1.6005280e+00,  1.6035091e+00,  1.3628775e+00,  2.0037819e+00,  1.3337755e+00,  1.5650095e+00,  1.9566111e+00,  2.2803571e+00,  1.7276574e+00,  1.6487458e+00,  1.7924849e+00,  2.0529897e+00
 5.0000000e-01,  2.1393858e-03,  1.3200707e-03,  3.9695715e-04,  2.4427749e-03,  1.2445439e-03,  7.2435060e-04,  2.9819544e-03,  3.8435416e-03,  6.0005719e-04,  1.5973160e-03,  9.8422835e-04,  9.8289037e-04,  1.8162805e+00,  2.0393860e+00,  1.3399815e-01,  1.4684213e+00,  1.1949149e+00,  1.6948334e-01,  1.8025927e+00,  1.5381981e+00,  3.4764511e-01,  1.5340624e+00,  1.9433141e+00,  2.0446063e-01,  1.7694248e+00,  1.3200683e+00,  1.4437874e-01,  1.3956599e+00,  1.7779257e+00,  9.3422089e-02,  1.6840600e+00,  1.5486168e+00,  1.3160736e-01,  1.5717659e+00,  1.7622537e+00,  2.3416702e-01,  1.4518471e+00,  1.7608969e+00,  1.3052846e-01,  1.7298193e+00,  2.2040361e+00,  1.4444550e-01,  1.5470837e+00,  1.4361475e+00,  1.5423442e-01,  1.6750398e+00,  1.1779224e+00,  3.2525092e-01,  1.3701368e+00,  1.6177612e+00,  1.6721231e+00,  9.6996232e-01,  2.3666490e+00,  3.0179717e+00,  1.4225694e+00,  9.3924960e-01,  1.7074159e+00,  1.6558514e+00,  1.7788018e+00,  7.9960681e-01,  1.8881003e+00,  1.5758910e+00,  1.6152013e+00,  6.9165901e-01,  1.4066172e+00,  1.3850338e+00,  2.6435452e+00,  6.4523867e-01,  2.2108881e+00,  1.9043834e+00,  1.2539357e+00,  1.0563149e+00,  1.6359892e+00,  1.3274906e+00,  1.3876761e+00,  1.0900537e+00,  1.4230557e+00,  1.6962559e+00,  1.7161232e+00,  1.1022756e+00,  1.4517007e+00,  1.4062882e+00,  1.6158226e+00,  9.0983508e-01,  1.6005275e+00,  1.6035099e+00,  1.3618504e+00,  1.0563149e+00,  1.3337745e+00,  1.5650100e+00,  1.9560415e+00,  1.6176466e+00,  1.7276578e+00,  1.6487463e+00,  1.7902183e+00,  7.1979741e-01
 6.0000000e-01,  4.0204480e-03,  2.8529727e-03,  9.3329772e-04,  4.8711381e-03,  2.8202168e-03,  1.8280524e-03,  4.4531066e-03,  7.0455912e-03,  1.6344889e-03,  3.2370800e-03,  2.1977538e-03,  2.6046029e-03,  1.8180313e+00,  2.0383290e+00,  1.2860087e-01,  1.4703144e+00,  1.1895236e+00,  1.6447022e-01,  1.8045129e+00,  1.5356964e+00,  3.3651459e-01,  1.5356404e+00,  1.9427929e+00,  2.0168372e-01,  1.7694336e+00,  1.3178935e+00,  1.3988078e-01,  1.3956629e+00,  1.7723959e+00,  9.1447473e-02,  1.6840653e+00,  1.5429876e+00,  1.3056361e-01,  1.5717741e+00,  1.7608334e+00,  2.2680091e-01,  1.4469652e+00,  1.7564735e+00,  1.2743368e-01,  1.7274989e+00,  2.1986816e+00,  1.4162786e-01,  1.5463470e+00,  1.4311346e+00,  1.5192174e-01,  1.6741540e+00,  1.1761823e+00,  3.0196312e-01,  1.3701386e+00,  1.6177683e+00,  1.6692983e+00,  8.8205931e-01,  2.3666485e+00,  3.0179632e+00,  1.4137331e+00,  8.6692661e-01,  1.7074161e+00,  1.6558563e+00,  1.7758119e+00,  7.2168652e-01,  1.8881027e+00,  1.5759030e+00,  1.6138419e+00,  6.3634148e-01,  1.4066187e+00,  1.3850351e+00,  2.6410568e+00,  5.8411790e-01,  2.2108882e+00,  1.9043857e+00,  1.2524117e+00,  9.5496591e-01,  1.6359897e+00,  1.3274939e+00,  1.3860099e+00,  1.0668884e+00,  1.4230564e+00,  1.6962703e+00,  1.7147892e+00,  1.0013658e+00,  1.4517016e+00,  1.4062925e+00,  1.6104125e+00,  8.0754784e-01,  1.6005275e+00,  1.6035111e+00,  1.3593714e+00,  9.5496591e-01,  1.3337745e+00,  1.5650181e+00,  1.9545089e+00,  1.4360674e+00,  1.7276595e+00,  1.6487582e+00,  1.7851041e+00,  6.6324174e-01
 7.0000000e-01,  6.7640526e-03,  5.2718848e-03,  2.1425609e-03,  8.3639614e-03,  5.4899903e-03,  4.2371057e-03,  6.6761528e-03,  1.1382897e-02,  3.8520397e-03,  5.7646797e-03,  4.2535734e-03,  5.7368861e-03,  1.8202890e+00,  2.0357618e+00,  1.2319886e-01,  1.4727191e+00,  1.1820855e+00,  1.5942552e-01,  1.8069772e+00,  1.5316737e+00,  3.2474844e-01,  1.5376572e+00,  1.9413703e+00,  1.9612240e-01,  1.7694522e+00,  1.3142577e+00,  1.3760835e-01,  1.3956666e+00,  1.7639055e+00,  8.9866278e-02,  1.6840794e+00,  1.5344985e+00,  1.2931669e-01,  1.5718036e+00,  1.7582858e+00,  2.1715025e-01,  1.4390784e+00,  1.7492077e+00,  1.2581163e-01,  1.7233819e+00,  2.1898037e+00,  1.3777524e-01,  1.5449459e+00,  1.4229565e+00,  1.5039802e-01,  1.6724087e+00,  1.1731667e+00,  2.8243257e-01,  1.3701422e+00,  1.6177834e+00,  1.6642114e+00,  8.1190732e-01,  2.3666493e+00,  3.0179616e+00,  1.4018709e+00,  8.1373965e-01,  1.7074193e+00,  1.6558878e+00,  1.7706854e+00,  6.6337982e-01,  1.8881097e+00,  1.5759382e+00,  1.6113013e+00,  5.9051064e-01,  1.4066225e+00,  1.3850281e+00,  2.6362455e+00,  5.3817047e-01,  2.2108897e+00,  1.9043974e+00,  1.2496067e+00,  8.8280103e-01,  1.6359920e+00,  1.3275146e+00,  1.3832898e+00,  1.0339126e+00,  1.4230588e+00,  1.6963068e+00,  1.7121928e+00,  9.3179804e-01,  1.4517049e+00,  1.4062993e+00,  1.6020338e+00,  7.4294832e-01,  1.6005295e+00,  1.6035221e+00,  1.3550250e+00,  8.8280103e-01,  1.3337772e+00,  1.5650519e+00,  1.9517524e+00,  1.3097781e+00,  1.7276659e+00,  1.6487932e+00,  1.7769716e+00,  6.1659245e-01
 8.0000000e-01,  1.0170232e-02,  8.5329459e-03,  4.3462078e-03,  1.2475395e-02,  9.2239457e-03,  8.4144989e-03,  9.4757670e-03,  1.6290027e-02,  7.5269585e-03,  9.2268766e-03,  7.1556006e-03,  1.0622492e-02,  1.8232481e+00,  2.0317659e+00,  1.1751103e-01,  1.4757679e+00,  1.1729672e+00,  1.5478236e-01,  1.8101959e+00,  1.5263958e+00,  3.1275898e-01,  1.5402604e+00,  1.9392551e+00,  1.8783682e-01,  1.7694717e+00,  1.3090921e+00,  1.3557772e-01,  1.3956723e+00,  1.7525926e+00,  8.8040613e-02,  1.6841092e+00,  1.5235188e+00,  1.2815366e-01,  1.5718573e+00,  1.7544066e+00,  2.0583458e-01,  1.4285772e+00,  1.7391234e+00,  1.2646307e-01,  1.7174329e+00,  2.1771411e+00,  1.3276548e-01,  1.5428111e+00,  1.4119937e+00,  1.4955071e-01,  1.6696592e+00,  1.1688673e+00,  2.6536765e-01,  1.3701498e+00,  1.6178039e+00,  1.6566535e+00,  7.5362029e-01,  2.3666578e+00,  3.0179666e+00,  1.3877456e+00,  7.7119485e-01,  1.7074296e+00,  1.6559430e+00,  1.7632814e+00,  6.1636249e-01,  1.8881302e+00,  1.5760197e+00,  1.6075139e+00,  5.5337510e-01,  1.4066299e+00,  1.3849914e+00,  2.6286725e+00,  5.0224408e-01,  2.2108985e+00,  1.9044238e+00,  1.2454363e+00,  8.2550374e-01,  1.6359997e+00,  1.3275540e+00,  1.3793304e+00,  9.9524779e-01,  1.4230669e+00,  1.6963881e+00,  1.7082590e+00,  8.7919335e-01,  1.4517115e+00,  1.4062912e+00,  1.5910084e+00,  7.0045889e-01,  1.6005362e+00,  1.6035424e+00,  1.3488285e+00,  8.2550374e-01,  1.3337847e+00,  1.5651113e+00,  1.9474787e+00,  1.2135324e+00,  1.7276822e+00,  1.6488686e+00,  1.7662490e+00,  5.7808458e-01
 9.0000000e-01,  1.3774106e-02,  1.2273904e-02,  7.6510576e-03,  1.6475502e-02,  1.3591484e-02,  1.4271477e-02,  1.2470326e-02,  2.0848543e-02,  1.2542990e-02,  1.3385149e-02,  1.0620577e-02,  1.6890535e-02,  1.8271305e+00,  2.0264453e+00,  1.1205640e-01,  1.4797101e+00,  1.1625394e+00,  1.5095472e-01,  1.8144134e+00,  1.5199358e+00,  3.0089214e-01,  1.5436726e+00,  1.9364732e+00,  1.7711068e-01,  1.7694840e+00,  1.3024298e+00,  1.3212048e-01,  1.3956806e+00,  1.7386672e+00,  8.6182525e-02,  1.6841570e+00,  1.5102104e+00,  1.2699049e-01,  1.5719429e+00,  1.7490166e+00,  1.9401618e-01,  1.4157098e+00,  1.7259436e+00,  1.2895072e-01,  1.7096753e+00,  2.1606485e+00,  1.2677774e-01,  1.5397871e+00,  1.3981280e+00,  1.4910003e-01,  1.6657495e+00,  1.1629924e+00,  2.4969484e-01,  1.3701617e+00,  1.6178227e+00,  1.6466944e+00,  7.0381758e-01,  2.3666763e+00,  3.0179156e+00,  1.3718898e+00,  7.3528440e-01,  1.7074485e+00,  1.6560179e+00,  1.7536217e+00,  5.7687441e-01,  1.8881648e+00,  1.5761337e+00,  1.6022535e+00,  5.2306799e-01,  1.4066416e+00,  1.3848999e+00,  2.6181892e+00,  4.7359887e-01,  2.2109163e+00,  1.9044601e+00,  1.2398411e+00,  7.7798341e-01,  1.6360147e+00,  1.3276082e+00,  1.3740728e+00,  9.5413617e-01,  1.4230819e+00,  1.6964975e+00,  1.7027287e+00,  8.3740982e-01,  1.4517233e+00,  1.4062538e+00,  1.5777567e+00,  6.7679835e-01,  1.6005496e+00,  1.6035554e+00,  1.3407982e+00,  7.7798341e-01,  1.3337984e+00,  1.5651881e+00,  1.9414353e+00,  1.1358018e+00,  1.7277105e+00,  1.6489642e+00,  1.7530035e+00,  5.4509663e-01
 1.0000000e+00,  1.6960042e-02,  1.5868645e-02,  1.1815805e-02,  1.9639933e-02,  1.7834246e-02,  2.1050823e-02,  1.5167276e-02,  2.4112012e-02,  1.8305635e-02,  1.7720731e-02,  1.4107974e-02,  2.3490242e-02,  1.8321062e+00,  2.0199279e+00,  1.0782568e-01,  1.4847262e+00,  1.1511565e+00,  1.4769918e-01,  1.8198273e+00,  1.5125310e+00,  2.8900664e-01,  1.5480527e+00,  1.9332811e+00,  1.6555962e-01,  1.7694813e+00,  1.2944099e+00,  1.3022617e-01,  1.3956908e+00,  1.7224993e+00,  8.4159468e-02,  1.6842213e+00,  1.4948926e+00,  1.2583587e-01,  1.5720470e+00,  1.7419260e+00,  1.8240285e-01,  1.4008615e+00,  1.7098608e+00,  1.3314800e-01,  1.7002347e+00,  2.1405679e+00,  1.2026509e-01,  1.5357929e+00,  1.3816991e+00,  1.4890959e-01,  1.6605609e+00,  1.1554251e+00,  2.3497702e-01,  1.3701798e+00,  1.6178291e+00,  1.6345611e+00,  6.6063882e-01,  2.3667088e+00,  3.0177512e+00,  1.3547881e+00,  7.0432800e-01,  1.7074774e+00,  1.6560945e+00,  1.7417609e+00,  5.4266071e-01,  1.8882165e+00,  1.5762476e+00,  1.5954594e+00,  4.9824136e-01,  1.4066594e+00,  1.3847143e+00,  2.6048399e+00,  4.5179450e-01,  2.2109477e+00,  1.9045004e+00,  1.2329007e+00,  7.3792901e-01,  1.6360388e+00,  1.3276659e+00,  1.3673942e+00,  9.1197909e-01,  1.4231060e+00,  1.6966018e+00,  1.6954980e+00,  8.0376153e-01,  1.4517417e+00,  1.4061565e+00,  1.5627146e+00,  6.8705901e-01,  1.6005716e+00,  1.6035376e+00,  1.3311282e+00,  7.3792901e-01,  1.3338191e+00,  1.5652581e+00,  1.9333947e+00,  1.0701385e+00,  1.7277517e+00,  1.6490419e+00,  1.7374847e+00,  5.1611901e-01
