t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.0566380e+02,  7.2760618e+01,  3.5750304e+01,  1.0949629e+02,  8.0326127e+01,  3.2409491e+01,  1.0503598e+02,  8.8455351e+01,  3.4718869e+01,  9.7582364e+01,  7.4311415e+01,  3.6144043e+01,  2.5250854e-01,  1.9803615e-01,  7.2651548e-02,  2.9880805e-01,  1.9099203e-01,  7.9534415e-02,  2.7452801e-01,  1.8720179e-01,  9.4907009e-02,  2.7077324e-01,  1.8464842e-01,  7.0128729e-02,  1.8403946e-04,  1.3199501e-04,  4.6990104e-05,  2.1976517e-04,  1.1644276e-04,  5.0135094e-05,  2.0026863e-04,  1.2159172e-04,  6.5027211e-05,  2.0402459e-04,  1.2874572e-04,  6.3455577e-05,  3.0999868e-08,  2.7935292e-08,  8.9687727e-09,  3.5699152e-08,  2.6801835e-08,  1.0646903e-08,  3.8726788e-08,  2.4320593e-08,  1.0223617e-08,  3.8545140e-08,  2.8431819e-08,  1.1051316e-08,  2.8529981e-03,  2.4694697e-03,  1.8792480e-03,  1.1359497e-03,  2.7428191e-03,  2.4433982e-03,  1.6843153e-03,  1.0333254e-03,  2.8280409e-03,  2.6532641e-03,  1.9822459e-03,  1.1339037e-03,  2.4943568e-03,  2.3515181e-03,  1.9719942e-03,  1.0521056e-03,  2.2019868e-03,  1.6977556e-03,  1.5978218e-03,  8.1585831e-04,  2.2877071e-03,  1.9018964e-03,  1.5190406e-03,  7.6926732e-04,  2.3573085e-03,  2.1639415e-03,  1.4216062e-03,  8.7975363e-04,  2.0820282e-03,  1.9694787e-03,  1.5788877e-03,  9.7374435e-04,  1.7712026e-03,  1.5456051e-03,  1.0870784e-03,  7.5805993e-04,  1.7532204e-03,  1.5530812e-03,  1.2827122e-03,  7.6926732e-04,  1.7683894e-03,  1.4594243e-03,  1.1725003e-03,  6.9672741e-04,  1.6738527e-03,  1.4935756e-03,  1.1291739e-03,  6.2151216e-04
 2.0000000e-01,  1.1682684e+01,  9.1673309e+00,  5.5106373e+00,  1.1883085e+01,  9.8863346e+00,  5.1699444e+00,  1.1494110e+01,  1.0545912e+01,  5.0483212e+00,  1.1291995e+01,  9.1338191e+00,  5.3551047e+00,  4.1614845e-02,  3.2961135e-02,  1.2293429e-02,  4.9253967e-02,  3.1495236e-02,  1.3279012e-02,  4.5550822e-02,  3.2147166e-02,  1.6614405e-02,  4.4582413e-02,  3.0608657e-02,  1.1371484e-02,  3.6308597e-05,  2.6408024e-05,  9.2589888e-06,  4.3033849e-05,  2.2788722e-05,  9.7547483e-06,  3.9139270e-05,  2.4015452e-05,  1.2515551e-05,  3.9975185e-05,  2.5443507e-05,  1.2392498e-05,  7.4426077e-09,  6.6438002e-09,  2.1505366e-09,  8.4861382e-09,  6.4112602e-09,  2.4790824e-09,  9.1878996e-09,  5.9063920e-09,  2.5088264e-09,  9.0967054e-09,  6.6944637e-09,  2.5472257e-09,  5.2557412e-04,  4.5611290e-04,  3.5019826e-04,  2.1103889e-04,  5.0199262e-04,  4.4686305e-04,  3.1350943e-04,  1.9378397e-04,  5.1474823e-04,  4.8529136e-04,  3.6875463e-04,  2.1526560e-04,  4.6029345e-04,  4.3675700e-04,  3.6691135e-04,  1.9726929e-04,  4.0722324e-04,  3.1967016e-04,  2.9901238e-04,  1.5419959e-04,  4.1918280e-04,  3.4956816e-04,  2.8048168e-04,  1.4504391e-04,  4.3090268e-04,  3.9575835e-04,  2.6614207e-04,  1.6780704e-04,  3.8277148e-04,  3.6566347e-04,  2.9465775e-04,  1.8002184e-04,  3.2977366e-04,  2.8926819e-04,  2.0501735e-04,  1.4374753e-04,  3.2182955e-04,  2.8553542e-04,  2.3854974e-04,  1.4504391e-04,  3.2713268e-04,  2.7151133e-04,  2.2042722e-04,  1.3464289e-04,  3.0971267e-04,  2.7973458e-04,  2.1381666e-04,  1.1619135e-04
 3.0000000e-01,  1.0274426e+01,  8.1095922e+00,  4.6371752e+00,  1.0662621e+01,  8.8439682e+00,  4.4626972e+00,  1.0125183e+01,  9.2693531e+00,  4.5131516e+00,  9.8525020e+00,  8.0806011e+00,  4.7394550e+00, -1.8124259e+00, -1.8219298e+00, -1.8301725e+00, -1.7995315e+00, -1.8112505e+00, -1.8152341e+00, -1.8053945e+00, -1.8187621e+00, -1.8118747e+00, -1.8071642e+00, -1.8229695e+00, -1.8422875e+00, -1.8635204e+00, -1.8646136e+00, -1.8539126e+00, -1.8576884e+00, -1.8525740e+00, -1.8094444e+00, -1.8624906e+00, -1.8657215e+00, -1.8624038e+00, -1.8587528e+00, -1.8541785e+00, -1.8427127e+00, -1.8191622e+00, -1.8278748e+00, -1.8411122e+00, -1.8179979e+00, -1.8256961e+00, -1.8437053e+00, -1.8214199e+00, -1.8180562e+00, -1.8011041e+00, -1.8189128e+00, -1.8187645e+00, -1.8170215e+00, -1.8614871e+00, -1.8629848e+00, -1.8643315e+00, -1.8651120e+00, -1.8577397e+00, -1.8534017e+00, -1.8452538e+00, -1.8297335e+00, -1.8582202e+00, -1.8583469e+00, -1.8538161e+00, -1.8411702e+00, -1.8590698e+00, -1.8583144e+00, -1.8566217e+00, -1.8511329e+00, -1.8606940e+00, -1.8625404e+00, -1.8636985e+00, -1.8647594e+00, -1.8570768e+00, -1.8543057e+00, -1.8471112e+00, -1.8319811e+00, -1.8588828e+00, -1.8576239e+00, -1.8539750e+00, -1.8420331e+00, -1.8588379e+00, -1.8578695e+00, -1.8547158e+00, -1.8470420e+00, -1.8600622e+00, -1.8622962e+00, -1.8623093e+00, -1.8631625e+00, -1.8570713e+00, -1.8535592e+00, -1.8469778e+00, -1.8319811e+00, -1.8584119e+00, -1.8583974e+00, -1.8553297e+00, -1.8431165e+00, -1.8583174e+00, -1.8565083e+00, -1.8516456e+00, -1.8416234e+00
 4.0000000e-01,  8.5920336e+00,  6.7215975e+00,  3.6402474e+00,  8.9926652e+00,  7.3789470e+00,  3.4337546e+00,  8.5297189e+00,  7.7392556e+00,  3.5191173e+00,  8.2039705e+00,  6.6890601e+00,  3.7488042e+00, -2.8141521e+00, -2.8221683e+00, -2.8431335e+00, -2.8017441e+00, -2.8161685e+00, -2.8291569e+00, -2.8092999e+00, -2.8216794e+00, -2.8068979e+00, -2.8068294e+00, -2.8153603e+00, -2.8268627e+00, -2.8880144e+00, -2.8884927e+00, -2.9187108e+00, -2.8841101e+00, -2.8807654e+00, -2.8890548e+00, -2.8876341e+00, -2.8843865e+00, -2.8608946e+00, -2.8821810e+00, -2.8722306e+00, -2.8495105e+00, -2.7798601e+00, -2.8125295e+00, -2.8845180e+00, -2.7816632e+00, -2.7952396e+00, -2.8233449e+00, -2.7905283e+00, -2.8028421e+00, -2.8391673e+00, -2.7840939e+00, -2.7915383e+00, -2.7808617e+00, -2.8853885e+00, -2.8844977e+00, -2.8794141e+00, -2.8728112e+00, -2.8863556e+00, -2.8874964e+00, -2.8852813e+00, -2.8793497e+00, -2.8871791e+00, -2.8875700e+00, -2.8847515e+00, -2.8668231e+00, -2.8848138e+00, -2.8826576e+00, -2.8754102e+00, -2.8508300e+00, -2.8847219e+00, -2.8825989e+00, -2.8791328e+00, -2.8618056e+00, -2.8858937e+00, -2.8865873e+00, -2.8855186e+00, -2.8772273e+00, -2.8861517e+00, -2.8871386e+00, -2.8837406e+00, -2.8680664e+00, -2.8847234e+00, -2.8822488e+00, -2.8747637e+00, -2.8551625e+00, -2.8843336e+00, -2.8825770e+00, -2.8763859e+00, -2.8613088e+00, -2.8852399e+00, -2.8861725e+00, -2.8844152e+00, -2.8772273e+00, -2.8854929e+00, -2.8856147e+00, -2.8825437e+00, -2.8644548e+00, -2.8840997e+00, -2.8813187e+00, -2.8723284e+00, -2.8488134e+00
 5.0000000e-01,  7.2271479e+00,  5.5380185e+00,  2.7416431e+00,  7.5736470e+00,  6.0576880e+00,  2.5898836e+00,  7.1397287e+00,  6.3484945e+00,  2.6285234e+00,  6.7793117e+00,  5.4711387e+00,  2.8642572e+00, -3.6971055e+00, -3.7023223e+00, -3.6683958e+00, -3.6869276e+00, -3.7041352e+00, -3.6960317e+00, -3.6943618e+00, -3.7034867e+00, -3.6634415e+00, -3.6889166e+00, -3.6896390e+00, -3.6268649e+00, -3.7693879e+00, -3.7667551e+00, -3.7173231e+00, -3.7691885e+00, -3.7648926e+00, -3.7336704e+00, -3.7738617e+00, -3.7742355e+00, -3.7327933e+00, -3.7588373e+00, -3.7383704e+00, -3.6628249e+00, -3.6432416e+00, -3.6730177e+00, -3.6881798e+00, -3.6528200e+00, -3.6661607e+00, -3.6416258e+00, -3.6591507e+00, -3.6704838e+00, -3.6592810e+00, -3.6546823e+00, -3.6632239e+00, -3.6382417e+00, -3.7612161e+00, -3.7596671e+00, -3.7525508e+00, -3.7340573e+00, -3.7641432e+00, -3.7668409e+00, -3.7638359e+00, -3.7505278e+00, -3.7649897e+00, -3.7651449e+00, -3.7563956e+00, -3.7136125e+00, -3.7611714e+00, -3.7573613e+00, -3.7459476e+00, -3.7114373e+00, -3.7618736e+00, -3.7606924e+00, -3.7560105e+00, -3.7423835e+00, -3.7642394e+00, -3.7662922e+00, -3.7644945e+00, -3.7479300e+00, -3.7643846e+00, -3.7656982e+00, -3.7596110e+00, -3.7261146e+00, -3.7621416e+00, -3.7572834e+00, -3.7475780e+00, -3.7213057e+00, -3.7626411e+00, -3.7616670e+00, -3.7579758e+00, -3.7434335e+00, -3.7642704e+00, -3.7663259e+00, -3.7635306e+00, -3.7479300e+00, -3.7649665e+00, -3.7660878e+00, -3.7604106e+00, -3.7292934e+00, -3.7620161e+00, -3.7577977e+00, -3.7468296e+00, -3.7117519e+00
 6.0000000e-01,  6.6420471e+00,  5.1349027e+00,  2.4895025e+00,  6.9133007e+00,  5.4894448e+00,  2.3460044e+00,  6.5197875e+00,  5.7654151e+00,  2.3201956e+00,  6.1928855e+00,  5.0070447e+00,  2.5105636e+00, -3.8354127e+00, -3.8456111e+00, -3.8336154e+00, -3.8252451e+00, -3.8541479e+00, -3.8583043e+00, -3.8350568e+00, -3.8556371e+00, -3.8566824e+00, -3.8256227e+00, -3.8257840e+00, -3.7348266e+00, -3.9500469e+00, -3.9495483e+00, -3.9171207e+00, -3.9521138e+00, -3.9495384e+00, -3.9197010e+00, -3.9500138e+00, -3.9354883e+00, -3.8746175e+00, -3.9463365e+00, -3.9333471e+00, -3.8732774e+00, -3.8131913e+00, -3.8471345e+00, -3.8559007e+00, -3.8370899e+00, -3.8614917e+00, -3.8522042e+00, -3.8325586e+00, -3.8475043e+00, -3.8527337e+00, -3.8343245e+00, -3.8432683e+00, -3.7952302e+00, -3.9537151e+00, -3.9516451e+00, -3.9448824e+00, -3.9272772e+00, -3.9596024e+00, -3.9676714e+00, -3.9727209e+00, -3.9703102e+00, -3.9599307e+00, -3.9600742e+00, -3.9575341e+00, -3.9347685e+00, -3.9557185e+00, -3.9530243e+00, -3.9433182e+00, -3.9109485e+00, -3.9547251e+00, -3.9527863e+00, -3.9482357e+00, -3.9314293e+00, -3.9599976e+00, -3.9649544e+00, -3.9712898e+00, -3.9620062e+00, -3.9583030e+00, -3.9608352e+00, -3.9583095e+00, -3.9428069e+00, -3.9562469e+00, -3.9528801e+00, -3.9452640e+00, -3.9218089e+00, -3.9553906e+00, -3.9536005e+00, -3.9510561e+00, -3.9326835e+00, -3.9591916e+00, -3.9651919e+00, -3.9694979e+00, -3.9620062e+00, -3.9583713e+00, -3.9584064e+00, -3.9555006e+00, -3.9356477e+00, -3.9561122e+00, -3.9533366e+00, -3.9442013e+00, -3.9044589e+00
 7.0000000e-01,  6.2246260e+00,  4.7747449e+00,  2.3266160e+00,  6.5117792e+00,  5.1723949e+00,  2.2305346e+00,  6.0734695e+00,  5.3157047e+00,  2.1527735e+00,  5.7634119e+00,  4.6959142e+00,  2.3281102e+00, -4.1859881e+00, -4.1979624e+00, -4.2161426e+00, -4.1725447e+00, -4.2103920e+00, -4.2505713e+00, -4.1832745e+00, -4.2090270e+00, -4.2226104e+00, -4.1770060e+00, -4.1886680e+00, -4.1541368e+00, -4.3338368e+00, -4.3383531e+00, -4.3310910e+00, -4.3327636e+00, -4.3347835e+00, -4.3434533e+00, -4.3329030e+00, -4.3258176e+00, -4.3006746e+00, -4.3271242e+00, -4.3150988e+00, -4.2683337e+00, -4.2418753e+00, -4.2627424e+00, -4.2632465e+00, -4.2512299e+00, -4.2625411e+00, -4.2531096e+00, -4.2512777e+00, -4.2588309e+00, -4.2494381e+00, -4.2492106e+00, -4.2535350e+00, -4.2362620e+00, -4.3278040e+00, -4.3273545e+00, -4.3250617e+00, -4.3146775e+00, -4.3307907e+00, -4.3355412e+00, -4.3396424e+00, -4.3383081e+00, -4.3312630e+00, -4.3314941e+00, -4.3286787e+00, -4.3114308e+00, -4.3282248e+00, -4.3250233e+00, -4.3169157e+00, -4.2964190e+00, -4.3291482e+00, -4.3295166e+00, -4.3275180e+00, -4.3189976e+00, -4.3313682e+00, -4.3344930e+00, -4.3383894e+00, -4.3344851e+00, -4.3310785e+00, -4.3326569e+00, -4.3315047e+00, -4.3199369e+00, -4.3294496e+00, -4.3254101e+00, -4.3188665e+00, -4.3051473e+00, -4.3301626e+00, -4.3304786e+00, -4.3302758e+00, -4.3199500e+00, -4.3316018e+00, -4.3350396e+00, -4.3375367e+00, -4.3344851e+00, -4.3320361e+00, -4.3330497e+00, -4.3315337e+00, -4.3196551e+00, -4.3295776e+00, -4.3263873e+00, -4.3191768e+00, -4.2993231e+00
 8.0000000e-01,  6.0492396e+00,  4.7395457e+00,  2.3940745e+00,  6.3540955e+00,  5.1386486e+00,  2.3657269e+00,  5.9126973e+00,  5.1303070e+00,  2.3159114e+00,  5.6380394e+00,  4.6819484e+00,  2.3659632e+00, -4.0584009e+00, -4.0722816e+00, -4.1091702e+00, -4.0434596e+00, -4.0851166e+00, -4.1433724e+00, -4.0556165e+00, -4.0870301e+00, -4.1222894e+00, -4.0492719e+00, -4.0656929e+00, -4.0504428e+00, -4.2347626e+00, -4.2390833e+00, -4.2410275e+00, -4.2362929e+00, -4.2421667e+00, -4.2712044e+00, -4.2342936e+00, -4.2300795e+00, -4.2275975e+00, -4.2312860e+00, -4.2238632e+00, -4.1970201e+00, -4.1666254e+00, -4.1792588e+00, -4.1762279e+00, -4.1762556e+00, -4.1838901e+00, -4.1742411e+00, -4.1727845e+00, -4.1774484e+00, -4.1776938e+00, -4.1744846e+00, -4.1766201e+00, -4.1695880e+00, -4.2312237e+00, -4.2310157e+00, -4.2304776e+00, -4.2242156e+00, -4.2345814e+00, -4.2397933e+00, -4.2469285e+00, -4.2537711e+00, -4.2345701e+00, -4.2346880e+00, -4.2352256e+00, -4.2320535e+00, -4.2328200e+00, -4.2314485e+00, -4.2279934e+00, -4.2239133e+00, -4.2331457e+00, -4.2339321e+00, -4.2332722e+00, -4.2329776e+00, -4.2356311e+00, -4.2390858e+00, -4.2451785e+00, -4.2517322e+00, -4.2346911e+00, -4.2363011e+00, -4.2379454e+00, -4.2375896e+00, -4.2340746e+00, -4.2323253e+00, -4.2309346e+00, -4.2302226e+00, -4.2344813e+00, -4.2348469e+00, -4.2373935e+00, -4.2354051e+00, -4.2363336e+00, -4.2400312e+00, -4.2447462e+00, -4.2517322e+00, -4.2360260e+00, -4.2367707e+00, -4.2375979e+00, -4.2374013e+00, -4.2348368e+00, -4.2340629e+00, -4.2334379e+00, -4.2307091e+00
 9.0000000e-01,  5.9025266e+00,  4.6407412e+00,  2.4358063e+00,  6.1790740e+00,  4.9984203e+00,  2.4538668e+00,  5.7357461e+00,  4.8963156e+00,  2.3166889e+00,  5.4873247e+00,  4.5623142e+00,  2.3751924e+00, -4.1830839e+00, -4.2000057e+00, -4.2545735e+00, -4.1639543e+00, -4.2073976e+00, -4.2733582e+00, -4.1776632e+00, -4.2130102e+00, -4.2589311e+00, -4.1733514e+00, -4.1976755e+00, -4.2171892e+00, -4.3818338e+00, -4.3872299e+00, -4.4024843e+00, -4.3822241e+00, -4.3886300e+00, -4.4191277e+00, -4.3804177e+00, -4.3772295e+00, -4.3840932e+00, -4.3790424e+00, -4.3743367e+00, -4.3604176e+00, -4.3251172e+00, -4.3347972e+00, -4.3415386e+00, -4.3312585e+00, -4.3366608e+00, -4.3331164e+00, -4.3289542e+00, -4.3321217e+00, -4.3392831e+00, -4.3286705e+00, -4.3288996e+00, -4.3312757e+00, -4.3777217e+00, -4.3779656e+00, -4.3799903e+00, -4.3826649e+00, -4.3805122e+00, -4.3852983e+00, -4.3929075e+00, -4.4021789e+00, -4.3805700e+00, -4.3809545e+00, -4.3838639e+00, -4.3889751e+00, -4.3790641e+00, -4.3778657e+00, -4.3758097e+00, -4.3780309e+00, -4.3796959e+00, -4.3810425e+00, -4.3819285e+00, -4.3896721e+00, -4.3816603e+00, -4.3849766e+00, -4.3914084e+00, -4.4012658e+00, -4.3809612e+00, -4.3826862e+00, -4.3864267e+00, -4.3927419e+00, -4.3804444e+00, -4.3788290e+00, -4.3785016e+00, -4.3819590e+00, -4.3810598e+00, -4.3818486e+00, -4.3858019e+00, -4.3907461e+00, -4.3826054e+00, -4.3861567e+00, -4.3913908e+00, -4.4012658e+00, -4.3824201e+00, -4.3834853e+00, -4.3861416e+00, -4.3923508e+00, -4.3813121e+00, -4.3807039e+00, -4.3812246e+00, -4.3842339e+00
 1.0000000e+00,  5.3895970e+00,  4.2792815e+00,  2.2528456e+00,  5.6965353e+00,  4.6188043e+00,  2.2221314e+00,  5.2620781e+00,  4.4531684e+00,  2.0794119e+00,  5.0335883e+00,  4.1933370e+00,  2.0401879e+00, -4.7234501e+00, -4.7424339e+00, -4.8123151e+00, -4.7007726e+00, -4.7468913e+00, -4.8200254e+00, -4.7159008e+00, -4.7549261e+00, -4.8083313e+00, -4.7135047e+00, -4.7455827e+00, -4.7926517e+00, -4.9507711e+00, -4.9561889e+00, -4.9835988e+00, -4.9514747e+00, -4.9587214e+00, -4.9878907e+00, -4.9496999e+00, -4.9498486e+00, -4.9697257e+00, -4.9493036e+00, -4.9472563e+00, -4.9491641e+00, -4.9057335e+00, -4.9091410e+00, -4.9167108e+00, -4.9089451e+00, -4.9106925e+00, -4.9111917e+00, -4.9075929e+00, -4.9096582e+00, -4.9205398e+00, -4.9065756e+00, -4.9051829e+00, -4.9169817e+00, -4.9449734e+00, -4.9454948e+00, -4.9490904e+00, -4.9575428e+00, -4.9472130e+00, -4.9511001e+00, -4.9584374e+00, -4.9685718e+00, -4.9471404e+00, -4.9476244e+00, -4.9520552e+00, -4.9646025e+00, -4.9464266e+00, -4.9459815e+00, -4.9462934e+00, -4.9583966e+00, -4.9470713e+00, -4.9487391e+00, -4.9505545e+00, -4.9635456e+00, -4.9485363e+00, -4.9514959e+00, -4.9573329e+00, -4.9694408e+00, -4.9479220e+00, -4.9494968e+00, -4.9547539e+00, -4.9666695e+00, -4.9478444e+00, -4.9469911e+00, -4.9488293e+00, -4.9590267e+00, -4.9485803e+00, -4.9494984e+00, -4.9543853e+00, -4.9641926e+00, -4.9499343e+00, -4.9529300e+00, -4.9578601e+00, -4.9694408e+00, -4.9496565e+00, -4.9508887e+00, -4.9547976e+00, -4.9666715e+00, -4.9490441e+00, -4.9490834e+00, -4.9520461e+00, -4.9652703e+00
