t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.7711449e-03,  1.0766944e-03,  7.6862525e-04,  1.7259965e-03,  1.2690743e-03,  7.8664015e-04,  1.7161290e-03,  2.7254001e-03,  7.4766455e-04,  1.0569911e-03,  1.2562402e-03,  9.1883612e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04,  5.9999579e-04
 2.0000000e-01,  1.6611483e-03,  1.0072586e-03,  7.1348130e-04,  1.5632441e-03,  1.1558499e-03,  7.2742996e-04,  1.5029386e-03,  2.6473367e-03,  6.9707287e-04,  9.4969553e-04,  1.2146950e-03,  8.4397660e-04,  6.0055193e-04,  6.0046554e-04,  6.0033025e-04,  6.0089294e-04,  6.0049258e-04,  6.0030433e-04,  6.0063690e-04,  6.0052517e-04,  6.0037589e-04,  6.0046574e-04,  6.0036287e-04,  6.0032371e-04,  5.9999159e-04,  5.9999158e-04,  5.9999157e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999158e-04,  5.9999159e-04,  5.9999159e-04,  5.9999158e-04,  5.9999158e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999159e-04,  5.9999181e-04,  5.9999150e-04,  5.9999161e-04,  5.9999163e-04,  5.9999158e-04,  5.9999149e-04,  5.9999169e-04,  5.9999176e-04,  5.9999155e-04,  5.9999177e-04,  5.9999177e-04,  5.9999164e-04,  5.9999191e-04,  5.9999172e-04,  5.9999173e-04,  5.9999173e-04,  5.9999164e-04,  5.9999178e-04,  5.9999165e-04,  5.9999164e-04,  5.9999168e-04,  5.9999172e-04,  5.9999161e-04,  5.9999160e-04,  5.9999169e-04,  5.9999162e-04,  5.9999160e-04,  5.9999174e-04,  5.9999158e-04,  5.9999155e-04,  5.9999143e-04,  5.9999153e-04,  5.9999157e-04,  5.9999157e-04,  5.9999166e-04,  5.9999159e-04,  5.9999155e-04,  5.9999153e-04,  5.9999155e-04,  5.9999160e-04,  5.9999173e-04,  5.9999168e-04,  5.9999158e-04,  5.9999162e-04,  5.9999164e-04,  5.9999154e-04,  5.9999164e-04,  5.9999161e-04
 3.0000000e-01,  3.5251555e-03,  1.9365751e-03,  8.2764874e-04,  3.3444894e-03,  1.9923865e-03,  9.7766777e-04,  3.8745259e-03,  6.0832538e-03,  8.5549823e-04,  1.6135083e-03,  2.1649177e-03,  1.2831456e-03,  6.0109873e-04,  6.0103388e-04,  6.0071068e-04,  6.0159799e-04,  6.0110631e-04,  6.0065847e-04,  6.0130827e-04,  6.0103848e-04,  6.0078632e-04,  6.0112433e-04,  6.0084754e-04,  6.0069143e-04,  5.9998738e-04,  5.9998738e-04,  5.9998737e-04,  5.9998739e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998737e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998738e-04,  5.9998765e-04,  5.9998743e-04,  5.9998745e-04,  5.9998746e-04,  5.9998745e-04,  5.9998738e-04,  5.9998755e-04,  5.9998754e-04,  5.9998747e-04,  5.9998760e-04,  5.9998756e-04,  5.9998746e-04,  5.9998768e-04,  5.9998755e-04,  5.9998755e-04,  5.9998756e-04,  5.9998747e-04,  5.9998755e-04,  5.9998746e-04,  5.9998744e-04,  5.9998749e-04,  5.9998750e-04,  5.9998744e-04,  5.9998742e-04,  5.9998751e-04,  5.9998746e-04,  5.9998743e-04,  5.9998749e-04,  5.9998742e-04,  5.9998739e-04,  5.9998734e-04,  5.9998736e-04,  5.9998741e-04,  5.9998741e-04,  5.9998744e-04,  5.9998742e-04,  5.9998739e-04,  5.9998737e-04,  5.9998740e-04,  5.9998742e-04,  5.9998751e-04,  5.9998747e-04,  5.9998741e-04,  5.9998742e-04,  5.9998744e-04,  5.9998738e-04,  5.9998746e-04,  5.9998742e-04
 4.0000000e-01,  7.4317173e-03,  4.4707302e-03,  1.3341207e-03,  7.3810735e-03,  4.2915572e-03,  1.8845907e-03,  7.7461865e-03,  1.3098789e-02,  1.5796377e-03,  3.4283570e-03,  4.6301726e-03,  2.8245440e-03,  6.0185380e-04,  6.0182859e-04,  8.9293692e-04,  6.0257392e-04,  6.0209252e-04,  7.8455888e-04,  6.0215446e-04,  6.0169373e-04,  6.6606173e-04,  6.0197371e-04,  6.0144630e-04,  9.6237325e-04,  5.9998297e-04,  6.0001257e-04,  1.1669537e-03,  5.9998558e-04,  6.0003751e-04,  1.0171759e-03,  5.9998334e-04,  6.0002424e-04,  7.1225907e-04,  5.9998769e-04,  6.0000850e-04,  6.9664124e-04,  6.0003218e-04,  6.0001916e-04,  1.0777784e-03,  6.0000222e-04,  6.0002176e-04,  8.3981673e-04,  5.9999131e-04,  6.0004333e-04,  9.9175063e-04,  5.9999432e-04,  6.0000346e-04,  6.9400346e-04,  5.9998418e-04,  5.9998622e-04,  5.9999920e-04,  6.1783258e-04,  5.9998315e-04,  5.9998677e-04,  6.0007101e-04,  6.1386389e-04,  5.9998369e-04,  5.9998462e-04,  6.0001124e-04,  6.1598041e-04,  5.9998374e-04,  5.9998370e-04,  5.9999226e-04,  6.1272763e-04,  5.9998292e-04,  5.9998532e-04,  5.9999851e-04,  6.1880712e-04,  5.9998235e-04,  5.9998392e-04,  6.0000040e-04,  6.1346343e-04,  5.9998279e-04,  5.9998499e-04,  6.0001149e-04,  6.1229793e-04,  5.9998324e-04,  5.9998290e-04,  5.9999703e-04,  6.0333165e-04,  5.9998360e-04,  5.9998569e-04,  6.0001941e-04,  6.1198208e-04,  5.9998362e-04,  5.9998479e-04,  6.0000828e-04,  6.1346343e-04,  5.9998245e-04,  5.9998311e-04,  6.0000651e-04,  6.0608183e-04,  5.9998462e-04,  5.9998312e-04,  6.0003230e-04,  6.3243068e-04
 5.0000000e-01,  1.4166796e-02,  9.6953030e-03,  2.7646773e-03,  1.4873951e-02,  9.1407542e-03,  4.3918694e-03,  1.3723383e-02,  2.4605864e-02,  3.6605585e-03,  7.1134655e-03,  9.6510402e-03,  6.7320442e-03,  6.0285969e-04,  6.0295962e-04,  9.0805523e-04,  6.0389265e-04,  6.0352618e-04,  7.9080477e-04,  6.0325999e-04,  6.0267523e-04,  6.7208832e-04,  6.0306511e-04,  6.0227058e-04,  9.8533647e-04,  5.9998492e-04,  6.0007568e-04,  1.2007422e-03,  5.9998454e-04,  6.0015012e-04,  1.0361263e-03,  5.9998315e-04,  6.0016218e-04,  7.1100987e-04,  5.9998812e-04,  6.0008765e-04,  7.0237580e-04,  6.0014483e-04,  6.0015278e-04,  1.0984144e-03,  6.0008123e-04,  6.0016102e-04,  8.5499033e-04,  6.0002652e-04,  6.0023278e-04,  9.9667915e-04,  6.0004511e-04,  6.0016595e-04,  7.0579027e-04,  5.9998116e-04,  5.9998736e-04,  6.0006118e-04,  6.2147513e-04,  5.9997960e-04,  5.9998650e-04,  6.0024329e-04,  6.1679674e-04,  5.9997989e-04,  5.9998508e-04,  6.0014325e-04,  6.2003489e-04,  5.9998120e-04,  5.9998927e-04,  6.0008215e-04,  6.1497794e-04,  5.9997984e-04,  5.9999262e-04,  6.0005053e-04,  6.2158196e-04,  5.9997899e-04,  5.9998203e-04,  6.0006040e-04,  6.1768350e-04,  5.9997975e-04,  5.9998424e-04,  6.0011298e-04,  6.1269808e-04,  5.9997995e-04,  5.9998944e-04,  6.0008773e-04,  6.0591322e-04,  5.9998043e-04,  5.9998805e-04,  6.0012425e-04,  6.1556548e-04,  5.9998004e-04,  5.9998380e-04,  6.0008908e-04,  6.1768350e-04,  5.9997828e-04,  5.9998638e-04,  6.0010015e-04,  6.0952653e-04,  5.9998137e-04,  5.9998789e-04,  6.0016403e-04,  6.3569631e-04
 6.0000000e-01,  2.3998865e-02,  1.8507714e-02,  5.9317649e-03,  2.6435112e-02,  1.7578326e-02,  9.7888137e-03,  2.2080251e-02,  4.0304810e-02,  8.2224235e-03,  1.3401079e-02,  1.8095551e-02,  1.4571427e-02,  6.0417005e-04,  6.0457270e-04,  9.2584443e-04,  6.0559095e-04,  6.0552185e-04,  7.9773524e-04,  6.0466552e-04,  6.0413236e-04,  6.7824618e-04,  6.0444364e-04,  6.0341837e-04,  1.0156521e-03,  5.9999265e-04,  6.0025859e-04,  1.2350380e-03,  5.9998367e-04,  6.0037818e-04,  1.0561874e-03,  5.9998711e-04,  6.0053240e-04,  7.1110729e-04,  6.0000271e-04,  6.0035014e-04,  7.0897651e-04,  6.0040869e-04,  6.0059014e-04,  1.1172555e-03,  6.0028367e-04,  6.0056450e-04,  8.7221376e-04,  6.0014788e-04,  6.0072979e-04,  1.0050857e-03,  6.0020561e-04,  6.0065484e-04,  7.1735470e-04,  5.9997949e-04,  5.9999470e-04,  6.0020328e-04,  6.2491695e-04,  5.9997540e-04,  5.9999996e-04,  6.0054903e-04,  6.1934975e-04,  5.9997740e-04,  6.0000471e-04,  6.0053437e-04,  6.2462732e-04,  5.9998005e-04,  6.0001431e-04,  6.0030477e-04,  6.1760330e-04,  5.9997819e-04,  6.0001268e-04,  6.0016215e-04,  6.2428936e-04,  5.9997570e-04,  5.9998562e-04,  6.0021261e-04,  6.2113813e-04,  5.9997661e-04,  5.9999783e-04,  6.0044173e-04,  6.1488882e-04,  5.9997725e-04,  6.0001308e-04,  6.0029681e-04,  6.0828284e-04,  5.9997839e-04,  6.0000309e-04,  6.0032142e-04,  6.1832418e-04,  5.9997707e-04,  5.9999417e-04,  6.0028643e-04,  6.2113813e-04,  5.9997623e-04,  6.0000781e-04,  6.0039290e-04,  6.1332417e-04,  5.9998068e-04,  6.0001152e-04,  6.0047251e-04,  6.3947254e-04
 7.0000000e-01,  3.6252122e-02,  3.0935020e-02,  1.1663788e-02,  4.1280486e-02,  2.9851902e-02,  1.9263464e-02,  3.2317203e-02,  5.8378933e-02,  1.6260298e-02,  2.2649778e-02,  3.0057102e-02,  2.7387379e-02,  6.0588511e-04,  6.0674798e-04,  9.4543075e-04,  6.0776480e-04,  6.0795763e-04,  8.0531670e-04,  6.0649014e-04,  6.0630524e-04,  6.8489908e-04,  6.0620494e-04,  6.0511273e-04,  1.0537638e-03,  6.0000433e-04,  6.0053589e-04,  1.2788789e-03,  5.9998376e-04,  6.0071181e-04,  1.0770420e-03,  6.0000036e-04,  6.0129161e-04,  7.1280200e-04,  6.0003275e-04,  6.0082468e-04,  7.1672992e-04,  6.0094028e-04,  6.0145449e-04,  1.1370543e-03,  6.0065180e-04,  6.0126381e-04,  8.9166741e-04,  6.0043603e-04,  6.0190234e-04,  1.0178393e-03,  6.0052840e-04,  6.0168628e-04,  7.3071377e-04,  5.9997934e-04,  6.0000775e-04,  6.0043625e-04,  6.2809408e-04,  5.9997436e-04,  6.0003952e-04,  6.0105207e-04,  6.2256529e-04,  5.9997862e-04,  6.0004092e-04,  6.0121025e-04,  6.2984982e-04,  5.9998597e-04,  6.0007701e-04,  6.0078740e-04,  6.2115090e-04,  5.9997901e-04,  6.0004019e-04,  6.0034293e-04,  6.2704215e-04,  5.9997498e-04,  5.9999815e-04,  6.0052045e-04,  6.2470210e-04,  5.9997688e-04,  6.0002775e-04,  6.0093491e-04,  6.1797270e-04,  5.9997847e-04,  6.0007159e-04,  6.0076664e-04,  6.1100297e-04,  5.9997865e-04,  6.0002612e-04,  6.0061938e-04,  6.2092478e-04,  5.9997649e-04,  6.0002179e-04,  6.0067821e-04,  6.2470210e-04,  5.9997737e-04,  6.0005289e-04,  6.0087862e-04,  6.1769810e-04,  5.9998446e-04,  6.0007184e-04,  6.0111801e-04,  6.4409202e-04
 8.0000000e-01,  4.9316863e-02,  4.5712576e-02,  2.0381680e-02,  5.7244135e-02,  4.4966753e-02,  3.2815114e-02,  4.3087413e-02,  7.5821988e-02,  2.8105828e-02,  3.4462326e-02,  4.4488717e-02,  4.4662076e-02,  6.0814042e-04,  6.0960144e-04,  9.6685732e-04,  6.1060155e-04,  6.1078533e-04,  8.1417457e-04,  6.0889417e-04,  6.0913490e-04,  6.9210885e-04,  6.0851755e-04,  6.0738606e-04,  1.0999160e-03,  6.0001723e-04,  6.0084713e-04,  1.3376021e-03,  5.9998660e-04,  6.0106772e-04,  1.0995050e-03,  6.0002442e-04,  6.0221832e-04,  7.1565193e-04,  6.0008607e-04,  6.0149220e-04,  7.2552035e-04,  6.0169239e-04,  6.0251402e-04,  1.1597476e-03,  6.0110370e-04,  6.0213742e-04,  9.1269104e-04,  6.0088391e-04,  6.0347625e-04,  1.0340804e-03,  6.0100054e-04,  6.0300262e-04,  7.4466038e-04,  5.9998212e-04,  6.0002803e-04,  6.0074646e-04,  6.3117532e-04,  5.9997699e-04,  6.0009593e-04,  6.0171317e-04,  6.2557852e-04,  5.9998428e-04,  6.0009561e-04,  6.0209460e-04,  6.3507127e-04,  5.9999882e-04,  6.0017781e-04,  6.0139583e-04,  6.2489671e-04,  5.9998225e-04,  6.0007816e-04,  6.0058882e-04,  6.2971060e-04,  5.9997770e-04,  6.0001932e-04,  6.0093923e-04,  6.2821604e-04,  5.9998046e-04,  6.0007310e-04,  6.0162203e-04,  6.2132960e-04,  5.9998383e-04,  6.0016584e-04,  6.0136799e-04,  6.1398410e-04,  5.9998179e-04,  6.0005975e-04,  6.0100359e-04,  6.2347364e-04,  5.9997936e-04,  6.0006532e-04,  6.0115831e-04,  6.2821604e-04,  5.9998216e-04,  6.0011722e-04,  6.0152053e-04,  6.2235829e-04,  5.9999407e-04,  6.0016737e-04,  6.0193747e-04,  6.4911015e-04
 9.0000000e-01,  6.0933153e-02,  6.0443339e-02,  3.1790006e-02,  7.1559370e-02,  6.0596305e-02,  4.8850115e-02,  5.2767138e-02,  8.9380390e-02,  4.2811697e-02,  4.7579385e-02,  5.9305538e-02,  6.3873355e-02,  6.1104824e-04,  6.1308107e-04,  9.8986727e-04,  6.1420436e-04,  6.1408041e-04,  8.2404330e-04,  6.1199674e-04,  6.1259870e-04,  6.9962210e-04,  6.1150579e-04,  6.1030886e-04,  1.1530905e-03,  6.0003384e-04,  6.0116655e-04,  1.4123120e-03,  5.9999311e-04,  6.0143520e-04,  1.1236995e-03,  6.0005890e-04,  6.0318128e-04,  7.1952318e-04,  6.0015551e-04,  6.0225146e-04,  7.3529625e-04,  6.0256511e-04,  6.0375591e-04,  1.1871675e-03,  6.0161278e-04,  6.0310533e-04,  9.3511348e-04,  6.0145303e-04,  6.0527591e-04,  1.0535490e-03,  6.0155528e-04,  6.0450741e-04,  7.5918595e-04,  5.9998884e-04,  6.0005192e-04,  6.0110975e-04,  6.3425706e-04,  5.9998506e-04,  6.0016946e-04,  6.0241548e-04,  6.2837043e-04,  5.9999505e-04,  6.0016601e-04,  6.0304125e-04,  6.3970410e-04,  6.0001972e-04,  6.0030808e-04,  6.0210347e-04,  6.2856234e-04,  5.9999005e-04,  6.0012101e-04,  6.0086400e-04,  6.3230803e-04,  5.9998609e-04,  6.0005056e-04,  6.0140402e-04,  6.3155414e-04,  5.9998952e-04,  6.0013182e-04,  6.0233101e-04,  6.2437456e-04,  5.9999513e-04,  6.0028172e-04,  6.0206188e-04,  6.1691910e-04,  5.9998945e-04,  6.0009619e-04,  6.0141997e-04,  6.2614151e-04,  5.9998687e-04,  6.0012218e-04,  6.0167845e-04,  6.3155414e-04,  5.9999161e-04,  6.0019626e-04,  6.0220151e-04,  6.2647247e-04,  6.0001101e-04,  6.0028502e-04,  6.0283600e-04,  6.5414930e-04
 1.0000000e+00,  6.9451328e-02,  7.2462377e-02,  4.4611802e-02,  8.1722738e-02,  7.3834372e-02,  6.4714257e-02,  5.9862024e-02,  9.7006589e-02,  5.8233322e-02,  6.0134326e-02,  7.1887556e-02,  8.1232003e-02,  6.1478123e-04,  6.1729436e-04,  1.0145067e-03,  6.1880435e-04,  6.1791097e-04,  8.3442986e-04,  6.1598632e-04,  6.1671481e-04,  7.0729303e-04,  6.1534350e-04,  6.1390631e-04,  1.2123148e-03,  6.0005611e-04,  6.0147616e-04,  1.5036720e-03,  6.0000439e-04,  6.0179471e-04,  1.1494880e-03,  6.0010199e-04,  6.0406378e-04,  7.2386126e-04,  6.0023894e-04,  6.0305276e-04,  7.4579213e-04,  6.0353899e-04,  6.0497934e-04,  1.2209739e-03,  6.0214271e-04,  6.0407068e-04,  9.5837071e-04,  6.0211225e-04,  6.0711280e-04,  1.0759302e-03,  6.0217661e-04,  6.0610256e-04,  7.7376283e-04,  6.0000113e-04,  6.0008077e-04,  6.0148037e-04,  6.3732377e-04,  5.9999976e-04,  6.0025422e-04,  6.0312509e-04,  6.3103094e-04,  6.0001195e-04,  6.0024441e-04,  6.0394988e-04,  6.4379875e-04,  6.0004968e-04,  6.0045555e-04,  6.0283673e-04,  6.3199898e-04,  6.0000328e-04,  6.0016832e-04,  6.0114157e-04,  6.3485508e-04,  6.0000068e-04,  6.0009190e-04,  6.0187639e-04,  6.3472525e-04,  6.0000381e-04,  6.0020018e-04,  6.0301623e-04,  6.2700572e-04,  6.0001271e-04,  6.0041514e-04,  6.0278551e-04,  6.1961966e-04,  6.0000272e-04,  6.0013635e-04,  6.0181726e-04,  6.2926831e-04,  6.0000013e-04,  6.0018864e-04,  6.0219957e-04,  6.3472525e-04,  6.0000611e-04,  6.0028390e-04,  6.0287154e-04,  6.2985340e-04,  6.0003506e-04,  6.0041448e-04,  6.0372264e-04,  6.5907345e-04
