t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01,  9.0763195e-01
 2.0000000e-01,  3.4374970e-05,  3.3574815e-05,  5.4270347e-05,  3.3492723e-05,  3.3954595e-05,  4.9163894e-05,  3.1836383e-05,  4.5176622e-05,  6.2021562e-05,  3.3923051e-05,  3.4637585e-05,  3.9099456e-05,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01,  9.0763144e-01
 3.0000000e-01,  1.6730017e-04,  9.4103188e-05,  5.8331213e-05,  1.8564176e-04,  6.8985435e-05,  6.9229666e-05,  1.1625044e-03,  2.5407121e-04,  6.5217010e-05,  6.7294019e-05,  7.8810236e-05,  6.0747366e-05,  9.0809560e-01,  9.0806679e-01,  9.0794144e-01,  9.0830932e-01,  9.0809349e-01,  9.0790348e-01,  9.0821019e-01,  9.0807174e-01,  9.0796209e-01,  9.0808469e-01,  9.0798029e-01,  9.0791913e-01,  9.0763093e-01,  9.0763093e-01,  9.0763092e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763092e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763093e-01,  9.0763109e-01,  9.0763092e-01,  9.0763094e-01,  9.0763097e-01,  9.0763094e-01,  9.0763090e-01,  9.0763101e-01,  9.0763103e-01,  9.0763095e-01,  9.0763106e-01,  9.0763105e-01,  9.0763096e-01,  9.0763112e-01,  9.0763102e-01,  9.0763103e-01,  9.0763103e-01,  9.0763097e-01,  9.0763104e-01,  9.0763096e-01,  9.0763096e-01,  9.0763097e-01,  9.0763100e-01,  9.0763096e-01,  9.0763095e-01,  9.0763100e-01,  9.0763095e-01,  9.0763095e-01,  9.0763101e-01,  9.0763094e-01,  9.0763091e-01,  9.0763086e-01,  9.0763090e-01,  9.0763092e-01,  9.0763094e-01,  9.0763097e-01,  9.0763094e-01,  9.0763091e-01,  9.0763090e-01,  9.0763092e-01,  9.0763095e-01,  9.0763101e-01,  9.0763099e-01,  9.0763094e-01,  9.0763095e-01,  9.0763097e-01,  9.0763092e-01,  9.0763096e-01,  9.0763095e-01
 4.0000000e-01,  4.5705657e-04,  2.8285505e-04,  7.2289947e-05,  5.8728474e-04,  1.7869531e-04,  1.0853075e-04,  9.1074467e-04,  7.7160400e-04,  9.0483168e-05,  1.9983881e-04,  1.9115241e-04,  1.2800280e-04,  9.0857974e-01,  9.0855415e-01,  9.0827358e-01,  9.0891434e-01,  9.0862195e-01,  9.0821192e-01,  9.0875921e-01,  9.0850195e-01,  9.0831894e-01,  9.0865083e-01,  9.0839528e-01,  9.0823326e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763042e-01,  9.0763060e-01,  9.0763052e-01,  9.0763048e-01,  9.0763050e-01,  9.0763051e-01,  9.0763047e-01,  9.0763054e-01,  9.0763051e-01,  9.0763055e-01,  9.0763057e-01,  9.0763053e-01,  9.0763048e-01,  9.0763058e-01,  9.0763054e-01,  9.0763054e-01,  9.0763053e-01,  9.0763050e-01,  9.0763051e-01,  9.0763047e-01,  9.0763046e-01,  9.0763049e-01,  9.0763048e-01,  9.0763048e-01,  9.0763046e-01,  9.0763051e-01,  9.0763048e-01,  9.0763047e-01,  9.0763047e-01,  9.0763048e-01,  9.0763046e-01,  9.0763046e-01,  9.0763043e-01,  9.0763046e-01,  9.0763046e-01,  9.0763045e-01,  9.0763046e-01,  9.0763044e-01,  9.0763043e-01,  9.0763046e-01,  9.0763046e-01,  9.0763049e-01,  9.0763047e-01,  9.0763046e-01,  9.0763045e-01,  9.0763046e-01,  9.0763045e-01,  9.0763047e-01,  9.0763045e-01
 5.0000000e-01,  9.9920574e-04,  8.2272868e-04,  1.3140152e-04,  1.4749876e-03,  5.1959332e-04,  2.4966763e-04,  1.4176487e-03,  1.8058452e-03,  2.1468906e-04,  6.2399667e-04,  5.1422766e-04,  3.9434426e-04,  9.0924444e-01,  9.0881157e-01,  7.1780543e-02,  9.0977991e-01,  9.0702567e-01,  7.2150200e-02,  9.0947052e-01,  9.0830359e-01,  1.3678481e-01,  9.0937019e-01,  9.0855839e-01,  7.0307840e-02,  9.0763082e-01,  9.0719322e-01,  5.9304334e-02,  9.0763154e-01,  9.0652511e-01,  4.9328842e-02,  9.0763038e-01,  9.0630382e-01,  5.8436755e-02,  9.0763296e-01,  9.0744130e-01,  1.1913733e-01,  9.0667125e-01,  9.0673970e-01,  5.7136728e-02,  9.0731868e-01,  9.0688704e-01,  6.4716861e-02,  9.0752196e-01,  9.0658927e-01,  4.3433424e-02,  9.0751997e-01,  9.0730056e-01,  1.4177146e-01,  9.0763056e-01,  9.0763177e-01,  9.0722616e-01,  4.0307224e-01,  9.0763005e-01,  9.0763152e-01,  9.0529107e-01,  4.6441912e-01,  9.0763032e-01,  9.0763095e-01,  9.0722119e-01,  4.5084599e-01,  9.0763030e-01,  9.0763038e-01,  9.0743850e-01,  4.9230997e-01,  9.0763000e-01,  9.0763079e-01,  9.0738030e-01,  3.2937825e-01,  9.0762960e-01,  9.0763077e-01,  9.0737802e-01,  5.0267517e-01,  9.0762985e-01,  9.0763109e-01,  9.0734224e-01,  4.5947638e-01,  9.0763008e-01,  9.0763010e-01,  9.0746383e-01,  7.6658047e-01,  9.0763039e-01,  9.0763152e-01,  9.0668126e-01,  4.5888266e-01,  9.0763025e-01,  9.0763100e-01,  9.0717226e-01,  5.0267517e-01,  9.0762959e-01,  9.0763037e-01,  9.0743686e-01,  6.6634863e-01,  9.0763086e-01,  9.0763035e-01,  9.0679600e-01,  2.8921979e-01
 6.0000000e-01,  1.9302734e-03,  1.8602072e-03,  3.1378192e-04,  3.0798580e-03,  1.2979384e-03,  6.6946839e-04,  2.2613740e-03,  3.5364715e-03,  6.1418250e-04,  1.4651768e-03,  1.2252698e-03,  1.1242649e-03,  9.1012524e-01,  9.0864402e-01,  7.0254594e-02,  9.1093874e-01,  9.0402201e-01,  7.0441125e-02,  9.1042076e-01,  9.0738817e-01,  1.2868726e-01,  9.1030427e-01,  9.0855976e-01,  6.9155398e-02,  9.0763563e-01,  9.0605531e-01,  5.7633196e-02,  9.0763342e-01,  9.0417551e-01,  4.8932127e-02,  9.0763335e-01,  9.0341793e-01,  6.0059191e-02,  9.0763694e-01,  9.0683151e-01,  1.1468443e-01,  9.0436083e-01,  9.0482296e-01,  5.6349793e-02,  9.0637967e-01,  9.0518346e-01,  6.2800622e-02,  9.0718656e-01,  9.0414867e-01,  4.3391298e-02,  9.0715506e-01,  9.0632958e-01,  1.3104853e-01,  9.0763141e-01,  9.0763546e-01,  9.0601258e-01,  3.6337641e-01,  9.0762996e-01,  9.0762976e-01,  9.0069712e-01,  4.2707005e-01,  9.0763029e-01,  9.0763382e-01,  9.0588366e-01,  4.0063285e-01,  9.0763141e-01,  9.0763748e-01,  9.0681384e-01,  4.5613036e-01,  9.0763087e-01,  9.0763397e-01,  9.0669534e-01,  3.0055798e-01,  9.0762983e-01,  9.0763204e-01,  9.0656632e-01,  4.3989848e-01,  9.0763030e-01,  9.0763320e-01,  9.0652500e-01,  4.6450787e-01,  9.0763050e-01,  9.0763808e-01,  9.0691622e-01,  6.8309576e-01,  9.0763095e-01,  9.0763466e-01,  9.0426175e-01,  3.9762056e-01,  9.0763023e-01,  9.0763196e-01,  9.0587205e-01,  4.3989848e-01,  9.0762950e-01,  9.0763555e-01,  9.0688332e-01,  5.7990113e-01,  9.0763146e-01,  9.0763704e-01,  9.0466493e-01,  2.6895618e-01
 7.0000000e-01,  3.3319031e-03,  3.5009109e-03,  7.5473824e-04,  5.4970168e-03,  2.7101864e-03,  1.6163040e-03,  3.4802507e-03,  5.9949497e-03,  1.5270034e-03,  2.7917649e-03,  2.4871465e-03,  2.5951527e-03,  9.1126442e-01,  9.0791971e-01,  6.8444575e-02,  9.1241636e-01,  8.9937065e-01,  6.9150833e-02,  9.1163956e-01,  9.0572560e-01,  1.2233650e-01,  9.1149520e-01,  9.0820453e-01,  6.7276372e-02,  9.0764511e-01,  9.0406740e-01,  5.9030535e-02,  9.0763571e-01,  9.0031352e-01,  4.8998639e-02,  9.0764049e-01,  8.9886397e-01,  6.1329325e-02,  9.0765333e-01,  9.0565665e-01,  1.0989467e-01,  9.0041036e-01,  9.0150436e-01,  5.7062574e-02,  9.0460842e-01,  9.0217649e-01,  6.0766176e-02,  9.0650895e-01,  8.9996557e-01,  4.3324696e-02,  9.0640509e-01,  9.0452609e-01,  1.2238802e-01,  9.0763364e-01,  9.0764399e-01,  9.0367777e-01,  3.3308916e-01,  9.0763001e-01,  9.0763144e-01,  8.9394843e-01,  4.0100983e-01,  9.0763179e-01,  9.0765167e-01,  9.0339868e-01,  3.6556602e-01,  9.0763440e-01,  9.0765867e-01,  9.0555367e-01,  4.2293318e-01,  9.0763319e-01,  9.0763541e-01,  9.0531551e-01,  2.7729455e-01,  9.0763038e-01,  9.0763775e-01,  9.0495074e-01,  4.0101054e-01,  9.0763124e-01,  9.0764727e-01,  9.0511222e-01,  4.5545773e-01,  9.0763179e-01,  9.0765835e-01,  9.0577894e-01,  6.2845175e-01,  9.0763278e-01,  9.0764190e-01,  9.0018901e-01,  3.6150459e-01,  9.0763114e-01,  9.0763929e-01,  9.0343169e-01,  4.0101054e-01,  9.0763127e-01,  9.0765528e-01,  9.0585313e-01,  5.2386681e-01,  9.0763457e-01,  9.0765704e-01,  9.0108065e-01,  2.5111086e-01
 8.0000000e-01,  5.1358147e-03,  5.7246983e-03,  1.6105735e-03,  8.4923222e-03,  4.8156076e-03,  3.3034157e-03,  5.0074121e-03,  8.9264677e-03,  3.1124579e-03,  4.6428594e-03,  4.3492266e-03,  4.9575561e-03,  9.1275371e-01,  9.0659771e-01,  6.6127082e-02,  9.1429223e-01,  8.9325985e-01,  6.8361863e-02,  9.1322965e-01,  9.0341901e-01,  1.1692225e-01,  9.1302878e-01,  9.0761188e-01,  6.4396396e-02,  9.0765576e-01,  9.0112327e-01,  6.0317322e-02,  9.0763913e-01,  8.9493206e-01,  4.9199700e-02,  9.0765609e-01,  8.9278138e-01,  6.2479976e-02,  9.0768335e-01,  9.0378687e-01,  1.0488452e-01,  8.9489974e-01,  8.9669898e-01,  5.9377603e-02,  9.0192578e-01,  8.9767703e-01,  5.8390176e-02,  9.0543450e-01,  8.9413568e-01,  4.3249481e-02,  9.0517335e-01,  9.0182303e-01,  1.1503892e-01,  9.0763806e-01,  9.0765580e-01,  9.0005005e-01,  3.0832616e-01,  9.0763312e-01,  9.0763793e-01,  8.8548506e-01,  3.8068562e-01,  9.0763704e-01,  9.0768229e-01,  8.9964569e-01,  3.3833105e-01,  9.0764399e-01,  9.0770730e-01,  9.0359293e-01,  3.9514890e-01,  9.0763782e-01,  9.0762120e-01,  9.0306514e-01,  2.5829112e-01,  9.0763378e-01,  9.0765059e-01,  9.0241037e-01,  3.7241697e-01,  9.0763538e-01,  9.0767422e-01,  9.0293720e-01,  4.4004196e-01,  9.0763672e-01,  9.0770354e-01,  9.0398994e-01,  5.8874136e-01,  9.0763679e-01,  9.0764249e-01,  8.9454003e-01,  3.3891357e-01,  9.0763465e-01,  9.0765348e-01,  8.9978302e-01,  3.7241697e-01,  9.0763611e-01,  9.0769145e-01,  9.0418415e-01,  4.8259287e-01,  9.0764241e-01,  9.0770104e-01,  8.9618368e-01,  2.3580171e-01
 9.0000000e-01,  7.1154261e-03,  8.2923494e-03,  2.9834181e-03,  1.1551661e-02,  7.4395869e-03,  5.7165347e-03,  6.6457028e-03,  1.1827572e-02,  5.3590493e-03,  6.9248215e-03,  6.6677749e-03,  8.0661621e-03,  9.1470669e-01,  9.0470557e-01,  6.3280394e-02,  9.1672050e-01,  8.8596640e-01,  6.8045090e-02,  9.1531792e-01,  9.0043767e-01,  1.1210972e-01,  9.1504198e-01,  9.0674995e-01,  6.0362434e-02,  9.0766343e-01,  8.9719090e-01,  5.9805182e-02,  9.0764457e-01,  8.8811119e-01,  4.9491206e-02,  9.0768147e-01,  8.8521426e-01,  6.3550758e-02,  9.0773224e-01,  9.0111806e-01,  9.9796522e-02,  8.8790084e-01,  8.9021796e-01,  6.2968998e-02,  8.9828322e-01,  8.9157837e-01,  5.5408948e-02,  9.0386362e-01,  8.8647578e-01,  4.3087480e-02,  9.0335631e-01,  8.9790880e-01,  1.0833746e-01,  9.0764552e-01,  9.0766813e-01,  8.9510299e-01,  2.8732484e-01,  9.0763998e-01,  9.0763072e-01,  8.7569171e-01,  3.6362822e-01,  9.0764682e-01,  9.0772462e-01,  8.9460302e-01,  3.1583623e-01,  9.0766027e-01,  9.0777733e-01,  9.0076503e-01,  3.7217388e-01,  9.0764501e-01,  9.0757851e-01,  8.9985508e-01,  2.4237534e-01,  9.0764085e-01,  9.0766872e-01,  8.9884837e-01,  3.4956107e-01,  9.0764323e-01,  9.0771157e-01,  8.9995157e-01,  4.2205326e-01,  9.0764588e-01,  9.0776728e-01,  9.0136741e-01,  5.5807670e-01,  9.0764385e-01,  9.0762825e-01,  8.8750887e-01,  3.2614072e-01,  9.0764186e-01,  9.0766607e-01,  8.9487546e-01,  3.4956107e-01,  9.0764477e-01,  9.0773809e-01,  9.0174152e-01,  4.4989762e-01,  9.0765622e-01,  9.0775975e-01,  8.8996601e-01,  2.2240481e-01
 1.0000000e+00,  8.9296319e-03,  1.0770814e-02,  4.8577360e-03,  1.4090842e-02,  1.0151201e-02,  8.5423289e-03,  8.1270456e-03,  1.4102032e-02,  8.0229315e-03,  9.3810589e-03,  9.1062300e-03,  1.1415659e-02,  9.1721183e-01,  9.0224828e-01,  5.9977710e-02,  9.1979959e-01,  8.7780998e-01,  6.7941854e-02,  9.1800125e-01,  8.9686697e-01,  1.0757812e-01,  9.1763131e-01,  9.0569248e-01,  5.5714349e-02,  9.0766556e-01,  8.9232746e-01,  5.7217063e-02,  9.0765158e-01,  8.8004607e-01,  4.9650024e-02,  9.0771586e-01,  8.7634987e-01,  6.4594218e-02,  9.0779235e-01,  8.9754297e-01,  9.4731725e-02,  8.7956746e-01,  8.8215594e-01,  6.7739474e-02,  8.9372958e-01,  8.8394302e-01,  5.1864941e-02,  9.0172488e-01,  8.7709382e-01,  4.2770440e-02,  9.0086324e-01,  8.9267364e-01,  1.0199584e-01,  9.0765697e-01,  9.0767407e-01,  8.8891960e-01,  2.6921479e-01,  9.0765219e-01,  9.0759449e-01,  8.6490255e-01,  3.4888219e-01,  9.0766192e-01,  9.0777028e-01,  8.8830018e-01,  2.9648668e-01,  9.0768462e-01,  9.0785209e-01,  8.9703928e-01,  3.5316885e-01,  9.0765633e-01,  9.0748359e-01,  8.9566460e-01,  2.2901608e-01,  9.0765353e-01,  9.0768989e-01,  8.9426658e-01,  3.3058662e-01,  9.0765634e-01,  9.0775325e-01,  8.9602834e-01,  4.0303645e-01,  9.0766080e-01,  9.0783088e-01,  8.9784979e-01,  5.3369967e-01,  9.0765512e-01,  9.0757983e-01,  8.7932702e-01,  3.2508301e-01,  9.0765386e-01,  9.0766454e-01,  8.8880648e-01,  3.3058662e-01,  9.0765813e-01,  9.0778391e-01,  8.9839429e-01,  4.2258613e-01,  9.0767688e-01,  9.0781232e-01,  8.8253584e-01,  2.1040845e-01
