t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.9604714e+00,  1.5171171e+00,  7.3028922e-01,  2.0284488e+00,  1.6216011e+00,  7.4516929e-01,  2.0124669e+00,  1.7850723e+00,  7.8049885e-01,  1.7391911e+00,  1.6326239e+00,  8.7031980e-01,  5.0419888e-03,  3.6786147e-03,  1.4750637e-03,  6.1905245e-03,  3.9136606e-03,  1.6411556e-03,  5.2743460e-03,  4.2008529e-03,  1.8216900e-03,  5.1723468e-03,  3.6921877e-03,  1.4075582e-03,  3.7200592e-06,  2.9207613e-06,  1.0877720e-06,  4.8278516e-06,  2.3255575e-06,  9.0030180e-07,  3.6863533e-06,  2.8111651e-06,  1.4031438e-06,  4.2037045e-06,  2.7909408e-06,  1.4131269e-06,  8.3290000e-10,  6.5550105e-10,  2.2469459e-10,  8.9982860e-10,  5.9800976e-10,  2.4399551e-10,  9.0601562e-10,  5.6818568e-10,  2.0537751e-10,  8.8335606e-10,  6.6808630e-10,  2.4724367e-10,  5.6169640e-05,  5.0271534e-05,  3.7987348e-05,  2.1336004e-05,  5.2599298e-05,  4.7593865e-05,  3.8625694e-05,  2.0255767e-05,  5.4871311e-05,  5.0836876e-05,  4.0596829e-05,  2.2023765e-05,  4.9008749e-05,  4.9176632e-05,  4.0020646e-05,  2.5292673e-05,  4.5362097e-05,  3.3414255e-05,  3.5235002e-05,  1.6865337e-05,  4.8075941e-05,  3.7162089e-05,  2.8118384e-05,  1.4845152e-05,  4.8101151e-05,  4.5398937e-05,  3.0471306e-05,  1.7134176e-05,  4.4122543e-05,  4.1833575e-05,  3.2498687e-05,  1.7078244e-05,  3.8346775e-05,  3.0594569e-05,  2.1466195e-05,  1.5108322e-05,  3.5803434e-05,  3.0855238e-05,  2.9032445e-05,  1.4845152e-05,  3.6071213e-05,  2.6856662e-05,  2.4070780e-05,  1.3384032e-05,  3.4497359e-05,  3.0004062e-05,  2.5058421e-05,  1.3982601e-05
 2.0000000e-01,  2.2123597e+00,  1.7193903e+00,  8.9657975e-01,  2.2823597e+00,  1.8542307e+00,  9.2695592e-01,  2.2588492e+00,  2.0776170e+00,  9.4721704e-01,  1.9445494e+00,  1.8561167e+00,  1.0524670e+00,  5.9492686e-03,  4.6607692e-03,  1.7701583e-03,  7.1319683e-03,  4.5762291e-03,  1.8999913e-03,  6.4233842e-03,  4.6327480e-03,  2.2565284e-03,  6.3262654e-03,  4.3662156e-03,  1.6871567e-03,  4.4925939e-06,  3.3294190e-06,  1.2277639e-06,  5.5359138e-06,  2.8021201e-06,  1.1818945e-06,  4.7453088e-06,  3.0959524e-06,  1.6071300e-06,  5.0136791e-06,  3.1933570e-06,  1.6022263e-06,  9.9679896e-10,  8.1806606e-10,  2.7627969e-10,  1.0938431e-09,  7.8838780e-10,  3.1393670e-10,  1.1421870e-09,  7.3170257e-10,  2.8926720e-10,  1.1246205e-09,  8.3420982e-10,  3.1614137e-10,  6.8334637e-05,  5.9600663e-05,  4.5501497e-05,  2.6943017e-05,  6.5079138e-05,  5.8467221e-05,  4.2195419e-05,  2.4716089e-05,  6.7163856e-05,  6.3333294e-05,  4.8256081e-05,  2.7178428e-05,  5.9300942e-05,  5.7387158e-05,  4.8172895e-05,  2.6841585e-05,  5.3694321e-05,  4.0794610e-05,  3.9022090e-05,  2.0062070e-05,  5.5499752e-05,  4.5451135e-05,  3.5674814e-05,  1.8689162e-05,  5.6899669e-05,  5.3023192e-05,  3.4912980e-05,  2.1095205e-05,  5.1042704e-05,  4.8225742e-05,  3.8388913e-05,  2.2704008e-05,  4.3916157e-05,  3.7193610e-05,  2.6151639e-05,  1.8431431e-05,  4.2527997e-05,  3.7201670e-05,  3.2104497e-05,  1.8689162e-05,  4.2874719e-05,  3.3606812e-05,  2.8423518e-05,  1.6671385e-05,  4.0592107e-05,  3.6260394e-05,  2.8160608e-05,  1.5559324e-05
 3.0000000e-01,  2.4422606e+00,  1.9462005e+00,  1.0981384e+00,  2.5429233e+00,  2.0885311e+00,  1.1479074e+00,  2.4986584e+00,  2.3772646e+00,  1.1536939e+00,  2.1430613e+00,  2.0863712e+00,  1.2694331e+00,  7.0601510e-03,  5.5187342e-03,  3.0256683e-03,  8.3691552e-03,  5.1924564e-03,  1.4174503e-03,  7.6756464e-03,  5.5465526e-03,  3.5330872e-03,  7.4876600e-03,  5.2075100e-03,  2.8637678e-03,  1.1943593e-05,  9.7799625e-05,  6.6701913e-04,  2.0341035e-05,  1.1669215e-04,  1.2621846e-03, -7.0518581e-06,  6.3185006e-05,  1.7665163e-04,  2.5733225e-05, -1.2001956e-04, -4.2851376e-04, -5.5905086e-04, -7.6673389e-04,  5.3355217e-05, -5.9482658e-04, -6.0261270e-04,  8.8546817e-05, -4.5823280e-04, -5.0129407e-04, -9.7114467e-04, -5.7278175e-04, -5.3785616e-04, -5.5545247e-04,  2.0704416e-05, -6.6324267e-06, -7.0035329e-06,  1.8688820e-04,  1.8434964e-05,  3.3349879e-05, -1.9480777e-05,  8.0267514e-05,  3.2297024e-05,  3.7472080e-05, -9.8702358e-05, -2.5432227e-04, -2.5104196e-05, -5.9002160e-05, -1.5335995e-04, -3.1531795e-04,  1.3884605e-05,  1.4012495e-05, -4.5337930e-05, -2.0802084e-04,  2.1451173e-05,  5.1750270e-05,  7.2030899e-05,  5.0373903e-04,  2.9504286e-05,  7.1951562e-06,  2.3615114e-05,  7.3084039e-05,  1.3588663e-06, -2.1355862e-05, -1.8574953e-04, -4.7048369e-04,  8.0440561e-06,  3.1772249e-06, -7.8271375e-05, -2.5056592e-04,  3.0151773e-05,  7.0299800e-05,  1.0549756e-04,  5.0373903e-04,  2.0796308e-05,  6.8765422e-05,  6.7040184e-05,  1.9815030e-04,  3.7759556e-05, -6.2751992e-06, -8.2676279e-05, -3.7741700e-04
 4.0000000e-01,  2.6612620e+00,  2.1658426e+00,  1.3304438e+00,  2.7650531e+00,  2.3147373e+00,  1.3836177e+00,  2.7342653e+00,  2.6207033e+00,  1.3772639e+00,  2.3357511e+00,  2.3148953e+00,  1.4986518e+00,  8.2747621e-03,  6.4921650e-03,  3.1499166e-03,  9.7376751e-03,  6.0659441e-03,  6.8972197e-04,  8.9960456e-03,  6.4167090e-03,  3.3282512e-03,  8.8053790e-03,  6.2969876e-03,  3.2669900e-03,  3.9907761e-05,  8.9057427e-05,  2.3905444e-03,  1.9539057e-05,  1.0697119e-04,  2.8177540e-04,  4.2254956e-05,  1.0705805e-04,  4.3377682e-04,  5.2014403e-05, -1.0985867e-04, -1.5274409e-03, -2.2718361e-03, -2.1096796e-03, -7.4668427e-04, -2.2755862e-03, -2.2418382e-03, -2.0562255e-03, -2.0416353e-03, -1.8190843e-03, -1.0627044e-04, -2.3397077e-03, -1.8973985e-03, -8.2881079e-04, -3.9058920e-05, -7.5633467e-05, -1.3215267e-04, -7.6955006e-04, -2.3098216e-05, -3.5330996e-05, -8.3415253e-05,  8.6073124e-05, -2.7579492e-05, -3.4958950e-05, -1.7360622e-04,  1.3776761e-04, -5.8272529e-05, -1.2916751e-04, -2.5116325e-04, -3.1649378e-04, -5.0213766e-05, -3.7454395e-05, -1.9895059e-04, -4.1926487e-04, -1.7577996e-05, -1.8676120e-05, -9.4531078e-05,  2.3204888e-04, -1.7560273e-05, -5.1865312e-05, -8.4967505e-05, -5.0660176e-04, -3.0444430e-05, -9.3817064e-05, -2.2524425e-04, -4.1011177e-04, -1.6669283e-05, -3.1392177e-05, -4.0133478e-05, -1.5527862e-04, -1.2850984e-05, -5.0411229e-06,  2.6786424e-05,  2.3204888e-04, -5.7761135e-06,  8.5441625e-06, -5.5965665e-05, -4.0581672e-04, -2.4717195e-05, -7.8591749e-05, -1.3688785e-04, -2.3208792e-04
 5.0000000e-01,  2.8798601e+00,  2.3745490e+00,  1.5928183e+00,  2.9731516e+00,  2.5305697e+00,  1.6323220e+00,  2.9204677e+00,  2.8618181e+00,  1.6131017e+00,  2.5062070e+00,  2.5351789e+00,  1.7373620e+00,  9.3519341e-03,  7.3433286e-03,  2.7261943e-03,  1.1019237e-02,  6.8883128e-03,  7.8005498e-04,  1.0199577e-02,  7.2391474e-03,  4.2738448e-03,  9.9646613e-03,  7.1417716e-03,  4.1789734e-03,  1.0736562e-04,  1.8164288e-04,  2.5120023e-03,  7.8253162e-05,  9.9001289e-05, -1.8901906e-04,  1.0130994e-04,  2.7512396e-04,  1.2840263e-03,  6.4118090e-05, -5.4395949e-05, -1.3213734e-03, -4.4416228e-03, -3.9333453e-03, -2.9171036e-03, -4.2662344e-03, -4.1353177e-03, -3.0078829e-03, -3.8653670e-03, -3.3835798e-03,  1.3822889e-04, -4.2181931e-03, -3.6125176e-03, -1.7806908e-03,  1.0171743e-05,  2.5071016e-05,  5.6761396e-05,  1.9364371e-04, -5.5902276e-06, -4.1365163e-05, -8.9705357e-05,  1.5594958e-04, -2.6775655e-06, -2.7477234e-06, -2.8324613e-04, -4.6086631e-04, -1.1860939e-05, -5.7237841e-05, -1.2030395e-04,  1.0835897e-04,  3.4803848e-05,  6.3721516e-05,  3.1177562e-05, -3.1777953e-04,  3.1773618e-06, -3.2736246e-05, -1.4316600e-04, -1.9716319e-04,  1.6467348e-05, -3.9637780e-05, -4.9276605e-05, -1.2252537e-04, -9.0172108e-06, -5.8166517e-05, -7.6282253e-05, -1.3717428e-04,  2.2594985e-05,  8.3757236e-05,  6.5247479e-05, -3.7716453e-04,  6.4116989e-07, -2.0365934e-05, -8.5367859e-05, -1.9716319e-04,  3.3785395e-05,  7.3536577e-05,  6.0070676e-05,  6.5008983e-05,  2.3662485e-05, -6.7048762e-05, -1.0472590e-04, -1.2770208e-04
 6.0000000e-01,  3.0938705e+00,  2.5859665e+00,  1.8827621e+00,  3.1817234e+00,  2.7443435e+00,  1.8311629e+00,  3.0972183e+00,  3.0619881e+00,  1.8615122e+00,  2.6732322e+00,  2.7480833e+00,  1.9859965e+00,  1.0907828e-02,  8.6350700e-03,  3.8023615e-03,  1.2887057e-02,  8.4505604e-03,  2.8154096e-03,  1.1887181e-02,  8.5950813e-03,  4.5336493e-03,  1.1679648e-02,  8.5031963e-03,  5.6521775e-03,  1.0057881e-04,  2.0164707e-04,  2.1977356e-03,  4.0231484e-05, -1.7909807e-05, -2.3758326e-03,  1.1774541e-04,  3.0002381e-04,  2.2481506e-03,  1.4357966e-05, -9.7398093e-05, -1.5409920e-03, -6.7868875e-03, -5.5229031e-03, -4.5733520e-03, -6.1982812e-03, -5.8615824e-03, -5.0222936e-03, -5.9107045e-03, -5.2720018e-03, -1.6326786e-05, -6.0674816e-03, -4.9760201e-03, -1.5855196e-03,  1.0716361e-04,  1.5854058e-04,  2.8204722e-04,  3.4569271e-04,  2.2051284e-05, -8.6552818e-05, -1.0455864e-04, -1.8683024e-05,  1.7831016e-05, -2.8307205e-05, -2.1593381e-04, -4.0627158e-05,  5.6229154e-05,  5.3566332e-05,  1.2637516e-04,  6.5129308e-04,  8.7445000e-05,  1.7703388e-04,  2.5361987e-04, -1.0539783e-04,  3.5204455e-06, -1.3299404e-04, -3.7472351e-04, -8.8027555e-04,  2.8987184e-05, -4.6472996e-05, -1.4614395e-04, -4.2951115e-04,  2.0322858e-05,  4.3045687e-06,  5.3052257e-05, -4.3984437e-05,  6.5440479e-05,  1.8077810e-04,  3.2657354e-04, -3.6531185e-04, -5.1303379e-05, -1.9304761e-04, -3.7489218e-04, -8.8027555e-04,  1.0049033e-05, -4.2610534e-05, -1.4508368e-04, -5.1129720e-04, -6.4122870e-06, -1.0710641e-04, -7.1698050e-05, -7.2291587e-05
 7.0000000e-01,  3.3083008e+00,  2.7884707e+00,  2.1615410e+00,  3.3813603e+00,  2.9595930e+00,  2.1102621e+00,  3.2981266e+00,  3.2504566e+00,  2.1096585e+00,  2.8354009e+00,  2.9600366e+00,  2.2428668e+00,  1.2927356e-02,  1.0418654e-02,  5.2330964e-03,  1.5265100e-02,  1.0488202e-02,  5.0806035e-03,  1.4074490e-02,  1.0387083e-02,  6.1819364e-03,  1.3820841e-02,  1.0283131e-02,  7.0766852e-03,  1.0748012e-04,  2.5686908e-04,  1.5635658e-03,  6.2379359e-05, -4.7088340e-05, -2.5981289e-03,  8.5205534e-05,  3.2889440e-04,  2.1820905e-03,  2.4634566e-05, -6.1981479e-05, -1.3168696e-03, -8.1908364e-03, -6.4448881e-03, -5.1910960e-03, -7.3596708e-03, -6.8679780e-03, -5.9819557e-03, -7.0662867e-03, -6.3388552e-03,  4.5065687e-04, -7.1728260e-03, -5.9033264e-03, -1.9414582e-03,  2.4551996e-04,  3.0032429e-04,  4.5713651e-04,  6.2674169e-04,  1.0210638e-04, -4.4986876e-05, -1.8114839e-04, -1.1455553e-04,  1.0407926e-04,  6.3133339e-05, -1.3506708e-04,  1.9591993e-04,  1.3748064e-04,  1.6476739e-04,  3.5831555e-04,  8.6445943e-04,  1.9910858e-04,  3.3815754e-04,  4.5615731e-04, -1.4377341e-06,  3.6743970e-05, -1.2161055e-04, -3.9125579e-04, -1.2473766e-03,  1.0778123e-04,  6.1594056e-06, -9.1480248e-05, -1.2200761e-04,  8.5638251e-05,  9.1274163e-05,  1.7782217e-04,  3.9791493e-04,  1.2228070e-04,  3.0880406e-04,  4.9755338e-04,  5.1394694e-06, -2.6527690e-05, -2.2507674e-04, -5.9687380e-04, -1.2473766e-03,  4.9225888e-05,  1.8536669e-05, -1.0035518e-04, -3.4419544e-04,  3.1044095e-05, -4.8255515e-05, -4.4968304e-05,  1.0317109e-04
 8.0000000e-01,  3.5607656e+00,  2.9977765e+00,  2.4250255e+00,  3.5688533e+00,  3.1801091e+00,  2.3939963e+00,  3.4566823e+00,  3.4332484e+00,  2.3588980e+00,  2.9975194e+00,  3.1744514e+00,  2.5115286e+00,  1.5225417e-02,  1.2517880e-02,  6.9084364e-03,  1.7918384e-02,  1.2847947e-02,  7.2540959e-03,  1.6538988e-02,  1.2420765e-02,  7.5702824e-03,  1.6270336e-02,  1.2314485e-02,  8.2089652e-03,  9.9316969e-05,  2.3676580e-04,  9.2568214e-04,  4.3671316e-05, -1.3847686e-04, -3.3940448e-03,  5.8785196e-05,  2.5679904e-04,  1.7809985e-03,  6.9263073e-06,  2.6684687e-05, -8.1636437e-04, -9.0366114e-03, -6.9971621e-03, -5.7530623e-03, -8.0128575e-03, -7.4036019e-03, -6.6294150e-03, -7.8978382e-03, -7.0029244e-03,  6.4946258e-04, -7.7943689e-03, -6.4352389e-03, -2.3621072e-03,  4.0823145e-04,  4.9053125e-04,  7.1156296e-04,  1.0694577e-03,  2.1622482e-04, -5.9825068e-06, -2.1380410e-04, -1.6700943e-04,  2.2229013e-04,  1.6728630e-04,  1.2372771e-05,  3.0518260e-04,  2.8636666e-04,  3.5207682e-04,  6.4996658e-04,  1.2795627e-03,  3.3222365e-04,  4.8666892e-04,  7.2967087e-04,  5.4320232e-04,  1.2851617e-04, -1.0399600e-04, -4.4612325e-04, -1.5943558e-03,  2.1586487e-04,  1.1850331e-04,  6.6283494e-06,  1.2987937e-04,  1.9546575e-04,  2.2616783e-04,  4.0189553e-04,  7.4851786e-04,  2.3229390e-04,  4.5126197e-04,  6.9565999e-04,  7.1040722e-04,  2.4780784e-05, -2.5347502e-04, -7.0620763e-04, -1.5943558e-03,  1.1722215e-04,  5.7349035e-05, -3.7293287e-05, -2.0972251e-04,  9.6163488e-05,  2.9371107e-05,  8.3054469e-05,  3.5850722e-04
 9.0000000e-01,  3.7484175e+00,  3.2083207e+00,  2.6681900e+00,  3.7512441e+00,  3.3961075e+00,  2.6339765e+00,  3.6165859e+00,  3.6028395e+00,  2.6041296e+00,  3.1591601e+00,  3.3971984e+00,  2.7929680e+00,  1.7835254e-02,  1.4918148e-02,  8.9754449e-03,  2.0920266e-02,  1.5541576e-02,  9.7386814e-03,  1.9321144e-02,  1.4795477e-02,  9.5127461e-03,  1.9006895e-02,  1.4592841e-02,  9.7680284e-03,  7.2048530e-05,  2.1914629e-04,  9.6778312e-04,  1.5131836e-05, -1.7667519e-04, -3.4796690e-03,  1.1687219e-05,  1.8287724e-04,  1.1949127e-03, -1.4769251e-05,  5.3574935e-05, -4.6597493e-04, -9.5563497e-03, -7.3513055e-03, -6.7286717e-03, -8.4069108e-03, -7.7034690e-03, -7.2315014e-03, -8.4006212e-03, -7.4093212e-03,  6.7780468e-04, -8.2163172e-03, -6.7347298e-03, -2.8269656e-03,  5.8904789e-04,  6.7353388e-04,  9.3807860e-04,  1.4016642e-03,  3.5067264e-04,  7.9182575e-05, -2.1241497e-04, -1.4780600e-04,  3.6537865e-04,  3.0653145e-04,  1.5427462e-04,  4.8904230e-04,  4.2760769e-04,  5.2565436e-04,  9.0185567e-04,  1.5630503e-03,  4.7249669e-04,  6.4357242e-04,  9.4017123e-04,  9.4084041e-04,  2.2665212e-04, -5.6454953e-05, -4.6475194e-04, -1.7427490e-03,  3.3455699e-04,  2.3314375e-04,  1.0190342e-04,  3.3516025e-04,  3.0957502e-04,  3.8149648e-04,  6.0138679e-04,  9.8526064e-04,  3.3551996e-04,  5.8519971e-04,  8.7210953e-04,  1.1232725e-03,  8.7567684e-05, -2.4893025e-04, -7.6363246e-04, -1.7427490e-03,  1.9180851e-04,  1.0588547e-04, -1.3081928e-05, -1.3749361e-04,  1.8195005e-04,  1.2251208e-04,  2.3399176e-04,  5.9014257e-04
 1.0000000e+00,  3.9495588e+00,  3.4182993e+00,  2.9105691e+00,  3.9166626e+00,  3.6102545e+00,  2.8723261e+00,  3.7720597e+00,  3.7661418e+00,  2.8451855e+00,  3.3176209e+00,  3.6071856e+00,  3.0783878e+00,  2.0804348e-02,  1.7663499e-02,  1.1198930e-02,  2.4300312e-02,  1.8565208e-02,  1.2390732e-02,  2.2474541e-02,  1.7521772e-02,  1.1818449e-02,  2.2100314e-02,  1.7161212e-02,  1.1477133e-02,  4.5957073e-05,  1.9410211e-04,  1.1604795e-03, -7.0883811e-06, -1.6526934e-04, -2.7550644e-03, -3.3919831e-05,  1.1094703e-04,  6.4101346e-04, -3.3692066e-05,  3.9213904e-05, -2.0994144e-04, -9.7429741e-03, -7.5026557e-03, -7.5618052e-03, -8.5039097e-03, -7.7824856e-03, -7.5636991e-03, -8.5787335e-03, -7.5212715e-03,  3.8189146e-04, -8.3454513e-03, -6.8542570e-03, -3.4931172e-03,  7.7758490e-04,  8.6006567e-04,  1.1566088e-03,  1.6885080e-03,  5.0842545e-04,  1.9986127e-04, -2.0044348e-04, -1.1135474e-04,  5.3366155e-04,  4.7305144e-04,  3.1527185e-04,  5.8660021e-04,  5.8627380e-04,  7.0821970e-04,  1.1223530e-03,  1.7490006e-03,  6.2659722e-04,  7.9421093e-04,  1.1263248e-03,  1.3228268e-03,  3.5338778e-04,  3.1665539e-05, -4.2441780e-04, -1.6918415e-03,  4.7787081e-04,  3.7433963e-04,  2.1662251e-04,  5.5479624e-04,  4.4121454e-04,  5.3851986e-04,  7.7051287e-04,  1.2003534e-03,  4.5640915e-04,  7.2094707e-04,  1.0288924e-03,  1.5575573e-03,  1.7884404e-04, -1.9431219e-04, -7.3701661e-04, -1.6918415e-03,  2.8715942e-04,  1.8443857e-04,  5.7545128e-05, -3.9095938e-05,  2.9168623e-04,  2.4413704e-04,  3.6382332e-04,  7.2501165e-04
