t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01, -1.5094791e-02,  9.4236168e-02, -1.8555087e-02,  3.1272319e-02, -2.7986394e-02, -6.8284743e-03,  5.0061157e-01,  1.2179667e+00,  1.2394696e+00, -3.4672230e-01, -1.1354775e+00, -1.5015983e+00,  2.9722981e-05, -6.2252108e-05, -1.8688386e-05,  1.3692948e-04, -5.2236276e-04,  2.8087016e-05,  7.6262220e-04,  2.9206334e-03,  3.6057064e-03, -9.3067915e-04, -2.2327735e-03, -3.3979091e-03, -1.4350180e-07,  5.6290652e-08,  2.1461883e-08,  1.9230911e-09,  8.4390993e-08, -1.9807457e-08,  7.9357596e-07,  1.8377502e-06,  2.5604403e-06, -1.1867785e-06, -1.8747641e-06, -2.5588319e-06,  1.2668188e-11, -2.0000888e-11,  1.0685487e-11,  1.6243900e-11, -1.0374341e-12, -2.9564682e-11,  1.9916003e-10,  3.6508216e-10,  4.5597010e-10, -2.2204576e-10, -3.6455076e-10, -4.7463548e-10, -2.0990976e-06, -1.6531935e-07,  4.0995732e-07,  1.0429344e-06,  1.3897350e-06, -1.2892729e-06, -6.4640009e-07,  1.9283392e-06,  9.1441417e-06,  1.8920438e-05,  2.8807030e-05,  3.4538427e-05, -5.3721283e-06, -1.9702365e-05, -2.8370322e-05, -3.1938937e-05, -1.0756673e-06, -1.3087437e-06,  1.3709704e-06,  1.0393837e-06, -2.2529206e-07,  1.1743281e-06, -4.4392793e-07,  1.3257560e-07,  5.1076927e-06,  1.3487302e-05,  2.2764076e-05,  2.5854855e-05, -3.8885111e-06, -1.6728688e-05, -2.2774230e-05, -2.5566499e-05, -1.2349803e-07,  4.2032036e-07, -1.7734428e-06,  2.0060685e-07, -1.4339928e-06, -3.6566770e-07,  8.9485987e-08,  1.3257560e-07,  5.3815814e-06,  1.0922468e-05,  1.6362253e-05,  2.0324380e-05, -4.9267207e-06, -1.1998374e-05, -2.0114869e-05, -2.1427590e-05
 2.0000000e-01,  1.1230911e-02,  3.2162529e-02, -1.3003436e-02,  2.7523255e-02, -4.3827070e-02,  1.3058696e-02,  4.9524198e-01,  1.3216470e+00,  1.4610024e+00, -4.1582050e-01, -1.2203991e+00, -1.7095690e+00, -2.9010308e-05,  1.5433856e-05,  2.8927012e-06,  2.1398783e-04, -2.2747051e-04,  1.0809983e-04,  1.1610112e-03,  3.3049482e-03,  4.1296606e-03, -1.1906482e-03, -2.8895932e-03, -3.9416386e-03, -1.9805563e-08,  1.1212623e-08, -5.0316533e-08,  1.6212264e-08, -9.4380938e-08, -1.7892599e-08,  9.9903123e-07,  2.2099570e-06,  2.9831270e-06, -1.4277654e-06, -2.2114254e-06, -3.0083527e-06,  1.4829354e-11, -2.2110288e-11, -3.4114480e-12, -3.7074797e-12, -8.7596875e-12, -1.8682058e-11,  2.1494321e-10,  4.5618228e-10,  5.8366422e-10, -2.3471780e-10, -4.7497244e-10, -5.6837995e-10, -1.2242213e-06, -1.7177526e-06, -7.5133834e-07, -7.3335708e-07,  7.5112384e-07, -1.0247338e-06, -9.5389491e-07,  2.5820553e-06,  1.0367530e-05,  2.1750866e-05,  3.5369904e-05,  4.1512060e-05, -8.4920969e-06, -2.1778006e-05, -3.3004155e-05, -3.7653023e-05, -7.7022900e-07, -1.0612053e-06, -6.8181219e-07,  7.4062250e-08, -4.4816200e-07, -2.3719712e-07, -3.0398417e-07,  8.6283003e-07,  6.5202704e-06,  1.6575233e-05,  2.5094455e-05,  3.0319794e-05, -4.3536591e-06, -1.7954165e-05, -2.6975546e-05, -3.0246720e-05, -8.7768850e-07,  2.5544514e-07, -9.7493873e-07, -3.5370772e-07, -1.3797767e-06, -2.5594326e-07, -1.1796265e-07,  8.6283003e-07,  5.7145252e-06,  1.2430449e-05,  1.9480777e-05,  2.3556135e-05, -5.6789853e-06, -1.3848655e-05, -2.1573539e-05, -2.4239962e-05
 3.0000000e-01,  4.5653059e-02,  5.5621139e-03, -8.0087140e-03,  3.5860816e-02, -4.2210716e-02,  2.3182246e-03,  4.8942724e-01,  1.3940238e+00,  1.6558317e+00, -4.7292705e-01, -1.3025253e+00, -1.8945159e+00, -1.4491779e-04, -1.3702032e-04, -9.4133931e-04,  2.6504796e-04, -2.6352059e-04, -1.6561233e-04,  1.4255701e-03,  3.5628024e-03,  3.0874018e-03, -1.4836475e-03, -3.3578705e-03, -4.3222774e-03,  1.3736912e-05,  1.0870898e-04,  1.5944065e-03, -6.3635248e-06, -1.5483453e-04, -9.0672759e-04,  8.6712780e-05,  1.4272981e-04, -4.3236102e-04,  9.1115672e-05,  2.7470539e-04,  8.5085819e-04,  1.2684059e-04, -3.2220776e-05,  4.3700233e-04,  3.6041793e-05,  3.1438441e-05,  1.2241114e-05,  5.3574531e-05, -6.9553773e-05, -3.4919576e-04, -1.6187636e-05,  1.2158216e-05, -2.3018151e-04, -2.4067225e-05, -5.0507750e-05, -1.7108064e-04, -6.1253212e-04, -2.4055142e-05, -1.5016699e-05, -4.9191650e-05,  1.1771422e-04, -2.0321515e-05, -4.7851452e-05, -2.0143235e-04, -6.9940360e-04,  1.8584456e-05,  6.1250906e-05,  1.0523434e-04,  1.8841266e-04, -9.8503754e-07, -4.6014557e-05, -1.3071721e-04, -5.3010640e-04, -1.3943246e-05, -3.7753282e-05, -5.1568912e-05, -1.7425947e-04, -1.1545696e-05, -4.9218852e-05, -2.0143042e-04, -6.0510435e-04,  1.8473819e-05,  6.3474958e-05,  1.9040905e-04,  1.9999393e-04, -1.0407054e-05, -4.5998468e-06, -1.5326320e-04, -5.9974494e-04,  6.7958987e-06, -4.4890215e-05, -3.9054496e-05, -1.7425947e-04, -1.0094753e-05, -1.7832864e-05, -2.1138920e-04, -8.4063408e-04,  2.8297650e-05,  1.1103280e-04,  2.1115417e-04,  1.3993677e-04
 4.0000000e-01,  7.4153426e-02, -8.1099289e-03,  1.4424831e-02,  4.2014813e-02, -4.9059741e-02,  2.4775699e-03,  4.9758146e-01,  1.4507709e+00,  1.8310950e+00, -5.1815436e-01, -1.3776006e+00, -2.0715794e+00, -5.8205271e-05, -7.9324964e-05, -1.3988104e-03,  4.1309495e-04, -2.3592922e-04, -8.9116381e-05,  1.6840429e-03,  3.6885515e-03,  1.6223214e-03, -1.5566292e-03, -3.4867025e-03, -6.0030687e-03,  2.0275955e-04,  2.9125541e-04, -6.7186645e-04,  2.5637310e-05, -4.3525195e-04, -3.4281606e-03,  1.6297365e-04, -2.8672443e-04, -2.5688729e-03,  2.3404684e-04,  7.5377912e-04, -9.0261793e-05,  1.9269016e-04, -7.8385173e-05,  1.4767646e-03,  2.3411133e-04, -5.4359612e-05, -2.6493199e-03,  4.0831632e-04,  2.7236195e-04, -1.2911741e-03, -7.3359639e-05, -1.7114595e-04,  6.7812580e-04, -1.3678314e-05, -1.0304603e-04, -3.5985594e-04, -4.0697521e-04,  6.1946050e-05,  3.9219140e-05, -4.9159877e-05, -1.7591723e-05,  5.4756540e-05, -2.9385373e-05, -5.1303475e-04, -2.1677798e-03,  5.0379932e-05,  2.5086267e-04,  6.2846116e-04,  1.5021662e-03,  1.0479650e-05, -7.7520522e-05, -2.8877310e-04, -1.0650264e-03,  6.4915894e-05,  6.3846484e-05, -1.8433294e-05, -2.7865444e-04,  3.8948020e-05, -4.0882683e-05, -5.0641842e-04, -1.9483224e-03,  5.6825513e-05,  2.5578249e-04,  7.3839810e-04,  1.2335486e-03,  4.3156307e-05, -1.3219289e-05, -2.4795785e-04, -1.1103471e-03,  5.9565892e-05,  2.1062493e-05, -1.8108699e-05, -2.7865444e-04,  4.5037540e-05, -4.0849401e-05, -5.3646826e-04, -1.9396827e-03,  9.7419401e-05,  3.0504750e-04,  9.2735270e-04,  1.3179064e-03
 5.0000000e-01,  8.7041958e-02, -2.1687164e-02,  3.9099502e-02,  4.2767026e-02, -7.6238764e-02,  6.7402692e-03,  5.0448646e-01,  1.4990509e+00,  1.9939769e+00, -5.5648212e-01, -1.4470166e+00, -2.2309929e+00,  1.4492483e-04,  1.3602711e-04, -1.8946048e-03,  5.9151422e-04, -1.5473785e-04, -9.8737555e-05,  2.0295752e-03,  3.4941153e-03, -1.4716820e-03, -1.5395645e-03, -3.1384754e-03, -2.5311567e-03,  4.9604443e-04,  4.8652572e-04, -2.3286006e-03,  3.3802950e-04, -1.3456909e-04, -3.4182359e-03,  4.0530443e-04, -7.9673093e-04, -5.2318246e-03,  6.6647933e-04,  1.8161130e-03,  3.9372055e-03,  4.3708724e-04, -2.2184361e-04,  1.6437475e-04,  2.4281341e-04, -2.7455547e-04, -3.8536410e-03,  7.7456808e-04,  8.3429687e-04, -2.1077885e-03, -2.4019688e-04, -3.4192116e-04,  2.1459160e-03,  1.3579834e-04,  3.4366079e-05, -3.4755352e-04, -1.0709927e-03,  1.6018445e-04,  7.7693754e-05, -2.1012092e-04,  1.7747904e-05,  1.1759605e-04, -8.1141372e-05, -1.2187597e-03, -5.1831243e-03,  2.2587175e-04,  5.1251868e-04,  1.3762193e-03,  3.3999748e-03,  1.7766613e-04,  5.7662067e-05, -1.9328658e-04, -9.6686325e-04,  1.5886888e-04,  9.1620164e-05, -1.2370685e-04, -3.4038611e-05,  1.4365425e-04, -3.6353570e-05, -1.0824169e-03, -4.0791930e-03,  2.0781443e-04,  4.9933286e-04,  1.3340891e-03,  2.9210804e-03,  1.8346962e-04,  1.4826450e-04, -1.6474318e-04, -7.2451569e-04,  1.6472332e-04,  5.0408622e-05, -1.1586039e-04, -3.4038611e-05,  1.4436424e-04, -8.3258132e-05, -1.0971053e-03, -4.5607534e-03,  2.4708444e-04,  5.4511749e-04,  1.5336203e-03,  3.9286095e-03
 6.0000000e-01,  8.9592355e-02, -5.3159052e-02,  5.2880076e-02,  3.8940789e-02, -8.7680329e-02,  1.5900362e-02,  5.1244535e-01,  1.5388679e+00,  2.1225107e+00, -5.9002716e-01, -1.5060768e+00, -2.3717762e+00,  4.3468745e-04,  4.6400735e-04,  2.3347008e-04,  8.6037250e-04,  4.1669035e-05, -6.4159305e-04,  2.5076050e-03,  4.0286581e-03, -1.3412333e-03, -1.3956745e-03, -2.8285990e-03,  3.1334200e-03,  5.5766233e-04,  3.6571848e-04, -4.2401009e-03,  4.8612506e-04,  1.0230409e-04, -2.0168863e-03,  3.4673014e-04, -1.6920976e-03, -9.3274772e-03,  8.8788690e-04,  2.5397068e-03,  7.5840422e-03,  2.9776244e-04, -4.6890551e-04, -9.9427250e-04,  2.0325023e-04, -3.3559537e-04, -3.5628476e-03,  1.0362843e-03,  1.5327025e-03, -3.3750315e-03, -4.0834479e-04, -5.4875565e-04,  5.1934828e-03,  2.4819788e-04,  1.1973273e-04, -2.6017732e-04, -4.6798906e-04,  2.7409542e-04,  9.7424501e-05, -2.6531110e-04,  7.5148815e-04,  2.3938354e-04, -2.1845023e-05, -1.5035729e-03, -6.7958856e-03,  3.3657469e-04,  6.9366885e-04,  1.9671711e-03,  5.8893196e-03,  2.6325590e-04,  1.4125055e-04, -8.0904924e-05, -4.8063253e-05,  2.5414522e-04,  2.0128905e-04, -8.6391677e-05,  1.5136584e-04,  2.2925342e-04,  3.1820815e-06, -1.4047781e-03, -5.4138098e-03,  2.9570514e-04,  6.7975778e-04,  1.8686447e-03,  4.4386453e-03,  2.6449380e-04,  2.0875698e-04,  6.2921262e-05,  1.8708858e-04,  2.5298359e-04,  1.5953454e-04,  2.7431136e-06,  1.5136584e-04,  2.2669083e-04, -9.9506747e-05, -1.4227148e-03, -5.7105448e-03,  3.5646369e-04,  7.2546029e-04,  2.2385012e-03,  7.3495994e-03
 7.0000000e-01,  9.0840574e-02, -6.1359412e-02,  6.9559326e-02,  2.8571849e-02, -1.0336830e-01,  4.7691410e-02,  5.1937568e-01,  1.5464219e+00,  2.2330579e+00, -6.1552761e-01, -1.5474996e+00, -2.4835407e+00,  6.5857810e-04,  6.8808240e-04, -2.7018434e-04,  1.0980926e-03,  1.6400100e-04, -2.4897740e-04,  2.9524853e-03,  4.7486013e-03, -8.1528074e-04, -1.4084634e-03, -2.9353565e-03,  5.5344135e-03,  6.2470580e-04,  3.5788097e-04, -4.2581654e-03,  6.1599106e-04,  3.4826928e-04, -1.9177202e-03,  3.5269395e-04, -1.9442960e-03, -1.0335862e-02,  1.1556852e-03,  3.2041723e-03,  9.9773441e-03,  3.7996058e-04, -5.6996135e-04, -1.6693667e-03,  2.6143458e-04, -2.3300568e-04, -3.3178564e-03,  1.1594444e-03,  2.0693066e-03, -4.5881352e-03, -4.8103057e-04, -6.6302941e-04,  6.3302217e-03,  3.7012824e-04,  2.2758666e-04, -1.5918721e-04, -2.8104421e-04,  3.5747093e-04,  1.6020069e-04, -3.6667590e-04,  8.6641399e-04,  3.0303859e-04, -2.3333353e-06, -1.7501897e-03, -7.7478171e-03,  4.7173679e-04,  8.9581955e-04,  2.4114726e-03,  7.0096882e-03,  3.7108881e-04,  2.4729323e-04, -3.6371811e-07,  4.8041662e-04,  3.4043442e-04,  2.4561043e-04, -6.5519693e-05,  3.8435109e-04,  3.1849170e-04,  4.5331825e-05, -1.6241677e-03, -6.0876725e-03,  4.2276627e-04,  8.7450036e-04,  2.3011377e-03,  5.4099788e-03,  3.7592444e-04,  3.2901338e-04,  1.9234645e-04,  6.7320879e-04,  3.5818250e-04,  2.2264186e-04,  9.1227377e-06,  3.8435109e-04,  3.0075967e-04, -8.6833478e-05, -1.6040599e-03, -6.4947851e-03,  4.8220856e-04,  9.1214442e-04,  2.6339737e-03,  7.7573771e-03
 8.0000000e-01,  9.0124374e-02, -6.5644970e-02,  7.7958550e-02,  1.9829003e-02, -1.2218066e-01,  4.7391315e-02,  5.2628680e-01,  1.5332952e+00,  2.3256191e+00, -6.3467855e-01, -1.5772310e+00, -2.5620900e+00,  8.9202218e-04,  9.3317943e-04,  1.4471687e-05,  1.3367833e-03,  3.6968763e-04,  5.8953307e-04,  3.4596337e-03,  5.7958609e-03,  1.3241573e-03, -1.4530614e-03, -3.3211161e-03,  6.9347480e-03,  6.5430963e-04,  3.0814219e-04, -4.3054084e-03,  7.1977290e-04,  5.2152949e-04, -1.9389299e-03,  3.2944662e-04, -2.0886039e-03, -9.7632184e-03,  1.3333018e-03,  3.5467548e-03,  1.1257652e-02,  2.7912275e-04, -5.9261234e-04, -1.9868081e-03,  2.3057162e-04, -1.6430683e-04, -2.8924034e-03,  1.2028820e-03,  2.3228406e-03, -4.9775422e-03, -5.0673965e-04, -7.1994021e-04,  6.7610356e-03,  4.5161642e-04,  3.1558153e-04, -1.4370634e-05, -4.8750182e-05,  4.2366978e-04,  1.8278164e-04, -3.9892470e-04,  5.1808359e-04,  3.7074398e-04,  5.3624438e-05, -1.7822552e-03, -7.5953809e-03,  5.4031713e-04,  9.4046004e-04,  2.5300832e-03,  7.1559665e-03,  4.3133335e-04,  3.1374103e-04,  1.0609367e-04,  8.4671574e-04,  3.9928281e-04,  3.1086417e-04, -3.9179793e-05,  4.2502136e-04,  3.6789816e-04,  9.5287516e-05, -1.6133458e-03, -6.0017314e-03,  4.7500300e-04,  9.2176043e-04,  2.3674946e-03,  5.5608799e-03,  4.2723063e-04,  3.6831263e-04,  3.0206390e-04,  1.0015452e-03,  4.1267397e-04,  2.9542109e-04,  5.7377933e-05,  4.2502136e-04,  3.4910012e-04, -6.3019945e-05, -1.5642209e-03, -6.1846183e-03,  5.3521918e-04,  9.3496516e-04,  2.6344380e-03,  7.6142489e-03
 9.0000000e-01,  8.0764688e-02, -6.8963425e-02,  7.8172729e-02,  1.1898229e-02, -1.2863825e-01,  2.9476711e-02,  5.2373276e-01,  1.4719692e+00,  2.3904630e+00, -6.4244047e-01, -1.5831298e+00, -2.5833866e+00,  1.0699348e-03,  1.1315852e-03,  3.5413060e-04,  1.5446354e-03,  5.7404323e-04,  1.4591888e-03,  3.9607792e-03,  7.0208605e-03,  3.8297906e-03, -1.6102307e-03, -3.9965337e-03,  6.0543910e-03,  6.3689602e-04,  2.6563455e-04, -4.3192881e-03,  7.6290549e-04,  6.8339723e-04, -1.8510633e-03,  2.7413524e-04, -2.0860035e-03, -8.5031585e-03,  1.4629802e-03,  3.7360582e-03,  1.1797105e-02,  2.6472292e-04, -5.9932877e-04, -2.3484045e-03,  2.6207785e-04, -7.1695673e-05, -2.5159731e-03,  1.2195737e-03,  2.5244797e-03, -4.6314567e-03, -5.0998214e-04, -7.5995100e-04,  6.5071240e-03,  5.2323165e-04,  3.9395425e-04,  9.2536423e-05,  9.1414014e-05,  4.7675279e-04,  2.3008715e-04, -3.4378762e-04,  5.3992199e-04,  4.3579909e-04,  1.3236881e-04, -1.5946502e-03, -6.9611717e-03,  6.0039652e-04,  9.8966897e-04,  2.5223836e-03,  6.9359877e-03,  4.8780889e-04,  3.6308369e-04,  1.8690850e-04,  1.0717896e-03,  4.5540171e-04,  3.7269085e-04,  6.2683604e-05,  5.9969556e-04,  4.2500606e-04,  1.7183503e-04, -1.4127310e-03, -5.3549129e-03,  5.3412537e-04,  9.5993468e-04,  2.3402884e-03,  5.3666010e-03,  4.7241164e-04,  4.0676736e-04,  3.9411756e-04,  1.2218868e-03,  4.6651629e-04,  3.7692475e-04,  1.8040944e-04,  5.9969556e-04,  3.9877269e-04, -4.9112684e-06, -1.3960963e-03, -5.4605608e-03,  5.7873058e-04,  9.5788740e-04,  2.5096988e-03,  7.1248282e-03
 1.0000000e+00,  7.0699360e-02, -7.2911486e-02,  9.3382514e-02,  6.4419039e-03, -1.3285457e-01,  2.3591734e-02,  5.1218946e-01,  1.3726476e+00,  2.4243416e+00, -6.4012122e-01, -1.5468975e+00, -2.5540270e+00,  1.1949762e-03,  1.2765708e-03,  5.5197102e-04,  1.7242574e-03,  7.1687176e-04,  2.2501279e-03,  4.4704113e-03,  8.4108474e-03,  6.6701584e-03, -1.8674652e-03, -4.9872618e-03,  3.8338706e-03,  6.0787731e-04,  2.4220153e-04, -4.3688507e-03,  7.7935947e-04,  8.1560352e-04, -1.8363748e-03,  2.3657109e-04, -1.8605587e-03, -6.6569209e-03,  1.5449278e-03,  3.7626853e-03,  1.1376183e-02,  2.6243235e-04, -5.4852918e-04, -2.7055556e-03,  3.1417332e-04,  1.1692353e-04, -2.0660922e-03,  1.2308931e-03,  2.6241297e-03, -3.8111961e-03, -4.7649420e-04, -7.8002413e-04,  5.5668894e-03,  5.7985073e-04,  4.6604333e-04,  2.0230265e-04,  2.1084488e-04,  5.1549213e-04,  2.6955384e-04, -2.6579662e-04,  4.8756758e-04,  4.8859521e-04,  2.2666140e-04, -1.2802964e-03, -5.8357240e-03,  6.3990183e-04,  9.6497971e-04,  2.3422251e-03,  6.1043515e-03,  5.3229445e-04,  4.0764593e-04,  2.7201089e-04,  1.1797816e-03,  4.9521820e-04,  4.1348455e-04,  1.5244455e-04,  7.0887751e-04,  4.6981628e-04,  2.5381738e-04, -1.1141520e-03, -4.3595891e-03,  5.7301411e-04,  9.4252754e-04,  2.1501626e-03,  4.7100365e-03,  5.0301580e-04,  4.3701485e-04,  4.6010247e-04,  1.3107983e-03,  5.0411535e-04,  4.2778074e-04,  2.6986206e-04,  7.0887751e-04,  4.3702920e-04,  6.8829070e-05, -1.1209268e-03, -4.4263415e-03,  6.0237223e-04,  9.1949076e-04,  2.1993508e-03,  5.8866498e-03
