t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  4.0544142e-01,  1.1165155e+00,  1.3764469e+00, -4.3981457e-01, -9.7471033e-01, -1.4003787e+00, -7.9275064e-02,  8.1649070e-03, -2.6286715e-02,  4.5114939e-03, -1.2106666e-02, -3.8604973e-02,  1.6859503e-03,  2.9547020e-03,  3.7841921e-03, -1.2357329e-03, -3.3450335e-03, -3.4278051e-03, -1.0153541e-04, -6.8447891e-05, -4.9184183e-05, -6.6724361e-05, -1.2515755e-04,  1.4500303e-04,  1.3466769e-06,  1.8128085e-06,  2.0941347e-06, -1.3208766e-06, -1.8204668e-06, -2.5184666e-06,  2.4783732e-07,  2.4044541e-09, -1.0839025e-07, -1.7937888e-08, -1.1189054e-07, -6.7452993e-08,  1.6111239e-10,  3.8954698e-10,  4.7679337e-10, -2.1823939e-10, -4.0477396e-10, -4.9156510e-10,  1.2428262e-11, -2.1405061e-11,  2.6682988e-11, -7.9178837e-12, -1.5764985e-11, -3.0036388e-11,  1.2572614e-05,  1.9829137e-05,  3.0560790e-05,  3.2395682e-05, -5.8264379e-06, -2.2672392e-05, -3.0983864e-05, -3.1110995e-05, -4.5464800e-06, -1.6979539e-06, -5.6200983e-07, -1.6640410e-06, -8.9307622e-07, -1.4131539e-06,  4.5860134e-06,  8.5931929e-07,  9.0184974e-06,  1.6783804e-05,  2.1945616e-05,  2.6285045e-05, -7.6353238e-06, -1.1517256e-05, -2.1097564e-05, -2.3065569e-05,  1.1027529e-06,  1.2208855e-06, -1.6726818e-06, -4.1957292e-07,  4.7337012e-06,  2.4148251e-06, -5.7259127e-07, -1.3833788e-06,  6.8548898e-06,  1.1032094e-05,  1.7351463e-05,  2.0789450e-05, -4.7378463e-06, -1.4397651e-05, -1.9825364e-05, -2.3065569e-05, -6.0841145e-07,  1.1672780e-06,  2.1459623e-06,  4.0201787e-07, -1.0829175e-06, -4.4941592e-07,  9.2344564e-07, -7.2498319e-07
 2.0000000e-01,  4.3062275e-01,  1.1860359e+00,  1.5608105e+00, -4.3535317e-01, -1.0966057e+00, -1.5759340e+00, -6.4980182e-02,  7.5230637e-02, -7.1816014e-03,  2.7669936e-02,  3.6460696e-02, -6.0002162e-02,  1.8415338e-03,  3.4136647e-03,  4.1272208e-03, -1.4568547e-03, -3.8231544e-03, -3.8676567e-03, -5.6403389e-08, -1.4045644e-04,  2.1372029e-05, -7.3751452e-05, -1.5788866e-04,  9.8427695e-05,  1.4664470e-06,  2.2680219e-06,  2.7055740e-06, -1.2921131e-06, -2.1530651e-06, -2.9677474e-06,  3.0305762e-07,  4.7453786e-08, -5.6986123e-08, -8.8082899e-08,  2.1237274e-08, -6.0405610e-09,  2.1643930e-10,  5.1331186e-10,  5.8178866e-10, -2.2692346e-10, -4.7638599e-10, -5.8709397e-10,  3.0538232e-11, -1.9657457e-11,  2.2395101e-11, -1.0406858e-11,  2.2986088e-11, -1.7838214e-11,  1.2904008e-05,  2.0974140e-05,  3.4436636e-05,  4.1151502e-05, -6.6047375e-06, -2.4737542e-05, -3.4523226e-05, -3.6488675e-05, -4.0505349e-06, -4.5312494e-07,  1.0742140e-06,  1.0864636e-07,  8.0802946e-07, -3.4603275e-07,  3.6820574e-06,  1.8228092e-07,  9.5656509e-06,  1.7828483e-05,  2.7086462e-05,  3.0234851e-05, -6.6928577e-06, -1.4449935e-05, -2.5885589e-05, -2.7712110e-05,  1.3097538e-06, -7.8606412e-08, -1.3575857e-06, -9.5613582e-07,  3.3873134e-06,  1.7896072e-06,  7.1465840e-07, -1.3585570e-06,  6.8988015e-06,  1.4249934e-05,  2.0200845e-05,  2.5984722e-05, -4.4807658e-06, -1.5275884e-05, -2.2897334e-05, -2.7712110e-05,  5.0936137e-08,  1.4055348e-06,  1.0839459e-06,  2.6404001e-07,  8.5742261e-08, -1.4313429e-07,  1.1020316e-06,  2.8684954e-07
 3.0000000e-01,  4.3769045e-01,  1.2519397e+00,  1.7373845e+00, -4.3496012e-01, -1.1868143e+00, -1.7570999e+00, -4.5041779e-02,  1.0304321e-01,  7.9174817e-03,  3.2578801e-02,  8.4983215e-02, -2.5631337e-02,  2.1893688e-03,  3.8140248e-03,  4.0420550e-03, -1.5973011e-03, -4.0381029e-03, -4.4007363e-03,  6.1069894e-05, -3.7169584e-04, -2.7191016e-04, -1.2133245e-06,  3.9416022e-05,  1.0826511e-03,  9.7587552e-05, -3.6941539e-05, -1.4365880e-03,  1.1567400e-04,  3.0051138e-04,  1.8479264e-03,  1.8339632e-04,  3.6508530e-04,  1.0078054e-03,  1.3975744e-04,  1.4411738e-04,  1.5297135e-06,  9.0347845e-05,  2.1548555e-04,  5.3157319e-04, -9.5788377e-05, -2.7646293e-04, -2.5568337e-04,  9.8223369e-05,  3.0286529e-04,  1.5089039e-03,  6.3986224e-05,  1.5034873e-04, -7.4133865e-04,  1.3539821e-04,  1.2619178e-04,  7.4505999e-06,  1.6141846e-04,  1.4889087e-04,  1.9381684e-04,  4.9781851e-04,  8.6363620e-04,  1.4982102e-04,  1.4961340e-04,  2.6838819e-04,  2.6047275e-04,  1.5014654e-04,  1.4733047e-04,  1.8666604e-04,  1.1179078e-04,  1.2547473e-04,  9.7824663e-05,  2.9292553e-05,  6.2532105e-04,  1.2317448e-04,  1.2602294e-04,  3.3775486e-04,  7.7344809e-04,  1.3068691e-04,  1.5030995e-04,  1.5491534e-04,  4.2798917e-05,  1.2044270e-04,  1.5142588e-04,  1.0166308e-04,  9.9036755e-06,  1.1554560e-04,  9.4078701e-05,  2.1829912e-05,  3.4356865e-04,  1.2657043e-04,  1.8331628e-04,  2.8476274e-04,  7.7344809e-04,  1.3194581e-04,  1.6177928e-04,  2.8685210e-04,  1.9414587e-04,  1.2366841e-04,  1.0962059e-04,  7.0687177e-06, -8.4135501e-05
 4.0000000e-01,  4.4316892e-01,  1.3217772e+00,  1.8908397e+00, -4.3722364e-01, -1.2740287e+00, -1.9309417e+00, -5.0070724e-02,  1.2168649e-01,  4.9454291e-02,  3.6468511e-02,  9.9331741e-02,  5.5247843e-03,  2.5224230e-03,  4.1316657e-03,  2.0604368e-03, -1.7944756e-03, -4.3117373e-03, -5.2261511e-03,  1.4416620e-04, -3.7906449e-04, -8.7005877e-04,  2.0120861e-05,  1.1055825e-05, -1.5063740e-03,  1.7985266e-04, -2.1968432e-04, -1.3183658e-06,  1.8676131e-04,  4.8196320e-04,  3.7395881e-03,  3.3920222e-04,  6.7098380e-04,  1.2679496e-03,  1.3034686e-04,  1.8287225e-04,  4.9273835e-04,  5.0155508e-04,  1.0221013e-03,  1.6515602e-04, -3.1699819e-04, -8.5394517e-04, -3.5184806e-03,  2.0720454e-04,  2.1793997e-05,  2.0471363e-03,  1.6190327e-04,  5.2308971e-04, -7.6884394e-04,  1.0637840e-04,  6.7202765e-05, -3.1640081e-04, -3.5043568e-04,  9.1902924e-05,  1.7740988e-04,  6.1392259e-04,  1.7418606e-03,  7.0719049e-05,  7.7347425e-05,  2.2468231e-04,  5.7655161e-04,  1.2579600e-04,  1.4072100e-04,  2.7451578e-04, -1.9732322e-04,  9.6812283e-05, -5.2083312e-05, -2.8739136e-04, -3.7106616e-04,  8.6185258e-05,  1.1641640e-04,  4.9513380e-04,  1.4729025e-03,  8.0873476e-05,  7.4055858e-05,  1.0212988e-04,  3.8553620e-04,  1.0745506e-04,  1.8340203e-04,  1.9118859e-04, -3.1371889e-04,  8.7317997e-05, -4.1311256e-05, -5.0945746e-04, -2.8205992e-04,  7.3213971e-05,  1.4818805e-04,  4.8652596e-04,  1.4729025e-03,  9.0357412e-05,  1.4308700e-04,  2.9559473e-04,  6.4919954e-04,  9.3676087e-05,  7.3371684e-05, -5.5364703e-05, -5.3596520e-05
 5.0000000e-01,  4.4649000e-01,  1.3903009e+00,  2.0300817e+00, -4.4806885e-01, -1.3552675e+00, -2.0997932e+00, -5.8618767e-02,  1.4002346e-01,  9.4085607e-02,  3.6962844e-02,  1.0494624e-01,  2.0511689e-02,  2.8268374e-03,  4.1896931e-03,  1.3694935e-03, -2.0507874e-03, -4.6203955e-03, -3.8201312e-03,  2.4656625e-04, -2.0860339e-04, -2.3188819e-04, -4.0732989e-06, -8.4854952e-05, -2.2309471e-04,  2.0627802e-04, -5.5945904e-04, -1.3858365e-03,  1.4265123e-04,  7.7165026e-04,  4.3527913e-03,  3.8047508e-04,  5.0909969e-04, -1.5571963e-05,  1.3791313e-04,  4.0090220e-04,  4.9400521e-04,  8.0380111e-04,  1.4818792e-03,  2.3183839e-03, -5.5703910e-04, -1.0937974e-03, -1.0744446e-03,  2.0365152e-04, -3.1316687e-04,  2.6063622e-03,  4.5613741e-05,  6.8205487e-04, -5.3236611e-04, -6.9037743e-06, -8.3403646e-05, -7.6707968e-04, -8.0976951e-04, -3.3445417e-05,  1.3667186e-04,  9.6854862e-04,  2.4181411e-03, -3.0326377e-05, -2.0022610e-05,  2.5468918e-04, -2.9551745e-05, -1.0207665e-05, -3.8338221e-05,  1.8422641e-04,  2.9253585e-04,  9.9615693e-06, -2.0027148e-04, -5.5412162e-04, -1.1698691e-03, -2.9610317e-05,  3.1934386e-05,  7.1220923e-04,  2.1141632e-03,  8.7691522e-07, -3.5899546e-05, -5.6646533e-05, -6.2463209e-04,  2.5824454e-05,  6.5879787e-05,  1.8922682e-04, -4.2171672e-05,  3.5574051e-05, -1.5381480e-04, -8.1538210e-04, -1.4855796e-03, -1.5965715e-05,  1.2334993e-04,  7.5700914e-04,  2.1141632e-03,  3.5150133e-05,  1.0532387e-04,  2.8087356e-04,  3.4212438e-04,  7.5186797e-06, -7.1186228e-05, -1.5514692e-05,  1.7382365e-04
 6.0000000e-01,  4.4797869e-01,  1.4573515e+00,  2.1555563e+00, -4.6201515e-01, -1.4208296e+00, -2.2563868e+00, -7.5186101e-02,  1.4694114e-01,  1.0944095e-01,  4.6143879e-02,  1.0438807e-01,  3.8849415e-02,  3.2016502e-03,  4.8033665e-03, -1.7197057e-05, -2.4592824e-03, -5.3428315e-03, -1.0599068e-03,  2.9085744e-04, -4.8351526e-05,  7.4181734e-04, -1.1813213e-04, -2.8117461e-04,  3.2899640e-04,  2.4691876e-04, -6.3111256e-04, -2.4946033e-03,  5.7663455e-05,  1.0099490e-03,  5.7547038e-03,  2.8160752e-04,  4.9604089e-05, -3.6929546e-03,  9.8780740e-05,  3.2503678e-04, -2.0081152e-04,  9.5494982e-04,  2.2459459e-03,  2.8289655e-03, -1.1666952e-03, -1.5165168e-03,  3.4050695e-03, -6.9576020e-05, -1.0202892e-03,  1.6962846e-03, -2.9043728e-04,  9.1234242e-04,  1.5221720e-03, -1.6671413e-04, -2.2702848e-04, -1.0996626e-03, -1.8776983e-03, -3.0797833e-04, -1.6886810e-04,  8.3881157e-04,  2.9390683e-03, -2.9445484e-04, -2.5399950e-04,  9.4708780e-05, -2.4817007e-04, -2.4101469e-04, -3.2382381e-04,  2.7008802e-05, -5.2078948e-04, -1.3403502e-04, -3.2348572e-04, -8.8752073e-04, -2.8546873e-03, -2.8466670e-04, -2.1230751e-04,  6.0280051e-04,  2.8440974e-03, -2.0034471e-04, -2.9027634e-04, -3.5539508e-04, -1.0517737e-03, -1.3681543e-04, -1.0865927e-04,  7.1539681e-05, -6.8168681e-04, -7.6941160e-05, -2.4776260e-04, -1.1427741e-03, -3.0691477e-03, -2.2268660e-04, -9.7506050e-05,  7.4776037e-04,  2.8440974e-03, -1.4079464e-04, -4.0719199e-05,  1.1933134e-05,  2.4522792e-04, -1.4402524e-04, -2.3013504e-04,  5.0004164e-05, -1.1730282e-04
 7.0000000e-01,  4.4587270e-01,  1.5130660e+00,  2.2636189e+00, -4.7184147e-01, -1.4756159e+00, -2.3980406e+00, -8.7132572e-02,  1.4534099e-01,  1.1894018e-01,  5.7586808e-02,  1.0169974e-01,  6.3834110e-02,  3.6196616e-03,  5.4913232e-03,  1.4801339e-04, -2.9082856e-03, -6.5080012e-03, -1.4993212e-03,  2.8477684e-04,  3.7784239e-05,  9.4953089e-04, -2.0855479e-04, -5.1959350e-04,  1.2407961e-03,  3.9457634e-04, -4.2062365e-04, -3.9520174e-03, -3.6225152e-05,  9.5470314e-04,  4.9783124e-03,  2.6882741e-04, -8.8583020e-05, -4.3825178e-03,  7.6949842e-05,  2.3372837e-04, -3.8532906e-04,  1.2449470e-03,  2.5788206e-03,  2.4835338e-03, -1.4358039e-03, -1.6781101e-03,  4.1636638e-03, -1.9932057e-04, -1.4094209e-03,  3.7049062e-04, -4.1204974e-04,  9.7992374e-04,  1.9844310e-03, -2.4349213e-04, -2.5343318e-04, -1.2319532e-03, -2.5412746e-03, -4.4385529e-04, -3.8101652e-04,  7.1789852e-04,  2.8773922e-03, -4.1063139e-04, -3.4709870e-04,  5.2559312e-05, -2.9598869e-04, -3.3231064e-04, -4.6614163e-04, -1.0687906e-04, -6.2990565e-04, -1.8380872e-04, -3.3411639e-04, -1.0148343e-03, -3.3678607e-03, -4.0966780e-04, -3.7645139e-04,  5.2431538e-04,  3.2567935e-03, -2.7978100e-04, -4.1577636e-04, -4.8456686e-04, -1.3945381e-03, -2.2742451e-04, -2.3665268e-04, -3.2441529e-05, -1.0130796e-03, -1.1572803e-04, -2.3897911e-04, -1.1640570e-03, -3.6055166e-03, -3.0906902e-04, -2.0478788e-04,  7.6549654e-04,  3.2567935e-03, -2.0249179e-04, -1.0734189e-04, -1.4421425e-04,  1.2712818e-04, -1.9763969e-04, -2.9266109e-04,  5.0828806e-05,  2.2910003e-05
 8.0000000e-01,  4.4690922e-01,  1.5556751e+00,  2.3589595e+00, -4.8245834e-01, -1.5214862e+00, -2.5002316e+00, -9.8035567e-02,  1.3445563e-01,  1.1141927e-01,  7.2276154e-02,  9.9296919e-02,  8.6678798e-02,  4.0563031e-03,  6.4040936e-03,  1.0347814e-03, -3.3801079e-03, -7.9204972e-03, -3.4479148e-03,  2.8614926e-04,  1.8687165e-04,  1.4910036e-03, -3.2371717e-04, -6.9816808e-04,  2.6567099e-03,  4.7904012e-04, -1.6432252e-04, -5.0395396e-03, -1.4378418e-04,  6.3951555e-04,  3.3802625e-03,  1.9283218e-04, -3.7149381e-04, -5.2764696e-03,  2.9795922e-05,  1.1158872e-04, -5.8488807e-04,  1.3726574e-03,  2.8494117e-03,  1.7952459e-03, -1.6713182e-03, -1.8180660e-03,  4.9726563e-03, -3.4981494e-04, -1.8562512e-03, -1.4829116e-03, -5.7047390e-04,  8.6125458e-04,  2.5602970e-03, -3.0772779e-04, -2.8372018e-04, -1.2374281e-03, -3.0032031e-03, -5.9740636e-04, -6.0599545e-04,  3.1755123e-04,  2.2437741e-03, -5.4984611e-04, -4.6148210e-04, -6.7360354e-05, -3.1987278e-04, -4.5195366e-04, -6.3473650e-04, -3.1137854e-04, -9.4327171e-04, -2.3414690e-04, -2.9749004e-04, -9.6241991e-04, -3.6461496e-03, -5.4872905e-04, -5.4004350e-04,  2.7879561e-04,  2.8440161e-03, -3.8278904e-04, -5.4123589e-04, -6.6636291e-04, -1.4869696e-03, -3.0474644e-04, -3.5225524e-04, -1.8890000e-04, -1.3417024e-03, -1.4612003e-04, -2.0085711e-04, -1.0175303e-03, -3.6056314e-03, -4.2105604e-04, -3.5984405e-04,  5.6878434e-04,  2.8440161e-03, -2.9135427e-04, -2.0553312e-04, -3.8311626e-04, -1.5131647e-04, -2.7822968e-04, -3.7695479e-04, -4.9542003e-05, -4.0362850e-05
 9.0000000e-01,  4.4145170e-01,  1.5665306e+00,  2.4361570e+00, -4.8178843e-01, -1.5240928e+00, -2.5627624e+00, -9.7540222e-02,  1.0569873e-01,  1.0857030e-01,  8.6705570e-02,  9.0488873e-02,  1.1576478e-01,  4.5862947e-03,  7.5030012e-03,  2.6399137e-03, -3.8472008e-03, -9.4238409e-03, -5.8721202e-03,  3.0427929e-04,  3.3764630e-04,  1.9606388e-03, -3.9186282e-04, -8.1608222e-04,  3.0071362e-03,  5.8554152e-04,  1.7335638e-04, -5.0909501e-03, -2.3668884e-04,  2.8476867e-04,  1.8979739e-03,  1.5564369e-04, -5.3626668e-04, -5.3382305e-03,  1.6557252e-05,  1.0910748e-05, -6.5644533e-04,  1.4981837e-03,  3.1075729e-03,  1.9867910e-03, -1.8639940e-03, -1.8997093e-03,  4.9582566e-03, -4.6691940e-04, -2.1032709e-03, -2.6006679e-03, -6.7852937e-04,  7.4361476e-04,  3.0778652e-03, -3.5431439e-04, -2.6182270e-04, -1.0650280e-03, -2.9465344e-03, -7.2318182e-04, -8.3297207e-04, -3.8128932e-05,  1.6294264e-03, -6.6321947e-04, -5.6126032e-04, -1.9194467e-04, -3.5380287e-04, -5.4525935e-04, -7.7292048e-04, -5.1980462e-04, -1.2876916e-03, -2.6570360e-04, -2.1277127e-04, -8.2128750e-04, -3.1883032e-03, -6.7310534e-04, -7.1117665e-04, -3.1143029e-05,  2.2177060e-03, -4.7121729e-04, -6.4731623e-04, -8.3291092e-04, -1.4663819e-03, -3.7924365e-04, -4.5646428e-04, -3.9003063e-04, -1.6506845e-03, -1.7062741e-04, -1.2208609e-04, -7.3109979e-04, -3.1152175e-03, -5.1429636e-04, -5.1512330e-04,  2.6784529e-04,  2.2177060e-03, -3.7121354e-04, -3.2238490e-04, -5.7506428e-04, -4.4599054e-04, -3.3555375e-04, -4.5168140e-04, -1.9867786e-04, -2.2864245e-04
 1.0000000e+00,  4.3567331e-01,  1.5427511e+00,  2.4666994e+00, -4.7185439e-01, -1.4912245e+00, -2.5722887e+00, -8.5535130e-02,  6.8202407e-02,  1.0896021e-01,  8.9369712e-02,  8.1899889e-02,  1.1486377e-01,  5.1788513e-03,  8.7605575e-03,  5.0257909e-03, -4.3244723e-03, -1.1035142e-02, -8.6261103e-03,  3.2681256e-04,  4.5139138e-04,  2.5178459e-03, -4.4155350e-04, -8.9536742e-04,  3.1629449e-03,  6.7475962e-04,  5.2992580e-04, -4.1850881e-03, -3.1969580e-04, -1.1900980e-04,  6.7169637e-04,  1.2432232e-04, -6.0900767e-04, -4.9120708e-03,  8.3236745e-06, -8.9697085e-05, -6.8046153e-04,  1.5659987e-03,  3.2415762e-03,  2.4866998e-03, -1.9475892e-03, -1.9008416e-03,  4.2061796e-03, -5.5325090e-04, -2.1962296e-03, -3.1013967e-03, -7.5482577e-04,  5.6878164e-04,  3.1935964e-03, -3.8119979e-04, -2.2922495e-04, -8.0828472e-04, -2.4998853e-03, -8.1897878e-04, -1.0295828e-03, -4.2892062e-04,  8.9938916e-04, -7.4683109e-04, -6.3558598e-04, -2.9491914e-04, -3.2257977e-04, -6.1973255e-04, -8.8411044e-04, -7.5259031e-04, -1.5846005e-03, -2.8414373e-04, -1.0911809e-04, -5.7264408e-04, -2.4406464e-03, -7.7036269e-04, -8.5645805e-04, -3.2780154e-04,  1.4763086e-03, -5.4053753e-04, -7.2385445e-04, -9.6301918e-04, -1.4092180e-03, -4.3847702e-04, -5.6248417e-04, -6.1025471e-04, -1.9502435e-03, -1.8641849e-04, -2.9442022e-05, -3.6693927e-04, -2.3033283e-03, -5.9270455e-04, -6.5605266e-04, -3.9581623e-05,  1.4763086e-03, -4.3538617e-04, -4.1795766e-04, -7.5168944e-04, -7.1176005e-04, -3.9157442e-04, -5.2540062e-04, -3.9158956e-04, -4.9146331e-04
