t,1 [5.00000e+00; 0.00000e+00; 2.00000e+00],2 [5.00000e+00; 0.00000e+00; 5.00000e+00],3 [5.00000e+00; 0.00000e+00; 8.00000e+00],4 [5.00000e+00; 0.00000e+00; -2.00000e+00],5 [5.00000e+00; 0.00000e+00; -5.00000e+00],6 [5.00000e+00; 0.00000e+00; -8.00000e+00],7 [5.00000e+00; 2.00000e+00; 0.00000e+00],8 [5.00000e+00; 5.00000e+00; 0.00000e+00],9 [5.00000e+00; 8.00000e+00; 0.00000e+00],10 [5.00000e+00; -2.00000e+00; 0.00000e+00],11 [5.00000e+00; -5.00000e+00; 0.00000e+00],12 [5.00000e+00; -8.00000e+00; 0.00000e+00],13 [3.00000e+01; 0.00000e+00; 2.00000e+00],14 [3.00000e+01; 0.00000e+00; 5.00000e+00],15 [3.00000e+01; 0.00000e+00; 8.00000e+00],16 [3.00000e+01; 0.00000e+00; -2.00000e+00],17 [3.00000e+01; 0.00000e+00; -5.00000e+00],18 [3.00000e+01; 0.00000e+00; -8.00000e+00],19 [3.00000e+01; 2.00000e+00; 0.00000e+00],20 [3.00000e+01; 5.00000e+00; 0.00000e+00],21 [3.00000e+01; 8.00000e+00; 0.00000e+00],22 [3.00000e+01; -2.00000e+00; 0.00000e+00],23 [3.00000e+01; -5.00000e+00; 0.00000e+00],24 [3.00000e+01; -8.00000e+00; 0.00000e+00],25 [6.00000e+01; 0.00000e+00; 2.00000e+00],26 [6.00000e+01; 0.00000e+00; 5.00000e+00],27 [6.00000e+01; 0.00000e+00; 8.00000e+00],28 [6.00000e+01; 0.00000e+00; -2.00000e+00],29 [6.00000e+01; 0.00000e+00; -5.00000e+00],30 [6.00000e+01; 0.00000e+00; -8.00000e+00],31 [6.00000e+01; 2.00000e+00; 0.00000e+00],32 [6.00000e+01; 5.00000e+00; 0.00000e+00],33 [6.00000e+01; 8.00000e+00; 0.00000e+00],34 [6.00000e+01; -2.00000e+00; 0.00000e+00],35 [6.00000e+01; -5.00000e+00; 0.00000e+00],36 [6.00000e+01; -8.00000e+00; 0.00000e+00],37 [9.50000e+01; 0.00000e+00; 2.00000e+00],38 [9.50000e+01; 0.00000e+00; 5.00000e+00],39 [9.50000e+01; 0.00000e+00; 8.00000e+00],40 [9.50000e+01; 0.00000e+00; -2.00000e+00],41 [9.50000e+01; 0.00000e+00; -5.00000e+00],42 [9.50000e+01; 0.00000e+00; -8.00000e+00],43 [9.50000e+01; 2.00000e+00; 0.00000e+00],44 [9.50000e+01; 5.00000e+00; 0.00000e+00],45 [9.50000e+01; 8.00000e+00; 0.00000e+00],46 [9.50000e+01; -2.00000e+00; 0.00000e+00],47 [9.50000e+01; -5.00000e+00; 0.00000e+00],48 [9.50000e+01; -8.00000e+00; 0.00000e+00],49 [4.90000e+01; 0.00000e+00; 1.00000e+00],50 [4.90000e+01; 0.00000e+00; 3.00000e+00],51 [4.90000e+01; 0.00000e+00; 5.00000e+00],52 [4.90000e+01; 0.00000e+00; 7.00000e+00],53 [4.90000e+01; 0.00000e+00; -1.00000e+00],54 [4.90000e+01; 0.00000e+00; -3.00000e+00],55 [4.90000e+01; 0.00000e+00; -5.00000e+00],56 [4.90000e+01; 0.00000e+00; -7.00000e+00],57 [4.90000e+01; 1.00000e+00; 0.00000e+00],58 [4.90000e+01; 3.00000e+00; 0.00000e+00],59 [4.90000e+01; 5.00000e+00; 0.00000e+00],60 [4.90000e+01; 7.00000e+00; 0.00000e+00],61 [4.90000e+01; -1.00000e+00; 0.00000e+00],62 [4.90000e+01; -3.00000e+00; 0.00000e+00],63 [4.90000e+01; -5.00000e+00; 0.00000e+00],64 [4.90000e+01; -7.00000e+00; 0.00000e+00],65 [5.00500e+01; 0.00000e+00; 1.00000e+00],66 [5.00500e+01; 0.00000e+00; 3.00000e+00],67 [5.00500e+01; 0.00000e+00; 5.00000e+00],68 [5.00500e+01; 0.00000e+00; 7.00000e+00],69 [5.00500e+01; 0.00000e+00; -1.00000e+00],70 [5.00500e+01; 0.00000e+00; -3.00000e+00],71 [5.00500e+01; 0.00000e+00; -5.00000e+00],72 [5.00500e+01; 0.00000e+00; -7.00000e+00],73 [5.00500e+01; 1.00000e+00; 0.00000e+00],74 [5.00500e+01; 3.00000e+00; 0.00000e+00],75 [5.00500e+01; 5.00000e+00; 0.00000e+00],76 [5.00500e+01; 7.00000e+00; 0.00000e+00],77 [5.00500e+01; -1.00000e+00; 0.00000e+00],78 [5.00500e+01; -3.00000e+00; 0.00000e+00],79 [5.00500e+01; -5.00000e+00; 0.00000e+00],80 [5.00500e+01; -7.00000e+00; 0.00000e+00],81 [5.10000e+01; 0.00000e+00; 1.00000e+00],82 [5.10000e+01; 0.00000e+00; 3.00000e+00],83 [5.10000e+01; 0.00000e+00; 5.00000e+00],84 [5.10000e+01; 0.00000e+00; 7.00000e+00],85 [5.10000e+01; 0.00000e+00; -1.00000e+00],86 [5.10000e+01; 0.00000e+00; -3.00000e+00],87 [5.10000e+01; 0.00000e+00; -5.00000e+00],88 [5.10000e+01; 0.00000e+00; -7.00000e+00],89 [5.10000e+01; 1.00000e+00; 0.00000e+00],90 [5.10000e+01; 3.00000e+00; 0.00000e+00],91 [5.10000e+01; 5.00000e+00; 0.00000e+00],92 [5.10000e+01; 7.00000e+00; 0.00000e+00],93 [5.10000e+01; -1.00000e+00; 0.00000e+00],94 [5.10000e+01; -3.00000e+00; 0.00000e+00],95 [5.10000e+01; -5.00000e+00; 0.00000e+00],96 [5.10000e+01; -7.00000e+00; 0.00000e+00]
 1.0000000e-01,  1.0143066e+05,  1.0139776e+05,  1.0136075e+05,  1.0143450e+05,  1.0140533e+05,  1.0135741e+05,  1.0143004e+05,  1.0141346e+05,  1.0135972e+05,  1.0142258e+05,  1.0139931e+05,  1.0136114e+05,  1.0132525e+05,  1.0132520e+05,  1.0132507e+05,  1.0132530e+05,  1.0132519e+05,  1.0132508e+05,  1.0132527e+05,  1.0132519e+05,  1.0132509e+05,  1.0132527e+05,  1.0132518e+05,  1.0132507e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05
 2.0000000e-01,  1.0133668e+05,  1.0133417e+05,  1.0133051e+05,  1.0133688e+05,  1.0133489e+05,  1.0133017e+05,  1.0133649e+05,  1.0133555e+05,  1.0133005e+05,  1.0133629e+05,  1.0133413e+05,  1.0133036e+05,  1.0132504e+05,  1.0132503e+05,  1.0132501e+05,  1.0132505e+05,  1.0132503e+05,  1.0132501e+05,  1.0132505e+05,  1.0132503e+05,  1.0132502e+05,  1.0132504e+05,  1.0132503e+05,  1.0132501e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05,  1.0132500e+05
 3.0000000e-01,  1.0133527e+05,  1.0133311e+05,  1.0132964e+05,  1.0133566e+05,  1.0133384e+05,  1.0132946e+05,  1.0133513e+05,  1.0133427e+05,  1.0132951e+05,  1.0133485e+05,  1.0133308e+05,  1.0132974e+05,  1.0132319e+05,  1.0132318e+05,  1.0132317e+05,  1.0132320e+05,  1.0132319e+05,  1.0132318e+05,  1.0132319e+05,  1.0132318e+05,  1.0132319e+05,  1.0132319e+05,  1.0132318e+05,  1.0132316e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132314e+05,  1.0132315e+05,  1.0132319e+05,  1.0132314e+05,  1.0132313e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132316e+05,  1.0132318e+05,  1.0132317e+05,  1.0132316e+05,  1.0132318e+05,  1.0132317e+05,  1.0132316e+05,  1.0132318e+05,  1.0132318e+05,  1.0132320e+05,  1.0132318e+05,  1.0132318e+05,  1.0132318e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132313e+05,  1.0132314e+05,  1.0132315e+05,  1.0132315e+05,  1.0132317e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132316e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132315e+05,  1.0132317e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132316e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132315e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132315e+05,  1.0132317e+05,  1.0132314e+05,  1.0132314e+05,  1.0132314e+05,  1.0132316e+05,  1.0132314e+05,  1.0132314e+05,  1.0132315e+05,  1.0132316e+05
 4.0000000e-01,  1.0133359e+05,  1.0133172e+05,  1.0132864e+05,  1.0133399e+05,  1.0133238e+05,  1.0132843e+05,  1.0133353e+05,  1.0133274e+05,  1.0132852e+05,  1.0133320e+05,  1.0133169e+05,  1.0132875e+05,  1.0132219e+05,  1.0132218e+05,  1.0132216e+05,  1.0132220e+05,  1.0132218e+05,  1.0132217e+05,  1.0132219e+05,  1.0132218e+05,  1.0132219e+05,  1.0132219e+05,  1.0132218e+05,  1.0132217e+05,  1.0132211e+05,  1.0132211e+05,  1.0132208e+05,  1.0132212e+05,  1.0132212e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132214e+05,  1.0132212e+05,  1.0132213e+05,  1.0132215e+05,  1.0132222e+05,  1.0132219e+05,  1.0132212e+05,  1.0132222e+05,  1.0132220e+05,  1.0132218e+05,  1.0132221e+05,  1.0132220e+05,  1.0132216e+05,  1.0132222e+05,  1.0132221e+05,  1.0132222e+05,  1.0132211e+05,  1.0132212e+05,  1.0132212e+05,  1.0132213e+05,  1.0132211e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132213e+05,  1.0132212e+05,  1.0132212e+05,  1.0132212e+05,  1.0132215e+05,  1.0132212e+05,  1.0132212e+05,  1.0132212e+05,  1.0132214e+05,  1.0132211e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132213e+05,  1.0132212e+05,  1.0132212e+05,  1.0132213e+05,  1.0132214e+05,  1.0132212e+05,  1.0132212e+05,  1.0132212e+05,  1.0132214e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132212e+05,  1.0132211e+05,  1.0132211e+05,  1.0132212e+05,  1.0132214e+05,  1.0132212e+05,  1.0132212e+05,  1.0132213e+05,  1.0132215e+05
 5.0000000e-01,  1.0133223e+05,  1.0133054e+05,  1.0132774e+05,  1.0133257e+05,  1.0133106e+05,  1.0132759e+05,  1.0133214e+05,  1.0133135e+05,  1.0132763e+05,  1.0133178e+05,  1.0133047e+05,  1.0132786e+05,  1.0132130e+05,  1.0132130e+05,  1.0132133e+05,  1.0132131e+05,  1.0132130e+05,  1.0132130e+05,  1.0132131e+05,  1.0132130e+05,  1.0132134e+05,  1.0132131e+05,  1.0132131e+05,  1.0132137e+05,  1.0132123e+05,  1.0132123e+05,  1.0132128e+05,  1.0132123e+05,  1.0132124e+05,  1.0132127e+05,  1.0132123e+05,  1.0132123e+05,  1.0132127e+05,  1.0132124e+05,  1.0132126e+05,  1.0132134e+05,  1.0132136e+05,  1.0132133e+05,  1.0132131e+05,  1.0132135e+05,  1.0132133e+05,  1.0132136e+05,  1.0132134e+05,  1.0132133e+05,  1.0132134e+05,  1.0132135e+05,  1.0132134e+05,  1.0132136e+05,  1.0132124e+05,  1.0132124e+05,  1.0132125e+05,  1.0132127e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132125e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132129e+05,  1.0132124e+05,  1.0132124e+05,  1.0132125e+05,  1.0132129e+05,  1.0132124e+05,  1.0132124e+05,  1.0132124e+05,  1.0132126e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132125e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132127e+05,  1.0132124e+05,  1.0132124e+05,  1.0132125e+05,  1.0132128e+05,  1.0132124e+05,  1.0132124e+05,  1.0132124e+05,  1.0132126e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132125e+05,  1.0132124e+05,  1.0132123e+05,  1.0132124e+05,  1.0132127e+05,  1.0132124e+05,  1.0132124e+05,  1.0132125e+05,  1.0132129e+05
 6.0000000e-01,  1.0133164e+05,  1.0133013e+05,  1.0132749e+05,  1.0133191e+05,  1.0133049e+05,  1.0132735e+05,  1.0133152e+05,  1.0133077e+05,  1.0132732e+05,  1.0133119e+05,  1.0133001e+05,  1.0132751e+05,  1.0132116e+05,  1.0132115e+05,  1.0132117e+05,  1.0132117e+05,  1.0132115e+05,  1.0132114e+05,  1.0132116e+05,  1.0132114e+05,  1.0132114e+05,  1.0132117e+05,  1.0132117e+05,  1.0132127e+05,  1.0132105e+05,  1.0132105e+05,  1.0132108e+05,  1.0132105e+05,  1.0132105e+05,  1.0132108e+05,  1.0132105e+05,  1.0132106e+05,  1.0132113e+05,  1.0132105e+05,  1.0132107e+05,  1.0132113e+05,  1.0132119e+05,  1.0132115e+05,  1.0132114e+05,  1.0132116e+05,  1.0132114e+05,  1.0132115e+05,  1.0132117e+05,  1.0132115e+05,  1.0132115e+05,  1.0132117e+05,  1.0132116e+05,  1.0132120e+05,  1.0132105e+05,  1.0132105e+05,  1.0132106e+05,  1.0132107e+05,  1.0132104e+05,  1.0132103e+05,  1.0132103e+05,  1.0132103e+05,  1.0132104e+05,  1.0132104e+05,  1.0132104e+05,  1.0132107e+05,  1.0132104e+05,  1.0132105e+05,  1.0132106e+05,  1.0132109e+05,  1.0132105e+05,  1.0132105e+05,  1.0132105e+05,  1.0132107e+05,  1.0132104e+05,  1.0132104e+05,  1.0132103e+05,  1.0132104e+05,  1.0132104e+05,  1.0132104e+05,  1.0132104e+05,  1.0132106e+05,  1.0132104e+05,  1.0132105e+05,  1.0132105e+05,  1.0132108e+05,  1.0132104e+05,  1.0132105e+05,  1.0132105e+05,  1.0132107e+05,  1.0132104e+05,  1.0132103e+05,  1.0132103e+05,  1.0132104e+05,  1.0132104e+05,  1.0132104e+05,  1.0132104e+05,  1.0132106e+05,  1.0132104e+05,  1.0132105e+05,  1.0132106e+05,  1.0132110e+05
 7.0000000e-01,  1.0133122e+05,  1.0132977e+05,  1.0132733e+05,  1.0133151e+05,  1.0133017e+05,  1.0132723e+05,  1.0133107e+05,  1.0133032e+05,  1.0132715e+05,  1.0133076e+05,  1.0132970e+05,  1.0132733e+05,  1.0132081e+05,  1.0132080e+05,  1.0132078e+05,  1.0132083e+05,  1.0132079e+05,  1.0132075e+05,  1.0132082e+05,  1.0132079e+05,  1.0132078e+05,  1.0132082e+05,  1.0132081e+05,  1.0132085e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132070e+05,  1.0132067e+05,  1.0132068e+05,  1.0132073e+05,  1.0132076e+05,  1.0132074e+05,  1.0132074e+05,  1.0132075e+05,  1.0132074e+05,  1.0132075e+05,  1.0132075e+05,  1.0132074e+05,  1.0132075e+05,  1.0132075e+05,  1.0132075e+05,  1.0132076e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132069e+05,  1.0132067e+05,  1.0132066e+05,  1.0132066e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132069e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132070e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132067e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132069e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132067e+05,  1.0132066e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132067e+05,  1.0132067e+05,  1.0132068e+05,  1.0132070e+05
 8.0000000e-01,  1.0133105e+05,  1.0132974e+05,  1.0132739e+05,  1.0133135e+05,  1.0133014e+05,  1.0132737e+05,  1.0133091e+05,  1.0133013e+05,  1.0132732e+05,  1.0133064e+05,  1.0132968e+05,  1.0132737e+05,  1.0132094e+05,  1.0132093e+05,  1.0132089e+05,  1.0132096e+05,  1.0132091e+05,  1.0132086e+05,  1.0132094e+05,  1.0132091e+05,  1.0132088e+05,  1.0132095e+05,  1.0132093e+05,  1.0132095e+05,  1.0132077e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132073e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132078e+05,  1.0132080e+05,  1.0132083e+05,  1.0132082e+05,  1.0132082e+05,  1.0132082e+05,  1.0132082e+05,  1.0132083e+05,  1.0132083e+05,  1.0132082e+05,  1.0132082e+05,  1.0132083e+05,  1.0132082e+05,  1.0132083e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132078e+05,  1.0132077e+05,  1.0132076e+05,  1.0132075e+05,  1.0132075e+05,  1.0132077e+05,  1.0132077e+05,  1.0132076e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132078e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132076e+05,  1.0132076e+05,  1.0132075e+05,  1.0132075e+05,  1.0132077e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132075e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132076e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05,  1.0132077e+05
 9.0000000e-01,  1.0133090e+05,  1.0132964e+05,  1.0132744e+05,  1.0133118e+05,  1.0133000e+05,  1.0132745e+05,  1.0133074e+05,  1.0132990e+05,  1.0132732e+05,  1.0133049e+05,  1.0132956e+05,  1.0132738e+05,  1.0132082e+05,  1.0132080e+05,  1.0132075e+05,  1.0132084e+05,  1.0132079e+05,  1.0132073e+05,  1.0132082e+05,  1.0132079e+05,  1.0132074e+05,  1.0132083e+05,  1.0132080e+05,  1.0132078e+05,  1.0132062e+05,  1.0132061e+05,  1.0132060e+05,  1.0132062e+05,  1.0132061e+05,  1.0132058e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132063e+05,  1.0132064e+05,  1.0132067e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132066e+05,  1.0132067e+05,  1.0132067e+05,  1.0132067e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132061e+05,  1.0132060e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132060e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132061e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132061e+05,  1.0132062e+05,  1.0132061e+05,  1.0132061e+05,  1.0132060e+05,  1.0132062e+05,  1.0132062e+05,  1.0132061e+05,  1.0132061e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05,  1.0132062e+05
 1.0000000e+00,  1.0133039e+05,  1.0132928e+05,  1.0132725e+05,  1.0133070e+05,  1.0132962e+05,  1.0132722e+05,  1.0133026e+05,  1.0132945e+05,  1.0132708e+05,  1.0133003e+05,  1.0132919e+05,  1.0132704e+05,  1.0132028e+05,  1.0132026e+05,  1.0132019e+05,  1.0132030e+05,  1.0132025e+05,  1.0132018e+05,  1.0132028e+05,  1.0132025e+05,  1.0132019e+05,  1.0132029e+05,  1.0132025e+05,  1.0132021e+05,  1.0132005e+05,  1.0132004e+05,  1.0132002e+05,  1.0132005e+05,  1.0132004e+05,  1.0132001e+05,  1.0132005e+05,  1.0132005e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132009e+05,  1.0132009e+05,  1.0132008e+05,  1.0132009e+05,  1.0132009e+05,  1.0132009e+05,  1.0132009e+05,  1.0132009e+05,  1.0132008e+05,  1.0132009e+05,  1.0132009e+05,  1.0132008e+05,  1.0132006e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132005e+05,  1.0132005e+05,  1.0132004e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132003e+05,  1.0132005e+05,  1.0132005e+05,  1.0132005e+05,  1.0132003e+05
